物体ID,名称,类型[0=Projectile，1=Block],是否使用重力[0=不使用，1=使用],二次搭建[-1=不能二次搭建，0=可以二次搭建，不填默认值0],质量g,阻力,角阻力,材质ID,形状ID[0=球体，1=立方体，2=胶囊体],形状参数1,形状参数2,形状参数3,0=不能编辑且无物理效果，1=不能编辑但有物理效果，2=可编辑但无物理效果，3=可编辑且有物理效果,模型放缩,（暂不用）冻结x位移[0=不冻结，1=冻结],（暂不用）冻结y位移[0=不冻结，1=冻结],（暂不用）冻结z位移[0=不冻结，1=冻结],（暂不用）冻结x旋转[0=不冻结，1=冻结],（暂不用）冻结y旋转[0=不冻结，1=冻结],（暂不用）冻结z旋转[0=不冻结，1=冻结],（暂不用）中心
671,鹅毛黄水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
672,松花绿水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
673,海棠红水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
674,苍石灰水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
675,浅苍灰水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
676,青碧绿水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
677,青莲紫水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
678,宝石蓝水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
679,深栗红水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
680,翡翠绿水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
681,赫赤红水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
682,煤乌黑水泥块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
683,龙纹石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
684,斜纹黑石块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
687,香薰宫灯,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
688,中式字牌,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
689,中式镂空窗,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
690,低音块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
691,中音块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
692,高音块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
693,乐器-鼓,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
694,乐器-电子,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
695,乐器-综合,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
696,非循环-电子,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
697,循环-鼓,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
698,循环-电子,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
699,循环-氛围,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
700,星能产生器,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
701,星能产生器,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
702,星能增幅器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
703,星能增幅器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
704,星能比较器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
705,星能比较器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
706,蓝色星能线,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
707,星能信号灯,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
708,星能信号灯,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
711,触碰感压板,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
712,普通感压板,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
713,生物感压板,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
715,触碰按钮,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
716,普通按钮,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
717,发射装置,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
718,推拉机械臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
719,机械臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
720,投掷发射装置,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
721,地刺陷阱,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
722,投掷装置,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
723,桃木图腾,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
724,开关,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
725,轨道节点,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
729,加速轨道节点,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
731,木质天窗,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
732,黑龙雕像,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
742,混乱雕像,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
748,萤火虫玻璃瓶,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
800,不完整工匠台,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
801,储物箱,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
802,冶炼台,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
812,轻木门,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
813,绳索,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
814,秘银门,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
815,黄铜星能幕布,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
816,巨布鲁果灯,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
817,火炬,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
820,书柜,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
824,不完整工匠台,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
828,简易睡袋,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
833,不完整工匠台,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
834,炸药桶,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
835,备用,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
839,收集传输器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
840,机械臂部件,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
841,移动的机械臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
842,秘银弹簧,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
843,弹簧部件,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
844,炽炎弹簧,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
847,圣诞礼盒,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
848,孔明灯,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
854,落日橙门,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
855,深栗红门,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
856,象牙白门,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
857,炽炎门,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
858,海棠红门,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
859,琥珀黄门,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
860,秋叶橙木门,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
861,木纹灯,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
862,象牙白玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
863,朱砂橙玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
864,胭脂红玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
865,天青蓝玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
866,鹅毛黄玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
867,松花绿玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
868,海棠红玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
869,苍石灰玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
870,浅苍灰玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
871,青碧绿玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
872,青莲紫玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
873,宝石蓝玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
874,深栗红玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
875,翡翠绿玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
876,赫赤红玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
877,煤乌黑玻璃灯,1,1,,15000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
878,沙发测试,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
879,圣诞铃铛,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
880,圣诞条带,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
883,精致木床,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
884,豪华木床,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
885,公主床,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
886,秘银星能幕布,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
887,秘银星能幕布（贴墙）,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
888,钛金星能幕布,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
889,钛金星能幕布（贴墙）,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
890,熔岩星能幕布,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
891,熔岩星能幕布（贴墙）,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
892,木质字牌,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
893,石质字牌,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
894,秘银字牌,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
895,炽炎字牌,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
896,钨金字牌,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
897,熔岩字牌,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
898,灯笼,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
899,古典路灯,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
900,现代路灯,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
919,红色战旗,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
920,蓝色战旗,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
921,绿色战旗,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
922,黄战旗,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
923,橙色战旗,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
924,紫色战旗,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
925,白色战旗,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
926,黑色铜围栏,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
927,白色铜围栏,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
928,小花盆,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
929,大花盆,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
930,展示架,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
931,蜡烛台,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
932,蜡烛台,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
933,吊灯,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
934,典雅壁灯,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
935,精致壁灯,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
936,台灯,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
937,福字,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
938,对联字牌,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
939,春节窗花,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
940,春节窗花-福,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
941,春节窗花-禄,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
942,春节窗花-寿,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
943,春节窗花-喜,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
944,新春灯笼,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
945,中式宫灯,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
946,红色陶花盆,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
947,绿色陶花盆,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
948,大瓷花盆,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
949,新春宫灯,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
965,椅子,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
966,桌子,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
967,沙发,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
968,棕色壁炉,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
969,柜子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
970,象牙白椅子,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
971,象牙白桌子,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
972,象牙白沙发,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
973,白色壁炉,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
974,象牙白柜子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
975,松木椅子,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
976,松木桌子,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
977,松木沙发,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
978,黑色壁炉,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
979,松木柜子,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
981,方片花纹砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
982,棕色纹砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
983,黑白纹砖,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
984,白蓝纹玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
985,绿蓝纹玻璃片,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
986,小彩旗,1,1,,100,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
990,公共集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
991,1队:红队集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
992,2队:蓝队集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
993,3队:绿队集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
994,4队:黄队集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
995,5队:橙队集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
996,6队:紫队集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
997,闪星方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
998,初始道具补给箱,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
999,再次挑战补给箱,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1000,方块复制器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1002,方块复制器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1003,方块清除器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1004,标记器（-）,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1005,标记器（+）,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1008,滑动方块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1009,红色星能线,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1010,转轴方块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1014,十字大炸弹,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1015,十字小炸弹,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1016,单向大炸弹,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1017,单向小炸弹,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1021,闪星奖杯,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1022,漏斗,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1023,机械臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1024,粘性机械臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1025,移动的机械臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1032,感应方块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1033,算法器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1034,星能阻隔器,1,1,,6000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1036,准备点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1037,触碰方块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1038,生物触碰方块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1039,得分方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1042,神秘图腾,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1045,氧气提炼装置,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1047,压缩气罐（空）,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1048,压缩气罐（氧气）,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1050,星球植物培养基,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1052,信号发生器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1053,信号接收器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1054,信号解析器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1055,小加密箱,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1056,大加密箱,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1058,巨人雕像,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1059,巨人核心,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1060,反射镜,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1062,区域复制方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1063,蓝图工作台,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1066,测距仪,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1067,物理触碰方块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1072,公共初始集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1073,1队:红队初始集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1074,2队:蓝队初始集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1075,3队:绿队初始集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1076,4队:黄队初始集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1077,5队:橙队初始集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1078,6队:紫队初始集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1079,个人集合点,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1080,刷怪方块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1101,实验室门,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1102,镜冰,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1103,冰灯,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1104,花纹星能块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1105,星能秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1106,星能秘银板,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1107,紫线秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1108,厚秘银板,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1109,镂空秘银板,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1110,实验室灯,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1111,锈秘银门,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1112,秘银丝网,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1113,竖纹秘银板,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1114,锈秘银板,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1115,条纹锈秘银板,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1116,镂空锈秘银板,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1117,星能锈秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1118,荧光灯,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1119,花纹秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1120,象牙白旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1121,朱砂橙旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1122,胭脂红旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1123,天青蓝旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1124,鹅毛黄旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1125,松花绿旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1126,海棠红旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1127,苍石灰旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1128,浅苍灰旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1129,青碧绿旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1130,青莲紫旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1131,宝石蓝旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1132,深栗红旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1133,翡翠绿旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1134,赫赤红旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1135,煤乌黑旧秘银块,1,1,,50000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1136,雪梅屏风,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1137,红烛灯,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1138,模型工作台,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1139,红烛灯,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1140,传送点核心方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1141,传送点方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1142,道具模型工作台,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1143,编书台,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1144,书架,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1150,生物模型方块,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1158,球铰链方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1159,铰链方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1160,机械爪,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1161,液压臂,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1164,避震器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1165,升降绞绳,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1166,绞绳-尾部固定木桩,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1167,绞绳-绳子,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1168,红外感应方块,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
