id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2工具，3材料，4建筑，6机械，7出现在食谱内，8出现在秘银锅内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795铁锅，150029融合台）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）
314,绿色陶花盆,947,2401,1,[4],[21553],[6],,GreenFlowerpot,,GreenFlowerpot,1,0,3,3,0,800,0,11213,2,,11513,1,,,,,,,,,,,,,,,,,,,,,,,,,2,
315,大瓷花盆,948,2402,1,[4],[21553],[6],,BigPorcelainPot,,BigPorcelainPot,1,0,3,3,0,800,0,11213,3,,11511,1,,,,,,,,,,,,,,,,,,,,,,,,,2.5,
316,新春宫灯,949,2403,[3],[4],[21522],[6],,FestivalLantern,,FestivalLantern,1,0,3,3,1,800,0,11307,4,,11323,4,,11318,1,,,,,,,,,,,,,,,,,,,,,,2,
317,孔明灯,12830,2404,[3],[4],[21522],[3],,SkyLantern,,SkyLantern,1,0,3,3,0,800,0,11307,5,,298,1,,710,1,,,,,,,,,,,,,,,,,,,,,,2.5,
318,荷灯,13808,2405,[3],[4],[21522],[3],,LotusLantern,,LotusLantern,1,0,3,3,1,800,0,11307,3,,11318,1,,250,3,,,,,,,,,,,,,,,,,,,,,,2.5,
319,荧光晶体,11318,1406,1,[3],[21530],[4],,FluorescentCrystal,,FluorescentCrystal,9,0,3,3,0,800,0,550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
320,木质天窗,731,1407,1,[4],[21535],[6],,WoodenSkylight,,WoodenSkylight,1,0,3,3,1,800,0,11323,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
321,草垛,822,235,[2],[2],[21521],[6],,Haystack,,Haystack,1,0,3,3,0,800,0,11226,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
322,标记器（-）,1004,1409,1,[6],[21543],[7],,Marker(-),,Marker(-),1,0,3,3,0,800,0,11209,4,,11664,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
323,标记器（+）,1005,1410,1,[6],[21543],[7],,Marker(+),,Marker(+),1,0,3,3,0,800,0,11209,4,,11664,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
324,滑动方块,1008,1411,1,[6],[21543],[7],,SlidingCube,,SlidingCube,1,0,3,3,0,800,0,11310,3,,11209,5,,363,1,,,,,,,,,,,,,,,,,,,,,,0.1,
325,转轴方块,1010,1412,1,[6],[21543],[7],,Rotor cube,,Rotor cube,1,0,3,3,0,800,0,363,1,,11310,1,,11511,5,,,,,,,,,,,,,,,,,,,,,,0.1,
326,地板,418,1413,1,[4],[21548],[5],,WoodFloor,,WoodFloor,1,0,3,3,0,800,0,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
327,土砖,421,1414,[10],[4],[21544],[5],,AdobeBlock,,AdobeBlock,1,0,3,3,0,800,0,101,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
328,粗制石砖,422,1415,[10],[4],[21544],[5],,RoughRockBrick,,RoughRockBrick,1,0,3,3,0,800,0,104,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
329,粗制黄砖板,423,1416,[10],[4],[21544],[5],,SandstoneBlock,,SandstoneBlock,1,0,3,3,1,800,0,422,2,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
330,釉面砖,425,1417,[10],[4],[21544],[5],,GlazedBlock,,GlazedBlock,1,0,3,3,0,800,0,422,2,,11200,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
331,横格釉面砖,426,1418,[10],[4],[21544],[5],,LateralGlazedBlock,,LateralGlazedBlock,1,0,3,3,0,800,0,425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
332,不稳定化合物,11306,1419,1,[3],[21530],[4],,UnstableCompound,,UnstableCompound,2,0,3,3,0,800,0,128,1,,11201,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
333,青瓜大餐,12577,1420,[5],[2],[21521],[3],,CucumberMeal,,CucumberMeal,1,0,3,3,0,800,200,236,6,,241,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
334,号角,12579,1421,1,[2],[21550],[3],,Horn,,Horn,1,0,3,3,0,800,0,12578,1,,11209,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
335,灵狐口哨,12580,1422,1,[2],[21550],[3],,DogWhistle,,DogWhistle,1,0,3,3,1,800,0,11323,1,,11206,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
336,窝,1019,231,[3],[4],[21522],[3],,ChickenNest,,ChickenNest,1,0,3,3,1,800,0,11226,5,,11323,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
337,冰砖,430,1425,[10],[4],[21544],[5],,IceBrick,,IceBrick,1,0,3,3,0,800,0,123,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
338,扳手,11070,1426,1,"[2,6]","[21550,21542]","[3,7]",,Wrench,,Wrench,1,0,3,3,0,800,0,11209,3,,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
339,风铃花种子,431,1428,[4],[3],[21529],[4],,BellflowersSeed,,BellflowersSeed,2,0,3,3,0,800,0,300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
340,若兰花种子,432,1429,[4],[3],[21529],[4],,RuolanSeed,,RuolanSeed,2,0,3,3,0,800,0,301,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
341,星辰花种子,433,1430,[4],[3],[21529],[4],,StarFlowerSeed,,StarFlowerSeed,2,0,3,3,0,800,0,302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
342,龙血花种子,434,1431,[4],[3],[21529],[4],,DragonFlowerSeed,,DragonFlowerSeed,2,0,3,3,0,800,0,303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
343,风信子种子,435,1432,[4],[3],[21529],[4],,HyacinthSeed,,HyacinthSeed,2,0,3,3,0,800,0,304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
344,龙爪草种子,436,1433,[4],[3],[21529],[4],,DragonGrassSeed,,DragonGrassSeed,2,0,3,3,0,800,0,305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
345,龙血树种子,437,1434,[4],[3],[21529],[4],,DragonTreeSeed,,DragonTreeSeed,2,0,3,3,0,800,0,306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
346,红色龙舌兰种子,438,1435,[4],[3],[21529],[4],,RedMagueySeed,,RedMagueySeed,2,0,3,3,0,800,0,307,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
347,橙色龙舌兰种子,439,1436,[4],[3],[21529],[4],,OrangeMagueySeed,,OrangeMagueySeed,2,0,3,3,0,800,0,308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
348,灰色龙舌兰种子,440,1437,[4],[3],[21529],[4],,GreyMagueySeed,,GreyMagueySeed,2,0,3,3,0,800,0,309,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
349,粉色龙舌兰种子,441,1438,[4],[3],[21529],[4],,PinkMagueySeed,,PinkMagueySeed,2,0,3,3,0,800,0,310,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
350,白椰花种子,442,1439,[4],[3],[21529],[4],,WhiteFlowerSeed,,WhiteFlowerSeed,2,0,3,3,0,800,0,311,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
351,黄钟花种子,443,1440,[4],[3],[21529],[4],,YellowFlowerSeed,,YellowFlowerSeed,2,0,3,3,0,800,0,312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
352,野蔷薇种子,444,1441,[4],[3],[21529],[4],,RosebushSeed,,RosebushSeed,2,0,3,3,0,800,0,313,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
353,蟹棒,12581,1442,1,[3],[21530],[3],,CrabStick,,CrabStick,1,0,3,3,0,800,0,12527,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
354,彩蛋,12248,1443,[2],"[2,3]","[21525,21525]",[3],,BigPaintedEgg,,BigPaintedEgg,10,0,3,3,0,800,0,12053,10,,11506,1,,11504,1,,11509,1,,,,,,,,,,,,,,,,,,,0.1,
355,小彩蛋,12240,1444,[2],"[2,3]","[21525,21525]",[3],,PaintedEgg,,PaintedEgg,10,0,3,3,0,800,0,12052,10,,11514,1,,11504,1,,11503,1,,,,,,,,,,,,,,,,,,,0.1,
356,感应方块,1032,1446,1,[6],[21543],[7],,SensorCube,,SensorCube,1,0,3,3,0,800,0,353,1,,11511,1,,11209,2,,11664,1,,,,,,,,,,,,,,,,,,,0.1,
357,星能算法器,387,1447,1,[6],[21543],[7],,Calculator,,Calculator,1,0,3,3,0,800,0,11664,3,,11210,1,,11207,1,,104,2,,,,,,,,,,,,,,,,,,,0.1,
358,木窗,555,1449,1,[4],[21535],[6],,Woodenwindow,,Woodenwindow,2,0,3,3,1,800,0,11323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
359,玻璃窗,556,1450,1,[4],[21535],[6],,GlassWindow,,GlassWindow,2,0,3,3,1,800,0,11323,4,,649,6,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
360,皮革卷轴,11806,1451,1,[2],[21550],[3],,LeatherReel,,LeatherReel,1,0,3,3,0,800,0,11307,1,,710,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
361,秋叶橙地板,419,2452,1,[4],[21548],[5],,YellowOrangeFloor,,YellowOrangeFloor,4,0,3,3,0,800,0,11323,8,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
362,海棠红地板,420,2453,1,[4],[21548],[5],,LightRedFloor,,LightRedFloor,4,0,3,3,0,800,0,11323,8,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
363,精制黄砖板,424,2454,1,[4],[21548],[5],,SandstoneBrick,,SandstoneBrick,1,0,3,3,1,800,0,501,2,,29,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
364,竖格釉面砖,427,2455,[10],[4],[21544],[5],,VerticalGlazedBlock,,VerticalGlazedBlock,1,0,3,3,0,800,0,425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
365,四格釉面砖,428,2456,[10],[4],[21544],[5],,GridGlazedBlock,,GridGlazedBlock,1,0,3,3,0,800,0,425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
366,不规则釉面砖,429,2457,[10],[4],[21544],[5],,IrregularGlazedBlock,,IrregularGlazedBlock,1,0,3,3,0,800,0,425,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
367,象牙白栅栏,539,2458,1,[4],[21534],[5],,WhiteFence,,WhiteFence,4,0,3,3,1,800,0,11323,5,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
368,粗制石砖围栏,551,2459,1,[4],[21534],[5],,StoneBrickFence,,StoneBrickFence,4,0,3,3,0,800,0,422,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
369,象牙白围栏,552,2460,1,[4],[21534],[5],,WhiteFence1,,WhiteFence1,4,0,3,3,1,800,0,11323,10,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
370,木栅栏,553,2461,1,[4],[21534],[5],,WoodenStockade,,WoodenStockade,4,0,3,3,1,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
371,铜围栏,554,2462,1,[4],[21534],[5],,BrassFence,,BrassFence,4,0,3,3,0,800,0,11332,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
372,过山车头,13802,1463,1,"[2,6]","[21549,21542]",[7],,RollerCoasterEngine,,RollerCoasterEngine,1,0,3,3,1,800,0,11209,5,,11323,5,,550,2,,,,,,,,,,,,,,,,,,,,,,0.1,
373,胭脂红木板,562,1464,[8],[4],[2],[5],,RedPurpleBoard,,RedPurpleBoard,4,0,3,3,0,800,0,11323,4,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
374,竹板,563,1465,1,[4],[2],[5],,BambooBoard,,BambooBoard,1,0,3,3,0,800,0,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
375,胭脂红薄板,564,1466,14,[4],[128],[5],,RedPurpleStep,,RedPurpleStep,16,0,3,3,0,800,0,11323,4,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
376,竹板薄板,565,1467,15,[4],[128],[5],,BambooStep,,BambooStep,4,0,3,3,0,800,0,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
377,胭脂红楼梯,566,1468,1,[4],[134],[5],,RedPurpleStair,,RedPurpleStair,32,0,3,3,0,800,0,11323,20,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
378,竹板楼梯,567,1469,1,[4],[134],[5],,BambooStair,,BambooStair,4,0,3,3,0,800,0,251,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
379,地刺陷阱,721,1471,1,[6],[21542],[7],,SpikeTrap,,SpikeTrap,1,0,3,3,0,800,0,563,3,,11312,9,,11664,1,,11209,3,,,,,,,,,,,,,,,,,,,0.1,
380,投掷装置,722,1472,1,[6],[21542],[7],,Thrower,,Thrower,1,0,3,3,0,800,0,11323,6,,251,4,,844,2,,710,3,,11664,6,,,,,,,,,,,,,,,,0.1,
381,桃木图腾,723,1473,1,[4],[21538],[6],,Totem,,Totem,1,0,3,3,0,800,0,254,6,,11511,3,,11500,3,,11204,2,,,,,,,,,,,,,,,,,,,0.1,
382,蔬果披萨,831,1474,1,"[7,8]",,[1],,FruitPizza,,FruitPizza,1,0,3,3,0,795,300,12509,1,11320,241,1,,12601,1,,344,1,,,,,,,,,,,,,,,,,,,0.1,
383,吹箭筒,12288,1159,[5],[1],[21517],[2],,Blowgun,,Blowgun,1,0,3,3,0,800,0,11312,2,,710,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
384,蜂刺飞镖,12289,1160,[6],[1],[21517],[2],,Dart,,Dart,6,0,3,3,1,800,0,11312,1,,11313,1,,11303,1,,,,,,,,,,,,,,,,,,,,,,0.1,
385,瓶装蜂蜜,12511,1478,1,[2],[21550],[3],,BottledHoney,,BottledHoney,3,0,3,3,0,800,0,11320,3,,12504,3,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
386,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
387,萤火虫,13419,1480,1,[2],[21550],[6],,Firefly,,Firefly,1,0,3,3,0,800,0,748,1,11320,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
388,空的蜂巢,133,1481,1,[3],[21530],[4],,EmptyHoneycomb,,EmptyHoneycomb,1,0,3,3,0,800,0,12504,3,,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
389,竹围栏,568,1482,1,[4],[21534],[5],,BambooFence,,BambooFence,4,0,3,3,0,800,0,251,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
390,竹围栏门,569,1483,1,[4],[21534],[5],,BambooFenceGate,,BambooFenceGate,1,0,3,3,0,800,0,251,4,,563,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
391,足球服,12821,1484,1,[2],[21524],[3],,SoccerShirt,,SoccerShirt,1,0,3,3,0,800,0,710,9,,11500,1,,11503,1,,,,,,,,,,,,,,,,,,,,,,0.1,
392,足球,13420,1485,1,[2],[21524],[3],,Soccer,,Soccer,1,0,3,3,0,800,0,11307,3,,710,3,,11500,3,,11515,1,,,,,,,,,,,,,,,,,,,0.1,
393,彩带烟花,12781,1486,1,[2],[21550],[3],,RibbonFireworks,,RibbonFireworks,12,0,3,3,0,800,0,11306,3,,11307,12,,11502,1,,11504,1,,11503,1,,,,,,,,,,,,,,,,0.1,
394,星球岩薄板,570,1490,16,[4],[128],,,Horasrockstep,,Horasrockstep,4,0,3,3,0,800,0,116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
395,星球岩楼梯,571,1491,1,[4],[134],,,Horasrockstair,,Horasrockstair,4,0,3,3,0,800,0,116,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
396,星球岩墙,572,1492,1,[4],[21534],,,Horasrockfence,,Horasrockfence,4,0,3,3,0,800,0,573,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
397,星球岩石砖,573,1493,[10],[4],[21544],,,Horasrockbrick,,Horasrockbrick,2,0,3,3,0,800,0,116,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
398,氧气提炼装置,1045,1494,1,[2],[21526],,,OxygenPump,,OxygenPump,1,0,3,3,0,800,0,11329,4,,11323,8,,25,8,,11655,2,,,,,,,,,,,,,,,,,,,0.1,
399,压缩气罐（空）,1047,1495,1,[2],[21526],,,Gastank(Empty),,Gastank(Empty),1,0,3,3,0,800,0,632,4,,11329,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
400,星球植物培养基,1050,1496,1,[2],[21550],,,PlantMedium,,PlantMedium,1,0,3,3,0,800,0,117,1,,116,3,,11049,1,,11311,1,,,,,,,,,,,,,,,,,,,0.1,
401,星瞳钻头,11016,1021,[6],[2],[21509],,,Horascopperdrill,,Horascopperdrill,1,0,3,3,0,800,0,11073,5,,11664,2,,11323,2,,116,2,,,,,,,,,,,,,,,,,,,0.1,
402,星启石,11075,1498,1,[2],[21550],,,RegenRune,,RegenRune,1,0,3,3,0,800,0,11077,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
403,星辉石,11076,1499,1,[2],[21550],,,IlluRune,,IlluRune,1,0,3,3,0,800,0,11077,3,,11078,3,,11079,3,,,,,,,,,,,,,,,,,,,,,,0.1,
404,喷射钩爪,12006,1022,[6],"[1,2]","[21552,21550]",,,Hookshot,,Hookshot,1,0,3,3,0,800,0,11073,6,,11074,3,,11080,3,,11664,6,,,,,,,,,,,,,,,,,,,0.1,
405,氧气背包,12275,1023,[10],"[1,2]","[21516,21526]",,,Oxygenpack,,Oxygenpack,1,0,3,3,0,800,0,1048,2,,11329,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
406,火箭,13803,1502,1,[2],[21549],,,Spaceship,,Spaceship,1,0,3,3,0,800,0,411,5,,410,5,,132,1,,11310,5,,11664,10,,11911,2,,,,,,,,,,,,,0.1,
407,氧气豆,12582,1503,[4],[3],[21529],,,Oxyseed,,Oxyseed,2,0,3,3,0,800,0,12583,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
408,苍石灰木板,264,1504,1,[4],[2],,,GreyBoard,,GreyBoard,4,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
409,苍石灰薄板,574,1505,17,[4],[128],,,Genwoodstep,,Genwoodstep,16,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
410,苍石灰楼梯,575,1506,1,[4],[134],,,Genwoodstair,,Genwoodstair,32,0,3,3,0,800,0,11323,20,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
411,苍石灰围栏,576,1507,1,[4],[21534],,,Greyfence,,Greyfence,4,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
412,航空燃料,11096,1508,1,"[3,6]","[21530,21542]",,,Spaceshipfuel,,Spaceshipfuel,1,0,3,3,0,800,0,448,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
413,实验室门,1101,2509,1,[4],[21533],,,Labdoor,,Labdoor,1,0,3,3,0,800,0,11209,6,,116,6,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
414,镜冰,1102,2510,[10],[4],[21544],,,Spectularice,,Spectularice,1,0,3,3,0,800,0,430,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
415,冰灯,1103,2511,[3],[4],[21522],,,Icelamp,,Icelamp,1,0,3,3,0,800,0,430,4,,536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
416,花纹星能块,1104,2512,1,[6],[21543],,,HorasStarenergy,,HorasStarenergy,1,0,3,3,0,800,0,11664,10,,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
417,星能秘银块,1105,2513,1,[4],[21555],,,StarenergyMithsilverBlock,,StarenergyMithsilverBlock,2,0,3,3,0,800,0,11209,4,,11664,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
418,星能秘银板,1106,2514,1,[4],[21555],,,StarenergyMithsilverDeck,,StarenergyMithsilverDeck,2,0,3,3,0,800,0,11209,4,,11664,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
419,紫线秘银块,1107,2515,1,[4],[21555],,,NetherMithsilverBlock,,NetherMithsilverBlock,2,0,3,3,0,800,0,11209,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
420,厚秘银板,1108,2516,1,[4],[21555],,,NetherMithsilverdeck,,NetherMithsilverdeck,2,0,3,3,0,800,0,11209,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
421,镂空秘银板,1109,2517,1,[4],[21555],,,MithsilverSieve,,MithsilverSieve,2,0,3,3,0,800,0,11209,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
422,实验室灯,1110,2518,[3],[4],[21522],,,Lablamp,,Lablamp,1,0,3,3,0,800,0,412,1,,536,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
423,锈秘银门,1111,2519,1,[4],[21534],,,Rustdoor,,Rustdoor,1,0,3,3,0,800,0,11209,6,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
424,秘银丝网,1112,2520,1,[4],[21555],,,MithsilverNet,,MithsilverNet,4,0,3,3,0,800,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
425,竖纹秘银板,1113,2521,1,[4],[21555],,,Stripedeck,,Stripedeck,2,0,3,3,0,800,0,11209,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
426,锈秘银板,1114,2522,1,[4],[21555],,,Rustdeck,,Rustdeck,2,0,3,3,0,800,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
427,条纹锈秘银板,1115,2523,1,[4],[21555],,,Striperustdeck,,Striperustdeck,2,0,3,3,0,800,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
428,镂空锈秘银板,1116,2524,1,[4],[21555],,,Rustsieve,,Rustsieve,2,0,3,3,0,800,0,11209,4,,11049,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
429,星能锈秘银块,1117,2525,1,[4],[21555],,,RustStarenergyblock,,RustStarenergyblock,2,0,3,3,0,800,0,11209,4,,11664,2,,11049,1,,,,,,,,,,,,,,,,,,,,,,0.1,
430,荧光灯,1118,2526,[3],[4],[21522],,,Fluorescentlamp,,Fluorescentlamp,1,0,3,3,0,800,0,11209,2,,11318,1,,536,1,,,,,,,,,,,,,,,,,,,,,,0.1,
431,花纹秘银块,1119,2527,1,[4],[21555],,,PrintedMithsilver,,PrintedMithsilver,2,0,3,3,0,800,0,11209,4,,11504,1,,11507,1,,,,,,,,,,,,,,,,,,,,,,0.1,
432,旧秘银块,1120,2528,1,[4],[21555],,,WhiteOldMithsilver,,WhiteOldMithsilver,2,0,3,3,0,800,0,11209,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
433,信号发生器,1052,1529,1,[6],[21542],,,,,,1,0,3,3,0,800,0,11664,8,,11074,1,,116,4,,,,,,,,,,,,,,,,,,,,,,0.1,
434,信号接收器,1053,1530,1,[6],[21542],,,,,,1,0,3,3,0,800,0,11664,8,,11074,1,,116,4,,,,,,,,,,,,,,,,,,,,,,0.1,
435,信号解析器,1054,1532,1,[6],[21542],,,,,,1,0,3,3,0,800,0,11664,8,,11074,1,,11073,1,,116,4,,,,,,,,,,,,,,,,,,,0.1,
436,指令芯片,11809,1533,1,[6],[21542],,,,,,2,0,3,3,0,800,0,11074,1,,11079,1,,11664,2,,,,,,,,,,,,,,,,,,,,,,0.1,
437,变蛋枪,12587,1534,1,[2],[21550],,,EggGun,,EggGun,1,0,3,3,0,800,0,11074,4,,11073,4,,11664,1,,,,,,,,,,,,,,,,,,,,,,0.1,
438,变蛋枪子弹,12588,1535,1,[2],[21550],,,EggGunAmmo,,EggGunAmmo,4,0,3,3,0,800,0,11078,1,,116,1,,263,2,,,,,,,,,,,,,,,,,,,,,,0.1,
439,荧光弹弓,12589,2536,1,[2],[21550],,,Fluorescentslingshot,,Fluorescentslingshot,1,0,3,3,0,800,0,11323,4,,710,2,,11309,1,,,,,,,,,,,,,,,,,,,,,,0.1,
440,荧光弹,12590,1537,1,[2],[21550],,,FluorescentFlare,,FluorescentFlare,4,0,3,3,0,800,0,269,2,,116,1,,11079,1,,,,,,,,,,,,,,,,,,,,,,0.1,
441,荧光球,12591,1538,[8],[1],[21551],,,Fluorescentball1,,Fluorescentball1,4,0,3,3,0,800,0,269,1,,116,1,,11079,1,,,,,,,,,,,,,,,,,,,,,,0.1,
442,圆球爆弹,15506,2539,[9],[1],[21551],,,Roundbomb,,Roundbomb,1,0,3,3,0,800,0,11077,2,,11306,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
443,冰锥,15507,2540,[10],[1],[21551],,,FrostyDarts,,FrostyDarts,1,0,3,3,0,800,0,11078,2,,116,1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
444,熔岩球,15508,2541,[11],[1],[21551],,,LavaBall,,LavaBall,1,0,3,3,0,800,0,11079,2,,124,2,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
445,星光孢子种子,263,1545,[4],[3],[21529],,,HorasSporeSeed,,HorasSporeSeed,1,0,3,3,1,800,0,272,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
446,星瞳石块,449,1546,[10],[4],[21544],[6],,HorasCopperBlock,,HorasCopperBlock,1,0,3,3,0,800,0,11073,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
447,紫荧石块,450,1547,[10],[4],[21544],[6],,HorasGravitiBlock,,HorasGravitiBlock,1,0,3,3,0,800,0,11074,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,
448,星瞳石,11073,1548,1,[3],[21528],[4],,Horascopper,,Horascopper,10,0,3,3,0,800,0,449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
449,紫荧石,11074,1549,1,[3],[21528],[4],,Horasgraviti,,Horasgraviti,10,0,3,3,0,800,0,450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1
