id,特效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=烟雾 2=爆炸 3=光效 4=粒子 5=火焰 6=环境 7=提示）,特效类型（1=ent类型 2=emo类型 3=两者都有）,播放模式（1=循环播放，2=播放后结束，3=播放后停留）,播放时长（单位秒，对非循环生效）(弃用),特效路径,音效名称,图标名字
1374,item_12293_FPScharge,,0,1,4,3,1,10,item_12293_FPScharge,,particles08
1375,item_12293_FPSfreed,,0,1,4,3,2,10,item_12293_FPSfreed,,particles08
1376,item_12293_FPSpickup,,0,0,,3,,10,item_12293_FPSpickup,,
1377,item_12293_freed,,0,0,,3,,10,item_12293_freed,,
1378,item_12293_pickup,,0,0,,3,,10,item_12293_pickup,,
1379,item_12587,,0,0,,3,,10,item_12587,,
1380,item_12588_trigger,,0,0,,3,,10,item_12588_trigger,,
1381,item_12591_tail,,0,1,4,3,1,10,item_12591_tail,,particles08
1382,item_12591_trigger,,0,0,,3,,10,item_12591_trigger,,
1383,item_12829,,0,0,,3,,10,item_12829,,
1384,item_12830,,0,0,,3,,10,item_12830,,
1385,item_12837,,0,0,,3,,10,item_12837,,
1386,item_12838,,0,0,,3,,10,item_12838,,
1387,item_15000_1,,0,0,,3,,10,item_15000_1,,
1388,item_15002_1,,0,0,,3,,10,item_15002_1,,
1389,item_15003_1,,0,0,,3,,10,item_15003_1,,
1390,item_15003_2,,0,0,,3,,10,item_15003_2,,
1391,item_15004_1,,0,0,,3,,10,item_15004_1,,
1392,item_15004_2,,0,0,,3,,10,item_15004_2,,
1393,item_15005_1,,0,1,7,3,,10,item_15005_1,,particles05
1394,item_15007_1,未找到,0,0,,,,10,item_15007_1,,
1395,item_15055_1,,0,1,5,3,1,10,item_15055_1,,particles03
1396,item_15058_tail,,0,0,2,3,1,10,item_15058_tail,,particles04
1397,item_15059_tail,,0,0,3,3,1,10,item_15059_tail,,particles02
1398,item_15070_tail,未找到,0,0,,,,10,item_15070_tail,,
1399,item_15070_trigger,未找到,0,0,,,,10,item_15070_trigger,,
1400,item_15074_tail,未找到,0,0,,,,10,item_15074_tail,,
1401,item_15074_trigger,未找到,0,0,,,,10,item_15074_trigger,,
1402,item_15075_tail,未找到,0,0,,,,10,item_15075_tail,,
1403,item_15075_trigger,未找到,0,0,,,,10,item_15075_trigger,,
1404,item_15077_1,未找到,0,0,,,,10,item_15077_1,,
1405,item_15077_tail,未找到,0,0,,,,10,item_15077_tail,,
1406,item_15077_trigger,未找到,0,0,,,,10,item_15077_trigger,,
1407,item_15078_tail,未找到,0,0,,,,10,item_15078_tail,,
1408,item_15528,,0,0,,3,,10,item_15528,,
1409,item_huaban,,0,0,,3,,10,item_huaban,,
1410,item_jiguang,,0,0,,3,,10,item_jiguang,,
1411,item_qipao,,0,0,,3,,10,item_qipao,,
1412,item_xiee,,0,1,1,3,1,10,item_xiee,,particles01
1413,item_xieejiguang,,0,0,,3,,10,item_xieejiguang,,
1414,item_xiongkong,,0,1,6,3,1,10,item_xiongkong,,particles06
1415,item_yuwu,,0,0,,3,,10,item_yuwu,,
1416,item_zhishiqi,,0,0,,3,,10,item_zhishiqi,,
1417,item12057,,0,1,4,3,2,10,item12057,,particles08
1418,leg_left1,,0,0,,3,,10,leg_left1,,
1419,leg_left2,,0,0,,3,,10,leg_left2,,
1420,leg_left3,,0,0,,3,,10,leg_left3,,
1421,leg_right1,,0,0,,3,,10,leg_right1,,
1422,leg_right2,,0,0,,3,,10,leg_right2,,
1423,leg_right3,,0,0,,3,,10,leg_right3,,
1424,magic_fireball,,0,1,4,3,1,10,magic_fireball,,particles08
1425,magic_goldring,,0,1,6,3,1,10,magic_goldring,,particles06
1426,magic_hunter,,0,1,4,3,1,10,magic_hunter,,particles08
1427,magic_ignite,,0,1,5,3,1,10,magic_ignite,,particles03
1428,magic_impact,,0,0,,3,,10,magic_impact,,
1429,magic_lucky,,0,0,,3,,10,magic_lucky,,
1430,magic_purpleball,,0,1,4,3,1,10,magic_purpleball,,particles08
1431,magic_sharp,,0,0,,3,,10,magic_sharp,,
1432,magic_silverring,,0,0,,3,,10,magic_silverring,,
1433,magic_strong,,0,0,,3,,10,magic_strong,,
1434,mass_center,,0,0,,3,,10,mass_center,,
1435,mob_3102_1,,0,1,7,3,1,10,mob_3102_1,,particles05
1436,mob_3102_2,,0,0,,3,,10,mob_3102_2,,
1437,mob_3103_body,,0,1,3,3,1,10,mob_3103_body,,particles02
1438,mob_3103_magic,,0,1,4,3,1,10,mob_3103_magic,,particles08
1439,mob_3107_1,,0,0,,3,,10,mob_3107_1,,
1440,mob_3110_close,,0,0,,3,,10,mob_3110_close,,
1441,mob_3110_escape,,0,0,,3,,10,mob_3110_escape,,
1442,mob_3110_joint,,0,1,4,3,2,10,mob_3110_joint,,particles08
1443,mob_3110_talk_01,,0,0,,3,,10,mob_3110_talk_01,,
1444,mob_3110_talk_02,,0,0,,3,,10,mob_3110_talk_02,,
1445,mob_3110_talk_03,,0,0,,3,,10,mob_3110_talk_03,,
1446,mob_3111_attack,,0,0,,3,,10,mob_3111_attack,,
1447,mob_3112_charge,,0,1,4,3,1,10,mob_3112_charge,,particles08
1448,mob_3112_dizzy,,0,0,,3,,10,mob_3112_dizzy,,
1449,mob_3112_sprint,,0,1,5,3,1,10,mob_3112_sprint,,particles03
1450,mob_3113_split,,0,1,3,3,2,10,mob_3113_split,,particles02
1451,mob_3120,,0,0,,3,,10,mob_3120,,
1452,mob_3120_1,,0,0,,3,,10,mob_3120_1,,
1453,mob_3122,,0,0,,3,,10,mob_3122,,
1454,mob_3123,,0,0,,3,,10,mob_3123,,
1455,mob_3132_body,,0,0,,3,,10,mob_3132_body,,
1456,mob_3400_variation,,0,0,,3,,10,mob_3400_variation,,
1457,mob_3401_1,,0,0,,3,,10,mob_3401_1,,
1458,mob_3401_2,,0,0,,3,,10,mob_3401_2,,
1459,mob_3401_3,,0,0,,3,,10,mob_3401_3,,
1460,mob_3401_4,,0,0,,3,,10,mob_3401_4,,
1461,mob_3402_1,,0,0,,3,,10,mob_3402_1,,
1462,mob_3407_1,,0,0,,3,,10,mob_3407_1,,
1463,mob_3409_1,,0,0,,3,,10,mob_3409_1,,
1464,mob_3414_1,,0,0,,3,,10,mob_3414_1,,
1465,mob_3414_2,,0,1,7,3,1,10,mob_3414_2,,particles05
1466,mob_3414_3,,0,1,7,3,1,10,mob_3414_3,,particles05
1467,mob_3414_4,,0,0,,3,,10,mob_3414_4,,
1468,mob_3414_5,,0,1,3,3,1,10,mob_3414_5,,particles02
1469,mob_3417_1,未找到,0,0,,,,10,mob_3417_1,,
1470,mob_3418,,0,0,,3,,10,mob_3418,,
1471,mob_3419,,0,0,,3,,10,mob_3419,,
1472,mob_3421_jump,,0,1,1,3,2,10,mob_3421_jump,,particles01
1473,mob_3421_tired,,0,0,,3,,10,mob_3421_tired,,
1474,mob_3423_discover,,0,1,7,3,2,10,mob_3423_discover,,particles05
1475,mob_3424_scream,,0,1,7,3,2,10,mob_3424_scream,,particles05
1476,mob_3501_1,,0,1,4,3,2,10,mob_3501_1,,particles08
1477,mob_3505_1,,0,0,,3,,10,mob_3505_1,,
1478,mob_3507_1,,0,1,4,3,1,10,mob_3507_1,,particles08
1479,mob_3510_blue,,0,1,3,3,1,10,mob_3510_blue,,particles02
1480,mob_3510_death,,0,1,3,3,2,10,mob_3510_death,,particles02
1481,mob_3510_erjieyoudusty,,0,1,2,3,2,10,mob_3510_erjieyoudusty,,particles04
1482,mob_3510_red,,0,0,,3,,10,mob_3510_red,,
1483,mob_3510_white,,0,0,,3,,10,mob_3510_white,,
1484,mob_3510_youdusty,,0,0,,3,,10,mob_3510_youdusty,,
1485,mob_3510_zuodusty,,0,0,,3,,10,mob_3510_zuodusty,,
1486,mob_3511_chusheng,,0,1,3,3,2,10,mob_3511_chusheng,,particles02
1487,mob_3511_move,,0,0,,3,,10,mob_3511_move,,
1488,mob_3511_throwready,,0,0,,3,,10,mob_3511_throwready,,
1489,mob_3511_tranfergate_in,,0,0,,3,,10,mob_3511_tranfergate_in,,
1490,mob_3511_transfergate_out,,0,0,,3,,10,mob_3511_transfergate_out,,
1491,mob_3512_move,,0,1,4,3,1,10,mob_3512_move,,particles08
1492,mob_3512_throwready,,0,0,,3,,10,mob_3512_throwready,,
1493,mob_3513_crashready,,0,0,,3,,10,mob_3513_crashready,,
1494,mob_3513_move,,0,1,5,3,1,10,mob_3513_move,,particles03
1495,mob_3514_blue,,0,1,3,3,1,10,mob_3514_blue,,particles02
1496,mob_3514_bossshihou,,0,1,1,3,2,10,mob_3514_bossshihou,,particles01
1497,mob_3514_red,,0,1,3,3,1,10,mob_3514_red,,particles02
1498,mob_3514_white,,0,1,3,3,1,10,mob_3514_white,,particles02
1499,mob_3807,未找到,0,0,,,,10,mob_3807,,
1500,mob_100029_1,,0,0,,3,,10,mob_100029_1,,
1501,mob_100029_2,,0,0,,3,,10,mob_100029_2,,
1502,MobFear,,0,0,,3,,10,MobFear,,
1503,MobFull,,0,0,,3,,10,MobFull,,
1504,MobTreat,,0,1,1,3,2,10,MobTreat,,particles01
1505,monster_escape_1,,0,1,1,3,2,10,monster_escape_1,,particles01
1506,musicbox_1,,0,0,,3,,10,musicbox_1,,
1507,musicbox_2,,0,0,,3,,10,musicbox_2,,
1508,musicbox_3,,0,0,,3,,10,musicbox_3,,
1509,musicbox_4,,0,0,,3,,10,musicbox_4,,
1510,musicbox_5,,0,0,,3,,10,musicbox_5,,
1511,musicbox_6,,0,0,,3,,10,musicbox_6,,
1512,musicbox_7,,0,0,,3,,10,musicbox_7,,
1513,musicbox_8,,0,0,,3,,10,musicbox_8,,
1514,musicbox_9,,0,0,,3,,10,musicbox_9,,
1515,musicbox_10,,0,0,,3,,10,musicbox_10,,
1516,musicbox_11,,0,0,,3,,10,musicbox_11,,
1517,musicbox_12,,0,0,,3,,10,musicbox_12,,
1518,NPC_grayquestion,,0,1,7,3,1,10,NPC_grayquestion,,particles05
1519,NPC_task,,0,1,7,3,1,10,NPC_task,,particles05
1520,NPC_Yellquestion,,0,1,7,3,1,10,NPC_Yellquestion,,particles05
1521,NPCAI_hungry,,0,0,,3,,10,NPCAI_hungry,,
1522,NPCAI_make,,0,0,,3,,10,NPCAI_make,,
1523,NPCAI_need,,0,0,,3,,10,NPCAI_need,,
1524,offgas,,0,1,4,3,1,10,offgas,,particles08
1525,oil_papaw,,0,0,,3,,10,oil_papaw,,
1526,oil_slops,,0,0,,3,,10,oil_slops,,
1527,ongas,,0,0,,3,,10,ongas,,
1528,ongas_ready,,0,1,1,3,1,10,ongas_ready,,particles01
1529,phy_Collision,,0,0,,3,,10,phy_Collision,,
1530,phy_DriveDirection,,0,0,,3,,10,phy_DriveDirection,,
1531,phy_SteeringRange,,0,0,,3,,10,phy_SteeringRange,,
1532,phy_WheelTravel1,,0,0,,3,,10,phy_WheelTravel1,,
1533,phy_WheelTravel2,,0,0,,3,,10,phy_WheelTravel2,,
1534,phy_WheelTravel3,,0,0,,3,,10,phy_WheelTravel3,,
1535,plant_levelup_1,,0,1,2,3,2,10,plant_levelup_1,,particles04
1536,portal,,0,0,,3,,10,portal,,
1537,portal_1,,0,0,,3,,10,portal_1,,
1538,portal_boom,,0,0,,1,,10,portal_boom,,
1539,portal_feedback,,0,0,,3,,10,portal_feedback,,
1540,ReadyPoint,,0,0,,3,,10,ReadyPoint,,
1541,red_candle,,0,0,,3,,10,red_candle,,
1542,Ribbon,,0,0,,3,,10,Ribbon,,
1543,Ribbon_1,,0,0,,3,,10,Ribbon_1,,
1544,Ribbon_2,,0,0,,3,,10,Ribbon_2,,
1545,Ribbon_h,,0,0,,3,,10,Ribbon_h,,
1546,rocket_boom,,0,0,,3,,10,rocket_boom,,
1547,rocket_cue,,0,0,,3,,10,rocket_cue,,
1548,rocket_prompt,,0,0,,3,,10,rocket_prompt,,
1549,rocket_ready,,0,1,3,3,2,10,rocket_ready,,particles02
1550,rocket_speed,,0,1,1,3,2,10,rocket_speed,,particles01
1551,rockets_moke,,0,1,1,3,1,10,rockets_moke,,particles01
1552,role_collect,,0,0,,3,,10,role_collect,,
1553,role_deadprotect,,0,0,,3,,10,role_deadprotect,,
1554,role_jump,,0,0,,3,,10,role_jump,,
1555,scene_halo,,0,1,3,3,1,10,scene_halo,,particles02
1556,shin_8_back,,0,0,,3,,10,shin_8_back,,
1557,shop_unlock,,0,0,,3,,10,shop_unlock,,
1558,skill_frenzy,,0,1,4,3,1,10,skill_frenzy,,particles08
1559,slingshot_hit,,0,0,,3,,10,slingshot_hit,,
1560,snow,,0,0,,3,,10,snow,,
1561,snowhit,,0,0,,3,,10,snowhit,,
1562,star,,0,0,,3,,10,star,,
1563,stone_monum,,0,0,,3,,10,stone_monum,,
1564,teleport_active,,0,0,,3,,10,teleport_active,,
1565,teleport_on,,0,1,3,3,1,10,teleport_on,,particles02
1566,teleport_transfer,,0,1,3,3,2,10,teleport_transfer,,particles02
1567,trophy,,0,0,,3,,10,trophy,,
1568,TS_cp,,0,0,,3,,10,TS_cp,,
1569,TS_gz,,0,1,7,3,1,10,TS_gz,,particles05
1570,ui_fenshu,,0,0,,3,,10,ui_fenshu,,
1571,ui_fenshu2,,0,0,,3,,10,ui_fenshu2,,
1572,ui_love_100,,0,0,3,3,1,10,ui_love_100,,particles02
1573,ui_love_dacheng,,0,0,7,3,2,10,ui_love_dacheng,,particles05
1574,ui_love_dianji,,0,0,,3,,10,ui_love_dianji,,
1575,ui_love_dongtai,,0,0,,3,,10,ui_love_dongtai,,
1576,ui_love_jindu,,0,0,,3,,10,ui_love_jindu,,
1577,ui_love_tuo,,0,0,,3,,10,ui_love_tuo,,
1578,ui_love_xiao,,0,0,,1,,10,ui_love_xiao,,
1579,xiangsu,,0,0,,3,,10,xiangsu,,
1580,BUFF_HAMSTER_1,,0,0,,3,,10,BUFF_HAMSTER_1,,
1581,horse_4502,,0,0,3,2,1,10,horse_4502,,
1582,horse_4503,,0,0,3,2,1,10,horse_4503,,particles08
1583,horse_4503,,0,0,3,2,1,10,horse_4503,,particles03
1584,BUFF_BLEED,,0,0,2,2,1,10,BUFF_BLEED,,
1585,buff_poisoning_home,,0,0,2,2,1,10,buff_poisoning_home,,
1586,buff_cold_home,,0,0,2,2,1,10,buff_cold_home,,
1587,mob_100068_hd2,,0,0,,2,1,10,mob_100068_hd2,,
1588,mob_100068_hd,,0,0,,2,1,10,mob_100068_hd,,
1589,hikari_power,,0,0,3,2,1,10,hikari_power,,
1590,Bubble128,,0,0,3,2,2,10,Bubble128,,
1591,baihu_1,,0,1,7,3,2,10,baihu_1,,particles05
1592,box,,0,1,7,3,2,10,box,,particles05
1593,chanrao,,0,1,7,3,2,10,chanrao,,particles05
1594,fangyu_up,,0,1,7,3,1,10,fangyu_up,,particles05
1595,fenghuang_1,,0,1,7,3,2,10,fenghuang_1,,particles05
1596,gongjili_up,,0,1,7,3,1,10,gongjili_up,,particles05
1597,guishou,,0,1,7,3,2,10,guishou,,particles05
1598,hunji,,0,1,7,3,2,10,hunji,,particles05
1599,lanlingcao_1,,0,1,7,3,2,10,lanlingcao_1,,particles05
1600,lingmao_1,,0,1,7,3,2,10,lingmao_1,,particles05
1601,miaozhun,,0,1,7,3,2,10,miaozhun,,particles05
1602,rougutu_1,,0,1,7,3,2,10,rougutu_1,,particles05
1603,shemao,,0,1,7,3,2,10,shemao,,particles05
1604,yujing_fang,,0,1,7,3,1,10,yujing_fang,,particles05
1605,yujing_yuan,,0,1,7,3,1,10,yujing_yuan,,particles05
1606,dl_black,,0,1,7,3,2,10,dl_black,,particles05
1607,dl_golden,,0,1,7,3,2,10,dl_golden,,particles05
1608,dl_gules,,0,1,7,3,2,10,dl_gules,,particles05
1609,dl_purple,,0,1,7,3,2,10,dl_purple,,particles05
1610,dl_white,,0,1,7,3,2,10,dl_white,,particles05
1611,dl_yellow,,0,1,7,3,2,10,dl_yellow,,particles05
1612,BUFF_Paralysis,神经麻痹buff,0,0,4,2,1,10,BUFF_Paralysis,,
1613,BUFF_HighlyVenom,剧毒buff,0,0,1,2,1,10,HighlyVenom,,
1614,mob_3407_2,狐狸饥饿眼睛特效,0,0,,2,,10,mob_3407_2,,
1615,aotu_shan,,0,1,7,3,2,10,aotu_shan,,particles05
1616,aotu_kongzhi,,0,1,6,3,2,10,aotu_kongzhi,,particles05
1617,aotu_shouji,,0,1,3,3,2,10,aotu_shouji,,particles05
1618,aotu_gunzi,,0,1,2,3,2,10,aotu_gunzi,,particles05
1619,aotu_zadi,,0,1,2,3,2,10,aotu_zadi,,particles05
1620,aotu_06_leishenzhichui,,0,1,2,3,2,10,aotu_06_leishenzhichui,,particles05
1621,aotu_07_xuanfeng,,0,1,4,3,2,10,aotu_07_xuanfeng,,particles05
1622,aotu_08_shuangjianhebi,,0,1,7,3,2,10,aotu_08_shuangjianhebi,,particles05
1623,aotu_09_hanbingjingu,,0,1,7,3,2,10,aotu_09_hanbingjingu,,particles05
1624,aotu_dao,,0,1,3,3,2,10,aotu_dao,,particles05
1625,aotu_xuan,,0,1,3,3,2,10,aotu_xuan,,particles05
1626,aotu_shouji_g,,0,1,4,3,2,10,aotu_shouji_g,,particles05
1627,aotu_sa,,0,1,3,3,2,10,aotu_sa,,particles05
1628,aotu_boss,,0,1,3,3,2,10,aotu_boss,,particles05
1629,aotu_guang,,0,1,3,3,2,10,aotu_guang,,particles05
1630,海灵变身,海灵变身石,0,0,3,2,2,10,sea_01_bianshen,,particles02
1631,突发恶疾,突发恶疾特效,0,0,4,3,1,10,sea_10_buff,,particles06
1632,1036_1,,0,0,7,3,1,10,1036_1,,
1633,110083_1,,0,0,7,3,1,10,110083_1,,
1634,110083_2,,0,0,7,3,1,10,110083_2,,
1635,110086_angry,,0,0,7,3,1,10,110086_angry,,
1636,110086_cry,,0,0,7,3,1,10,110086_cry,,
1637,110086_doubt,,0,0,7,3,1,10,110086_doubt,,
1638,110086_happy,,0,0,7,3,1,10,110086_happy,,
1639,110086_sing,,0,0,7,3,1,10,110086_sing,,
1640,140006,,0,0,7,3,1,10,140006,,
1641,140016_1,,0,0,7,3,1,10,140016_1,,
1642,140016_2,,0,0,7,3,1,10,140016_2,,
1643,140016_3,,0,0,7,3,1,10,140016_3,,
1644,140026_3,,0,0,7,3,1,10,140026_3,,
1645,140203_3,,0,0,7,3,1,10,140203_3,,
1646,150051_3,,0,0,7,3,1,10,150051_3,,
1647,150063_3,,0,0,7,3,1,10,150063_3,,
1648,attack131,,0,0,7,3,1,10,attack131,,
1649,baoxiang,,0,0,7,3,1,10,baoxiang,,
1650,Bomb103,,0,0,7,3,1,10,Bomb103,,
1651,boss_10069_st,,0,0,7,3,1,10,boss_10069_st,,
1652,boss_10069_zd,,0,0,7,3,1,10,boss_10069_zd,,
1653,chongfeng,,0,1,5,3,1,10,chongfeng,,particles03
1654,cloud94,,0,0,7,3,1,10,cloud94,,
1655,crab_smoking1,,0,0,7,3,1,10,crab_smoking1,,
1656,crab_smoking2,,0,0,7,3,1,10,crab_smoking2,,
1657,daodan,,0,1,1,3,2,10,daodan,,particles01
1658,duquan,,0,1,4,3,2,10,duquan,,particles08
1659,EditorMode_obj,,0,0,7,3,1,10,EditorMode_obj,,
1660,exp,,0,0,7,3,1,10,exp,,
1661,gun_smoke,,0,0,7,3,1,10,gun_smoke,,
1662,homeland_accelerate_1,,0,0,7,3,1,10,homeland_accelerate_1,,
1663,homeland_accelerate_2,,0,0,7,3,1,10,homeland_accelerate_2,,
1664,homeland_accelerate_3,,0,0,7,3,1,10,homeland_accelerate_3,,
1665,horse_3460_ready,,0,0,7,3,1,10,horse_3460_ready,,
1666,horse_3477_0,,0,0,7,3,1,10,horse_3477_0,,
1667,horse_4556_3,,0,0,7,3,1,10,horse_4556_3,,
1668,hudun,,0,1,3,3,1,10,hudun,,particles05
1669,item_18_ light,,0,0,7,3,1,10,item_18_ light,,
1670,item_749,,0,0,7,3,1,10,item_749,,
1671,item_12006_use,,0,0,7,3,1,10,item_12006_use,,
1672,item_12009_4,,0,0,7,3,1,10,item_12009_4,,
1673,item_12010_4,,0,0,7,3,1,10,item_12010_4,,
1674,item_12311_attack,,0,0,7,3,1,10,item_12311_attack,,
1675,item_12311_charge,,0,0,7,3,1,10,item_12311_charge,,
1676,item_12836,,0,0,7,3,1,10,item_12836,,
1677,item_15006_1,,0,0,7,3,1,10,item_15006_1,,
1678,item_15060_tail,,0,0,7,3,1,10,item_15060_tail,,
1679,item_15060_trigger,,0,0,7,3,1,10,item_15060_trigger,,
1680,item_15064_tail,,0,0,7,3,1,10,item_15064_tail,,
1681,item_15064_trigger,,0,0,7,3,1,10,item_15064_trigger,,
1682,item_15065_tail,,0,0,7,3,1,10,item_15065_tail,,
1683,item_15065_trigger,,0,0,7,3,1,10,item_15065_trigger,,
1684,item_15066_1,,0,0,7,3,1,10,item_15066_1,,
1685,item_15066_tail,,0,0,7,3,1,10,item_15066_tail,,
1686,item_15067_tail,,0,0,7,3,1,10,item_15067_tail,,
1687,item_15067_trigger,,0,0,7,3,1,10,item_15067_trigger,,
1688,item_15068_tail,,0,0,7,3,1,10,item_15068_tail,,
1689,item_altar_diqiu,,0,0,7,3,1,10,item_altar_diqiu,,
1690,item_altar_dj,,0,0,7,3,1,10,item_altar_dj,,
1691,item_altar_shijuren,,0,0,7,3,1,10,item_altar_shijuren,,
1692,item_boss_fw,,0,0,7,3,1,10,item_boss_fw,,
1693,item_boss_fw2,,0,0,7,3,1,10,item_boss_fw2,,
1694,item_faguang,,0,0,7,3,1,10,item_faguang,,
1695,item_key_diqiu,,0,0,7,3,1,10,item_key_diqiu,,
1696,item_key_dj,,0,0,7,3,1,10,item_key_dj,,
1697,item_key_djf,,0,0,7,3,1,10,item_key_djf,,
1698,item_key_shijuren,,0,0,7,3,1,10,item_key_shijuren,,
1699,item_xingzhan,,0,0,7,3,1,10,item_xingzhan,,
1700,jianta,,0,1,2,3,2,10,jianta,,particles04
1701,jiguang01,,0,1,3,3,2,10,jiguang01,,particles05
1702,jiguang02,,0,1,3,3,1,10,jiguang02,,particles05
1703,Light119,,0,0,7,3,1,10,Light119,,
1704,Light144,,0,0,7,3,1,10,Light144,,
1705,longzhua,,0,1,3,3,3,10,longzhua,,particles05
1706,Lvup,,0,0,7,3,1,10,Lvup,,
1707,Magic119,,0,0,7,3,1,10,Magic119,,
1708,miniclud_dj,,0,0,7,3,1,10,miniclud_dj,,
1709,mob_3416_1,,0,0,7,3,1,10,mob_3416_1,,
1710,mob_3806,,0,0,7,3,1,10,mob_3806,,
1711,music01,,0,0,7,3,1,10,music01,,
1712,music02,,0,0,7,3,1,10,music02,,
1713,Oscillator,,0,0,7,3,1,10,Oscillator,,
1714,paoxiao,,0,1,2,3,2,10,paoxiao,,particles04
1715,portal_blue,,0,0,7,3,1,10,portal_blue,,
1716,portal_huang,,0,0,7,3,1,10,portal_huang,,
1717,portal_jin,,0,0,7,3,1,10,portal_jin,,
1718,portal_lan,,0,0,7,3,1,10,portal_lan,,
1719,portal_lv,,0,0,7,3,1,10,portal_lv,,
1720,portal_orange,,0,0,7,3,1,10,portal_orange,,
1721,pumpkin_fireworks1,,0,0,7,3,1,10,pumpkin_fireworks1,,
1722,pumpkin_fireworks2,,0,0,7,3,1,10,pumpkin_fireworks2,,
1723,qishe,,0,1,2,3,1,10,qishe,,particles04
1724,Rabbit144,,0,0,7,3,1,10,Rabbit144,,
1725,sandworm_growl,,0,0,7,3,1,10,sandworm_growl,,
1726,sea_08_penshui,,0,0,7,3,1,10,sea_08_penshui,,
1727,sea_12_glow,,0,0,7,3,1,10,sea_12_glow,,
1728,sea_13_glow,,0,0,7,3,1,10,sea_13_glow,,
1729,sea_21_piao,,0,0,7,3,1,10,sea_21_piao,,
1730,sea_23_shuimu,,0,0,7,3,1,10,sea_23_shuimu,,
1731,sea_27_chushui,,0,0,7,3,1,10,sea_27_chushui,,
1732,sea_28_rushui,,0,0,7,3,1,10,sea_28_rushui,,
1733,sea_29_bowen,,0,0,7,3,1,10,sea_29_bowen,,
1734,sea_30_siyao,,0,0,7,3,1,10,sea_30_siyao,,
1735,sea_32_xingshi,,0,0,7,3,1,10,sea_32_xingshi,,
1736,sea_36_shuihua,,0,0,7,3,1,10,sea_36_shuihua,,
1737,shamo_001_x,,0,0,7,3,1,10,shamo_001_x,,
1738,shengji,,0,1,7,3,2,10,shengji,,particles05
1739,shop_unlock_01,,0,0,7,3,1,10,shop_unlock_01,,
1740,shop_unlock_02,,0,0,7,3,1,10,shop_unlock_02,,
1741,shop_unlock_03,,0,0,7,3,1,10,shop_unlock_03,,
1742,shop_unlock_04,,0,0,7,3,1,10,shop_unlock_04,,
1743,shouhuo,,0,0,7,3,1,10,shouhuo,,
1744,shuaiwei,,0,1,1,3,2,10,shuaiwei,,particles05
1745,Snow162,,0,0,7,3,1,10,Snow162,,
1746,stone_monument,,0,0,7,3,1,10,stone_monument,,
1747,tuijinqi,,0,0,7,3,1,10,tuijinqi,,
1748,ui_home_jt,,0,0,7,3,1,10,ui_home_jt,,
1749,ui_ui_love_xiao,,0,0,7,3,1,10,ui_ui_love_xiao,,
1750,visualizer,,0,0,7,3,1,10,visualizer,,
1751,Voice108,,0,0,7,3,1,10,Voice108,,
1752,xuanfeng,,0,1,4,3,1,10,xuanfeng,,particles08
1753,yidong2,,0,0,7,3,1,10,yidong2,,
1754,zaohuo,,0,0,7,3,1,10,zaohuo,,
1755,zhangpeng,,0,0,7,3,1,10,zhangpeng,,
1756,100069_xuanyun,,0,0,7,2,2,10,100069_xuanyun,,
1757,110035_giow,,0,0,7,2,2,10,110035_giow,,
1758,110099_2,,0,0,7,2,2,10,110099_2,,
1759,110126_1,,0,0,7,2,2,10,110126_1,,
1760,110129_2,,0,0,7,2,2,10,110129_2,,
1761,110130_2,,0,0,7,2,2,10,110130_2,,
1762,110131_2,,0,0,7,2,2,10,110131_2,,
1763,110138_1,,0,0,7,2,2,10,110138_1,,
1764,110143_2,,0,0,7,2,2,10,110143_2,,
1765,140020_2,,0,0,7,2,2,10,140020_2,,
1766,140025_1,,0,0,7,2,2,10,140025_1,,
1767,140046_1,,0,0,7,2,2,10,140046_1,,
1768,140046_2,,0,0,7,2,2,10,140046_2,,
1769,140047_1,,0,0,7,2,2,10,140047_1,,
1770,140048_1,,0,0,7,2,2,10,140048_1,,
1771,140049_1,,0,0,7,2,2,10,140049_1,,
1772,140050_1,,0,0,7,2,2,10,140050_1,,
1773,140050_2,,0,0,7,2,2,10,140050_2,,
1774,140051_1,,0,0,7,2,2,10,140051_1,,
1775,140052_1,,0,0,7,2,2,10,140052_1,,
1776,140053_1,,0,0,7,2,2,10,140053_1,,
1777,140054_1,,0,0,7,2,2,10,140054_1,,
1778,140054_2,,0,0,7,2,2,10,140054_2,,
1779,140055_1,,0,0,7,2,2,10,140055_1,,
1780,140056_1,,0,0,7,2,2,10,140056_1,,
1781,140057_1,,0,0,7,2,2,10,140057_1,,
1782,140057_2,,0,0,7,2,2,10,140057_2,,
1783,140058_1,,0,0,7,2,2,10,140058_1,,
1784,彩虹条带,,0,0,7,2,2,10,140058_2,,particles03
1785,140059_1,,0,0,7,2,2,10,140059_1,,
1786,140059_2,,0,0,7,2,2,10,140059_2,,
1787,140060_1,,0,0,7,2,2,10,140060_1,,
1788,140060_2,,0,0,7,2,2,10,140060_2,,
1789,140061_1,,0,0,7,2,2,10,140061_1,,
1790,140064_1,,0,0,7,2,2,10,140064_1,,
1791,140065_1,,0,0,7,2,2,10,140065_1,,
1792,140066_1,,0,0,7,2,2,10,140066_1,,
1793,140067_1,,0,0,7,2,2,10,140067_1,,
1794,140067_2,,0,0,7,2,2,10,140067_2,,
