函数ID,名称,返回类型【类型（parm表可查），区分左右值（0=左右值|1=仅右值），局部触发器中是否显示（1=显示（默认）|0=隐藏）】,返回类型名称,UI分类,UI显示类型名称,描述,描述备注,参数1,参数1默认值,参数2,参数2默认值,参数3,参数3默认值,参数4,参数4默认值,参数5,参数5默认值,参数6,参数6默认值,参数7,参数7默认值,参数8,参数8默认值,参数9,参数9默认值,参数10,参数10默认值,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,触发器提示版本号（填写版本号的第二位）
90001,掉落物的位置,"1002,0",位置,9,道具,@1|的位置,【掉落物】的位置,"1030,1",,,,,,,,,,,,,,,,,,,,0,
90002,掉落物的数量,"1005,1",数值,9,道具,@1|的数量,【掉落物】的数量,"1030,1",,,,,,,,,,,,,,,,,,,,0,
90003,玩家背包发生改变的道具的数量,"1005,1",数值,9,道具,玩家背包发生改变的道具的数量,玩家背包发生改变的道具的数量,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,0,
90004,道具的类型名,"1010,1",字符串,9,道具,@1|的类型名,【道具类型】的类型名,"1028,1",,,,,,,,,,,,,,,,,,,,0,
90005,类型判断,"1014,1",布尔值,9,道具,@1||@2||@3,【道具类型】【是否】【道具类型】,"1028,1",,"1012,1",5|90001,"1028,1",,,,,,,,,,,,,,,,0,
90006,掉落物处于区域判断,"1014,1",布尔值,9,道具,@1||@2|处于|@3|中,【掉落物】【是否】处于【区域】中,"1030,1",,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,
90007,投掷物处于区域判断,"1014,1",布尔值,9,道具,@1||@2|处于|@3|中,【投掷物】【是否】处于【区域】中,"1044,1",,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,
90008,掉落物的类型,"1028,1",道具类型,9,道具,@1|的类型,【掉落物】的类型,"1030,1",,,,,,,,,,,,,,,,,,,,0,
90009,道具类型,"1053,1",任意值,9,道具,|@1,【道具类型】,"1028,1",,,,,,,,,,,,,,,,,,,,,
90012,道具类型组,"1061,1",任意组,9,道具,|@1,【道具类型组】,"1068,1",,,,,,,,,,,,,,,,,,,,,0
90013,随机道具类型,"1028,1",道具类型,9,道具,随机道具类型,随机道具类型,,,,,,,,,,,,,,,,,,,,,,2
100001,当前全局天气模式,"1000,1",天气,10,世界,获取当前全局天气模式,获取当前天气类型,,,,,,,,,,,,,,,,,,,,,0,
100002,位置与位置的距离,"1005,1",数值,10,世界,@1|与|@2|的距离,【位置】与【位置】的距离,"1002,1",,"1002,1",,,,,,,,,,,,,,,,,,0,
100003,天气类型比较,"1014,1",布尔值,10,世界,@1||@2||@3,【天气】【是否】【天气】,"1000,1",3|100001,"1012,1",5|90001,"1000,1",,,,,,,,,,,,,,,,0,
100004,方块类型比较,"1014,1",布尔值,10,世界,@1||@2||@3,【方块类型】【是否】【方块类型】,"1025,1",3|100007,"1012,1",5|90001,"1025,1",,,,,,,,,,,,,,,,0,
100005,方块的开关状态,"1014,1",布尔值,10,世界,@1|的方块的开关状态,【位置】的方块的开关状态,"1002,1",,,,,,,,,,,,,,,,,,,,0,
100006,位置处于区域判断,"1014,1",布尔值,10,世界,@1||@2|处于|@3|中,【位置】【是否】处于【区域】中,"1002,1",,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,
100007,指定位置的方块类型,"1025,1",方块类型,10,世界,@1|的方块类型,【位置】的方块类型,"1002,1",,,,,,,,,,,,,,,,,,,,0,
100008,位置到位置的方向,"1047,1",方向,10,世界,@1|到|@2|的方向,【位置】到【位置】的方向,"1002,1",,"1002,1",,,,,,,,,,,,,,,,,,0,
100009,绝对三轴坐标方向,"1047,1",方向,10,世界,X|@1|，Y|@2|，Z|@3|的方向,X【数值】，Y【数值】，Z【数值】的方向,"1005,1",,"1005,1",,"1005,1",,,,,,,,,,,,,,,,0,
100010,绝对球坐标方向,"1047,1",方向,10,世界,方位角|@1|，仰角|@2|的方向,方位角【数值】，仰角【数值】的方向,"1005,1",,"1005,1",,,,,,,,,,,,,,,,,,0,
100011,位置,"1053,1",任意值,10,世界,|@1,【位置】,"1002,1",,,,,,,,,,,,,,,,,,,,,
100012,区域,"1053,1",任意值,10,世界,|@1,【区域】,"1001,1",,,,,,,,,,,,,,,,,,,,,
100013,计时器,"1053,1",任意值,10,世界,|@1,【计时器】,"1040,1",,,,,,,,,,,,,,,,,,,,,
100014,位置组,"1061,1",任意组,10,世界,|@1,【位置组】,"1062,1",,,,,,,,,,,,,,,,,,,,,0
100015,区域组,"1061,1",任意组,10,世界,|@1,【区域组】,"1063,1",,,,,,,,,,,,,,,,,,,,,0
100016,计时器组,"1061,1",任意组,10,世界,|@1,【计时器组】,"1070,1",,,,,,,,,,,,,,,,,,,,,0
100017,随机天气,"1000,1",天气,10,世界,随机天气,随机天气,,,,,,,,,,,,,,,,,,,,,,2
100018,地形组的天气,"1000,1",天气,10,世界,@1|的天气,【地形组】的天气,"1137,1",6|990001,,,,,,,,,,,,,,,,,,,,
110001,指定玩家的载具,"1031,1",生物,11,载具,@1|的载具,【玩家】的载具,"1018,1",6|250001,,,,,,,,,,,,,,,,,,,0,
120001,随机特效类型,"1045,1",特效,12,特效,随机的特效类型,随机的特效类型,,,,,,,,,,,,,,,,,,,,,0,
120002,特效类型,"1053,1",任意值,12,特效,|@1,【特效类型】,"1045,1",,,,,,,,,,,,,,,,,,,,,
120003,特效类型组,"1061,1",任意组,12,特效,|@1,【特效类型组】,"1071,1",,,,,,,,,,,,,,,,,,,,,0
130001,获取当前播放广告位的名字,"1010,1,0",字符串,13,播放,获取当前播放广告位的名字,获取当前播放广告位的名字,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,1,
140001,方块类型,"1053,1",任意值,14,方块,|@1,【方块类型】,"1025,1",,,,,,,,,,,,,,,,,,,,,
140002,方块类型组,"1061,1",任意组,14,方块,|@1,【方块类型组】,"1067,1",,,,,,,,,,,,,,,,,,,,,0
150001,文字板,"1057,1",图文信息,15,图文信息,文字内容为|@1|的文字板，字体大小为|@2|，底板不透明度为|@3|%，编号为|@4,文字内容为【字符串】的文字板，字体大小为【数值】，底板不透明度为【数值】%，编号为【数值】,"1010,1,1",,"1005,1,1",1|16,"1005,1,1",1|0,"1005,1",1|1,,,,,,,,,,,,,,
150002,漂浮文字,"1057,1",图文信息,15,图文信息,文字内容为|@1|的漂浮文字，字体大小为|@2|，编号为|@3,文字内容为【字符串】的漂浮文字，字体大小为【数值】，编号为【数值】,"1010,1",,"1005,1",1|16,"1005,1",1|1,,,,,,,,,,,,,,,,
150003,进度条,"1057,1",图文信息,15,图文信息,当前值|@1|，最大值|@2|的进度条，进度条颜色为|@3|，编号为|@4,当前值【数值】，最大值【数值】的进度条，进度条颜色为【颜色】，编号为【数值】,"1005,1,1",1|100,"1005,1,1",1|100,"1056,1",1|0xFFFFFF,"1005,1",1|1,,,,,,,,,,,,,,
150004,指向对象的箭头,"1057,1",图文信息,15,图文信息,指向|@1|， 箭头大小为|@2|，颜色为|@3|，编号为|@4,指向【对象】， 箭头大小为【数值】，颜色为【颜色】，编号为【数值】,"1048,1",,"1005,1",1|1,"1056,1",1|0xff0000,"1005,1",1|1,,,,,,,,,,,,,,0
150005,指向位置的箭头,"1057,1",图文信息,15,图文信息,指向|@1|， 箭头大小为|@2|，颜色为|@3|，编号为|@4,指向【位置】， 箭头大小为【数值】，颜色为【颜色】，编号为【数值】,"1002,1",,"1005,1",1|1,"1056,1",1|0xff0000,"1005,1",1|1,,,,,,,,,,,,,,0
150006,指向对象的引导面,"1057,1",图文信息,15,图文信息,指向|@1|， 引导面大小为|@2|，颜色为|@3|，编号为|@4,指向【对象】， 引导面大小为【数值】，颜色为【颜色】，编号为【数值】,"1048,1",,"1005,1",1|1,"1056,1",1|0xff0000,"1005,1",1|1,,,,,,,,,,,,,,0
150007,指向位置的引导面,"1057,1",图文信息,15,图文信息,指向|@1|， 引导面大小为|@2|，颜色为|@3|，编号为|@4,指向【位置】， 引导面大小为【数值】，颜色为【颜色】，编号为【数值】,"1002,1",,"1005,1",1|1,"1056,1",1|0xff0000,"1005,1",1|1,,,,,,,,,,,,,,0
150008,指向对象的引导线,"1057,1",图文信息,15,图文信息,指向|@1|， 引导线大小为|@2|，颜色为|@3|，编号为|@4,指向【对象】， 引导线大小为【数值】，颜色为【颜色】，编号为【数值】,"1048,1",,"1005,1",1|1,"1056,1",1|0xff0000,"1005,1",1|1,,,,,,,,,,,,,,0
150009,指向位置的引导线,"1057,1",图文信息,15,图文信息,指向|@1|， 引导线大小为|@2|，颜色为|@3|，编号为|@4,指向【位置】， 引导线大小为【数值】，颜色为【颜色】，编号为【数值】,"1002,1",,"1005,1",1|1,"1056,1",1|0xff0000,"1005,1",1|1,,,,,,,,,,,,,,0
160001,随机颜色,"1056,1",颜色,16,颜色,随机颜色,随机颜色,,,,,,,,,,,,,,,,,,,,,,
170001,位置组中指定编号的位置,"1002,0",位置,17,位置组,@1|中编号为|@2|的位置,【位置组】中编号为【数值】的位置,"1062,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
170002,位置组中的随机位置,"1002,1",位置,17,位置组,@1|中的随机位置,【位置组】中的随机位置,"1062,1",,,,,,,,,,,,,,,,,,,,,0
180001,区域组中指定编号的区域,"1001,0",区域,18,区域组,@1|中编号为|@2|的区域,【区域组】中编号为【数值】的区域,"1063,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
180002,区域组中的随机区域,"1001,1",区域,18,区域组,@1|中的随机区域,【区域组】中的随机区域,"1063,1",,,,,,,,,,,,,,,,,,,,,0
190001,数值组中指定编号的数值,"1005,0",数值,19,数值组,@1|中编号为|@2|的数值,【数值组】中编号为【数值】的数值,"1064,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
190002,数值组中的随机数值,"1005,1",数值,19,数值组,@1|中的随机数值,【数值组】中的随机数值,"1064,1",,,,,,,,,,,,,,,,,,,,,0
190003,获取数值组中的最大值,"1005,1",数值,19,数值组,获取|@1|中的最大值,获取【数值组】中的最大值,"1064,1",,,,,,,,,,,,,,,,,,,,,0
190004,获取数值组中的最小值,"1005,1",数值,19,数值组,获取|@1|中的最小值,获取【数值组】中的最小值,"1064,1",,,,,,,,,,,,,,,,,,,,,
200001,字符串组中指定编号的字符串,"1010,0",字符串,20,字符串组,@1|中编号为|@2|的字符串,【字符串组】中编号为【数值】的字符串,"1065,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
200002,字符串组中的随机字符串,"1010,1",字符串,20,字符串组,@1|中的随机字符串,【字符串组】中的随机字符串,"1065,1",,,,,,,,,,,,,,,,,,,,,0
210001,布尔值组中指定编号的布尔值,"1014,0",布尔值,21,布尔值组,@1|中编号为|@2|的布尔值,【布尔值组】中编号为【数值】的布尔值,"1066,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
210002,布尔值组中的随机布尔值,"1014,1",布尔值,21,布尔值组,@1|中的随机布尔值,【布尔值组】中的随机布尔值,"1066,1",,,,,,,,,,,,,,,,,,,,,0
220001,方块类型组中指定编号的方块类型,"1025,0",方块类型,22,方块类型组,@1|中编号为|@2|的方块类型,【方块类型组】中编号为【数值】的方块类型,"1067,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
220002,方块类型组中的随机方块类型,"1025,1",方块类型,22,方块类型组,@1|中的随机方块类型,【方块类型组】中的随机方块类型,"1067,1",,,,,,,,,,,,,,,,,,,,,0
230001,道具类型组中指定编号的道具类型,"1028,0",道具类型,23,道具类型组,@1|中编号为|@2|的道具类型,【道具类型组】中编号为【数值】的道具类型,"1068,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
230002,道具类型组中的随机道具类型,"1028,1",道具类型,23,道具类型组,@1|中的随机道具类型,【道具类型组】中的随机道具类型,"1068,1",,,,,,,,,,,,,,,,,,,,,0
240001,生物类型组中指定编号的生物类型,"1032,0",生物类型,24,生物类型组,@1|中编号为|@2|的生物类型,【生物类型组】中编号为【数值】的生物类型,"1069,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
240002,生物类型组中的随机生物类型,"1032,1",生物类型,24,生物类型组,@1|中的随机生物类型,【生物类型组】中的随机生物类型,"1069,1",,,,,,,,,,,,,,,,,,,,,0
250001,计时器组中指定编号的计时器,"1040,0",计时器,25,计时器组,@1|中编号为|@2|的计时器,【计时器组】中编号为【数值】的计时器,"1070,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
250002,计时器组中的随机计时器,"1040,1",计时器,25,计时器组,@1|中的随机计时器,【计时器组】中的随机计时器,"1070,1",,,,,,,,,,,,,,,,,,,,,0
260001,特效类型组中指定编号的特效类型,"1045,0",特效类型,26,特效类型组,@1|中编号为|@2|的特效类型,【特效类型组】中编号为【数值】的特效类型,"1071,1",,"1005,1",1|1,,,,,,,,,,,,,,,,,,0
260002,特效类型组中的随机特效类型,"1045,1",特效类型,26,特效类型组,@1|中的随机特效类型,【特效类型组】中的随机特效类型,"1071,1",,,,,,,,,,,,,,,,,,,,,0
270004,获取道具类型图标,"1076,1",图案模板,30,通用,|@1,【道具类型】,"1028,1",,,,,,,,,,,,,,,,,,,,,
270005,获取生物图标,"1076,1",图案模板,30,通用,|@1,【生物】,"1031,1",,,,,,,,,,,,,,,,,,,,,
270006,获取生物类型图标,"1076,1",图案模板,30,通用,|@1,【生物类型】,"1032,1",,,,,,,,,,,,,,,,,,,,,
270007,获取状态图标,"1076,1",图案模板,30,通用,|@1,【状态】,"1037,1",,,,,,,,,,,,,,,,,,,,,
270008,获取方块类型图标,"1076,1",图案模板,30,通用,|@1,【方块类型】,"1025,1",,,,,,,,,,,,,,,,,,,,,
270009,获取玩家当前角色图标,"1076,1",图案模板,30,通用,当前|@1|角色图标,当前【玩家】角色图标,"1018,1",6|250001,,,,,,,,,,,,,,,,,,,,
270010,获取玩家快捷栏图标,"1076,1",图案模板,30,通用,@1|快捷栏为|@2|的图标,【玩家】快捷栏为【数值】的图标,"1018,1",6|250001,"1005,1",1|1,,,,,,,,,,,,,,,,,,
280001,随机投掷物类型,"1029,1",投掷物类型,28,投掷物,随机投掷物类型,随机投掷物类型,,,,,,,,,,,,,,,,,,,,,,2
290001,随机音效,"1046,1",音效,29,音效,随机音效,随机音效,,,,,,,,,,,,,,,,,,,,,,2
300001,服务器获取的位置,"1002,1",位置,30,数据存储,服务器获取的位置,服务器获取的位置,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300002,服务器获取的区域,"1001,1",区域,30,数据存储,服务器获取的区域,服务器获取的区域,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300003,服务器获取的数值,"1005,1",数值,30,数据存储,服务器获取的数值,服务器获取的数值,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300004,服务器获取的字符串,"1010,1",字符串,30,数据存储,服务器获取的字符串,服务器获取的字符串,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300005,服务器获取的布尔值,"1014,1",布尔值,30,数据存储,服务器获取的布尔值,服务器获取的布尔值,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300006,服务器获取的玩家,"1018,1",玩家,30,数据存储,服务器获取的玩家,服务器获取的玩家,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300007,服务器获取的方块类型,"1025,1",方块类型,30,数据存储,服务器获取的方块类型,服务器获取的方块类型,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300008,服务器获取的道具类型,"1028,1",道具类型,30,数据存储,服务器获取的道具类型,服务器获取的道具类型,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300009,服务器获取的生物,"1031,1",生物,30,数据存储,服务器获取的生物,服务器获取的生物,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300010,服务器获取的生物类型,"1032,1",生物类型,30,数据存储,服务器获取的生物类型,服务器获取的生物类型,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300011,服务器获取的计时器,"1040,1",计时器,30,数据存储,服务器获取的计时器,服务器获取的计时器,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300012,服务器获取的特效类型,"1045,1",特效类型,30,数据存储,服务器获取的特效类型,服务器获取的特效类型,"1083,1",6|600001,,,,,,,,,,,,,,,,,,,,10
300013,排行榜获取的排名,"1005,1",数值,30,数据存储,排行榜获取的排名,排行榜获取的排名,,,,,,,,,,,,,,,,,,,,,,12
300014,服务器获取的名称（键）,"1010,1",字符串,30,数据存储,获取服务器和排行榜索引名称（键）,获取服务器和排行榜索引名称（键）,,,,,,,,,,,,,,,,,,,,,,12
300015,服务器获取的玩家（键）,"1018,1",玩家,30,数据存储,获取服务器和排行榜索引玩家（键）,获取服务器和排行榜索引玩家（键）,,,,,,,,,,,,,,,,,,,,,,12
