交易项ID/每一项都不重复,组ID/不同商人的组ID可以重复,道具ID,商人ID/1游商2沙漠3雪地,交易类型（0收购1出售2以物换物）,出现权重,数量下限/以物换物的时候NPC卖的,数量上限,价格下限/单位星星,价格上限/单位星星,物物ID/以物换物的时候付出的,物物数量下限,物物数量上限,交易限制次数,附魔标记,附魔价格浮动下限/百分比,附魔价格浮动上限/百分比,名称,单价,广告显示,
318,5,1227,3223,1,100,1,1,1,1,,,,1,,,,珊瑚门,,,
319,4,1228,3223,1,100,1,1,1,1,,,,1,,,,贝壳门,,,
320,5,1229,3223,1,100,1,1,1,1,,,,1,,,,珊瑚窗,,,
321,4,1230,3223,1,100,1,1,1,1,,,,1,,,,贝壳窗,,,
322,6,1231,3223,1,100,1,1,1,1,,,,1,,,,海洋储物柜,,,
323,6,1232,3223,1,100,1,1,1,1,,,,1,,,,海洋屏风,,,
324,4,1233,3223,1,100,1,1,1,1,,,,1,,,,贝壳楼梯,,,
325,6,1234,3223,1,100,1,1,1,1,,,,1,,,,海洋衣柜,,,
326,6,1235,3223,1,100,1,1,1,1,,,,1,,,,海洋落地灯,,,
327,6,1236,3223,1,100,1,1,1,1,,,,1,,,,海洋吊灯,,,
328,4,1237,3223,1,100,1,1,1,1,,,,1,,,,贝壳台灯,,,
329,6,1238,3223,1,100,1,1,1,1,,,,1,,,,海洋大花盆,,,
330,5,1239,3223,1,100,1,1,1,1,,,,1,,,,珊瑚栅栏,,,
331,5,1240,3223,1,100,1,1,1,1,,,,1,,,,珊瑚栅栏门,,,
332,4,1241,3223,1,100,1,1,1,1,,,,1,,,,贝壳栅栏,,,
333,4,1242,3223,1,100,1,1,1,1,,,,1,,,,贝壳栅栏门,,,
334,4,1243,3223,1,100,1,1,1,1,,,,1,,,,贝壳风铃,,,
335,1,11941,3223,1,100,1,1,3,3,,,,1,,,,配方-贝壳双人沙发,,,
336,7,11911,3223,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,
337,7,11109,3012,1,100,1,1,1,2,,,,1,,,,建筑图纸6,,,
338,7,11110,3012,1,100,1,1,1,2,,,,1,,,,建筑图纸7,,,
339,7,11111,3012,1,100,1,1,1,2,,,,1,,,,建筑图纸8,,,
340,7,11112,3012,1,100,1,1,1,2,,,,1,,,,建筑图纸9,,,
341,7,11113,3012,1,100,1,1,1,2,,,,1,,,,建筑图纸10,,,
342,1,229,3022,0,100,90,135,2,3,,,,3,,,,玉米,,,收购
343,1,11307,3022,0,100,10,30,2,3,,,,3,,,,软皮革,,,收购
344,1,11323,3022,0,100,35,60,2,3,,,,3,,,,木料,,,收购
345,1,11627,3022,0,100,85,120,2,3,,,,3,,,,石料,,,收购
346,1,12052,3022,0,100,18,30,1,3,,,,3,,,,嘟嘟鸟蛋,,,收购
347,1,236,3022,0,100,30,80,1,1,,,,10,,,,青瓜,,,收购
348,1,241,3022,0,100,20,50,1,1,,,,10,,,,番薯,,,收购
349,1,11201,3022,0,100,30,50,1,1,,,,10,,,,凝能晶,,,收购
350,1,12051,3022,1,100,6,8,1,2,,,,5,,,,石箭,,,出售
351,1,11329,3022,1,100,3,5,3,5,,,,2,,,,黄铜,,,出售
352,1,11209,3022,1,100,3,5,6,10,,,,2,,,,秘银,,,出售
353,1,11330,3022,1,100,3,5,20,42,,,,2,,,,钛合金,,,出售
354,1,11203,3022,1,100,3,5,66,87,,,,2,,,,钨金,,,出售
355,1,236,3022,1,100,5,12,1,2,,,,2,,,,青瓜,,,出售
356,1,241,3022,1,100,5,12,1,2,,,,2,,,,番薯,,,出售
357,1,11401,3022,1,100,5,12,1,2,,,,2,,,,巨布鲁果种子,,,出售
358,1,11402,3022,1,100,5,12,1,2,,,,2,,,,巨鳞羽果种子,,,出售
359,1,11911,3022,2,10000,1,1,,,200411,3,3,10,,,,创造晶体,,,换
360,2,229,3022,0,100,90,135,2,3,,,,3,,,,玉米,,,收购
361,2,11307,3022,0,100,10,30,2,3,,,,3,,,,软皮革,,,收购
362,2,11323,3022,0,100,35,60,2,3,,,,3,,,,木料,,,收购
363,2,11627,3022,0,100,85,120,2,3,,,,3,,,,石料,,,收购
364,2,12052,3022,0,100,18,30,1,3,,,,3,,,,嘟嘟鸟蛋,,,收购
365,2,236,3022,0,100,30,80,1,1,,,,10,,,,青瓜,,,收购
366,2,241,3022,0,100,20,50,1,1,,,,10,,,,番薯,,,收购
367,2,11201,3022,0,100,30,50,1,1,,,,10,,,,凝能晶,,,收购
368,2,11569,3022,1,100,1,1,3,4,,,,2,,,,杖杆,,,出售
369,2,11570,3022,1,100,1,1,2,3,,,,2,,,,平凡晶核,,,出售
370,2,11571,3022,1,100,1,1,2,3,,,,2,,,,炽烈晶核,,,出售
371,2,11572,3022,1,100,1,1,2,3,,,,2,,,,雷电晶核,,,出售
372,2,11573,3022,1,100,1,1,2,3,,,,2,,,,淬毒晶核,,,出售
373,2,11574,3022,1,100,1,1,4,5,,,,2,,,,复苏晶核,,,出售
374,2,11593,3022,1,100,1,1,1,3,,,,3,,,,巫骨,,,出售
375,2,383,3022,1,100,2,4,1,2,,,,5,,,,香蕉树苗,,,出售
376,2,12627,3022,1,10000,1,1,5,5,,,,1,,,,地形地图,,,出售
377,2,11911,3022,2,5000,1,1,,,200411,3,3,10,,,,创造晶体,,,换
378,3,229,3022,0,100,90,135,2,3,,,,3,,,,玉米,,,收购
379,3,11307,3022,0,100,10,30,2,3,,,,3,,,,软皮革,,,收购
380,3,11323,3022,0,100,35,60,2,3,,,,3,,,,木料,,,收购
381,3,11627,3022,0,100,85,120,2,3,,,,3,,,,石料,,,收购
382,3,12052,3022,0,100,18,30,1,3,,,,3,,,,嘟嘟鸟蛋,,,收购
383,3,236,3022,0,100,30,80,1,1,,,,10,,,,青瓜,,,收购
384,3,241,3022,0,100,20,50,1,1,,,,10,,,,番薯,,,收购
385,3,11201,3022,0,100,30,50,2,3,,,,10,,,,凝能晶,,,收购
386,3,458,3022,1,100,5,9,1,2,,,,5,,,,仙人掌幼苗,,,出售
387,3,29,3022,1,100,28,64,1,3,,,,3,,,,黄沙,,,出售
388,3,11421,3022,1,100,3,7,2,3,,,,5,,,,胡杨苗,,,出售
389,3,11329,3022,1,100,3,5,3,5,,,,2,,,,黄铜,,,出售
390,3,11209,3022,1,100,3,5,6,10,,,,2,,,,秘银,,,出售
391,3,11330,3022,1,100,3,5,20,42,,,,2,,,,钛合金,,,出售
392,3,11203,3022,1,100,3,5,66,87,,,,2,,,,钨金,,,出售
393,3,11632,3022,1,100,1,2,3,3,,,,2,,,,坚硬蝎壳,,,出售
394,3,11630,3022,1,100,1,2,3,3,,,,2,,,,剧毒瓶,,,出售
395,3,12627,3022,1,10000,1,1,5,5,,,,1,,,,地形地图,,,出售
396,3,11911,3022,2,5000,1,1,,,200411,3,3,10,,,,创造晶体,,,换
397,4,229,3022,0,100,90,135,2,3,,,,3,,,,玉米,,,收购
398,4,11307,3022,0,100,10,30,2,3,,,,3,,,,软皮革,,,收购
399,4,11323,3022,0,100,35,60,2,3,,,,3,,,,木料,,,收购
400,4,11627,3022,0,100,85,120,2,3,,,,3,,,,石料,,,收购
401,4,12052,3022,0,100,18,30,1,3,,,,3,,,,嘟嘟鸟蛋,,,收购
402,4,236,3022,0,100,30,80,1,1,,,,10,,,,青瓜,,,收购
403,4,241,3022,0,100,20,50,1,1,,,,10,,,,番薯,,,收购
404,4,11201,3022,0,100,30,50,1,1,,,,10,,,,凝能晶,,,收购
405,4,12316,3022,1,100,1,1,3,4,,,,2,,,,冻结棒,,,出售
406,4,764,3022,1,100,1,1,60,74,,,,1,,,,庇佑雪莲,,,出售
407,4,760,3022,1,100,2,7,2,3,,,,2,,,,冬温花种子,,,出售
408,4,12623,3022,1,100,8,14,1,2,,,,2,,,,雪兔皮草,,,出售
409,4,11668,3022,1,100,1,1,180,210,,,,1,,,,极寒域法杖,,,出售
410,4,12627,3022,1,10000,1,1,5,5,,,,1,,,,地形地图,,,出售
411,4,11911,3022,2,5000,1,1,,,200411,3,3,10,,,,创造晶体,,,换
412,5,229,3022,0,100,90,135,2,3,,,,3,,,,玉米,,,收购
413,5,11307,3022,0,100,10,30,2,3,,,,3,,,,软皮革,,,收购
414,5,11323,3022,0,100,35,60,2,3,,,,3,,,,木料,,,收购
415,5,11627,3022,0,100,85,120,2,3,,,,3,,,,石料,,,收购
416,5,12052,3022,0,100,18,30,1,3,,,,3,,,,嘟嘟鸟蛋,,,收购
417,5,236,3022,0,100,30,80,1,1,,,,10,,,,青瓜,,,收购
418,5,241,3022,0,100,20,50,1,1,,,,10,,,,番薯,,,收购
419,5,11201,3022,0,100,30,50,1,1,,,,10,,,,凝能晶,,,收购
420,5,11655,3022,1,100,1,3,4,6,,,,1,,,,珍珠,,,出售
421,5,295,3022,1,100,2,3,2,3,,,,2,,,,大椰子,,,出售
422,5,12721,3022,1,100,1,1,1,5,,,,1,,,,普通鱼竿,,,出售
423,5,11318,3022,1,100,6,12,1,2,,,,1,,,,荧光晶体,,,出售
424,5,12715,3022,1,100,2,3,2,3,,,,2,,,,红藻力量药剂,,,出售
425,5,12627,3022,1,10000,1,1,5,5,,,,1,,,,地形地图,,,出售
426,5,11911,3022,2,5000,1,1,,,200411,3,3,10,,,,创造晶体,,,换
