序号,"类型[1道具,2生物,3投射物,4方块]",关联的ID,子分类[类型=生物时，1=生物，2=角色],子分类[类型=生物时，1=生物，2=角色；类型=道具时，1=工具，2=武器，3=其他，4=装备],分类名称StringID,名称备注,形状ID[0=球体，1=立方体，2=胶囊体],形状参数1,形状参数2,形状参数3,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）
495,1,15018,0,2,4131,寒冰M416,0,50,,,
496,1,15019,0,2,4131,AUG-急速音符,0,50,,,
497,2,3170,1,1,4709,灰色三角龙,0,50,,,
498,2,3171,1,1,4709,棕色三角龙,0,50,,,
499,2,3172,1,1,4709,蓝色三角龙,0,50,,,
500,2,3173,1,1,4709,长剑三角龙boss,0,50,,,
501,2,3174,1,1,4709,灰色腕龙,0,50,,,
502,2,3175,1,1,4709,黄色碗龙,0,50,,,
503,2,3176,1,1,4709,绿色碗龙,0,50,,,
504,2,3177,1,1,4709,泰坦腕龙boss,0,50,,,
505,2,3178,1,1,4709,红色翼龙,0,50,,,
506,2,3179,1,1,4709,灰色翼龙,0,50,,,
507,2,3180,1,1,4709,紫色翼龙,0,50,,,
508,2,3181,1,1,4709,风神翼龙boss,0,50,,,
509,2,3182,1,1,4709,绿色副栉龙,0,50,,,
510,2,3183,1,1,4709,青色副栉龙,0,50,,,
511,2,3184,1,1,4709,红色副栉龙,0,50,,,
512,2,3185,1,1,4709,黑色迅猛龙,0,50,,,
513,2,3186,1,1,4709,青色迅猛龙,0,50,,,
514,2,3187,1,1,4709,紫色迅猛龙,0,50,,,
515,2,3188,1,1,4709,武装迅猛龙boss,0,50,,,
516,2,3189,1,1,4709,棕色双冠龙,0,50,,,
517,2,3190,1,1,4709,灰色双冠龙,0,50,,,
518,2,3191,1,1,4709,绿色剑龙,0,50,,,
519,2,3192,1,1,4709,蓝色剑龙,0,50,,,
520,2,3193,1,1,4709,霸王龙,0,50,,,
521,2,3194,1,1,4709,狂躁霸王龙,0,50,,,
522,2,3195,1,1,4709,残暴霸王龙,0,50,,,
523,2,3196,1,1,4709,武装霸王龙,0,50,,,
524,2,3197,1,1,4709,机械霸王龙boss,0,50,,,
525,2,3198,1,1,4709,虚空佣兵,0,50,,,
526,2,3199,1,1,4709,虚空博士,0,50,,,
527,2,3135,1,1,4709,寒霜野人祭司,,,,,
528,0,3233,1,1,4709,冰原村民,,,,,
529,0,3234,1,1,4709,冰原萌宝,,,,,
530,0,3235,1,1,4709,野生冰原护卫村民,,,,,
531,0,3236,1,1,4709,野生冰原猎人村民,,,,,
532,0,3237,1,1,4709,野生冰原樵夫村民,,,,,
533,0,3238,1,1,4709,野生冰原工人村民,,,,,
534,0,3239,1,1,4709,野生冰原助手村民,,,,,
535,0,3240,1,1,4709,雪球,,,,,
536,2,3517,1,1,4709,冰陨巨魔,,,,,
537,2,3910,1,1,4709,雪兔,,,,,
538,2,3911,1,1,4709,小雪兔,,,,,
539,2,3912,1,1,4709,牦牛,,,,,
540,2,3913,1,1,4709,小牦牛,,,,,
541,2,3914,1,1,4709,藏狐,,,,,
542,2,3915,1,1,4709,冰灵守卫,,,,,
543,2,3916,1,1,4709,雪人,,,,,
544,1,11231,1,1,4130,聚物手套,0,50,,,
545,1,11232,1,1,4130,陨魔假面,0,50,,,
546,1,11576,1,3,4132,寒霜晶核,0,50,,,
547,1,11667,1,2,4131,冰魄法杖,0,50,,,
548,1,11668,1,2,4131,极寒域法杖,0,50,,,
549,1,11671,1,3,4132,法阵冰凌,0,50,,,
550,1,11672,1,1,4130,冰雾瓶,0,50,,,
551,1,11673,1,3,4132,坚固冰凌（掉落中）,0,50,,,
552,1,11674,1,3,4132,脆冰凌（掉落中）,0,50,,,
553,1,11824,1,3,4132,霜火石,0,50,,,
554,1,12312,1,1,4130,防寒头盔,0,50,,,
555,1,12313,1,1,4130,防寒胸甲,0,50,,,
556,1,12314,1,1,4130,防寒护腿,0,50,,,
557,1,12315,1,1,4130,雪地靴,0,50,,,
558,1,12316,1,2,4131,冻结棒,0,50,,,
559,1,12532,1,3,4132,兔肉,0,50,,,
560,1,12533,1,3,4132,烤兔肉,0,50,,,
561,1,12534,1,3,4132,香煎兔肉,0,50,,,
562,1,12535,1,3,4132,牦牛肉,0,50,,,
563,1,12536,1,3,4132,烤牦牛肉,0,50,,,
564,1,12537,1,3,4132,牦牛肉干,0,50,,,
565,1,12538,1,3,4132,水果冰沙,0,50,,,
566,1,12539,1,3,4132,冰蕨奶冻,0,50,,,
567,1,12622,1,3,4132,牦牛角,0,50,,,
568,1,12623,1,3,4132,雪兔皮草,0,50,,,
569,1,12625,1,3,4132,冰石,0,50,,,
570,1,12710,1,3,4132,冰灵精粹,0,50,,,
571,1,12711,1,1,4130,战斗号角,0,50,,,
572,2,3241,1,1,4709,假人模型,,,,,
573,2,3244,1,1,4709,虚空团子,,,,,
574,2,3246,1,1,4709,虚空角鹿,,,,,
575,2,3248,1,1,4709,虚空狐狸,,,,,
576,2,3254,1,1,4709,虚空雪兔,,,,,
577,2,3255,1,1,4709,虚空蝴蝶,,,,,
578,2,3261,1,1,4709,虚空沃沃兽,,,,,
579,2,3263,1,1,4709,虚空水母,,,,,
580,2,3264,1,1,4709,虚空沙漠狼,,,,,
581,2,3266,1,1,4709,虚空鲨鱼,,,,,
582,2,3267,1,1,4709,虚空蝙蝠,,,,,
583,2,3268,1,1,4709,虚空豹子,,,,,
584,2,3269,1,1,4709,虚空小型海盗船,,,,,
585,2,3270,1,1,4709,虚空萤火虫,,,,,
586,2,3272,1,1,4709,虚空中型海盗船,,,,,
587,2,3273,1,1,4709,虚空大型海盗船,,,,,
588,2,3920,1,1,4709,新野人战士,,,,,
589,2,3922,1,1,4709,新野人投矛手,,,,,
590,2,3924,1,1,4709,精英野人战士,,,,,
591,2,3926,1,1,4709,精英野人投矛手,,,,,
592,2,3928,1,1,4709,虚空蛋,,,,,
593,2,3929,1,1,4709,虚空野人战士,,,,,
594,2,3930,1,1,4709,虚空精英野人战士,,,,,
595,2,3931,1,1,4709,虚空野人投矛手,,,,,
596,2,3932,1,1,4709,虚空精英野人投矛手,,,,,
597,2,3933,1,1,4709,虚空野萌宝,,,,,
598,1,11653,0,3,4132,精准符文石,0,50,,,
599,1,12012,0,2,4131,石剑,0,50,,,
600,1,12013,0,2,4131,能量矛,0,50,,,
601,1,12317,0,2,4131,木盾,0,50,,,
602,1,12318,0,2,4131,黄铜盾,0,50,,,
603,1,12319,0,2,4131,钛金盾,0,50,,,
604,1,12626,0,3,4132,绷带,0,50,,,
605,1,13920,0,3,4132,新野人战士,0,50,,,
606,1,13922,0,3,4132,新野人投矛手,0,50,,,
607,1,13924,0,3,4132,精英野人战士,0,50,,,
608,1,13926,0,3,4132,精英野人投矛手,0,50,,,
609,1,13928,0,3,4132,虚空蛋,0,50,,,
610,1,13929,0,3,4132,虚空野人战士,0,50,,,
611,1,13930,0,3,4132,虚空精英野人战士,0,50,,,
612,1,13931,0,3,4132,虚空野人投矛手,0,50,,,
613,1,13932,0,3,4132,虚空精英野人投矛手,0,50,,,
614,1,13933,0,3,4132,虚空野萌宝,0,50,,,
615,1,200001,0,1,4130,假人模型,0,50,,,
616,1,200002,0,1,4130,手动发射器,0,50,,,
617,1,200004,0,1,4130,夹子陷阱,0,50,,,
618,1,200382,0,3,4132,虚空果实,0,50,,,
619,1,200389,0,2,4131,虚空超级无敌大漩涡炸弹,0,50,,,
620,1,200395,0,3,4132,虚空风铃花,0,50,,,
621,1,200397,0,3,4132,虚空龙爪草,0,50,,,
622,1,200422,0,3,4132,虚空兽肉,0,50,,,
