道具ID,名称,食材类型（0=食材，1=非食材）,食物类型（0=生的，1=篝火烹饪的，2=锅烹饪的，3=加工的）,使用时间,增加饥饿度,增加饥饿耐力,增加治疗血量,动物治疗血量,增加治疗血量（溢出）,恢复体力值,恢复温度,获取护盾,获取毅力,获得氧气值,附加状态1ID,状态1等级,状态1获得概率,附加状态2ID,状态2等级,状态2获得概率,附加状态3ID,状态3等级,状态3获得概率,保留容器,是否投掷（无效）,影响范围半径（无效）,随机状态(1:是否随机获得状态),"清除状态(1:清除随机状态, 2:清除随机有害状态)",食物效果,野人选择优先级（0不选择，1最高优先级，数字越大优先级越低）,烧烤类型（1=生肉，2=熟肉，3=糊肉）
150186,豪华蒸番薯,1,2,30,0,0,,,,60,,,,,,,,,,,,,,,,,,,,,
150187,豪华奇怪味道的食物,1,2,30,0,0,,,,5,,,,,76,1,3000,6,3,500,,,,,,,,,,,
150188,豪华不可名状的东西,1,2,30,0,0,,,,5,,,,,76,1,4000,2014,3,3000,4,3,500,,,,,,,,
150189,豪华煎肉排,1,2,30,0,0,,,,60,,,,,,,,,,,,,,,,,,,,,
150190,豪华海鲜水果饭团,1,2,30,0,0,32,,,35,,,,,,,,,,,,,,,,,,,,,
200412,虚空鲜奶,1,0,30,0,0,,,,0,,0,,,,,,,,,,,,11320,,,,,,,
300,风铃花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,若兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,星辰花,0,0,30,,,0,30,,0,,,,,,,,,,,,,,,,,,,月亮坐骑的食物,,
303,龙血花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,风信子,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,龙爪草,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,龙血树,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,红色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,橙色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,灰色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,粉色龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,白椰花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,黄钟花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,野蔷薇,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,冬温花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,彼岸花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12612,仙人掌花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200398,虚空星辰花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200399,虚空若兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200400,虚空龙血花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200401,虚空龙血树,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200402,虚空风信子,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200403,虚空黄钟花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200404,虚空龙舌兰,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200405,虚空白椰花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200406,虚空野蔷薇,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200407,虚空冬温花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200408,虚空彼岸花,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,玉米,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200422,虚空兽肉,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,玉米粉,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
