控件ID【控件大类(1=事件|2=条件|3=动作|4=局部事件)_子类（01~17）_序号（0001~）】,名称,控件大类,子类型,子类名称,显示过滤【①全局（1=显示（默认）|0=隐藏），②局部（1=显示（默认）|0=隐藏），③道具类型（0=通用|1=方块|2=杂物|3=工具|4=一组物品|5=怪物|6=账号物品|7=弓|8=投掷物/弹药|9=装备|10=枪械|11=食物|12=石矛|15=包裹|16=机械）(子类型=6时才读)（兼用多种道具类型时，数字用‘|’隔开），④使用仅供学习的模板地图时禁用（0=不禁用，1=禁用）】,描述,描述备注,备注,事件传参备注,事件传参,参数1,参数默认值1,参数2,参数默认值2,参数3,参数默认值3,参数4,参数默认值4,参数5,参数默认值5,参数6,参数默认值6,参数7,参数默认值7,参数8,参数默认值8,参数9,参数默认值9,参数10,参数默认值10,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,触发器提示版本号（填写版本号的第二位）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040022,行动状态改变时,1,4,生物,"0,1,0,0",此类生物进入|@1,此类生物进入【生物行动状态】,,触发事件的生物|事件中的位置|触发事件的生物类型,300001|240001|440001,"1034,1",5|200003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040023,碰撞时,1,4,生物,"0,1,0,0",此类生物碰撞玩家或其他生物时,此类生物碰撞玩家或其他生物时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家,300001|240001|440001|300002|440002|250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040024,属性改变时,1,4,生物,"0,1,0,0",此类生物|@1|变化时,此类生物【生物属性】变化时,,触发事件的生物|事件中的位置|触发事件的生物类型,300001|240001|440001,"1035,1",5|210001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040025,被创建时,1,4,生物,"0,1,0,0",此类生物被创建时,此类生物被创建时,,触发事件的生物|事件中的位置|触发事件的生物类型,300001|240001|440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040026,获得状态时,1,4,生物,"0,1,0,0",此类生物获得任意状态时,此类生物获得任意状态时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的状态效果,300001|240001|440001|410001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040027,失去状态时,1,4,生物,"0,1,0,0",此类生物失去任意状态时,此类生物失去任意状态时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的状态效果,300001|240001|440001|410001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040028,被玩家点击时,1,4,生物,"0,1,0,0",此类生物被玩家点击时,此类生物被玩家点击时,,触发事件的生物|事件中的位置|触发事件的生物类型|事件中的目标玩家,300001|240001|440001|250002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050001,被挖掘完毕时,1,5,方块,"1,0,0,0",任意方块被挖掘完毕时,任意方块被挖掘完毕时,,事件中的位置|事件中的方块类型|触发事件的玩家|触发事件的生物|触发事件的生物类型,240001|260002|250001|300001|440001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050002,被破坏,1,5,方块,"1,0,0,0",任意方块被破坏时,任意方块被破坏时,,事件中的位置|事件中的方块类型,240001|260002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050003,方块开关状态,1,5,方块,"1,0,0,0",任意方块开关状态发生变化,任意方块充能状态发生变化,,事件中的位置|事件中的方块类型,240001|260002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050004,储存容器道具发生改变,1,5,方块,"1,0,0,0",任意储存容器内道具发生改变,任意储存容器内道具发生改变,,事件中的位置|事件中的方块类型|事件中的道具类型,240001|260002|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050005,被创建,1,5,方块,"1,0,0,0",任意方块被创建,任意方块被创建,,事件中的位置|事件中的方块类型,240001|260002,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050006,储存容器道具被放入时,1,5,方块,"1,0,0,0",任意储存容器内道具被放入时,任意储存容器内道具被放入时,,事件中的位置|事件中的方块类型|事件中的道具类型,240001|260002|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050007,储存容器道具被取出时,1,5,方块,"1,0,0,0",任意储存容器内道具被取出时,任意储存容器内道具被取出时,,事件中的位置|事件中的方块类型|事件中的道具类型,240001|260002|270001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050008,被挖掘时,1,5,方块,"1,0,0,0",任意方块被挖掘时,任意方块被挖掘时,,事件中的位置|事件中的方块类型|触发事件的玩家|触发事件的生物|触发事件的生物类型,240001|260002|250001|300001|440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050009,被挖掘中断时,1,5,方块,"1,0,0,0",任意方块被挖掘但中途取消时,任意方块被挖掘但中途取消时,,事件中的位置|事件中的方块类型|触发事件的玩家|触发事件的生物|触发事件的生物类型,240001|260002|250001|300001|440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050010,被挖掘时,1,5,方块,"0,1,0,0",此类方块被挖掘时,此类方块被挖掘时,,触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的位置|事件中的方块类型,250001|300001|440001|240001|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050011,被挖掘完毕时,1,5,方块,"0,1,0,0",此类方块被挖掘完毕时,此类方块被挖掘完毕时,,触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的位置|事件中的方块类型,250001|300001|440001|240001|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050012,被挖掘中断时,1,5,方块,"0,1,0,0",此类方块被挖掘但中途取消时,此类方块被挖掘但中途取消时,,触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的位置|事件中的方块类型,250001|300001|440001|240001|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050013,被破坏时,1,5,方块,"0,1,0,0",此类方块被破坏时,此类方块被破坏时,,触发事件的玩家|触发事件的生物,250001|300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050014,被创建时,1,5,方块,"0,1,0,0",此类方块被创建时,此类方块被创建时,,事件中的位置|事件中的方块类型,240001|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050015,开关状态变化时,1,5,方块,"0,0,0,0",此类方块的开关状态发生变化时,此类方块的开关状态发生变化时,,触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的位置|事件中的方块类型,250001|300001|440001|240001|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050016,被获取时,1,5,方块,"0,1,0,0",此类方块被玩家或生物获取时,此类方块被玩家或生物获取时,,触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的位置|事件中的方块类型,250001|300001|440001|240001|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050017,被玩家点击时,1,5,方块,"0,1,0,0",此类方块被玩家点击时,此类方块被玩家点击时,,触发事件的玩家|事件中的位置|事件中的方块类型,250001|240001|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060001,投掷物击中,1,6,道具,"1,0,0,0",任意投掷物击中任意玩家、生物、方块,任意投掷物命中任意玩家、生物、方块,,触发事件的投掷物|触发事件的玩家|触发事件的生物|事件中的道具类型|事件中的目标玩家|事件中的目标生物|事件中的目标生物类型|事件中的位置,280001|250001|300001|270001|250002|300002|440002|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060002,投掷物进入区域,1,6,道具,"1,0,0,0",任意投掷物进入|@1|时,任意投掷物进入【区域】,,触发事件的投掷物|触发事件的玩家|触发事件的生物|事件中的道具类型|事件中的位置,280001|250001|300001|270001|240001,"1001,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060003,投掷物离开区域,1,6,道具,"1,0,0,0",任意投掷物离开|@1|时,任意投掷物离开【区域】,,触发事件的投掷物|触发事件的玩家|触发事件的生物|事件中的道具类型|事件中的位置,280001|250001|300001|270001|240001,"1001,1",,,,·,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060004,掉落物进入区域,1,6,道具,"1,0,0,0",任意掉落物进入|@1|时,任意掉落物进入【区域】,,事件中的掉落物|事件中的道具类型|事件中的位置,290001|270001|240001,"1001,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060005,掉落物离开区域,1,6,道具,"1,0,0,0",任意掉落物离开|@1|时,任意掉落物离开【区域】,,事件中的掉落物|事件中的道具类型|事件中的位置,290001|270001|240001,"1001,1",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060006,掉落物被拾取,1,6,道具,"1,0,0,0",任意掉落物被拾取,任意掉落物被拾取,,事件中的掉落物|事件中的道具类型|事件中的位置,290001|270001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060007,掉落物消失,1,6,道具,"1,0,0,0",任意掉落物消失,任意掉落物消失,,事件中的掉落物|事件中的道具类型|事件中的位置,290001|270001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060008,投掷物被创建,1,6,道具,"1,0,0,0",任意投掷物被创建,任意投掷物被创建,,触发事件的投掷物|事件中的道具类型|触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的位置,280001|270001|250001|300001|440001|240001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060009,被获取时,1,6,道具,"0,1,0,0",此类道具被玩家或生物获取时,此类道具被玩家或生物获取时,,触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的掉落物|事件中的位置|事件中的道具类型,250001|300001|440001|290001|240001|270001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060010,被丢弃时,1,6,道具,"0,1,0,0",此类道具被丢弃时,此类道具被丢弃时,,触发事件的玩家|事件中的掉落物|事件中的位置|事件中的道具类型,250001|290001|240001|270001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060011,消失时,1,6,道具,"0,1,0,0",此类道具掉落物消失时,此类道具掉落物消失时,,事件中的位置|事件中的道具类型,240001|270001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060012,损坏时,1,6,道具,"0,1,3|7|9|12,0",此类道具损坏时,此类道具损坏时,,事件中的位置|事件中的道具类型,240001|270001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060013,击中目标时,1,6,道具,"0,1,8|12,0",此类道具投掷物击中任意目标时,此类道具投掷物击中任意目标时,,触发事件的投掷物|触发事件的玩家|触发事件的生物|事件中的位置|事件中的道具类型|事件中的目标生物|事件中的目标生物类型|事件中的目标玩家|事件中的方块类型,280001|250001|300001|240001|270001|300002|440002|250002|260002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060014,被创建或消耗时,1,6,道具,"0,1,8|12,0",此类道具投掷物被创建或消耗时,此类道具投掷物被创建或消耗时,,触发事件的投掷物|事件中的位置|事件中的道具类型|触发事件的生物|触发事件的生物类型|触发事件的玩家,280001|240001|270001|300001|440001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060015,被消耗时,1,6,道具,"0,1,11,0",此类道具被消耗时,此类道具被消耗时,,事件中的位置|事件中的道具类型|触发事件的生物|触发事件的生物类型|触发事件的玩家,240001|270001|300001|440001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060016,被打开时,1,6,道具,"0,1,15,0",此类包裹道具被打开时,此类包裹道具被打开时,,事件中的位置|事件中的道具类型|触发事件的玩家,240001|270001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060017,被穿上时,1,6,道具,"0,1,9,0",此类装备道具被穿上时,此类装备道具被穿上时,,事件中的位置|事件中的道具类型|触发事件的玩家,240001|270001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060018,被脱下时,1,6,道具,"0,1,9,0",此类装备道具被脱下时,此类装备道具被脱下时,,事件中的位置|事件中的道具类型|触发事件的玩家,240001|270001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060019,被破坏时,1,6,道具,"0,1,9,0",此类装备道具被玩家或生物破坏时,此类装备道具被玩家或生物破坏时,,事件中的位置|事件中的道具类型|触发事件的玩家,240001|270001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060020,被使用时,1,6,道具,"0,1,2|3|7|8|10|11|12,0",此类道具被玩家使用时,此类道具被玩家使用时,,事件中的位置|事件中的道具类型|触发事件的玩家,240001|270001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070001,任意位置上特效被创建,1,7,特效,"1,0,0,0",任意位置上特效被创建,任意位置上特效被创建,,事件中的位置|事件中的特效类型,240001|340001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070002,任意玩家身上特效被创建,1,7,特效,"1,0,0,0",任意玩家身上特效被创建,任意玩家身上特效被创建,,触发事件的玩家|事件中的位置|事件中的特效类型,250001|240001|340001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070003,任意生物身上特效被创建,1,7,特效,"1,0,0,0",任意生物身上特效被创建,任意生物身上特效被创建,,触发事件的生物|事件中的位置|事件中的特效类型,300001|240001|340001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070004,任意投掷物特效被创建,1,7,特效,"1,0,0,0",任意投掷物特效被创建,任意投掷物特效被创建,,触发事件的投掷物|事件中的位置|事件中的特效类型,280001|240001|340001,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080001,被生物获得时,1,8,状态,"0,1,0,0",此类状态被生物获得时,此类状态被生物获得时,,事件中的位置|事件中的状态效果|触发事件的生物|触发事件的生物类型,240001|410001|300001|440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080002,从生物身上移除时,1,8,状态,"0,1,0,0",此类状态从生物身上移除时,此类状态从生物身上移除时,,事件中的位置|事件中的状态效果|触发事件的生物|触发事件的生物类型,240001|410001|300001|440001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080003,被玩家获得时,1,8,状态,"0,1,0,0",此类状态被玩家获得时,此类状态被玩家获得时,,事件中的位置|事件中的状态效果|触发事件的玩家,240001|410001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080004,从玩家身上移除时,1,8,状态,"0,1,0,0",此类状态从玩家身上移除时,此类状态从玩家身上移除时,,事件中的位置|事件中的状态效果|触发事件的玩家,240001|410001|250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090001,此配方合成完毕时,1,9,配方,"0,1,0,0",此类配方合成完毕时,此类配方合成完毕时,,事件中的配方|触发事件的玩家|触发事件的生物|事件中的道具类型|事件中的道具数量,450001|250001|300001|270001|480001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090002,配方合成完毕时,1,9,配方,"1,0,0,0",任意配方合成完毕时,任意配方合成完毕时,,事件中的配方|触发事件的玩家|触发事件的生物|触发事件的生物类型|事件中的道具类型|事件中的道具数量,450001|250001|300001|440001|270001|480001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100001,熔炼开始时,1,10,熔炼,"1,0,0,0",任意熔炼开始时,任意熔炼开始时,,事件中的位置|事件中的熔炼,240001|460001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100002,熔炼完成时,1,10,熔炼,"1,0,0,0",任意熔炼获得产出物时,任意熔炼获得产出物时,,事件中的位置|事件中的熔炼,240001|460001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100003,此熔炼开始时,1,10,熔炼,"0,1,0,0",此类熔炼开始时,此类熔炼开始时,,事件中的位置|事件中的熔炼,240001|460001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100004,此熔炼完成时,1,10,熔炼,"0,1,0,0",此类熔炼获得产出物时,此类熔炼获得产出物时,,事件中的位置|事件中的熔炼,240001|460001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110001,剧情开始时,1,11,剧情,"1,0,0,0",任意剧情开始时,任意剧情开始时,,事件中的剧情|触发事件的玩家|事件中的目标生物|事件中的目标生物类型,470001|250001|300002|440002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110002,剧情结束时,1,11,剧情,"1,0,0,0",任意剧情结束时,任意剧情结束时,,事件中的剧情|触发事件的玩家|事件中的目标生物|事件中的目标生物类型,470001|250001|300002|440002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110003,此剧情开始时,1,11,剧情,"0,1,0,0",此段剧情开始时,此段剧情开始时,,触发事件的玩家|事件中的目标生物|事件中的目标生物类型|事件中的剧情,250001|300002|440002|470001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110004,此剧情结束时,1,11,剧情,"0,1,0,0",此段剧情结束时,此段剧情结束时,,触发事件的玩家|事件中的位置,250001|300002|440002|470001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120001,当前界面任意按钮被松开,1,12,界面,"1,1,0,0",当前界面任意按钮被松开,当前界面任意按钮被松开,,触发事件的玩家|事件中的元件|事件中的位置,250001|510001|240001,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120002,当前编辑界面被打开时,1,12,界面,"1,1,0,0",当前编辑界面被打开时,当前编辑界面被打开时,,事件中的界面|事件中的位置|触发事件的玩家,520002|240001|250001,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120003,当前编辑界面关闭时,1,12,界面,"1,1,0,0",当前编辑界面关闭时,当前编辑界面关闭时,,事件中的界面|事件中的位置|触发事件的玩家,520002|240001|250001,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120004,当前界面任意按钮被按下,1,12,界面,"1,1,0,0",当前界面任意按钮被按下,当前界面任意按钮被按下,,触发事件的玩家|事件中的元件|事件中的位置,250001|510001|240001,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120005,当任意玩家输入任意字符串,1,12,界面,"1,1,0,0",当任意玩家输入任意字符串,当任意玩家输入任意字符串,,触发事件的玩家|事件中的字符串|事件中的元件,250001|550001|510001,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120006,当前界面指定按钮被松开,1,12,界面,"1,1,0,0",当前界面的|@1|被松开,【按钮】被松开,,触发事件的玩家|事件中的元件|事件中的位置,250001|510001|240001,"1075,0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120007,当前界面指定按钮被按下,1,12,界面,"1,1,0,0",当前界面的|@1|被按下,【按钮】被按下,,触发事件的玩家|事件中的元件|事件中的位置,250001|510001|240001,"1075,0,4",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120008,当玩家在当前界面的输入框输入任意内容,1,12,界面,"1,1,0,0",在玩家在当前界面的|@1|输入任意内容,在【输入框】输入任意字符串,,触发事件的玩家|事件中的字符串|事件中的元件,250001|550001|510001,"1075,0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130001,任意音乐开始播放,1,13,音效,"1,1,0,0",任意音乐开始播放时,任意音乐开始播放时,,触发事件的玩家|事件中的音乐|事件中的位置,250001|570001|240001,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140001,任意玩家在本地图购买1个月大会员,1,14,开发者,"1,1,0,0",任意玩家在本地图购买1个月大会员,任意玩家在本地图购买1个月大会员,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140002,任意玩家在本地图购买3个月大会员,1,14,开发者,"1,1,0,0",任意玩家在本地图购买3个月大会员,任意玩家在本地图购买3个月大会员,,触发事件的玩家|事件中的位置,250001|240001,,,,,,,,,,,,,,,,,,,,,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140003,任意玩家购买或提取开发者商店道具,1,14,开发者,"1,1,0,0",任意玩家购买或提取开发者商店道具,任意玩家购买或提取开发者商店道具,,事件中的道具类型|触发事件的玩家|事件中的位置,270001|250001|240001,,,,,,,,,,,,,,,,,,,,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010001,数值对比,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010002,随机数,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20003,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010003,最大值或最小值,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20004,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010004,整除,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20005,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010005,位置的坐标值,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20006,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
