接口ID,类型ID,类型名,类型备注,函数名-不用翻译,函数标题-不用翻译,描述1参数及类型,描述2返回值及类型-不用翻译,描述3该方法的主要作用,描述4具体使用案例如下-不用翻译
50037,5,游戏玩家,Player,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP恢复,local result = Player:getHpRecover(objid)
50038,5,游戏玩家,Player,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",当前饥饿值,local result = Player:getCurFood(objid)
50039,5,游戏玩家,Player,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,5,游戏玩家,Player,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",当前氧气值,local result = Player:getCurOxygen(objid)
50041,5,游戏玩家,Player,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",行走速度,local result = Player:getWalkSpeed(objid)
50042,5,游戏玩家,Player,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",游泳速度（水中速度）,local result = Player:getSwimSpeed(objid)
50043,5,游戏玩家,Player,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",跳跃力,local result = Player:getJumpPower(objid)
50044,5,游戏玩家,Player,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",奔跑速度,local result = Player:getRunSpeed(objid)
50045,5,游戏玩家,Player,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",潜行速度,local result = Player:getSneakSpeed(objid)
50046,5,游戏玩家,Player,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",闪避,local result = Player:getDodge(objid)
50047,5,游戏玩家,Player,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程攻击,local result = Player:getPunchAttack(objid)
50048,5,游戏玩家,Player,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",远程攻击,local result = Player:getRangeAttack(objid)
50049,5,游戏玩家,Player,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程防御,local result = Player:getPunchDefense(objid)
50050,5,游戏玩家,Player,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",远程防御,local result = Player:getRangeDefense(objid)
50051,5,游戏玩家,Player,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",星星数,"local result = Player:getStarNum(objid, val)"
50052,5,游戏玩家,Player,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",模型大小,"local result = Player:getModelScale(objid, val)"
50053,5,游戏玩家,Player,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置最大血量,"local result = Player:setMaxHP(objid, val)"
50054,5,游戏玩家,Player,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置血量,"local result = Player:setHP(objid, val)"
50055,5,游戏玩家,Player,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,设置HP恢复,local result = Player:setHpRecover(objid)
50056,5,游戏玩家,Player,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,设置当前饥饿度,local result = Player:setCurFood(objid)
50057,5,游戏玩家,Player,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置氧气,"local result = Player:setOxygen(objid, val)"
50058,5,游戏玩家,Player,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置行走速度,"local result = Player:setWalkSpeed(objid, val)"
50059,5,游戏玩家,Player,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置游泳速度（水中速度）,"local result = Player:setSwimSpeed(objid, val)"
50060,5,游戏玩家,Player,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置跳跃力,"local result = Player:setJumpPower(objid, val)"
50061,5,游戏玩家,Player,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置奔跑速度,"local result = Player:setRunSpeed(objid, val)"
50062,5,游戏玩家,Player,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置潜行速度,"local result = Player:setSneakSpeed(objid, val)"
50063,5,游戏玩家,Player,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置闪避,"local result = Player:setDodge(objid, val)"
50064,5,游戏玩家,Player,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置近程攻击,"local result = Player:setPunchAttack(objid, val)"
50065,5,游戏玩家,Player,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置远程攻击,"local result = Player:setRangeAttack(objid, val)"
50066,5,游戏玩家,Player,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置近程防御,"local result = Player:setPunchDefense(objid, val)"
50067,5,游戏玩家,Player,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置远程防御,"local result = Player:setRangeDefense(objid, val)"
50068,5,游戏玩家,Player,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置星星数,"local result = Player:setStarNum(objid, val)"
50069,5,游戏玩家,Player,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置模型大小,"local result = Player:setModelScale(objid, val)"
50070,5,游戏玩家,Player,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,设置actor位置,"local result = Player:setPosition(objid, x, y, z)"
50071,5,游戏玩家,Player,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,获取player准星位置,local result = Player:getAimPos(objid)
60001,6,游戏生物,Creature,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK已经成年已经成年,是否已经成年,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""该生物已成年"") end"
60002,6,游戏生物,Creature,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,设置是否依赖氧气,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""该生物依赖氧气生存!"") end"
60003,6,游戏生物,Creature,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0表示未驯服",获取驯服主的ID,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
	local result, nickName = Player:getNickname(ownerId)
	if result == ErrorCode.OK then print('玩家<'+nickName+'>的宠物。。。')
end"
60004,6,游戏生物,Creature,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,设置是否恐慌,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""该生物正在恐慌中"") end"
60005,6,游戏生物,Creature,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,设置AI是否生效,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""该生物的AI已经生效"") end"
60006,6,游戏生物,Creature,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",获取怪物资源ID,"local wolfId, dogId = 3407, 3408 --狼/狗的资源Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
	if actorId == dogId then print(""The creature is A Dog!"") end
	if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,6,游戏生物,Creature,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",获取怪物资源ID,local result = Creature:getActorName(objid)
60008,6,游戏生物,Creature,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE附魔属性类型, value:number",ErrorCode.OK,增加怪物ModAttrib值,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('增加怪物移动速度') end"
60009,6,游戏生物,Creature,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE附魔属性类型","ErrorCode.OK, value:number",获取怪物ModAttrib值,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('怪物的移动速度为', modAttrVal) end"
60010,6,游戏生物,Creature,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,设置生物队伍,"local result = Creature:setTeam(objid, teamid)"
60011,6,游戏生物,Creature,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",获取生物队伍,local result = Creature:getTeam(objid)
60012,6,游戏生物,Creature,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",获取最大饥饿度,local result = Creature:getMaxFood(objid)
60013,6,游戏生物,Creature,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",获取饥饿度,local result = Creature:getFood(objid)
60014,6,游戏生物,Creature,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置饥饿度,"local result = Creature:setFood(objid, val)"
60015,6,游戏生物,Creature,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP恢复,local result = Creature:getHpRecover(objid)
60016,6,游戏生物,Creature,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",最大氧气值,local result = Creature:getMaxOxygen(objid)
60017,6,游戏生物,Creature,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",行走速度,local result = Creature:getWalkSpeed(objid)
60018,6,游戏生物,Creature,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",游泳速度（水中速度）,local result = Creature:getSwimSpeed(objid)
60019,6,游戏生物,Creature,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",跳跃力,local result = Creature:getJumpPower(objid)
60020,6,游戏生物,Creature,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",重量,local result = Creature:getMass(objid)
60021,6,游戏生物,Creature,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",闪避,local result = Creature:getDodge(objid)
60022,6,游戏生物,Creature,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程攻击,local result = Creature:getPunchAttack(objid)
60023,6,游戏生物,Creature,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",远程攻击,local result = Creature:getRangeAttack(objid)
60024,6,游戏生物,Creature,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程防御,local result = Creature:getPunchDefense(objid)
60025,6,游戏生物,Creature,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",远程防御,local result = Creature:getRangeDefense(objid)
60026,6,游戏生物,Creature,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置血量,"local result = Creature:setMaxHp(objid, val)"
60027,6,游戏生物,Creature,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置血量,"local result = Creature:setHP(objid, val)"
60028,6,游戏生物,Creature,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,设置HP恢复,local result = Creature:setHpRecover(objid)
60029,6,游戏生物,Creature,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置氧气,"local result = Creature:setOxygen(objid, val)"
60030,6,游戏生物,Creature,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置行走速度,"local result = Creature:setWalkSpeed(objid, val)"
60031,6,游戏生物,Creature,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置游泳速度（水中速度）,"local result = Creature:setSwimSpeed(objid, val)"
60032,6,游戏生物,Creature,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置跳跃力,"local result = Creature:setJumpPower(objid, val)"
60033,6,游戏生物,Creature,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置闪避,"local result = Creature:setDodge(objid, val)"
60034,6,游戏生物,Creature,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置近程攻击,"local result = Creature:setPunchAttack(objid, val)"
60035,6,游戏生物,Creature,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置远程攻击,"local result = Creature:setRangeAttack(objid, val)"
60036,6,游戏生物,Creature,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置近程防御,"local result = Creature:setPunchDefense(objid, val)"
60037,6,游戏生物,Creature,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,设置远程防御,"local result = Creature:setRangeDefense(objid, val)"
70001,7,UI管理,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string设定名, value:string or boolean设定值",ErrorCode.OK,设置战斗总结UI,"local result = UI:setGBattleUI(name, value)"
70002,7,UI管理,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",世界坐标转换到小地图,"local result = UI:world2RadarPos(x, y)"
70003,7,UI管理,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",世界长度转换到小地图,local result = UI:world2RadarDist(length)
70004,7,UI管理,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,设置小地图模式。1：45度旋转视角；2：全图俯视角,local result = UI:setMinimapRenderMode(mode)
70005,7,UI管理,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,地图标记形状设置，设置成线条,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,7,UI管理,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,地图标记形状设置，设置成圆,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,7,UI管理,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number效果类型, isloop:boolean是否循环, incspeed:number增速",ErrorCode.OK,显示屏幕效果,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,8,聊天系统,Chat,sendChat,Chat:sendChat(content),"content:string, type:number0表示普通聊天，1表示系统消息",ErrorCode.OK,发送聊天消息,local result = Chat:sendChat(content)
80002,8,聊天系统,Chat,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0表示普通聊天，1表示系统消息",ErrorCode.OK,发送系统消息,local result = Chat:sendSystemMsg(content)
90001,9,组队管理,Team,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",获取队伍数量,local result = Team:getNumTeam()
90002,9,组队管理,Team,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number队伍ID，默认全部, alive:number是否存活，默认全部","ErrorCode.OK, num:number队伍玩家数量",获取指定队伍玩家,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,9,组队管理,Team,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number队伍ID，默认全部, alive:number是否存活，默认全部","ErrorCode.OK, num:number队伍玩家数量, array:table成员uin数组",获取指定队伍玩家,"local result = Team:getTeamPlayers(teamid, alive)"
90004,9,组队管理,Team,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number队伍ID，默认全部, alive:number是否存活，默认全部","ErrorCode.OK, uin:number随机出玩家的uin",随机一名玩家,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,9,组队管理,Team,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,设置组队分数,"local result = Team:setTeamScore(teamid, s)"
90006,9,组队管理,Team,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",获取组队分数,local result = Team:getTeamScore(teamid)
90007,9,组队管理,Team,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,增加队伍分数,"local result = Team:addTeamScore(teamid, score)"
90008,9,组队管理,Team,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,设置队伍胜负,"local result = Team:setTeamResults(teamid, result)"
90009,9,组队管理,Team,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",获取当前队伍胜负,local result = Team:getTeamResults(teamid)
90010,9,组队管理,Team,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,设置玩家的队伍胜负,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,9,组队管理,Team,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,设置队伍总死亡数,"local result = Team:setTeamDieTimes(teamid, times)"
90012,9,组队管理,Team,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",获取队伍总死亡数,local result = Team:getTeamDieTimes(teamid)
90013,9,组队管理,Team,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,增加队伍总死亡数,local result = Team:addTeamDieTimes(teamid)
90014,9,组队管理,Team,changePlayerTeam,"Game:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,改变玩家队伍,"local result = Team:changePlayerTeam(uin, teamid)"
100001,10,道具管理,Item,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",获取道具名称,local result = Item:getItemName(itemid)
100002,10,道具管理,Item,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",获取物品ID,local result = Item:getItemId(objid)
100003,10,道具管理,Item,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",获取掉落物数量,local result = Item:getDropItemNum(objid)
110001,11,背包管理,BackPack,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),bartype:number背包类型，快捷栏、存储栏、装备栏,"ErrorCode.OK, begid:number道具格起始ID, endid:number道具格末尾ID",获取道具背包栏ID范围(起始ID~结束ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,11,背包管理,BackPack,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",获取道具背包栏大小,local result = Backpack:getBackpackBarSize(bartype)
110003,11,背包管理,BackPack,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number道具格ID, itemid:number, num:number默认1, durability:number耐久度，默认满耐久",ErrorCode.OK,设置背包格道具,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,11,背包管理,BackPack,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number默认全部道具",ErrorCode.OK,移除背包格内一定数量道具，通过道具格移除，默认全部移除,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,11,背包管理,BackPack,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number默认全部道具","ErrorCode.OK, num:number成功移除数量",移除背包内一定数量道具，通过道具ID移除，默认全部移除,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,11,背包管理,BackPack,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number背包类型",ErrorCode.OK,清空指定背包栏,"local result = Backpack:clearPack(playerid, bartype)"
110007,11,背包管理,BackPack,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,清空全部背包(包含背包栏、快捷栏、装备栏),local result = Backpack:clearAllPack(playerid)
110008,11,背包管理,BackPack,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number默认全部转移",ErrorCode.OK,移动背包道具，默认全部转移,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,11,背包管理,BackPack,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,交换背包道具,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,11,背包管理,BackPack,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number默认1",ErrorCode.OK,背包(包含背包栏、快捷栏)是否有足够的空间存放一定数量的道具,"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,11,背包管理,BackPack,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",计算背包(包含背包栏、快捷栏)能存放的道具剩余总数量,"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,11,背包管理,BackPack,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number背包类型","ErrorCode.OK, num:number数量, array:table背包格ID数组",获取道具背包栏有效格ID列表(道具已存在)，背包格ID数组,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,11,背包管理,BackPack,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number背包类型","ErrorCode.OK, num:number数量, arr:table道具ID数组",获取道具背包栏已拥有道具，道具ID数组,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,11,背包管理,BackPack,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,检测背包是否持有某个道具,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,11,背包管理,BackPack,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number道具总数量, arr:table道具格ID数组",获取背包持有某个道具总数量，同时返回装有道具的背包格数组,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,11,背包管理,BackPack,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",获取背包格道具ID和数量,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,11,背包管理,BackPack,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",获取背包格道具名称,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,11,背包管理,BackPack,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",获取背包格道具数量和最大堆叠数,"local result = Backpack:getGridStack(playerid, gridid)"
110019,11,背包管理,BackPack,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",获取背包格道具耐久度和最大耐久度,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,11,背包管理,BackPack,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number数量, arr:table附魔ID数组",获取背包格道具附魔，返回附魔id数组,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,11,背包管理,BackPack,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number工具类型",获取背包道具工具类型(<0表示非工具),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,11,背包管理,BackPack,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number成功添加的数量",添加道具到背包,"local result = Backpack:addItem(playerid, itemid, num)"
110023,11,背包管理,BackPack,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,丢弃背包道具,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,11,背包管理,BackPack,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,获取背包某个格子的道具数量,"local result = Backpack:getGridNum(playerid, gridid)"
120001,12,小地图管理,Mapmark,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number",新增一个形状(线，矩形，圆形),"local result = MapMark:newShape(type, isshow, r, g, b)"
120002,12,小地图管理,Mapmark,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,删除一个形状,local result = MapMark:deleteShape(shapeid)
120003,12,小地图管理,Mapmark,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,设置形状颜色,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,12,小地图管理,Mapmark,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,设置形状显示or隐藏,"local result = MapMark:showShape(shapeid, showflag)"
120005,12,小地图管理,Mapmark,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,更新形状(线形)，传入起始坐标和末尾坐标,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,12,小地图管理,Mapmark,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,更新形状(矩形)，传入起始坐标和尺寸,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,12,小地图管理,Mapmark,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,更新形状(圆形)，传入圆心坐标和半径,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,13,出生点管理,Spawnport,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",获取出生点位置,local result = Spawnport:getSpawnPoint()
130002,13,出生点管理,Spawnport,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",获取区块可以作为出生点的位置，传入区块内任一方块位置,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
