ID[整型],名称[string],界面大类[整型](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量),"界面子类[整型]【1通用，2游戏，3玩家，4生物，5方块，6道具，7变量，8控制，9自定义，10数学，11组，12计时器，13界面，14特效，15音频，16图文信息，17开发者，18赋值，19数据存储，21区域，22位置，23数值，24字符串，25布尔值，26生物类型，27排行榜，28表,29世界,30对象,101搜索对象 , 102移动, 103攻击】",形状类型[数值](      1.AI事件 2.AI装饰器 3.AI组合 4.AI条件 5.AI动作 6.AI取值 7.AI变量 8.全局变量  9.AI根节点),简略显示[数值]【在库里是否缩略显示，1=是，0=否】,描述[string],图标[string],使用场景过滤[string],·,左右值标记[整型],返回值[整型],参数1类型[string],参数1默认值[string],参数2类型,参数2默认值,参数3类型,参数3默认值,参数4类型,参数4默认值,参数5类型,参数5默认值,参数6类型,参数6默认值,显示控制（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见 3=4位数迷你号可见  4 = 仅国内可见  5 = 仅海外可见 6 = 仅国内开发者可见 7 = 仅海外开发者可见 8 = 不显示）,积木间距值（间距值默认为60，超过60会开始变高）,说明,"生成规则[ 0 =lua ,1=c++]",,"内部节点[0,外部开放节点 ；  1,内部使用节点]",[]
600315,寻找区域内所有玩家,6,3,6,1,以%1为参照物，寻找%2内%3的所有玩家,,"1,1,0,1,1,0",,1,18,1048|1|0,3|600101,1001|1|0,,1208|1|0,3|600103,1106|1|0,5|730001,,,,,8,,,,,,
600400,执行行为的生物,6,4,6,1,执行行为的生物,5,"1,1,0,1,1,0",,1,30,,,,,,,,,,,,,,100,9401057,,,,
600401,生物属性,6,4,6,1,生物:%1的%2,5,"1,1,0,1,1,0",,1,6,1048|1|0,3|600101,1035|1|2,5|210001,,,,,,,,,8,,,,,,
600402,特定生物类型,6,4,6,1,%1类型生物,5,"1,1,0,1,1,0",,1,105,1032|1|2,2|3400,,,,,,,,,,,8,,,,,,
600403,获取对象生物类型,6,4,6,1,%1的生物类型,5,"1,1,0,1,1,0",,1,31,1048|1|0,,,,,,,,,,,,8,,,,,,
600404,寻找最近生物,6,4,6,1,以%1为参照物，寻找%2%3格内%4最近的%5,5,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,5|730002,,,8,,,,,,
600405,寻找最近的特定生物,6,4,6,1,以%1为参照物，寻找%2%3格内%4最近的%5,5,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,3|600402,,,8,,,,,,
600406,生物对象,6,4,6,1,%1对象,,"1,1,0,1,1,0",,1,47,1031|1|0,,,,,,,,,,,,,,,,,,
600411,生物属性,6,4,6,1,%1的%2,5,"1,1,0,1,1,0",,1,6,1031|1|0,3|600400,1035|1|2,5|210001,,,,,,,,,,,,,,,
600412,特定生物类型,6,4,6,1,%1类型生物,5,"1,1,0,1,1,0",,1,105,1032|1|2,2|3400,,,,,,,,,,,,,,,,,
600413,获取生物类型,6,4,6,1,%1的生物类型,5,"1,1,0,1,1,0",,1,31,1031|1|0,,,,,,,,,,,,,100,,,,,
600414,寻找最近生物,6,4,6,1,以%1为参照物，寻找%2%3格内%4最近的生物,5,"1,1,0,1,1,0",,1,30,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,,,,,,,,,,,
600415,寻找最近的特定生物,6,4,6,1,以%1为参照物，寻找%2%3格内%4最近的%5,5,"1,1,0,1,1,0",,1,30,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1032|1|0,2|3400,,,,,,,,,
600416,寻找周边所有生物,6,4,6,1,以%1为参照物，寻找%2%3格内%4%5,,"1,1,0,1,1,0",,1,32,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1032|1|0,2|3400,,,,,,,,,
600417,获取周边生物数量,6,4,6,1,以%1为参照物，寻找%2%3格内%4%5数量,,"1,1,0,1,1,0",,1,6,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1032|1|0,2|3400,,,,,,,,,
600418,寻找区域内所有生物,6,4,6,1,以%1为参照物，寻找区域%2内%3所有的%4,,"1,1,0,1,1,0",,1,32,1048|1|0,3|600101,1001|1|0,,1208|1|0,3|600103,1032|1|0,2|3400,,,,,8,,,,,,
600501,寻找最近方块位置,6,5,6,1,"以%1为参照物,寻找最近的%2格内%3的位置",2,"1,1,0,1,1,0",,1,3,1048|1|0,3|600101,1005|1|0,1|10,1025|1|0,,,,,,,,,,,,,,
600510,位置的光照强度,6,5,6,1,%1的光照强度,2,"1,1,0,1,1,0",,1,6,1002|1|0,,,,,,,,,,,,,,,,,,
600599,投掷物对象,6,6,6,1,%1对象,,"1,1,0,1,1,0",,1,47,1044|1|0,,,,,,,,,,,,8,,,,,,
600600,掉落物对象,6,6,6,1,%1对象,,"1,1,0,1,1,0",,1,47,1030|1|0,,,,,,,,,,,,8,100,,,,,
600601,道具属性,6,6,6,1,道具:%1的%2,1,"1,1,0,1,1,0",,1,6,1048|1|0,,1099|1|0,5|680001,,,,,,,,,8,,,,,,
600602,特定道具类型,6,6,6,1,%1类型道具,1,"1,1,0,1,1,0",,1,105,1028|1|2,,,,,,,,,,,,,,,,,,
600603,拥有的道具数量,6,6,6,1,%1拥有的%2的数量,1,"1,1,0,1,1,0",,1,6,1048|1|0,3|600101,1028|1|0,2|200,,,,,,,,,,,,,,,
600604,获得对象道具类型,0,6,0,1,%1的道具类型,1,"1,1,0,1,1,0",,1,27,1048|1|0,,,,,,,,,,,,,,,,,,
600605,寻找最近的特定道具,6,6,6,1,以%1为参照物，寻找%2%3格内%4最近的%5,1,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,3|600602,,,8,,,,,,
600606,寻找最近的特定道具,6,6,6,1,以%1为参照物，寻找%2%3格内最近的%4,1,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1028|1|0,2|200,,,,,,,,,,,
600611,道具属性,0,6,0,1,道具:%1的%2,1,"1,1,0,1,1,0",,1,6,1048|1|0,,1099|1|0,5|680001,,,,,,,,,,,,,,,
600612,手持的道具类型,6,6,6,1,%1手持的道具类型,1,"1,1,0,1,1,0",,1,27,1048|1|0,,,,,,,,,,,,,,,,,,
601001,随机数,6,10,6,0,生成随机整数:%1至%2,6,"1,1,0,1,1,0",,1,6,1005|1|0,1|1,1005|1|0,1|10,,,,,,,,,,,,,,,
601002,高级四则运算,6,10,6,1,%1%2%3,6,"1,1,0,1,1,0",,1,6,1005|1|0,1|0,1017|1|2,5|130001,1005|1|0,1|0,,,,,,,,,,,,,
601101,位置组中指定编号的位置,6,11,6,1,%1中编号为%2的位置,6,"1,1,0,1,1,0",,0,3,1062|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,
601102,位置组中的随机位置,6,11,6,1,%1中的随机位置,6,"1,1,0,1,1,0",,1,3,1062|0|0,,,,,,,,,,,,,,,,,,
601103,数值组中指定编号的数值,6,11,6,1,%1中编号为%2的数值,6,"1,1,0,1,1,0",,0,6,1064|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,
601104,数值组中的随机数值,6,11,6,1,%1中的随机数值,6,"1,1,0,1,1,0",,1,6,1064|0|0,,,,,,,,,,,,,,,,,,
601105,区域组中指定编号的区域,6,11,6,1,%1中编号为%2的区域,6,"1,1,0,1,1,0",,0,2,1063|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,
601106,区域组中的随机区域,6,11,6,1,%1中的随机区域,6,"1,1,0,1,1,0",,1,2,1063|0|0,,,,,,,,,,,,,,,,,,
601107,对象组中指定编号的对象,6,11,6,1,%1中编号为%2的对象,6,"1,1,0,1,1,0",,0,47,1201|0|0,,1005|1|0,1|1,,,,,,,,,,,,,,,
601108,对象组中的随机对象,6,11,6,1,%1中的随机对象,6,"1,1,0,1,1,0",,1,47,1201|0|0,,,,,,,,,,,,,,,,,,
601201,计时器时间,6,12,6,1,%1的时间,,"1,1,0,1,1,0",,1,6,1040|1|0,,,,,,,,,,,,,,,,,,
610101,获取对象位置,6,101,6,1,获取%1位置,,"1,1,0,1,1,0",,1,3,1048|1|0,,,,,,,,,,,,,,,,,,
610102,寻找最近对象,6,101,6,1,以%1为参照物，寻找%2%3格内%4最近的%5,,"1,1,0,1,1,0",,1,47,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,5|730001,,,,,,,,,
610103,寻找周边对象,6,101,6,1,以%1为参照物，寻找%2%3格内%4%5,,"1,1,0,1,1,0",,1,201,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,5|730001,,,,,,,,,
610104,获取周边对象数量,6,101,6,1,以%1为参照物，寻找%2%3格内%4%5数量,,"1,1,0,1,1,0",,1,6,1048|1|0,3|600101,1209|1|2,5|2090001,1005|1|0,1|10,1208|1|0,3|600103,1106|1|0,5|730001,,,,,,,,,
610105,寻找区域内所有对象,6,101,6,1,以%1为参照物，寻找区域%2内%3的所有%4,,"1,1,0,1,1,0",,1,201,1048|1|0,3|600101,1001|1|0,,1208|1|0,3|600103,1106|1|0,5|730001,,,,,8,,,,,,
700001,行为树变量（区域）,7,21,7,0,,,"1,1,0,1,1,0",,,2,,,,,,,,,,,,,,,,,,,
700002,行为树变量（位置）,7,22,7,0,,,"1,1,0,1,1,0",,,3,,,,,,,,,,,,,,,,,,,
700003,行为树变量（数值）,7,23,7,0,,,"1,1,0,1,1,0",,,6,,,,,,,,,,,,,,,,,,,
700004,行为树变量（字符串）,7,24,7,0,,,"1,1,0,1,1,0",,,11,,,,,,,,,,,,,,,,,,,
700005,行为树变量（布尔值）,7,25,7,0,,,"1,1,0,1,1,0",,,13,,,,,,,,,,,,,,,,,,,
700006,行为树变量（对象）,7,30,7,0,,,"1,1,0,1,1,0",,,47,,,,,,,,,,,,,,,,,,,
700007,行为树变量（对象类型）,0,31,0,0,,,"1,1,0,1,1,0",,,105,,,,,,,,,,,,,,,,,,,
700008,行为树变量（对象组）,7,30,7,0,,,"1,1,0,1,1,0",,,201,,,,,,,,,,,,,,,,,,,
700009,行为树变量（玩家）,7,3,7,0,,,"1,1,0,1,1,0",,,17,,,,,,,,,,,,,,,,,,,
700010,行为树变量（玩家组）,7,3,7,0,,,"1,1,0,1,1,0",,,18,,,,,,,,,,,,,,,,,,,
700011,行为树变量（方块类型）,7,5,7,0,,,"1,1,0,1,1,0",,,24,,,,,,,,,,,,,,,,,,,
700012,行为树变量（道具类型）,7,6,7,0,,,"1,1,0,1,1,0",,,27,,,,,,,,,,,,,,,,,,,
700013,行为树变量（生物）,7,4,7,0,,,"1,1,0,1,1,0",,,30,,,,,,,,,,,,,,,,,,,
700014,行为树变量（生物类型）,7,26,7,0,,,"1,1,0,1,1,0",,,31,,,,,,,,,,,,,,,,,,,
700015,行为树变量（生物组）,7,4,7,0,,,"1,1,0,1,1,0",,,32,,,,,,,,,,,,,,,,,,,
700016,行为树变量（计时器）,7,12,7,0,,,"1,1,0,1,1,0",,,39,,,,,,,,,,,,,,,,,,,
700017,行为树变量（特效类型）,7,14,7,0,,,"1,1,0,1,1,0",,,44,,,,,,,,,,,,,,,,,,,
700018,行为树变量（位置组）,7,22,7,0,,,"1,1,0,1,1,0",,,61,,,,,,,,,,,,,,,,,,,
700019,行为树变量（区域组）,7,21,7,0,,,"1,1,0,1,1,0",,,62,,,,,,,,,,,,,,,,,,,
700020,行为树变量（数值组）,7,23,7,0,,,"1,1,0,1,1,0",,,63,,,,,,,,,,,,,,,,,,,
700021,行为树变量（字符串组）,7,24,7,0,,,"1,1,0,1,1,0",,,64,,,,,,,,,,,,,,,,,,,
700022,行为树变量（布尔值组）,7,25,7,0,,,"1,1,0,1,1,0",,,65,,,,,,,,,,,,,,,,,,,
700023,行为树变量（方块类型组）,0,5,0,0,,,"1,1,0,1,1,0",,,66,,,,,,,,,,,,,,,,,,,
700024,行为树变量（道具类型组）,0,6,0,0,,,"1,1,0,1,1,0",,,67,,,,,,,,,,,,,,,,,,,
700025,行为树变量（生物类型组）,0,26,0,0,,,"1,1,0,1,1,0",,,68,,,,,,,,,,,,,,,,,,,
700026,行为树变量（计时器组）,7,12,7,0,,,"1,1,0,1,1,0",,,69,,,,,,,,,,,,,,,,,,,
700027,行为树变量（特效类型组）,0,14,0,0,,,"1,1,0,1,1,0",,,70,,,,,,,,,,,,,,,,,,,
708001,全局变量模板（区域）,7,27,8,0,,,"1,1,0,1,1,0",,,2,,,,,,,,,,,,,,,,,,,
708002,全局变量模板（位置）,7,28,8,0,,,"1,1,0,1,1,0",,,3,,,,,,,,,,,,,,,,,,,
708003,全局变量模板（数值）,7,23,8,0,,,"1,1,0,1,1,0",,,6,,,,,,,,,,,,,,,,,,,
708004,全局变量模板（字符串）,7,24,8,0,,,"1,1,0,1,1,0",,,11,,,,,,,,,,,,,,,,,,,
708005,全局变量模板（布尔值）,7,25,8,0,,,"1,1,0,1,1,0",,,13,,,,,,,,,,,,,,,,,,,
708006,全局变量模板（玩家）,7,3,8,0,,,"1,1,0,1,1,0",,,17,,,,,,,,,,,,,,,,,,,
708007,全局变量模板（玩家组）,7,3,8,0,,,"1,1,0,1,1,0",,,18,,,,,,,,,,,,,,,,,,,
708008,全局变量模板（方块类型）,7,5,8,0,,,"1,1,0,1,1,0",,,24,,,,,,,,,,,,,,,,,,,
708009,全局变量模板（道具类型）,7,6,8,0,,,"1,1,0,1,1,0",,,27,,,,,,,,,,,,,,,,,,,
708010,全局变量模板（生物）,7,4,8,0,,,"1,1,0,1,1,0",,,30,,,,,,,,,,,,,,,,,,,
708011,全局变量模板（生物类型）,7,26,8,0,,,"1,1,0,1,1,0",,,31,,,,,,,,,,,,,,,,,,,
708012,全局变量模板（生物组）,7,4,8,0,,,"1,1,0,1,1,0",,,32,,,,,,,,,,,,,,,,,,,
708013,全局变量模板（计时器）,7,12,8,0,,,"1,1,0,1,1,0",,,39,,,,,,,,,,,,,,,,,,,
708014,全局变量模板（特效类型）,7,14,8,0,,,"1,1,0,1,1,0",,,44,,,,,,,,,,,,,,,,,,,
708015,全局变量模板（位置组）,7,22,8,0,,,"1,1,0,1,1,0",,,61,,,,,,,,,,,,,,,,,,,
708016,全局变量模板（区域组）,7,21,8,0,,,"1,1,0,1,1,0",,,62,,,,,,,,,,,,,,,,,,,
708017,全局变量模板（数值组）,7,23,8,0,,,"1,1,0,1,1,0",,,63,,,,,,,,,,,,,,,,,,,
708018,全局变量模板（字符串组）,7,24,8,0,,,"1,1,0,1,1,0",,,64,,,,,,,,,,,,,,,,,,,
708019,全局变量模板（布尔值组）,7,25,8,0,,,"1,1,0,1,1,0",,,65,,,,,,,,,,,,,,,,,,,
708020,全局变量模板（方块类型组）,7,5,8,0,,,"1,1,0,1,1,0",,,66,,,,,,,,,,,,,,,,,,,
708021,全局变量模板（道具类型组）,7,6,8,0,,,"1,1,0,1,1,0",,,67,,,,,,,,,,,,,,,,,,,
708022,全局变量模板（生物类型组）,7,26,8,0,,,"1,1,0,1,1,0",,,68,,,,,,,,,,,,,,,,,,,
708023,全局变量模板（计时器组）,7,12,8,0,,,"1,1,0,1,1,0",,,69,,,,,,,,,,,,,,,,,,,
708024,全局变量模板（特效类型组）,7,14,8,0,,,"1,1,0,1,1,0",,,70,,,,,,,,,,,,,,,,,,,
