物品ID,物品名称（仅备注用）,分类ID,界面分类ID(控制在哪个UI分类下显示的字段，支持填多个ID),品质（-1糟糕，0普通，1稀有，2珍贵，3传说）,需要家园等级（一般用于购买限制）,系列（填stringid）,品牌（填文件夹.文件名，路径在res/ui下）,家园评分,图鉴评分,出售类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）编辑背包回收,出售价格,功能数量（用到几个功能就填几）,功能1ID,功能1值1,功能1值2,功能1值3,功能1值4,功能2ID,功能2值1,功能2值2,功能2值3,功能2值4,功能3ID,功能3值1,功能3值2,功能3值3,功能3值4,界面模型大小,占地大小(512=半格砖 1024=4分之1砖),替代描述（对应stringID，屏蔽原描述和合成配方，显示本表配置描述）
ItemID,Name,ItemType,UiType,Quality,HomeLv,Series,Brand,HomeScore,HandBookScore,SellType,SellNum,FunctionNum,Function1_ID,Function1_val1,Function1_val2,Function1_val3,Function1_val4,Function2_ID,Function2_val1,Function2_val2,Function2_val3,Function2_val4,Function3_ID,Function3_val1,Function3_val2,Function3_val3,Function3_val4,ModelSize,AreaSize,ReplaceString
3,静态水,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,
639,粉色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
640,灰色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
641,淡灰色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
642,青色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
643,紫色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
644,蓝色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
645,棕色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
646,绿色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
647,红色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
648,黑色玻璃块,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
649,玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
650,白色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
651,橙色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
652,洋红玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
653,淡蓝玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
654,黄色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
655,黄绿色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
656,粉色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
657,灰色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
658,淡灰色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
659,青色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
660,紫色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
661,蓝色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
662,棕色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
663,绿色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
664,红色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
665,黑色玻璃片,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
666,硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
667,白色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
668,橙色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
669,紫红硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
670,淡蓝硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
671,黄色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
672,淡绿硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
673,粉色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
674,灰色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
675,淡灰硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
676,青色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
677,紫色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
678,蓝色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
679,褐色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,250,1,,,,,,,,40904
680,绿色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
681,红色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
682,黑色硬砂块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
683,龙纹石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,1000,1,,,,,,,,40904
684,斜纹黑石块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,300,1,,,,,,,,40904
685,竖纹糖块,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,300,1,,,,,,,,40904
686,巧克力砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,300,1,,,,,,,,40904
687,香薰宫灯,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,1000,1,,,,,,,,40902
689,中式镂空窗,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,1000,1,,,,,,,,40901
731,木质天窗,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,300,1,,,,,,,,40901
812,轻木门,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,700,1,,,,,,,2,40901
813,爬梯,1002,1101|1103,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40904
814,精铁门,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,800,1,,,,,,,2,40901
816,南瓜灯,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
820,书柜,1002,1201|1204,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
822,草垛,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,200,1,,,,,,,,40902
828,床,1002,1201|1204,0,,,,,,2,10,2,1,1x1x1,,,,13,2,,800,1,,,,,,,2,40901
854,楠木门,1002,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,2,40901
855,胡桃木门,1002,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,2,40901
856,白杨木门,1002,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,2,40901
857,金铁门,1002,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,2,40901
858,红杉木门,1002,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,2,40901
859,果木门,1002,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,2,40901
860,落叶松木门,1002,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,2,40901
861,木纹灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
862,白色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,700,1,,,40902
863,橙色玻璃灯,1004,1101|1104,2,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
864,紫红玻璃灯,1004,1101|1104,3,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
865,淡蓝玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,700,1,,,40902
866,黄色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,700,1,,,40902
867,淡绿玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
868,粉色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
869,灰色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,700,1,,,40902
870,淡灰玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,700,1,,,40902
871,青色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
872,紫色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
873,蓝色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
874,褐色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,700,1,,,40902
875,绿色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
876,红色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
877,黑色玻璃灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,800,1,,,40902
879,圣诞铃铛,1004,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40902
880,圣诞条带,1004,1101|1104,0,,,,,,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40902
881,喷花烟花,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,2000,1,,,40902
883,精致木床,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,2,40901
884,豪华木床,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,2,40901
885,公主床,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,2,40901
898,灯笼,1001,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
899,古典路灯,1002,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
900,现代路灯,1002,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
919,红色战旗,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,2,40902
920,蓝色战旗,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,2,40902
921,绿色战旗,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,2,40902
922,黄色战旗,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,2,40902
923,橙色战旗,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,2,40902
924,紫色战旗,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,2,40902
925,白色战旗,1004,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,,,,,,,,,,,,2,40902
926,黑色铁围栏,1002,1101|1103,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40904
927,白色铁围栏,1002,1101|1103,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
928,小花盆,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
929,大花盆,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
931,蜡烛台,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
933,吊灯,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
934,典雅壁灯,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
935,精致壁灯,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
936,台灯,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
940,春节窗花-福,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
941,春节窗花-禄,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
942,春节窗花-寿,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
943,春节窗花-喜,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
944,新春灯笼,1004,1201|1202,0,,,,,,,,1,1,1x1x1,,,,,,,,,,,,,,,,40902
945,中式宫灯,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
946,红色陶花盆,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
947,绿色陶花盆,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
948,大瓷花盆,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
949,新春宫灯,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,,40902
960,基石-混凝土,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40904
961,基石-裂土,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40904
962,白色基石,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40904
963,基石-坚冰,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40904
964,基石-钢板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40904
965,果木椅子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40901
966,果木桌子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
967,果木沙发,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40901
968,棕色壁炉,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
969,果木柜子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
970,白杨椅子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40901
971,白杨桌子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
972,白杨沙发,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40901
973,白色壁炉,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
974,白杨柜子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
975,松木椅子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40901
976,松木桌子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
977,松木沙发,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40901
978,黑色壁炉,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
979,松木柜子,1001,1201|1204,0,,,,,10,2,10,3,1,1x1x1,,,,,,,,,,,,,,,,40905
981,方片花纹砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
982,棕色花纹砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
983,黑白花纹砖,1002,1101|1102,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
984,白蓝花纹玻璃片,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
985,绿蓝花纹玻璃片,1002,1101|1104,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
986,小彩旗,1004,1201|1202,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40902
1060,反射镜,1004,1201|1202,0,,,,,,2,10,2,1,1x1x1,,,,19,1,,,,,,,,,,,40902
1064,蓝图工作台,2001,2001,0,,,,,,,,1,1,1x1x1,,,,19,1,,,,,,,,,,,
1101,实验室门,1002,1101|1104,0,,,,,10,2,10,3,1,1x1x2,,,,14,,,,,13,2,,2000,1,,2,40903
1102,镜冰,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,300,1,,,40904
1103,冰灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,300,1,,,40902
1104,花纹电石块,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,300,1,,,40904
1105,电石铁块,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1106,电石铁板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1107,紫线铁块,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,300,1,,,40904
1108,厚铁板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1109,镂空铁板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1110,实验室灯,1002,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,300,1,,,40902
1111,锈铁门,1002,1101|1104,0,,,,,10,2,10,3,1,1x1x2,,,,14,,,,,13,2,,200,1,,2,40903
1112,铁丝网,1002,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1113,竖纹铁板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1114,锈铁板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1115,条纹锈铁板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1116,镂空锈铁板,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1117,电石锈铁块,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1118,荧光灯,1004,1101|1104,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,300,1,,,40902
1119,花纹铁块,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1120,旧铁块,1002,1101|1102,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,200,1,,,40904
1121,橙色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1122,洋红旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1123,淡蓝旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1124,黄色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1125,黄绿色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1126,粉色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1127,灰色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1128,淡灰色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1129,青色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1130,紫色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1131,蓝色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1132,棕色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1133,绿色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1134,红色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1135,黑色旧铁块,1002,1101|1102,0,,,,,,,,2,1,1x1x1,,,,19,1,,,,,,,,,,,40904
1136,雪梅屏风,1001,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1500,1,,2,40902
1137,红烛灯,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,40902
1145,春节窗花-牛,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,
1147,春节窗花-虎,1004,1201|1202,0,,,,,10,2,10,3,1,1x1x1,,,,14,,,,,13,2,,1000,1,,,
1400,音乐盒,1003,1203,1,,,,,10,2,100,1,1,1x1x1,,,,,,,,,,,,,,,,
1402,重力装置,1003,1203,1,,,,,10,2,100,1,1,1x1x1,,,,,,,,,,,,,,,,
1403,天气控制器,1003,1203,1,,,,,10,2,100,1,1,1x1x1,,,,,,,,,,,,,,,,
1404,家园工作台,1003,1203,1,,,,,,2,100,2,1,1x1x1,,,,,,,,,,,,,,,,
1405,宠物窝,1003,1203,1,,,,,,,,2,1,1x1x1,,,,,,,,,,,,,,,,
1406,灶台,1003,1203,1,,,,,,,,2,1,1x1x1,,,,,,,,,,,,,,,,
1451,荣誉架,1003,1203,1,,,,,10,2,100,1,1,1x1x1,,,,,,,,,,,,,,,,
1452,向阳花,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1453,红色龙舌兰,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1454,龙血花,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1455,野蔷薇,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1456,小白菊,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1457,茶树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1458,香蕉树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1459,西瓜藤,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1460,芒果树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1461,梨树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1462,柑橘树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1463,桃子树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1464,水稻,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1465,麦子,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1466,土豆,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1467,南瓜,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1468,甘蔗,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1469,满的蜂巢,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1470,辣椒树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1471,棉花树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1472,果树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1473,落叶松,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1474,白杨树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1475,红杉树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1476,楠树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1477,胡桃树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1478,食用小蘑菇,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1479,食用小红菇,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1480,咖啡豆树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1481,球球豆树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1482,氧气果树,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1483,橙色龙舌兰,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1484,灰色龙舌兰,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1485,粉色龙舌兰,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1486,胡萝卜,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
1493,向阳花（苗）,5008,5008,0,,,,,,,,,,,,,,19,1,,,,,,,,,,,
