iD,唯一id（=id*1000+Tunestonelevel）,名字,权重,符文石等级（1低级，2中级，3高级）,符文石类型（1攻击，2防御，4效率，3攻击+防御，5攻击+效率，6防御+效率，7攻击+防御+效率）,分类类型(同类型的符文互斥，不会出现在同一装备上),效果类型,效果数值1最小值,效果数值1最大值,效果数值2最小值,效果数值2最大值,"攻击类型: -1不限, 0:近程,1:远程,2:爆炸, 3:火,4:毒,5:暗,6:电,7:冰","目标类型:-1不限,0玩家npc,1野兽、2野人、3精英、4虚空、6外星、7水生",冲突类型（默认0，不冲突）,属性描述,显示类型（0/不填：正常数值&使用数值1，1：显示buff等级&使用数值2，2：显示百分数&使用数值1&需要程序*100，3：显示百分数&使用数值1，4：直接显示描述，5显示小数&需要程序/100）,工具类型1（对应tooldef.csv中的Type字段）,工具类型2,工具类型3,工具类型4,工具类型5,工具类型6,工具类型7,工具类型8,工具类型9,工具类型10,工具类型11,工具类型12,图标特效颜色, 基础特效, 基础特效2,图标（脚本ID库使用，引用IconBank表图标id）,,繁体属性描述,英文属性描述,激活道具
44,44002,坚毅,100,2,2,9,DAMAGE_DEC,0.05,0.08,,,-1,-1,,伤害减免+,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_punch_add,,,,
44,44003,坚毅,100,3,2,9,DAMAGE_DEC,0.08,0.125,,,-1,-1,,伤害减免+,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_punch_add,,,,
45,45001,远程保护,100,1,2,10,RANGE_DAMAGE_DEC,0.02,0.05,,,1,-1,,远程物理伤害-,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_range_add,,,,
45,45002,远程保护,100,2,2,10,RANGE_DAMAGE_DEC,0.05,0.08,,,1,-1,,远程物理伤害-,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_range_add,,,,
45,45003,远程保护,100,3,2,10,RANGE_DAMAGE_DEC,0.08,0.125,,,1,-1,,远程物理伤害-,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_range_add,,,,
46,46001,爆炸保护,100,1,2,11,EXPLODE_DEC,0.02,0.05,,,2,-1,,爆炸伤害-,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_explode_add,,,,
46,46002,爆炸保护,100,2,2,11,EXPLODE_DEC,0.05,0.08,,,2,-1,,爆炸伤害-,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_explode_add,,,,
46,46003,爆炸保护,100,3,2,11,EXPLODE_DEC,0.08,0.125,,,2,-1,,爆炸伤害-,2,8,9,10,11,,,,,,,,,ff8033CD,,,damaged_explode_add,,,,
47,47001,韧性恢复速度,0,1,1,27,TOUGH_REC,0.1,0.15,,,-1,-1,,韧性恢复速度+,2,,,,,,,,,,,,,ff8033CD,,,Hamster_Ball,,,,
47,47002,韧性恢复速度,0,2,1,27,TOUGH_REC,0.2,0.25,,,-1,-1,,韧性恢复速度+,2,,,,,,,,,,,,,ff8033CD,,,Hamster_Ball,,,,
47,47003,韧性恢复速度,0,3,1,27,TOUGH_REC,0.3,0.35,,,-1,-1,,韧性恢复速度+,2,,,,,,,,,,,,,ff8033CD,,,Hamster_Ball,,,,
48,48001,跳高高,100,1,2,28,JUMP_INC,1,2,,,-1,-1,,跳跃能力+,,8,9,10,11,,,,,,,,,ff8033CD,item_11016_noop,,model_ghost,,,,
48,48002,跳高高,100,2,2,28,JUMP_INC,3,4,,,-1,-1,,跳跃能力+,,8,9,10,11,,,,,,,,,ff8033CD,item_11016_noop,,model_ghost,,,,
48,48003,跳高高,100,3,2,28,JUMP_INC,5,6,,,-1,-1,,跳跃能力+,,8,9,10,11,,,,,,,,,ff8033CD,item_11016_noop,,model_ghost,,,,
49,49001,变变变,100,1,5,1,ADDBUFF,0.02,0.04,1003001,1003001,-1,-1,,使敌方变身概率+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,knock,,,,
49,49002,变变变,100,2,5,1,ADDBUFF,0.05,0.07,1003001,1003001,-1,-1,,使敌方变身概率+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,knock,,,,
49,49003,变变变,100,3,5,1,ADDBUFF,0.07,0.1,1003001,1003001,-1,-1,,使敌方变身概率+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,knock,,,,
50,50001,耐久保护,150,1,2,29,DURABLE_PROB,0.1,0.2,,,-1,-1,,不掉耐久的概率+,2,8,9,10,11,,,,,,,,,ff8033CD,,,armor_add,,,,
50,50002,耐久保护,150,2,2,29,DURABLE_PROB,0.2,0.3,,,-1,-1,,不掉耐久的概率+,2,8,9,10,11,,,,,,,,,ff8033CD,,,armor_add,,,,
50,50003,耐久保护,150,3,2,29,DURABLE_PROB,0.3,0.4,,,-1,-1,,不掉耐久的概率+,2,8,9,10,11,,,,,,,,,ff8033CD,,,armor_add,,,,
51,51001,快速钓鱼,100,1,4,30,FISHING_TIME_DEC,0.1,0.15,,,-1,-1,,钓鱼速度+,2,29,,,,,,,,,,,,ff8033CD,magic_lucky,magic_goldring,luck_killmob,,,,
51,51002,快速钓鱼,100,2,4,30,FISHING_TIME_DEC,0.2,0.25,,,-1,-1,,钓鱼速度+,2,29,,,,,,,,,,,,ff8033CD,magic_lucky,magic_goldring,luck_killmob,,,,
51,51003,快速钓鱼,100,3,4,30,FISHING_TIME_DEC,0.3,0.35,,,-1,-1,,钓鱼速度+,2,29,,,,,,,,,,,,ff8033CD,magic_lucky,magic_goldring,luck_killmob,,,,
52,52001,迟缓,100,1,5,1,ADDBUFF,0.03,0.06,1000003,1000003,-1,-1,,使敌方减速概率+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,move_speed_add,,,,
52,52002,迟缓,100,2,5,1,ADDBUFF,0.06,0.1,1000003,1000003,-1,-1,,使敌方减速概率+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,move_speed_add,,,,
52,52003,迟缓,100,3,5,1,ADDBUFF,0.1,0.15,1000003,1000003,-1,-1,,使敌方减速概率+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,move_speed_add,,,,
53,53001,挖掘体力降低,100,1,4,31,DIGGING_STRENGTH_DEC,0.05,0.1,,,-1,-1,,挖掘体力下降,2,1,2,3,4,,,,,,,,,ff8033CD,,,dig_speed_add,,,,
53,53002,挖掘体力降低,100,2,4,31,DIGGING_STRENGTH_DEC,0.1,0.2,,,-1,-1,,挖掘体力下降,2,1,2,3,4,,,,,,,,,ff8033CD,,,dig_speed_add,,,,
53,53003,挖掘体力降低,100,3,4,31,DIGGING_STRENGTH_DEC,0.15,0.2,,,-1,-1,,挖掘体力下降,2,1,2,3,4,,,,,,,,,ff8033CD,,,dig_speed_add,,,,
54,54001,陨石落,1,1,2,32,FALL_DAMAGE,,,,,-1,-1,,陨石落,4,9,,,,,,,,,,,,ff8033CD,magic_sharp,,,,陨石落,,11080
54,54002,陨石落,5,2,2,32,FALL_DAMAGE,,,,,-1,-1,,陨石落,4,9,,,,,,,,,,,,ff8033CD,magic_sharp,,,,陨石落,,11080
54,54003,陨石落,10,3,2,32,FALL_DAMAGE,,,,,-1,-1,,陨石落,4,9,,,,,,,,,,,,ff8033CD,magic_sharp,,,,陨石落,,11080
55,55001,星星经验加成,150,1,5,33,STAR_INC,0.02,0.05,,,-1,-1,,星星经验获取+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,luck_dig,,,,
55,55002,星星经验加成,150,2,5,33,STAR_INC,0.06,0.1,,,-1,-1,,星星经验获取+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,luck_dig,,,,
55,55003,星星经验加成,150,3,5,33,STAR_INC,0.1,0.15,,,-1,-1,,星星经验获取+,2,6,7,1,2,3,4,29,,,,,,ff8033CD,,,luck_dig,,,,
56,56001,技能疾速,200,1,1,34,WEAPON_SKILL_CD_DEC,0.02,0.05,,,-1,-1,,技能冷却-,2,6,7,1,2,3,4,,,,,,,ff8033CD,,,,,,,11664
56,56002,技能疾速,200,2,1,34,WEAPON_SKILL_CD_DEC,0.06,0.1,,,-1,-1,,技能冷却-,2,6,7,1,2,3,4,,,,,,,ff8033CD,,,,,,,11664
56,56003,技能疾速,200,3,1,34,WEAPON_SKILL_CD_DEC,0.1,0.15,,,-1,-1,,技能冷却-,2,6,7,1,2,3,4,,,,,,,ff8033CD,,,,,,,11664
57,57001,最后一击,1,1,1,35,COMBO_LAST_INC,,,,,-1,-1,,最后一击伤害+2%,4,6,,,,,,,,,,,,ff8033CD,magic_sharp,,,,,,
57,57002,最后一击,5,2,1,35,COMBO_LAST_INC,,,,,-1,-1,,最后一击伤害+2%,4,6,,,,,,,,,,,,ff8033CD,magic_sharp,,,,,,
57,57003,最后一击,100,3,1,35,COMBO_LAST_INC,,,,,-1,-1,,最后一击伤害+2%,4,6,,,,,,,,,,,,ff8033CD,magic_sharp,,,,,,
58,58001,击退抗性,80,1,2,36,REPEL_RES,500,500,,,-1,-1,,击退抗性+5%,4,8,9,10,11,,,,,,,,,ff8033CD,magic_impact,,knock_resist,,,,
58,58002,击退抗性,80,2,2,36,REPEL_RES,1000,1000,,,-1,-1,,击退抗性+10%,4,8,9,10,11,,,,,,,,,ff8033CD,magic_impact,,knock_resist,,,,
58,58003,击退抗性,80,3,2,36,REPEL_RES,1500,1500,,,-1,-1,,击退抗性+15%,4,8,9,10,11,,,,,,,,,ff8033CD,magic_impact,,knock_resist,,,,
59,59001,野兽伤害加成,150,1,1,3,MONSTER_DAMAGE,0.1,0.2,,,-1,1,,对野兽伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_animal_add,,,,
59,59002,野兽伤害加成,150,2,1,3,MONSTER_DAMAGE,0.25,0.35,,,-1,1,,对野兽伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_animal_add,,,,
59,59003,野兽伤害加成,150,3,1,3,MONSTER_DAMAGE,0.4,0.5,,,-1,1,,对野兽伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_animal_add,,,,
60,60001,野人伤害加成,150,1,1,3,MONSTER_DAMAGE,0.1,0.2,,,-1,2,,对野人伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_undead_add,,,,
60,60002,野人伤害加成,150,2,1,3,MONSTER_DAMAGE,0.25,0.35,,,-1,2,,对野人伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_undead_add,,,,
60,60003,野人伤害加成,150,3,1,3,MONSTER_DAMAGE,0.4,0.5,,,-1,2,,对野人伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_undead_add,,,,
61,61001,精英伤害加成,150,1,1,3,MONSTER_DAMAGE,0.1,0.2,,,-1,3,,对精英伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_wither_reduce,,,,
61,61002,精英伤害加成,150,2,1,3,MONSTER_DAMAGE,0.25,0.35,,,-1,3,,对精英伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_wither_reduce,,,,
61,61003,精英伤害加成,150,3,1,3,MONSTER_DAMAGE,0.4,0.5,,,-1,3,,对精英伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_wither_reduce,,,,
62,62001,虚空伤害加成,150,1,1,3,MONSTER_DAMAGE,0.1,0.2,,,-1,4,,对虚空生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_animal_add,,,,
62,62002,虚空伤害加成,150,2,1,3,MONSTER_DAMAGE,0.25,0.35,,,-1,4,,对虚空生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_animal_add,,,,
62,62003,虚空伤害加成,150,3,1,3,MONSTER_DAMAGE,0.4,0.5,,,-1,4,,对虚空生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_animal_add,,,,
63,63001,外星伤害加成,150,1,1,3,MONSTER_DAMAGE,0.1,0.2,,,-1,6,,对外星生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_undead_add,,,,
63,63002,外星伤害加成,150,2,1,3,MONSTER_DAMAGE,0.25,0.35,,,-1,6,,对外星生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_undead_add,,,,
63,63003,外星伤害加成,150,3,1,3,MONSTER_DAMAGE,0.4,0.5,,,-1,6,,对外星生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_undead_add,,,,
64,64001,水生伤害加成,150,1,1,3,MONSTER_DAMAGE,0.1,0.2,,,-1,7,,对水生生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_wither_reduce,,,,
64,64002,水生伤害加成,150,2,1,3,MONSTER_DAMAGE,0.25,0.35,,,-1,7,,对水生生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_wither_reduce,,,,
64,64003,水生伤害加成,150,3,1,3,MONSTER_DAMAGE,0.4,0.5,,,-1,7,,对水生生物伤害+,2,6,7,,,,,,,,,,,ff8033CD,magic_hunter,,attack_wither_reduce,,,,
