iD,备注（坐骑必须配置两个，服务器解锁用0级，客户端商店用1级）,被骑时高度,存档界面显示放缩,商城界面显示放缩,最小生命,最大生命,最小陆地速度,最大陆地速度,最小飞行速度,最大飞行速度,最小游泳速度,最大游泳速度,最小跳跃高度,最大跳跃高度,坐骑蛋ID,下蛋时间(刻),骑乘切换背视角,子模型显示（原鞍使用模型）,天生装备鞍,天生装备铠甲,铠甲栏位概率,天生技能1（1孵化蛋，2蓄力期间加速，3水上行走，4超级跳跃，5滑翔，6岩浆行走，7奔腾）,天生技能2（同天生技能1）,天生技能3（同天生技能1）,坐骑类型(1=变形关联坐骑2=驯服类坐骑3=解锁坐骑),骑乘绑点ID,"个人中心界面位置调整（基准位置-260, 20, -150）"
4631,妆盒坐骑0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-280, -50, -150"
4632,小粉匣,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,156,,,3,200,"-280, -50, -150"
4633,藏星之盒,290,0.5,0.9,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,156,158,,3,210,"-280, -50, -150"
4634,揽梦之翼,290,0.5,0.65,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,157,158,159,3,220,"-280, -50, -150"
4635,雪花0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,"-260, 80, -150"
4636,雪琉璃,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,160,161,,3,200,"-280, 80, -150"
4637,冰霜绽放,290,0.5,,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,160,161,162,3,210,"-260, 80, -150"
4638,雪花3级预留,290,0.5,,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,,,,3,,"-260, 80, -150"
4639,魔藤圣导 菲丽茜亚0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,1,,
4640,魔藤圣导 菲丽茜亚,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,1,,
4641,秘境精灵 菲丽茜亚0级,290,0.5,,100,100,2000,2000,,,,,70,70,,,,1,11810,,,,,,1,,
4642,秘境精灵 菲丽茜亚,290,0.5,,100,100,2000,2000,,,,,70,70,,,,2,12273,12274,,,,,1,,
4643,迷你变形车0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4644,迷你变形车,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,163,,,3,,
4645,庆典之书0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4646,庆典之书,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,164,165,166,3,,
4647,咕噜兽0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4648,咕噜兽,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,167,168,169,3,,
4649,粽香摇0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4650,粽香摇,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,170,171,172,3,,
4651,路障0级,290,0.7,,100,100,1000,1000,,,,,80,80,,,1,1,11810,,1,,,,1,,
4652,路障,290,0.7,,100,100,2000,2000,,,,,80,80,,,1,2,12273,12274,100,,,,1,,
4653,山川云海0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4654,山川云海,290,0.5,0.55,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,173,174,175,3,,
4655,邂逅甜心0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4656,邂逅甜心,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,176,177,178,3,,
4657,擎天圣0级,290,0.7,,100,100,1000,1000,,,,,80,80,,,1,1,11810,,1,,,,1,,
4658,擎天圣,290,0.7,,100,100,2000,2000,,,,,80,80,,,1,2,12273,12274,100,,,,1,,
4659,天禄0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4660,天禄,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,179,,,3,,
4661,核桃0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4662,核桃,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,180,,,3,,
4663,音乐盒0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4664,乐见音乐盒,290,0.5,0.8,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,181,,,3,200,
4665,逐星乐盒,290,0.5,0.8,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,181,182,,3,210,
4666,星穹之乐,290,0.5,0.55,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,183,182,184,3,220,
4667,秋千坐骑0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4668,翠叶新芽,290,0.5,0.8,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,185,,,3,200,
4669,悠扬长枝,290,0.5,0.7,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,185,187,,3,210,
4670,童梦翩跹,290,0.5,0.65,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,186,187,188,3,220,
4671,贝壳0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4672,微光星贝,290,0.5,0.8,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,189,,,3,200,
4673,浮光梦境,290,0.5,0.75,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,189,191,,3,210,
4674,珊海星歌,290,0.5,0.7,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,190,191,192,3,220,
4675,冰晶精灵 雪糯儿0级,190,0.55,,100,100,1000,1000,,,,,60,60,,,,1,11810,,,,,,1,,
4676,冰晶精灵 雪糯儿,190,0.55,,100,100,1500,1500,,,,,60,60,,,,2,12273,12274,,,,,1,,
4677,锦鲤0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4678,游鲤跃金,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,193,,,3,200,
4679,明灯锦华,290,0.5,,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,193,195,,3,210,
4680,雾海长明,290,0.5,,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,194,195,196,3,220,
4681,木马0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4682,梦影云端,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,197,,,3,200,
4683,梦境之影,290,0.5,,180,180,700,700,,,,,70,70,,,1,3,12273,12274,100,197,199,,3,210,
4684,云霓仙踪,290,0.5,,200,200,800,800,,,,,80,80,,,1,4,12273,12274,100,198,199,200,3,220,
4685,大块头0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4686,大块头,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,201,,,3,,
4687,先行者0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4688,先行者,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,202,,,3,,
4689,战狼传说0级,290,0.5,,160,160,600,600,,,,,60,60,,,1,1,11810,,1,,,,3,,
4690,战狼传说,290,0.5,,160,160,600,600,,,,,60,60,,,1,2,12273,12274,100,203,,,3,,
4691,星莉奈,190,0.55,,100,100,1000,1000,,,,,60,60,,,,1,11810,,,,,,1,,
4692,星莉奈,190,0.55,,100,100,1500,1500,,,,,60,60,,,,2,12273,12274,,,,,1,,
4693,幻-猩红战机,190,0.55,,100,100,1000,1000,,,,,60,60,,,,1,11810,,,,,,1,,
4694,幻-猩红战机,190,0.55,,100,100,1500,1500,,,,,60,60,,,,2,12273,12274,,,,,1,,
