成就ID,前置ID1,前置ID2,前置ID3,前置ID4,跟踪任务（完成该任务后下一个跟踪的任务）,图标ID,X轴,Y轴,名称,描述(加上@1会显示任务计数),追踪,组（1新手2主线3生产4战斗5其他6极限）,类型（1普通2账号）,目标（1拾取物品2制作物品3冶炼物品4使用物品5损耗物品6开采物品7击败生物8繁殖生物9驯服生物10行走距离11游泳距离12摔落距离13攀爬距离14飞行距离15水下移动距离16坐轨道车距离17坐船距离18骑墩墩距离19骑马距离20跳跃次数21失败次数22物品掉落次数23造成伤害24受到伤害25好友数26转发数27分享地图28星星29获得玫瑰30获得钨金31获得赞32获得皮肤33附魔34激活传送门35进入区域36NPC交易37存活天数38到达某个世界(0=主世界1=烈焰星2=萌眼星)39与方块交互40镶嵌符文石41激活祭坛）,组（0不为组1为组）,"对象ID（点击描述会弹出这个对象的tips,只会弹出道具的）",数值,奖励1类型（0道具1星星2迷你币）,奖励ID1,数量,奖励2类型（0道具1星星2钨金）,奖励ID2,数量,成就点数,指引图片（读取bin\res\ui\achievement目录下的文件名）,奖励发放类型（1=自动发放 2=手动领取）
1213,,,,,1214,405,1,5,星能材料,开采100块#L#cfa7a0f星能矿石#n@1,开采#cfa7a0f星能矿石,6,2,6,,405,100,0,,,,,,1,,2
1214,1213,,,,1215,11209,3,5,武器储备 ,冶炼500份#L#cfa7a0f秘银#n@1,冶炼#cfa7a0f秘银,6,2,3,,11209,500,0,,,,,,3,,2
1215,1214,,,,1216,404,5,5,一颗恒久远,开采20块#L#cfa7a0f钨金矿#n@1,开采#cfa7a0f钨金矿,6,2,6,,404,20,0,,,,,,10,,2
1216,,,,,1217,12543,7,5,香喷烤嘟嘟,制作100份#L#cfa7a0f烤嘟嘟鸟全家桶#n@1,制作#cfa7a0f烤嘟嘟全家桶,6,2,2,,12543,100,0,,,,,,1,,2
1217,1216,,,,1218,12544,9,5,面食大王,制作50个#L#cfa7a0f烤肉面条#n@1,制作#cfa7a0f烤肉面条,6,2,2,,12544,50,0,,,,,,3,,2
1218,1217,,,,1219,12533,11,5,金的也能吃？,制作50个#L#cfa7a0f香溢食物#n@1,制作#cfa7a0f香溢食物,6,2,2,,12533,50,0,,,,,,10,,2
1219,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,0,,,,1222,11627,1,3,我需要些石头,#cfa7a0f采集石块#n或#cfa7a0f加工岩石#n获取#L#cfa7a0f石料#n@1#r（长按石块采集、背包-加工界面拆解岩石）,在地面采集#cfa7a0f石料,2,1,1,,11627,1,0,298,3,,,,1,1221,2
1222,1221,,,,1226,11006,3,3,更多的材料,砍树获取#L#cfa7a0f细树枝#n@1#r（长按树枝采集）,从树上获取#cfa7a0f细树枝,2,1,1,1,11006,1,0,12502,1,,,,1,1222,2
1223,1222,,,,1232,11012,5,3,石器时代开始！,用石料和树枝制作#L#cfa7a0f石镐#n@1#r（打开背包-加工界面，左边标签选择制作）,制作#cfa7a0f石镐,2,1,2,,11012,1,0,12502,1,,,,1,1223,2
1224,1222,,,,,12001,5,7,原始人的武器,用木料制作#L#cfa7a0f木棒#n@1#r（晚上很危险，一定要用武器来保护自己）,制作#cfa7a0f木棒,2,1,2,,12001,1,0,12500,1,,,,1,1224,2
1225,1224,,,,,13101,7,7,猎人,击败夜晚出没的野人战士@1#r（哦？你想成为猎人吗？）,击败#cfa7a0f野人战士,2,1,7,,3101,1,1,1,1,,,,1,1225,1
1226,1222,,,,1227,11002,5,5,开始美好的生活~,用石料和树枝制作#L#cfa7a0f石斧#n@1#r（我能用来先做房子吗？）,打开背包制作#cfa7a0f石斧,2,1,2,,11002,1,0,12500,1,,,,1,1226,2
1227,1226,,,,1333,200,7,5,伐木工,手持石斧，找到一棵树，破坏它！采集#L#cfa7a0f木料#n@1#r（发家致富的源泉),砍树采集#cfa7a0f木料,2,1,1,1,11323,1,1,1,1,,,,1,1227,1
1228,1233,,,,,1200,11,5,篝火晚会,用岩石和木料制作#L#cfa7a0f篝火#n@1#r（夜晚时，明亮和温暖会给人安全感）,制作#cfa7a0f篝火,2,1,2,,1200,1,1,1,1,,,,1,1228,1
1229,1228,,,,,12523,13,5,烤肉，香！,将生肉放在篝火上烤熟，获得#L#cfa7a0f熟墩墩肉#n@1#r（吃了后感觉浑身都是力量！）,#cfa7a0f烤肉,2,1,3,1,12523,1,1,1,1,,,,1,1229,1
1230,1222,,,,,11226,5,9,斩草除根,采集野草获取#L#cfa7a0f一把杂草#n@1#r（用来捆东西很好用）,收集#cfa7a0f一把杂草,2,1,1,,11226,1,1,1,1,,,,1,1230,1
1231,1230,,,,,298,7,9,黑暗中的光明！,用树枝和一把杂草制作#L#cfa7a0f燃烧的小火炬#n@1#r（简易的火炬只能燃烧一小段时间）,制作#cfa7a0f燃烧的小火炬,2,1,2,,298,1,1,1,1,,,,1,1231,1
1232,1223,,,,1233,104,7,3,采石工,岩石大多藏在地表之下，用石镐向下挖，获取#L#cfa7a0f岩石#n@1#r（看起来，大部分东西都需要用到石头）,到地下开采#cfa7a0f岩石,2,1,1,,104,1,1,1,1,,,,1,1232,1
1233,1232,,,,1339,800,9,3,工匠,用木料和石料制作#L#cfa7a0f不完整工匠台#n@1#r（工匠台，旅行居家必备！哇哦~能制作更多的物品）,制作#cfa7a0f不完整工匠台,2,1,2,,800,1,1,1,1,,,,1,1233,1
1234,1232,,,,1237,802,11,3,冶炼台制作者,用杂草和土块制作#L#cfa7a0f冶炼台#n@1#r（各种矿石冶炼起来，金属工具造起来！）,在工匠台做#cfa7a0f冶炼台,2,1,2,,802,1,1,1,1,,,,1,1234,1
1235,1229,,,,,794,15,5,厨师的第一步,在工匠台使用岩石制作#L#cfa7a0f石锅#n@1#r（能制作美味的食物啦）,在工匠台做#cfa7a0f石锅,2,1,2,,794,1,1,1,1,,,,1,1235,1
1236,1235,,,,,12502,17,5,吃饱才有力气,用玉米粉在石锅制作出#L#cfa7a0f面条#n@1#r（石锅记得放在篝火上哟，果然只有吃饱，才有力气干活！）,在石锅里做#cfa7a0f面条,2,1,2,,12502,1,1,1,1,,,,1,,1
1237,1234,,,,1238,451,13,3,铜器时代的开始！,手持石镐在地下采集#L#cfa7a0f铜合金矿#n@1#r（看我在地底深处挖到了什么！）,采集#cfa7a0f铜合金矿,2,1,6,,451,1,1,1,1,,,,1,1237,1
1238,1234,,,,1239,11201,13,1,新能源？,手持石镐在地下采集#L#cfa7a0f凝能晶#n@1#r（地表以及悬崖峭壁有时候也有哦）,采集#cfa7a0f凝能晶,2,1,1,,11201,1,1,1,1,,,,1,1238,1
1239,1237,1238,,,1240,11329,15,3,金属冶炼：铜,在冶炼台里用铜合金矿烧制提炼#L#cfa7a0f黄铜#n@1#r（可以做更好的工具了）,冶炼得到#cfa7a0f黄铜,2,1,3,,11329,1,1,1,2,,,,1,,1
1240,1239,,,,1247,799,17,3,铜炉打造者,在工匠台用黄铜制作#L#cfa7a0f铜炉#n@1,制作#cfa7a0f铜炉,2,1,2,,799,1,1,1,1,,,,1,1240,1
1241,1222,,,,1342,11032,5,11,石耙,用石料和树枝制作#L#cfa7a0f石耙#n@1#r（有了它就能耕地了）,制作#cfa7a0f石耙,2,1,2,,11032,1,1,1,1,,,,1,1241,1
1242,1342,,,,,11400,9,11,粮食大王,手持#L#cfa7a0f玉米种子#n播种在耕地上@1#r（只能种植在耕地上）,种植#cfa7a0f玉米,2,1,4,,11400,1,1,1,1,,,,1,1242,1
1243,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,1240,,,,1248,11209,19,3,金属冶炼：秘银,在冶炼台里用秘银矿烧制提炼#L#cfa7a0f秘银#n@1,冶炼得到#cfa7a0f秘银,2,1,3,,11209,1,1,1,2,,,,1,,1
1248,1247,,,,1250,798,21,3,秘银炉打造者,在工匠台用秘银，制作#L#cfa7a0f秘银炉#n@1,用工匠台做#cfa7a0f秘银炉,2,1,2,,798,1,1,1,1,,,,1,1248,1
1249,1332,,,,1252,11603,27,1,符文工具！,在符文台进行一次符文石激活@1#r（效率符文石可激活工具，攻击符文石可激活武器，防御符文石可激活护甲）,进行#cfa7a0f符文石激活,2,1,40,,0,1,1,1,1,,,,1,,1
1250,1248,,,,1251,11330,23,3,金属冶炼：钛,把钛合金矿放置熔炉烧制提炼#L#cfa7a0f钛合金#n@1,冶炼得到#cfa7a0f钛合金,2,1,3,,11330,1,1,1,2,,,,1,,1
1251,1250,,,,1332,11014,25,3,科技时代的起源！,用钛合金和树枝制作#L#cfa7a0f钛合金镐#n@1#r（挖矿时间，开始！）,制作#cfa7a0f钛合金镐,2,1,2,,11014,1,1,1,1,,,,1,1251,1
1252,1251,,,,1253,11334,27,3,不一样的材料,在空岛上寻找#L#cfa7a0f智能芯片#n@1#r（出发，往远方探险吧！）,获取#cfa7a0f智能芯片,2,1,1,,11334,1,1,1,1,,,,1,1252,1
1253,1252,,,,1254,11335,29,3,升级星站,使用#L#cfa7a0f星站升级元件#n升级星站传送舱@1#r（升级后才能去往更远的星球）,升级#cfa7a0f星站传送舱,2,1,4,,11335,1,1,1,1,,,,1,1253,1
1254,1253,,,,1024,124,31,3,新大陆-烈焰星,拜访烈焰星#r（最好携带防火服避免被烧伤）,前往#cfa7a0f烈焰星,2,1,38,,1,1,1,1,2,,,,1,1254,1
1255,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,1024,,,,1258,588,35,3,烈焰星钥匙,从龙巢中取得#L#cfa7a0f断剑#n@1#r（这是激活火山祭坛的三钥匙之一）,获取#cfa7a0f断剑,2,1,1,,588,1,1,1,1,,,,1,1257,1
1258,1253,,,,1259,116,31,5,新大陆-萌眼星,拜访萌眼星#r（这里空气稀薄，带上氧气面罩吧！）,前往#cfa7a0f萌眼星,2,1,38,,2,1,1,1,2,,,,1,1258,1
1259,1258,,,,1260,11075,33,5,萌眼星酋长,使用#L#cfa7a0f星启石#n激活图腾@1#r（附近密室有惊喜！）,激活#cfa7a0f图腾,2,1,4,,11075,1,1,1,1,,,,1,1259,1
1260,1259,,,,1261,11016,35,5,星铜钻头,收集星铜石、星能矿、木料和萌眼星石块制作#L#cfa7a0f星铜钻头#n@1#r（听说高原跟空岛有星铜迷人的光辉）,制作#cfa7a0f星铜钻头,2,1,2,,11016,1,1,1,1,,,,1,1260,1
1261,1260,,,,1262,12006,37,5,喷射钩爪,收集星铜石、紫荧石、重力结晶和星能矿制作#L#cfa7a0f喷射钩爪#n@1#r（它能使你飞檐走壁）,制作#cfa7a0f喷射钩爪,2,1,2,,12006,1,1,1,1,,,,1,1261,1
1262,1261,,,,1263,13514,39,5,远古巨人的召唤者,召唤并击败萌眼星上的远古巨人@1#r（需要钨金块/琥珀块/星铜石块/紫荧石块在图腾核心旁4格放下召唤）,击败#cfa7a0f远古巨人,2,1,7,,3514,1,1,1,5,,,,1,1262,1
1263,1262,,,,1335,589,41,5,萌眼星钥匙,击败远古巨人获得#L#cfa7a0f巨人之眼#n@1#r（这是激活火山祭坛的三钥匙之一）,获取#cfa7a0f巨人之眼,2,1,1,,589,1,1,1,1,,,,1,1263,1
1264,1338,,,,1265,590,39,7,圣树创造者,找个宽阔的空间，挖个坑，种它！种它！@1#r（在神圣树顶端可以获取三钥匙之一）,种植#cfa7a0f神圣树,2,1,4,,591,1,1,1,1,,,,1,1264,1
1265,1264,,,,1266,587,41,7,神圣果实,采集神圣树干顶端的神圣树核心获得#L#cfa7a0f神圣果实#n@1#r（这是激活火山祭坛的三钥匙之一）,采集#cfa7a0f神圣果实,2,1,1,,587,1,1,1,1,,,,1,1265,1
1266,1257,1263,1265,,1267,140,43,3,我不入地狱，谁入地狱,集齐迷拉星、萌眼星、烈焰星三把钥匙，在火山区域激活祭坛@1#r（进入虚空幻影的栖息地入口）,激活#cfa7a0f火山祭坛,2,1,41,,0,1,1,1,1,,,,1,1266,1
1267,1266,,,,,141,45,3,救世主！,击败虚空幻影@1,击败#cfa7a0f虚空幻影,2,1,7,,3516,1,1,1,20,,,,1,1267,1
1268,,,,,,241,1,1,番薯,在耕地里播种番薯，等它长大，收获#L#cfa7a0f番薯#n@1,种植#cfa7a0f番薯,3,1,4,0,241,1,1,1,1,,,,1,,1
1269,1268,,,,,12512,3,1,制作番薯泥,用番薯在石锅里烹饪#L#cfa7a0f番薯泥#n@1,制作#cfa7a0f番薯泥,3,1,2,0,12512,1,1,1,1,,,,1,,1
1270,1269,,,,,12541,5,1,薯条！,用番薯泥、龙血花和皮革在石锅里烹饪#L#cfa7a0f薯条#n@1,制作#cfa7a0f薯条,3,1,2,0,12541,1,1,1,1,,,,1,,1
1271,,,,,,12516,1,3,获取沃沃兽肉,击败一头沃沃兽，可获取#L#cfa7a0f沃沃兽肉#n@1,获取#cfa7a0f沃沃兽肉,3,1,1,0,12516,1,1,1,1,,,,1,,1
1272,1271,,,,,12517,3,3,沃沃兽肉,将沃沃兽肉放在篝火上烤熟，获得#L#cfa7a0f烤沃沃兽肉#n@1,烤制#cfa7a0f烤沃沃兽肉,3,1,3,0,12517,1,1,1,1,,,,1,,1
1273,1272,,,,,12544,5,3,烤肉面条,用面条、星辰花、烤沃沃兽肉制作#L#cfa7a0f烤肉面条#n@1,制作#cfa7a0f烤肉面条,3,1,2,0,12544,1,1,1,1,,,,1,,1
1274,,,,,,12052,1,5,蛋白质,喂食嘟嘟鸟，收获#L#cfa7a0f嘟嘟鸟蛋#n@1,拾取#cfa7a0f嘟嘟鸟蛋,3,1,1,0,12052,1,1,1,1,,,,1,,1
1275,1274,,,,,12515,3,5,香瓜条,用瓶装果糖浆、香瓜烹饪#L#cfa7a0f香瓜饼#n@1,制作#cfa7a0f香瓜条,3,1,2,,12515,1,1,1,1,,,,1,,1
1276,1275,,,,,830,5,5,节日快乐~,用瓶装鲜奶、番薯、嘟嘟鸟肉和玉米粉烹饪#L#cfa7a0f披萨#n@1,制作#cfa7a0f烤肉披萨,3,1,2,,830,1,1,1,1,,,,1,,1
1277,,,,,,12500,3,7,樱桃,从树上采集#L#cfa7a0f樱桃#n@1,获取#cfa7a0f樱桃,3,1,1,,12500,1,1,1,1,,,,1,,1
1278,1277,,,,,12501,5,7,水果拼盘,使用巨麟羽果片、木碗和樱桃加工#L#cfa7a0f水果拼盘#n@1,制作#cfa7a0f水果拼盘,3,1,2,,12501,1,1,1,1,,,,1,,1
1279,1270,1273,1276,1278,,795,7,4,御膳大厨,完成前置任务后自动完成该任务,完成#cfa7a0f制作食物系列成就,3,1,,,,,1,1,5,,,,1,,1
1280,,,,,,812,3,9,抵御强敌,用木料和树枝加工#L#cfa7a0f轻木门#n@1,制作#cfa7a0f轻木门,3,1,2,,812,1,1,1,1,,,,1,,1
1281,1280,,,,,555,5,9,对着窗子数星星,用木料和树枝加工#L#cfa7a0f木窗#n@1,制作#cfa7a0f木窗,3,1,2,,555,1,1,1,1,,,,1,,1
1282,,,,,,11514,5,11,红色颜料,用樱桃加工出#L#cfa7a0f红色颜料#n@1,制作#cfa7a0f颜料,3,1,2,,11514,1,1,1,1,,,,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,,,,,,725,3,13,轨道工人,使用秘银和岩石制作#L#cfa7a0f轨道节点#n@1,制作#cfa7a0f轨道节点,3,1,2,,725,1,1,1,1,,,,1,,1
1285,1284,,,,,13802,5,13,过山车！出发！,使用秘银、木料和荧光晶块制作#L#cfa7a0f过山车头#n@1,制作#cfa7a0f过山车头,3,1,2,,13802,1,1,1,1,,,,1,,1
1286,,,,,,300,3,15,沐浴阳光,在平原上采集#L#cfa7a0f风铃花#n@1,拾取#cfa7a0f风铃花,3,1,1,,300,1,1,1,1,,,,1,,1
1287,1286,,,,,11228,5,15,花冠公主,使用三种不同花制作一个#L#cfa7a0f花冠#n@1,制作#cfa7a0f花冠,3,1,2,,11228,1,1,1,1,,,,1,,1
1288,1281,1282,1285,1287,,828,7,12,美好的今天,完成前置任务后自动完成该任务,完成#cfa7a0f制作基础系列成就,3,1,,,,,1,1,5,,,,1,,1
1289,,,,,,11607,7,1,中级符文师,使用中级符文进行镶嵌@1,镶嵌#cfa7a0f中级符文石,4,1,40,,2,5,1,1,1,,,,1,,1
1290,1289,,,,,11611,9,1,高级符文师,使用高级符文石进行镶嵌@1,镶嵌#cfa7a0f高级符文石,4,1,40,,3,5,1,1,1,,,,1,,1
1291,1290,,,,,11620,11,1,符文石收藏家,完成前置任务后自动完成该任务,完成#cfa7a0f符文石系列成就,4,1,,,,,1,1,2,,,,1,,1
1292,1293,,,,,12003,5,3,冒险家,用秘银和树枝制作#L#cfa7a0f短剑#n@1,完成#cfa7a0f镶嵌系列成就,4,1,2,,12003,1,1,1,1,,,,1,,1
1293,1331,,,,,12004,3,3,勇者枪兵,用黄铜和树枝制作#L#cfa7a0f突刺长枪#n@1,制作#cfa7a0f突刺长枪,4,1,2,,12004,1,1,1,1,,,,1,,1
1294,1293,,,,,12009,7,3,灵魂收割者,用钛合金、缠丝玛瑙和树枝制作#L#cfa7a0f收割者#n@1,制作#cfa7a0f收割者,4,1,2,,12009,1,1,1,1,,,,1,,1
1295,1294,,,,,12005,9,3,剑客,用钨金、紫荧石和黄铜棍制作#L#cfa7a0f能量剑#n@1,制作#cfa7a0f能量剑,4,1,2,,12005,1,1,1,1,,,,1,,1
1296,1334,,,,,12050,7,5,游侠,用秘银、软皮革和丝线制作#L#cfa7a0f秘银短弓#n@1,制作#cfa7a0f秘银短弓,4,1,2,,12050,1,1,1,1,,,,1,,1
1297,1296,,,,,11580,9,5,大法师,用杖杆和平凡晶核制作#L#cfa7a0f平凡法杖#n@1,制作#cfa7a0f法杖,4,1,2,,11580,1,1,1,1,,,,1,,1
1298,1295,1297,,,,12010,11,4,武器大师,完成前置任务后自动完成该任务,完成#cfa7a0f制作武器系列成就,4,1,,,,,1,1,5,,,,1,,1
1299,,,,,,12216,3,7,铜头盔,用黄铜和软皮革制作#L#cfa7a0f铜头盔#n@1,制作#cfa7a0f铜头盔,4,1,2,,12216,1,1,1,1,,,,1,,1
1300,1299,,,,,12221,5,7,秘银头盔,用秘银、黄铜和软皮革制作#L#cfa7a0f秘银头盔#n@1,制作#cfa7a0f秘银头盔,4,1,2,,12221,1,1,1,1,,,,1,,1
1301,1300,,,,,12231,7,7,钛合金头盔,用秘银、钛合金和软皮革制作#L#cfa7a0f钛合金头盔#n@1,制作#cfa7a0f钛合金头盔,4,1,2,,12231,1,1,1,1,,,,1,,1
1302,1301,,,,,12241,9,7,钨金头盔,用钨金、紫荧石、软皮革制作#L#cfa7a0f钨金头盔#n@1,制作#cfa7a0f钨金头盔,4,1,2,,12241,1,1,1,1,,,,1,,1
1303,,,,,,12217,3,9,铜胸甲,用黄铜和软皮革制作#L#cfa7a0f铜胸甲#n@1,制作#cfa7a0f铜胸甲,4,1,2,,12217,1,1,1,1,,,,1,,1
1304,1303,,,,,12222,5,9,秘银胸甲,用秘银、黄铜和软皮革制作#L#cfa7a0f秘银胸甲#n@1,制作#cfa7a0f秘银胸甲,4,1,2,,12222,1,1,1,1,,,,1,,1
1305,1304,,,,,12232,7,9,钛合金胸甲,用秘银、钛合金和软皮革制作#L#cfa7a0f钛合金胸甲#n@1,制作#cfa7a0f钛合金胸甲,4,1,2,,12232,1,1,1,1,,,,1,,1
1306,1305,,,,,12242,9,9,钨金胸甲,用钨金、紫荧石、软皮革制作#L#cfa7a0f钨金胸甲#n@1,制作#cfa7a0f钨金胸甲,4,1,2,,12242,1,1,1,1,,,,1,,1
1307,,,,,,12218,3,11,铜护腿,用黄铜和软皮革制作#L#cfa7a0f铜护腿#n@1,制作#cfa7a0f铜护腿,4,1,2,,12218,1,1,1,1,,,,1,,1
1308,1307,,,,,12223,5,11,秘银护腿,用秘银、黄铜和软皮革制作#L#cfa7a0f秘银护腿#n@1,制作#cfa7a0f秘银护腿,4,1,2,,12223,1,1,1,1,,,,1,,1
1309,1308,,,,,12233,7,11,钛合金护腿,用秘银、钛合金和软皮革制作#L#cfa7a0f钛合金护腿#n@1,制作#cfa7a0f钛合金护腿,4,1,2,,12233,1,1,1,1,,,,1,,1
1310,1309,,,,,12243,9,11,钨金护腿,用钨金、紫荧石、软皮革制作#L#cfa7a0f钨金护腿#n@1,制作#cfa7a0f钨金护腿,4,1,2,,12243,1,1,1,1,,,,1,,1
1311,,,,,,12219,3,13,铜靴子,用黄铜和软皮革制作#L#cfa7a0f铜靴子#n@1,制作#cfa7a0f铜靴子,4,1,2,,12219,1,1,1,1,,,,1,,1
1312,1311,,,,,12224,5,13,秘银靴子,用秘银、黄铜和软皮革制作#L#cfa7a0f秘银靴子#n@1,制作#cfa7a0f秘银靴子,4,1,2,,12224,1,1,1,1,,,,1,,1
1313,1312,,,,,12234,7,13,钛合金靴子,用秘银、钛合金和软皮革制作#L#cfa7a0f钛合金靴子#n@1,制作#cfa7a0f钛合金靴子,4,1,2,,12234,1,1,1,1,,,,1,,1
1314,1313,,,,,12244,9,13,钨金靴子,用钨金，紫荧石，软皮革制作#L#cfa7a0f钨金靴子#n@1,制作#cfa7a0f钨金靴子,4,1,2,,12244,1,1,1,1,,,,1,,1
1315,1302,1306,1310,1314,,12232,11,10,防御大师,完成前置任务后自动完成该任务,完成#cfa7a0f制作防御系列成就,4,1,,,,,1,1,5,,,,1,,1
1316,1291,1298,1315,,,11591,13,7,战争收藏家,完成前置任务后自动完成该任务,完成#cfa7a0f完成武器和防具系列成就,4,1,,,,,1,1,5,,,,1,,1
1317,,,,,,13130,23,6,熔岩巨人猎手,击败烈焰星上的熔岩巨人@1,击败#cfa7a0f熔岩巨人,4,1,7,,3130,100,1,1,5,,,,1,,1
1318,,,,,,13131,23,8,硫磺弓手猎手,击败烈焰星上的硫磺弓手@1,击败#cfa7a0f硫磺弓手,4,1,7,,3131,100,1,1,5,,,,1,,1
1319,1317,1318,,,,132,25,7,烈焰星终结者,完成前置任务后自动完成该任务,完成#cfa7a0f击败烈焰星生物系列成就,4,1,,,,,1,1,5,,,,1,,1
1320,,,,,,11329,1,25,黄铜一,冶炼10份#L#cfa7a0f黄铜#n@1,冶炼#cfa7a0f黄铜,5,1,3,,11329,10,1,1,1,,,,1,,1
1321,,,,,,11329,3,25,黄铜二,冶炼100份#L#cfa7a0f黄铜#n@1,冶炼#cfa7a0f黄铜,5,1,3,,11329,100,1,1,2,,,,1,,1
1322,,,,,,11329,5,25,黄铜三,冶炼300份#L#cfa7a0f黄铜#n@1,冶炼#cfa7a0f黄铜,5,1,3,,11329,300,1,1,5,,,,1,,1
1323,,,,,,11330,7,25,钛合金一,冶炼10份#L#cfa7a0f钛合金#n@1,冶炼#cfa7a0f钛合金,5,1,3,,11330,10,1,1,2,,,,1,,1
1324,,,,,,11330,9,25,钛合金二,冶炼100份#L#cfa7a0f钛合金#n@1,冶炼#cfa7a0f钛合金,5,1,3,,11330,100,1,1,5,,,,1,,1
1325,,,,,,11330,11,25,钛合金三,冶炼300份#L#cfa7a0f钛合金#n@1,冶炼#cfa7a0f钛合金,5,1,3,,11330,300,1,1,10,,,,1,,1
1326,,,,,,453,1,27,攻击符文矿石,用黄铜镐，破坏攻击符文矿石获得#L#cfa7a0f攻击符文石#n@1,破坏#cfa7a0f攻击符文矿石,5,1,6,,453,100,1,1,5,,,,1,,1
1327,,,,,,454,3,27,防御符文矿石,用黄铜镐，破坏防御符文矿石获得#L#cfa7a0f防御符文石#n@1,破坏#cfa7a0f防御符文矿石,5,1,6,,454,100,1,1,5,,,,1,,1
1328,,,,,,455,5,27,效率符文矿石,用黄铜镐，破坏效率符文矿石获得#L#cfa7a0f效率符文石#n@1,破坏#cfa7a0f效率符文矿石,5,1,6,,455,100,1,1,5,,,,1,,1
1329,1024,,,,,13503,35,1,屠龙君主,召唤并击败熔岩黑龙@1,击败#cfa7a0f熔岩黑龙,2,1,7,,3503,1,1,1,10,,,,1,1329,1
1330,1329,,,,,13504,37,1,屠龙英雄,召唤并击败混乱黑龙@1,击败#cfa7a0f混乱黑龙,2,1,7,,3504,1,1,1,20,,,,1,1330,1
1331,,,,,,12002,1,3,远古石矛,用石料和树枝制作#L#cfa7a0f石矛#n@1,制作#cfa7a0f石矛,4,1,2,,12002,1,1,1,1,,,,1,,1
1332,1250,,,,1249,797,25,1,工匠大师,手持创造晶体将不完整的工匠台升级到#L#cfa7a0f完整工匠台#n@1,升级#cfa7a0f完整工匠台,2,1,4,,11911,1,1,1,1,,,,1,1332,1
1333,1227,,,,,206,9,5,建筑能手,用木料制作木板，再把木板放置到地上@1,制作并放置#cfa7a0f木板,2,1,4,1,206,1,1,1,1,,,,1,,1
1334,,,,,,12281,5,5,弹弓手,用软皮革、树枝、丝线制作#L#cfa7a0f弹弓#n@1,制作#cfa7a0f弹弓,4,1,2,,12281,1,1,1,1,,,,1,,1
1335,1253,,,,1336,11601,31,7,雨林探险！,找到雨林，采集发光的雨林乔木获得#L#cfa7a0f雨林之芯碎片#n@1,获取#cfa7a0f雨林之芯碎片,2,1,1,,11601,1,1,1,1,,,,1,1335,1
1336,1335,,,,1337,11597,33,7,雨林之眼,用黄铜、雨林之芯碎片加工#L#cfa7a0f雨林之眼#n@1,制作#cfa7a0f雨林之眼,2,1,2,,11597,1,1,1,1,,,,1,1336,1
1337,1336,,,,1338,11591,35,7,羽蛇神,击败神庙中的羽蛇神@1#r（对残缺的神像用雨林之眼召唤雨林神庙，羽蛇神就在神庙深处）,击败#cfa7a0f羽蛇神,2,1,7,,3878,1,1,1,1,,,,1,1337,1
1338,1337,,,,1264,591,37,7,神圣的种子,在神庙中击败羽蛇神获得#L#cfa7a0f神圣树种子#n@1,获取#cfa7a0f神圣树种子,2,1,1,,591,1,1,1,1,,,,1,1338,1
1339,1233,,,,1232,596,11,7,复活之石,使用岩石制作，再放置#L#cfa7a0f石质雕像#n@1,放置#cfa7a0f石质雕像,2,1,4,,596,1,1,1,1,,,,1,596,1
1340,,,,,,,,,,,,,,,,,,,,,,,,,,
1341,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,1241,,,,1242,11400,7,11,玉米种子,用玉米加工一个#L#cfa7a0f玉米种子#n@1,制作#cfa7a0f玉米种子,2,1,2,,11400,1,1,1,1,,,,1,11400,1
