方块ID,方块名称,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],渲染贴图组,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石质，2=黄铜，3=秘银，4=钛金，5=钨金）,随机颜色,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1)
296,异化巨大椰叶,RedCoconutLeaves,RedCoconutLeaves,,,coconutleaf,,,,,,,1,1,3,0,0,0,,,,,5,0.6,1,15,60,10,,11423,10000,0,0,11423,10000,,,0,10,0,1,1,leaves_coconut_red,coconutleaf,blocks.grass,blockd.grass,,11423,1,1,,DC143C,,,1,,,,0,15,15,,1,,,1,3,
297,异化大椰子,RedBigCoconut,RedBigCoconut,,,coconut,1,1,1,,,,1,1,0,2,0,1,,,,,15,16,1,0,0,5,,297,10000,0,0,297,10000,,,2,15,0,1,1,coconut_red,coconut,blocks.wood,blockd.wood,,297,1,1,,DC143C,,,,,,,1,15,15,,1,,,10,3,
298,燃烧的小火炬,SmallTorch,SmallTorch,,,smalltorch,,4,,,,,1,0,0,1,3,1,,,,,1,0,1,0,0,10,,298,10000,0,0,298,10000,,,0,7,14,,1,small_torch_on,small_torch,,blockd.wood,,298,0,1,,ffff15,,,,,4,,0,15,0,4,1,,,,2,
299,熄灭的小火炬,SmallTorch(off),SmallTorch(off),,,smalltorch,,4,,,,,1,0,0,1,3,1,,,,,1,0,1,0,0,10,,299,10000,0,0,299,10000,,,0,1,0,,1,small_torch_off,small_torch,,blockd.wood,,299,0,1,,ffff15,,,,,4,,0,15,15,,1,,,,2,
300,风铃花,Bellflowers,Bellflowers,,,colorflower,,1,1,,,,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,300,10000,0,0,300,10000,,,0,1,0,,2,bellflowers,bellflowers,,blockd.grass,,300,0,1,,c28907,,,,,,,0,15,15,,1,,1,,2,0
301,若兰,Ruolan,Ruolan,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,301,10000,0,0,301,10000,,,0,1,0,,1,ruolan,ruolan,,blockd.grass,,301,0,1,,e59bbb,,,,,,,0,15,15,,1,,,,2,0
302,星辰花,StarFlower,StarFlower,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,302,10000,0,0,302,10000,,,0,1,0,,2,starflower,starflower,,blockd.grass,,302,0,1,,c2c000,,,,,,,0,15,15,,1,,1,,2,0
303,龙血花,DragonFlower,DragonFlower,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,1,0,1,1,100,15,,303,10000,0,0,303,10000,,,0,1,0,,1,dragonflower,dragonflower,,blockd.grass,,303,0,1,,b12a0d,,,,,,,0,15,15,,1,,,,2,0
304,风信子,Hyacinth,Hyacinth,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,304,10000,0,0,304,10000,,,0,1,0,,1,hyacinth,hyacinth,,blockd.grass,,304,0,1,,4796ba,,,,,,,0,15,15,,1,,,,2,0
305,龙爪草,DragonGrass,DragonGrass,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,2,0,1,1,100,15,,305,10000,0,0,305,10000,,,0,1,0,,1,dragongrass,dragongrass,,blockd.grass,,305,0,1,,9e6b06,,,,,,,0,15,15,,1,,,,2,0
306,龙血树,DragonTree,DragonTree,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,5,0,1,1,100,15,,306,10000,0,0,306,10000,,,0,1,0,,2,dragontree,dragontree,,blockd.grass,,306,0,1,,e99416,,,,,,,0,15,15,,1,,1,,2,0
307,红色龙舌兰,RedMaguey,RedMaguey,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,2,0,1,10,100,15,,307,10000,0,0,307,10000,,,0,1,0,,1,agave_red,agave,,blockd.grass,,307,0,1,,ed003d,,,,,,,0,15,15,,1,,,,2,0
308,橙色龙舌兰,OrangeMaguey,OrangeMaguey,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,2,0,1,10,100,15,,308,10000,0,0,308,10000,,,0,1,0,,1,agave_orange,agave,,blockd.grass,,308,0,1,,fa4100,,,,,,,0,15,15,,1,,,,2,0
309,灰色龙舌兰,GreyMaguey,GreyMaguey,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,2,0,1,10,100,15,,309,10000,0,0,309,10000,,,0,1,0,,1,agave_white,agave,,blockd.grass,,309,0,1,,e3c2c6,,,,,,,0,15,15,,1,,,,2,0
310,粉色龙舌兰,PinkMaguey,PinkMaguey,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,2,0,1,10,100,15,,310,10000,0,0,310,10000,,,0,1,0,,1,agave_pink,agave,,blockd.grass,,310,0,1,,e099b3,,,,,,,0,15,15,,1,,,,2,0
311,白椰花,WhiteFlower,WhiteFlower,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,311,10000,0,0,311,10000,,,0,1,0,,1,whitemums,whitemums,,blockd.grass,,311,0,1,,d7c0a8,,,,,,,0,15,15,,1,,,,2,0
312,黄钟花,YellowFlower,YellowFlower,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,312,10000,0,0,312,10000,,,0,1,0,,1,yellowelder,yellowelder,,blockd.grass,,312,0,1,,f2bd27,,,,,,,0,15,15,,1,,,,2,0
313,野蔷薇,Rosebush,Rosebush,,,colorflower,,1,1,,,2,1,0,0,1,3,0,,,,,1,0,1,15,100,15,,313,10000,0,0,313,10000,,,0,1,0,,2,rose,rose,,blockd.grass,,313,0,1,,de100a,,,,,,,0,15,15,,1,,1,,2,0
314,红藻,RedAlga,RedAlga,,,redalga,,1,1,,,2,1,0,1,1,3,0,,,,,1,0,1,1,100,1,,314,10000,0,0,314,10000,,,0,1,3,,1,redalga,redalga,,blockd.grass,,314,0,1,,de100a,,,,,,,0,15,15,,1,,,,2,
315,珊瑚2（废弃 ）,,,,,coral,,,,,,2,1,0,1,1,3,0,,,,,0,0,1,1,100,1,,315,10000,0,0,315,10000,,,0,1,0,,1,agave_orange,,,blockd.grass,,315,0,1,,,,,,,,,0,15,15,,1,,,,,
316,珊瑚3（废弃 ）,,,,,coral,,,,,,2,1,0,1,1,3,0,,,,,0,0,1,1,100,1,,316,10000,0,0,316,10000,,,0,1,0,,1,agave_white,,,blockd.grass,,316,0,1,,,,,,,,,0,15,15,,1,,,,,
317,珊瑚4（废弃 ）,,,,,coral,,,,,,2,1,0,1,1,3,0,,,,,0,0,1,1,100,1,,317,10000,0,0,317,10000,,,0,1,0,,1,agave_pink,,,blockd.grass,,317,0,1,,,,,,,,,0,15,15,,1,,,,,
318,珊瑚5（废弃 ）,,,,,coral,,,,,,2,1,0,1,1,3,0,,,,,0,0,1,1,100,1,,318,10000,0,0,318,10000,,,0,1,0,,1,whitemums,,,blockd.grass,,318,0,1,,,,,,,,,0,15,15,,1,,,,,
319,珊瑚6（废弃 ）,,,,,coral,,,,,,2,1,0,1,1,3,0,,,,,0,0,1,1,100,1,,319,10000,0,0,319,10000,,,0,1,0,,1,yellowelder,,,blockd.grass,,319,0,1,,,,,,,,,0,15,15,,1,,,,,
320,珊瑚7（废弃 ）,,,,,coral,,,,,,2,1,0,1,1,3,0,,,,,0,0,1,1,100,1,,320,10000,0,0,320,10000,,,0,1,0,,1,orchid,,,blockd.grass,,320,0,1,,,,,,,,,0,15,15,,1,,,,,
321,桃花堆,PeachBlossom,PeachBlossom,,,leafpile,,1,1,,,,1,0,0,0,3,0,1,,,,4,0,1,20,200,20,,321,10000,0,0,0,0,,,2,1,0,,1,falling_flowers,,blocks.cloth,blockd.cloth,,321,3,1,,d7c0a8,,,,,,,0,15,15,,1,,,,2,
322,小花堆,Blossom,Blossom,,,leafpile,,1,1,,,,1,0,0,0,3,0,1,,,,4,0,1,20,200,20,,322,10000,0,0,0,0,,,2,1,0,,1,ground_flowers,,blocks.cloth,blockd.cloth,,322,3,1,,d7c0a8,,,,,,,0,15,15,,1,,,,2,
323,落叶堆,FallenLeaves,FallenLeaves,,,leafpile,,1,1,,,,1,0,0,0,3,0,1,,,,4,0,1,20,200,20,,323,10000,0,0,0,0,,,2,1,0,,1,withered_leaf,,blocks.cloth,blockd.cloth,,323,3,1,,e99416,,,,,,,0,15,15,,1,,,,2,
324,樱桃木果实,FruitingCherryTreeLeaves,FruitingCherryTreeLeaves,,,grayleafmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,12500,10000,,,12500,10000,,,0,10,0,1,1,guomugs,guomugs,blocks.grass,blockd.grass,,324,1,1,,558618,,,1,,,,1,15,15,,1,,,1,3,
325,落叶松木果实,FruitingLarchTreeLeaves,FruitingLarchTreeLeaves,,,fruitmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,12503,10000,,,12503,10000,,,0,10,0,1,1,luoyesonggs,luoyesonggs,blocks.grass,blockd.grass,,325,1,1,,2d5a1f,,,1,,,,1,15,15,,1,,,1,3,
326,乔木果实,FruitingArborTreeLeaves,FruitingArborTreeLeaves,,,grayleafmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,378,10000,,,378,10000,,,0,10,0,1,1,qiaomugs,qiaomugs,blocks.grass,blockd.grass,,326,1,1,,264c1b,,,1,,,,1,15,15,,1,,,1,3,
327,珍木果实,FruitingRareTreeLeaves,FruitingRareTreeLeaves,,,grayleafmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,12583,10000,,,12583,10000,,,0,10,0,1,1,zhenmugs,zhenmugs,blocks.grass,blockd.grass,,327,1,1,,b665e5,,,1,,,,1,15,15,,1,,,1,3,
328,红杉木果实,FruitingCedarTreeLeaves,FruitingCedarTreeLeaves,,,grayleafmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,12602,10000,,,12602,10000,,,0,10,0,1,1,hongshanshugs,hongshanshugs,blocks.grass,blockd.grass,,328,1,1,,b33a10,,,1,,,,1,15,15,,1,,,1,3,
329,核桃木果实,FruitingWalnutTreeLeaves,FruitingWalnutTreeLeaves,,,grayleafmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,12603,10000,,,12603,10000,,,0,10,0,1,1,hutaogs,hutaogs,blocks.grass,blockd.grass,,329,1,1,,264c1b,,,1,,,,1,15,15,,1,,,1,3,
330,桃花木果实,FruitingPeachTreeLeaves,FruitingPeachTreeLeaves,,,grayleafmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,12601,10000,,,12601,10000,,,0,10,0,1,1,taoshugs,taoshugs,blocks.grass,blockd.grass,,330,1,1,,fa9ca2,,,1,,,,1,15,15,,1,,,1,3,
331,白杨木果实,WhiteYangFruit,WhiteYangFruit,,,grayleafmodel,,1,1,,,2,1,1,1,0,0,0,,,,,3,0.4,1,15,60,15,,12604,10000,,,12604,10000,,,0,10,0,1,1,baiyangmugs,baiyangmugs,blocks.grass,blockd.grass,,331,1,1,,f7dc1c,,,1,,,,1,15,15,,1,,,1,3,
332,粗樱桃木树枝,CoarseCherryTreeBranch,CoarseCherryTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,10000,0,0,11323,10000,,,2,1,0,,1,log_fruittree,branchthick,blocks.wood,blockd.wood,,332,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
333,细樱桃木树枝,FineCherryTreeBranch,FineCherryTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,7500,0,0,11323,7500,,,2,1,0,,1,log_fruittree,branchthin,blocks.wood,blockd.wood,,333,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
334,粗落叶松树枝,ThickLarchTreeBranch,ThickLarchTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,10000,0,0,11323,10000,,,2,1,0,,1,log_cathaya,branchthick,blocks.wood,blockd.wood,,334,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
335,细落叶松树枝,FineLarchTreeBranch,FineLarchTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,7500,0,0,11323,7500,,,2,1,0,,1,log_cathaya,branchthin,blocks.wood,blockd.wood,,335,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
336,粗珍木树枝,ThickRareTreeBranch,ThickRareTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,10000,0,0,11323,10000,,,2,1,0,,1,leafy_planet_trees,branchthick,blocks.wood,blockd.wood,,336,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
337,细珍木树枝,ThinRareTreeBranch,ThinRareTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,7500,0,0,11323,7500,,,2,1,0,,1,leafy_planet_trees,branchthin,blocks.wood,blockd.wood,,337,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
338,粗核桃树树枝,ThickWalnutTreeBranch,ThickWalnutTreeBranch,,,branch,,1,,,,1,1,1,3,0,0,0,,,,,35,0.4,1,15,60,15,,11323,10000,0,0,11323,10000,,,2,1,0,,1,log_walnut,branchthick,blocks.wood,blockd.wood,,338,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
339,细核桃树树枝,ThinWalnutTreeBranch,ThinWalnutTreeBranch,,,branch,,1,,,,1,1,1,3,0,0,0,,,,,35,0.4,1,15,60,15,,11323,7500,0,0,11323,7500,,,2,1,0,,1,log_walnut,branchthin,blocks.wood,blockd.wood,,339,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
340,粗桃花树树枝,ThickPeachTreeBranch,ThickPeachTreeBranch,,,branch,,1,,,,1,1,1,3,0,0,0,,,,,35,0.4,1,15,60,15,,11323,10000,0,0,11323,10000,,,2,1,0,,1,log_peachblossom,branchthick,blocks.wood,blockd.wood,,340,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
341,细桃花树树枝,ThinPeachTreeBranch,ThinPeachTreeBranch,,,branch,,1,,,,1,1,1,3,0,0,0,,,,,35,0.4,1,15,60,15,,11323,7500,0,0,11323,7500,,,2,1,0,,1,log_peachblossom,branchthin,blocks.wood,blockd.wood,,341,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
342,粗白杨木树枝,ThickPoplarTreeBranch,ThickPoplarTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,10000,0,0,11323,10000,,,2,1,0,,1,log_birch,branchthick,blocks.wood,blockd.wood,,342,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
343,细白杨木树枝,ThinPoplarTreeBranch,ThinPoplarTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,7500,0,0,11323,7500,,,2,1,0,,1,log_birch,branchthin,blocks.wood,blockd.wood,,343,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
344,玉米粉,Cornmeal,Cornmeal,,,,,,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,,,344,10000,0,0,344,10000,,,2,1,0,,1,log_birch,branchthin,blocks.wood,blockd.wood,,344,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
345,野生棉花树苗（废弃）,WildCottonSapling,WildCottonSapling,,,sapling,,,,,,2,1,0,0,0,3,0,,,,,2,0,1,5,60,15,,11419,10000,0,0,11419,10000,,,0,1,0,,1,sapling_phoebe,,,blockd.grass,,11419,1,1,,96894e,,,,,,,0,15,15,,1,,,1,,
346,巨型扇贝（闭合）,GiantScallops,GiantScallops,,,giantscallops,,4,,,,,1,1,3,2,0,0,,,,,20,16,1,0,0,0,,346,10000,0,0,346,10000,,,2,15,0,1,1,giantscallops,giantscallops,blocks.stone,blockd.stone,,346,2,2,,FFF5EE,,,,,1,,1,15,15,,1,,1,10,2,
348,锰块,ManganeseBlock,ManganeseBlock,,,basic,1,4,4,,,,1,1,1,0,0,0,,,,,250,48,1,0,0,0,,348,10000,0,0,348,10000,,,1,15,0,,1,manganeseblock,,blocks.stone,blockd.stone,,348,2,3,,9932CC,,,,,,,1,15,15,,6,,,10,,
349,粗红杉木树枝,ThickPoplarTreeBranch,ThickPoplarTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,10000,0,0,11323,10000,,,2,1,0,,1,log_redwood,branchthick,blocks.wood,blockd.wood,,349,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
350,细红杉木树枝,ThinPoplarTreeBranch,ThinPoplarTreeBranch,,,branch,,1,,,,1,1,1,1,0,0,0,,,,,35,0.4,1,15,60,15,,11323,7500,0,0,11323,7500,,,2,1,0,,1,log_redwood,branchthin,blocks.wood,blockd.wood,,350,1,1,,614b2c,,,,,4,,1,15,15,,1,,,1,,
351,光束线,BeamLine,,,,wireless_rayblock,,5,,,,1,0,0,1,1,0,0,1,,,,100,16,1,0,0,0,,0,0,0,0,0,0,,,0,0,0,,1,beam_line,beam_line,,,,0,0,0,,,,,,,,,0,15,15,,1,,,,,
352,星能光束器,EnergyBeam,,,,wireless_starenergy,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,352,10000,0,0,352,10000,,,1,1,0,,1,energy_beam,energy_beam,blocks.stone,blockd.stone,blockd.stone,352,2,2,,,,,,,,,1,15,15,,1,,,10,,
353,非门,NotGate,,,,wireless_nongate,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,353,10000,0,0,353,10000,,,1,1,0,,1,not_gate_on,not_gate_off,blocks.stone,blockd.stone,blockd.stone,353,2,2,,,,,,,,,1,15,15,,1,,,10,,
354,与门,AndGate,,,,wireless_andgate,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,354,10000,0,0,354,10000,,,1,1,0,,1,and_gate_on,and_gate_off,blocks.stone,blockd.stone,blockd.stone,354,2,2,,,,,,,,,1,15,15,,1,,,10,,
355,或门,OrGate,,,,wireless_orgate,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,355,10000,0,0,355,10000,,,1,1,0,,1,or_gate_on,or_gate_off,blocks.stone,blockd.stone,blockd.stone,355,2,2,,,,,,,,,1,15,15,,1,,,10,,
356,星能分流器,CurrentDivider,,,,wireless_electricsplitter,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,356,10000,0,0,356,10000,,,1,1,0,,1,current_divider_on,current_divider,blocks.stone,blockd.stone,blockd.stone,356,2,2,,,,,,,,,1,15,15,,1,,,10,,
357,星能延时器,Delayer,,,,wireless_delay,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,357,10000,0,0,357,10000,,,1,1,0,,1,delayer_off,delayer,blocks.stone,blockd.stone,blockd.stone,357,2,2,,,,,,,,,1,15,15,,1,,,10,,
358,开关,Valve,Switch,,,wireless_lever,,5,,,,,1,0,0,1,3,1,,,,,8,3,1,0,,0,,358,10000,0,0,358,10000,,,0,1,0,,1,valve,valve,,blockd.wood,blockd.wood,358,2,1,,c1b7bd,,,,,4,,0,15,15,,1,,,1,,
359,感压板-触碰,WoodenSensor,WoodenTransducer,,,wireless_pressure,,5,,,,,1,0,1,1,3,0,,,,,8,3,1,0,,0,,359,10000,0,0,359,10000,,,0,1,0,,1,new_pressure_wood,new_pressure,blocks.stone,blockd.wood,blockd.wood,359,1,1,,ca9b4d,,,,,4,,0,15,15,,1,,,1,,
360,感压板-普通,StoneSensor,StoneTransducer,,,wireless_pressure,,5,,,,,1,0,1,1,3,0,,,,,16,6,1,0,,0,,360,10000,0,0,360,10000,,,0,1,0,,1,new_pressure_stone,new_pressure,blocks.stone,blockd.stone,blockd.stone,360,2,1,,c1b7bd,,,,,4,,0,15,15,,1,,,1,,
361,感压板-生物,CreatureSensor,CreatureTransducer,,,wireless_pressure,,5,,,,,1,0,1,1,3,0,,,,,16,6,1,0,,0,,361,10000,0,0,361,10000,,,0,1,0,,1,new_pressure_bamboo,new_pressure,blocks.stone,blockd.wood,blockd.wood,361,2,1,,699114,,,,,4,,0,15,15,,1,,,1,,
362,感压板-沙石,PressureSensor,pressure_sandstone,,,wireless_pressure,,5,,,,,1,0,1,1,3,0,,,,,10,5,1,0,,0,,362,10000,0,0,362,10000,,,0,1,0,,1,new_pressure_sandstone,new_pressure,blocks.stone,blockd.stone,blockd.stone,362,2,1,,ca9b4d,,,,,4,,0,15,15,,1,,,1,,
363,按钮-触碰,NewTouchButton,TouchButton,,,wireless_button,,5,,,,,1,0,0,1,3,1,,,,,8,3,1,0,,0,,363,10000,0,0,363,10000,,,0,1,0,,1,newbutton_wood,newbutton,,blockd.wood,blockd.wood,363,1,1,,ca9b4d,,,,,4,,0,15,15,,1,,,1,,
364,按钮-普通,NewButton,Button,,,wireless_button,,5,,,,,1,0,0,1,3,1,,,,,16,6,1,0,,0,,364,10000,0,0,364,10000,,,0,1,0,,1,newbutton_stone,newbutton,,blockd.stone,blockd.stone,364,2,1,,c1b7bd,,,,,4,,0,15,15,,1,,,1,,
365,星能阻隔器,ElectricResistance,,,,wireless_Resister,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,365,10000,0,0,365,10000,,,1,1,0,,1,electric_resistance_on,electric_resistance,blocks.stone,blockd.stone,blockd.stone,365,2,2,,,,,,,,,1,15,15,,1,,,10,,
366,星能计数器,Counter,,,,wireless_counter,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,366,10000,0,0,366,10000,,,1,1,0,,1,counter_off,counter,blocks.stone,blockd.stone,blockd.stone,366,2,2,,,,,,,,,1,15,15,,1,,,10,,
367,机械臂,RobotArm,RobotArm,,,wireless_hydarm,,5,,,,,1,1,1,2,0,2,,,,,100,16,1,0,,0,,367,10000,0,0,367,10000,,,2,1,0,,1,machine_arm,,blocks.stone,blockd.stone,blockd.stone,367,2,1,,b99871,,,,,4,,1,15,15,,1,,,10,,
368,推拉机械臂,Push-pullArm,Push-pullArm,,,wireless_hydarm,,5,,,,,1,1,1,2,0,2,,,,,100,16,1,0,,0,,368,10000,0,0,368,10000,,,2,1,0,,1,machine_arm,,blocks.stone,blockd.stone,blockd.stone,368,2,1,,b99871,,,,,4,,1,15,15,,1,,,10,,
369,收集管道,CollectingPipe,,,,wireless_collecting_pipe,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,369,10000,0,0,369,10000,,,1,1,0,,1,collecting_pipe,collecting_pipe,blocks.stone,blockd.stone,blockd.stone,369,2,2,,,,,,,,,1,15,15,,1,,,10,,
370,传输管道,TransportPipe,,,,wireless_transport_pipe,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,370,10000,0,0,370,10000,,,1,1,0,,1,transport_pipe,transport_pipe,blocks.stone,blockd.stone,blockd.stone,370,2,2,,,,,,,,,2,15,15,,1,,,10,,
371,检测管道,DetectionPipe,,,,wireless_detection_pipe,,5,,,,1,1,1,1,0,0,0,,,,,100,16,1,0,0,0,,371,10000,0,0,371,10000,,,1,1,0,,1,detection_pipe_red,detection_pipe,blocks.stone,blockd.stone,blockd.stone,371,2,2,,,,,,,,,2,15,15,,1,,,10,,
372,星能增压器,Pressurizer,,,,wireless_emitter,,5,,,,,1,1,1,0,0,2,,,,,24,10,1,0,,0,,372,10000,0,0,372,10000,,,0,1,0,,1,pressurizer,pressurizer,blocks.stone,blockd.stone,blockd.stone,372,2,1,,c27523,,,,,4,,1,15,15,,1,,,10,,
373,钥匙门,,,,,keydoor,,4,,,,,1,1,1,1,3,2,,,,,100,30,1,1,,0,,373,10000,0,0,373,10000,,,0,1,0,,2,key_door,key_door,blocks.wood,blockd.wood,blockd.wood,373,2,1,,ffebef,,,,,4,,3,15,15,,1,,1,30,,
374,星能比较器,,,,,wireless_comparator,,5,,,,,1,1,1,0,3,2,,,,,3,0,1,0,,0,,374,10000,0,0,374,10000,,,2,1,0,,1,comparator_off,comparator_on,blocks.stone,blockd.wood,blockd.wood,374,0,1,,a2d5c6,,,,,4,,1,15,15,,1,,,,,
375,柠檬黄木板,YellowPlank,YellowPlank,,,basic,1,4,4,,,1,1,1,1,0,0,0,,,,1,25,6,1,2,20,2,,375,10000,0,0,375,10000,,,2,15,0,,1,planks_arbor,,blocks.wood,blockd.wood,,375,1,1,,c1a661,,,,,4,,1,15,15,,1,,,1,,
376,柠檬黄楼梯,YellowStair,YellowStair,,,stair,1,4,4,,,1,1,1,1,0,0,2,,,,,25,6,1,2,20,2,,376,10000,0,0,376,10000,,,2,15,0,1,1,planks_arbor,stair,blocks.wood,blockd.wood,,376,1,1,,c1a661,,,,,4,,2,15,15,,1,,,1,,
377,柠檬黄薄板,YellowStep,YellowStep,,,slab,1,4,4,,,1,1,1,3,0,0,1,,,,,50,12,1,2,20,2,,377,10000,0,0,377,10000,,,2,15,0,,1,planks_arbor,,blocks.stone,blockd.stone,,377,1,1,,c1a661,,,,,4,,2,15,15,,1,,,10,,
378,乔木果实,ArborFruit,ArborFruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264c1b,,,,,,,,,,,1,,,,,
