部件ID（跟方块ID相同）,名称,机械核心（0=不是核心，1=是核心）,生命值,部件类型（0=框架，1=移动装置[1=车轮]，2=动力装置[1=引擎]，3=座位，4=武器，5=辅助装置，6=关节部件）,子类型（根据部件类型不同有不同含义，0=全部）,作为护甲（0=否，1=作为护甲给核心加生命值）,增加电力上限,占用电力,是否耗能,消耗速度（每消耗间隔消耗的燃料值）,消耗间隔（单位0.1秒）,方块数,使用类型（0=主动，1=被动）,直连端口触发类型[0=改状态的，1=使用的，2=载具控制的],是否屏蔽界面交互触发(1=屏蔽，不填=不屏蔽),功能效果（Key1填键位（填0会自动分配按键），KeyIcon1填图标（不填则使用道具图标），KeyType填按键类型（0=按住类，1=开关类）
676,青碧绿水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
677,青莲紫水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
678,宝石蓝水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
679,深栗红水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
680,翡翠绿水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
681,赫赤红水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
682,煤乌黑水泥块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
683,龙纹石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
684,斜纹黑石块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
687,香薰宫灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
688,中式字牌,0,18,5,0,1,0,0,0,0,0,1,0,0,,
689,中式镂空窗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
690,低音块,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
691,中音块,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
692,高音块,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
693,乐器-鼓,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
694,乐器-电子,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
695,乐器-综合,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
696,非循环-电子,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
697,循环-鼓,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
698,循环-电子,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
699,循环-氛围,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
700,星能产生器,0,44,5,1,1,0,0,0,0,0,1,0,0,,
701,星能产生器,0,44,5,1,1,0,0,0,0,0,1,0,0,,
702,星能增幅器,0,44,5,0,1,0,0,0,0,0,1,0,0,,
703,星能增幅器,0,44,5,0,1,0,0,0,0,0,1,0,0,,
704,星能比较器,0,44,5,0,1,0,0,0,0,0,1,0,0,,
705,星能比较器,0,44,5,0,1,0,0,0,0,0,1,0,0,,
706,蓝色星能线,0,18,5,0,1,0,0,0,0,0,1,0,0,,
707,星能信号灯,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
708,星能信号灯,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
711,触碰感压板,0,18,5,1,1,0,0,0,0,0,1,0,0,,
712,普通感压板,0,44,5,1,1,0,0,0,0,0,1,0,0,,
713,生物感压板,0,18,5,1,1,0,0,0,0,0,1,0,0,,
715,触碰按钮,0,18,5,1,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
716,普通按钮,0,44,5,1,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":0}]"
717,发射装置,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":69,""KeyIcon1"":"""",""KeyType1"":0}]"
718,推拉机械臂,0,44,0,0,1,0,0,0,0,0,1,0,0,,
719,机械臂,0,44,0,0,1,0,0,0,0,0,1,0,0,,
720,投掷发射装置,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":69,""KeyIcon1"":"""",""KeyType1"":0}]"
721,地刺陷阱,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
722,投掷装置,0,90,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
723,桃木图腾,0,18,0,0,1,0,0,0,0,0,1,0,0,,
724,开关,0,18,5,1,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
725,轨道节点,0,90,0,0,1,0,0,0,0,0,1,0,0,,
729,加速轨道节点,0,90,0,0,1,0,0,0,0,0,1,0,0,,
731,木质天窗,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
732,黑龙雕像,0,44,0,0,1,0,0,0,0,0,1,0,0,,
742,混乱雕像,0,44,0,0,1,0,0,0,0,0,1,0,0,,
748,萤火虫玻璃瓶,0,27,0,0,1,0,0,0,0,0,1,0,0,,
800,不完整工匠台,0,18,5,0,1,0,0,0,0,0,1,0,0,,
801,储物箱,0,18,5,0,1,0,0,0,0,0,1,0,0,,
802,冶炼台,0,44,5,0,1,0,0,0,0,0,1,0,0,,
812,轻木门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
813,绳索,0,18,5,0,1,0,0,0,0,0,1,0,0,,
814,秘银门,0,90,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
815,黄铜星能幕布,0,18,5,0,1,0,0,0,0,0,1,0,0,,
816,巨布鲁果灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
817,火炬,0,18,0,0,1,0,0,0,0,0,1,0,0,,
818,星能幕布（依附方块）,0,18,5,0,1,0,0,0,0,0,1,0,0,,
820,书柜,0,18,0,0,1,0,0,0,0,0,1,0,0,,
824,不完整工匠台,0,90,5,0,1,0,0,0,0,0,1,0,0,,
828,简易睡袋,0,18,5,0,1,0,0,0,0,0,1,0,0,,
833,不完整工匠台,0,44,5,0,1,0,0,0,0,0,1,0,0,,
834,炸药桶,0,44,0,0,1,0,0,0,0,0,1,0,0,,
835,备用,0,44,0,0,1,0,0,0,0,0,1,0,0,,
839,收集传输器,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
840,机械臂部件,0,44,0,0,1,0,0,0,0,0,1,0,0,,
841,移动的机械臂,0,44,0,0,1,0,0,0,0,0,1,0,0,,
842,秘银弹簧,0,90,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
843,弹簧部件,0,90,0,0,1,0,0,0,0,0,1,0,0,,
844,炽炎弹簧,0,90,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
847,圣诞礼盒,0,18,0,0,1,0,0,0,0,0,1,0,0,,
848,孔明灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
854,落日橙门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
855,深栗红门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
856,象牙白门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
857,炽炎门,0,90,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
858,海棠红门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
859,琥珀黄门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
860,秋叶橙木门,0,18,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
861,木纹灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
862,象牙白玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
863,朱砂橙玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
864,胭脂红玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
865,天青蓝玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
866,鹅毛黄玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
867,松花绿玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
868,海棠红玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
869,苍石灰玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
870,浅苍灰玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
871,青碧绿玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
872,青莲紫玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
873,宝石蓝玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
874,深栗红玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
875,翡翠绿玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
876,赫赤红玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
877,煤乌黑玻璃灯,0,27,0,0,1,0,0,0,0,0,1,0,0,,
878,沙发测试,0,18,0,0,1,0,0,0,0,0,1,0,0,,
879,圣诞铃铛,0,18,0,0,1,0,0,0,0,0,1,0,0,,
880,圣诞条带,0,18,0,0,1,0,0,0,0,0,1,0,0,,
883,精致木床,0,18,5,0,1,0,0,0,0,0,1,0,0,,
884,豪华木床,0,18,5,0,1,0,0,0,0,0,1,0,0,,
885,公主床,0,18,5,0,1,0,0,0,0,0,1,0,0,,
886,秘银星能幕布,0,44,5,0,1,0,0,0,0,0,1,0,0,,
887,秘银星能幕布（贴墙）,0,44,5,0,1,0,0,0,0,0,1,0,0,,
888,钛金星能幕布,0,90,5,0,1,0,0,0,0,0,1,0,0,,
889,钛金星能幕布（贴墙）,0,90,5,0,1,0,0,0,0,0,1,0,0,,
890,熔岩星能幕布,0,44,5,0,1,0,0,0,0,0,1,0,0,,
891,熔岩星能幕布（贴墙）,0,44,5,0,1,0,0,0,0,0,1,0,0,,
892,木质字牌,0,18,5,0,1,0,0,0,0,0,1,0,0,,
893,石质字牌,0,44,5,0,1,0,0,0,0,0,1,0,0,,
894,秘银字牌,0,90,5,0,1,0,0,0,0,0,1,0,0,,
895,炽炎字牌,0,90,5,0,1,0,0,0,0,0,1,0,0,,
896,钨金字牌,0,44,5,0,1,0,0,0,0,0,1,0,0,,
897,熔岩字牌,0,44,5,0,1,0,0,0,0,0,1,0,0,,
898,灯笼,0,18,0,0,1,0,0,0,0,0,1,0,0,,
899,古典路灯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
900,现代路灯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
919,红色战旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
920,蓝色战旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
921,绿色战旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
922,黄战旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
923,橙色战旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
924,紫色战旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
925,白色战旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
926,黑色铜围栏,0,90,0,0,1,0,0,0,0,0,1,0,0,,
927,白色铜围栏,0,90,0,0,1,0,0,0,0,0,1,0,0,,
928,小花盆,0,44,0,0,1,0,0,0,0,0,1,0,0,,
929,大花盆,0,44,0,0,1,0,0,0,0,0,1,0,0,,
930,展示架,0,18,5,0,1,0,0,0,0,0,1,0,0,,
931,蜡烛台,0,18,0,0,1,0,0,0,0,0,1,0,0,,
932,蜡烛台,0,18,0,0,1,0,0,0,0,0,1,0,0,,
933,吊灯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
934,典雅壁灯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
935,精致壁灯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
936,台灯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
937,福字,0,18,0,0,1,0,0,0,0,0,1,0,0,,
938,对联字牌,0,18,0,0,1,0,0,0,0,0,1,0,0,,
939,春节窗花,0,18,0,0,1,0,0,0,0,0,1,0,0,,
940,春节窗花-福,0,18,0,0,1,0,0,0,0,0,1,0,0,,
941,春节窗花-禄,0,18,0,0,1,0,0,0,0,0,1,0,0,,
942,春节窗花-寿,0,18,0,0,1,0,0,0,0,0,1,0,0,,
943,春节窗花-喜,0,18,0,0,1,0,0,0,0,0,1,0,0,,
944,新春灯笼,0,18,0,0,1,0,0,0,0,0,1,0,0,,
945,中式宫灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
946,红色陶花盆,0,44,0,0,1,0,0,0,0,0,1,0,0,,
947,绿色陶花盆,0,44,0,0,1,0,0,0,0,0,1,0,0,,
948,大瓷花盆,0,44,0,0,1,0,0,0,0,0,1,0,0,,
949,新春宫灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
965,椅子,0,180,3,2,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":3,""AddHeight"":60,""SeatType"":0,""IsControl"":0,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1}]"
966,桌子,0,18,0,0,1,0,0,0,0,0,1,0,0,,
967,沙发,0,180,3,2,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":3,""AddHeight"":50,""SeatType"":0,""IsControl"":0,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1}]"
968,棕色壁炉,0,44,5,0,1,0,0,0,0,0,1,0,0,,
969,柜子,0,18,5,0,1,0,0,0,0,0,1,0,0,,
970,象牙白椅子,0,180,3,2,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":3,""AddHeight"":60,""SeatType"":0,""IsControl"":0,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1}]"
971,象牙白桌子,0,18,0,0,1,0,0,0,0,0,1,0,0,,
972,象牙白沙发,0,180,3,2,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":3,""AddHeight"":50,""SeatType"":0,""IsControl"":0,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1}]"
973,白色壁炉,0,44,5,0,1,0,0,0,0,0,1,0,0,,
974,象牙白柜子,0,18,5,0,1,0,0,0,0,0,1,0,0,,
975,松木椅子,0,180,3,2,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":3,""AddHeight"":60,""SeatType"":0,""IsControl"":0,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1}]"
976,松木桌子,0,18,0,0,1,0,0,0,0,0,1,0,0,,
977,松木沙发,0,180,3,2,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":3,""AddHeight"":50,""SeatType"":0,""IsControl"":0,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1}]"
978,黑色壁炉,0,44,5,0,1,0,0,0,0,0,1,0,0,,
979,松木柜子,0,18,5,0,1,0,0,0,0,0,1,0,0,,
981,方片花纹砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
982,棕色纹砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
983,黑白纹砖,0,44,0,0,1,0,0,0,0,0,1,0,0,,
984,白蓝纹玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
985,绿蓝纹玻璃片,0,27,0,0,1,0,0,0,0,0,1,0,0,,
986,小彩旗,0,18,0,0,1,0,0,0,0,0,1,0,0,,
990,公共集合点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
991,1队:红队集合点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
992,2队:蓝队集合点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
993,3队:绿队集合点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
994,4队:黄队集合点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
995,5队:橙队集合点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
996,6队:紫队集合点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
997,闪星方块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
998,初始道具补给箱,0,18,0,0,1,0,0,0,0,0,1,0,0,1,
999,再次挑战补给箱,0,18,0,0,1,0,0,0,0,0,1,0,0,1,
1000,方块复制器,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1002,方块复制器,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1003,方块清除器,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1004,标记器1号,0,44,5,0,1,0,0,0,0,0,1,0,0,,
1005,标记器2号,0,44,5,0,1,0,0,0,0,0,1,0,0,,
1008,机甲滑动,0,44,5,4,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1009,红色电线支架,0,18,5,0,1,0,0,0,0,0,1,0,0,,
1010,机甲转动,0,44,5,4,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1014,大型十字炸弹,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1015,小型十字炸弹,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1016,大型单向炸弹,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1017,小型单向炸弹,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1021,闪星奖杯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1022,漏斗,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1023,机械臂,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1024,粘性机械臂,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1025,移动的机械臂,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1032,感应块,0,18,5,1,1,0,0,0,0,0,1,0,0,,
1033,算术器,0,44,5,0,1,0,0,0,0,0,1,0,0,,
1034,电阻,0,44,5,0,1,0,0,0,0,0,1,0,0,,
1036,准备点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1037,触碰方块,0,44,5,1,1,0,0,0,0,0,1,0,0,,
1038,生物触碰方块,0,44,5,1,1,0,0,0,0,0,1,0,0,,
1039,得分方块,0,44,5,0,1,0,0,0,0,0,1,0,0,,
1042,[外星]笑脸图腾,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1045,[外星]气体提炼装置,0,44,0,0,1,0,0,0,0,0,1,0,0,1,
1047,[外星]压缩气罐（空）,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1048,[外星]压缩气罐（氧气）,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1050,[外星]培养基,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1052,信号发生器,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1053,信号接收器,0,44,5,1,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1054,信号解析器,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1055,小加密箱,0,90,5,0,1,0,0,0,0,0,1,0,0,,
1056,大加密箱,0,90,5,0,1,0,0,0,0,0,1,0,0,,
1058,[外星]巨人雕像,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1060,[外星]反射镜,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1062,区域复制方块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1063,蓝图工作台,0,18,0,0,1,0,0,0,0,0,1,0,0,1,
1066,测距仪,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1067,物理触碰方块,0,44,5,1,1,0,0,0,0,0,1,0,0,,
1072,公共初始出生点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1073,1队:红队初始出生点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1074,2队:蓝队初始出生点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1075,3队:绿队初始出生点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1076,4队:黄队初始出生点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1077,5队:橙队初始出生点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1078,6队:紫队初始出生点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1079,个人重生复活点,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1080,刷怪方块,0,44,0,0,1,0,0,0,0,0,1,0,0,1,
1101,实验室门,0,44,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1102,坚冰,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1103,冰灯,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1104,花纹电石块,0,44,5,1,1,0,0,0,0,0,1,0,0,,
1105,电石铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1106,电石铁板,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1107,黑铁石,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1108,钢块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1109,镂空铁板,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1110,实验室灯,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1111,锈铁门,0,90,5,2,1,0,0,0,0,0,1,0,1,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1112,铁丝网,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1113,薄铁板,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1114,锈铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1115,条纹锈铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1116,锈铁板,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1117,电石锈铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1118,荧光灯,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1119,花纹铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1120,旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1121,橙色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1122,洋红旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1123,淡蓝旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1124,黄色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1125,黄绿色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1126,粉色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1127,灰色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1128,淡灰色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1129,青色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1130,紫色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1131,蓝色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1132,棕色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1133,绿色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1134,红色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1135,黑色旧铁块,0,90,0,0,1,0,0,0,0,0,1,0,0,,
1136,雪梅屏风,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1137,红烛灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1138,模型工作台,0,18,0,0,1,0,0,0,0,0,1,0,0,1,
1139,红烛灯,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1140,传送点核心方块,0,44,5,2,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":10,""Key1"":0,""KeyIcon1"":"""",""KeyType1"":1}]"
1141,传送点方块,0,44,0,0,1,0,0,0,0,0,1,0,0,,
1142,道具模型工作台,0,18,0,0,1,0,0,0,0,0,1,0,0,1,
1143,编书台,0,18,5,0,1,0,0,0,0,0,1,0,0,,
1144,书架,0,18,5,0,1,0,0,0,0,0,1,0,0,,
1150,生物模型方块,0,18,0,0,1,0,0,0,0,0,1,0,0,1,
1188,船舵,1,180,3,1,0,10,0,0,0,0,2,1,2,,"[{""FunctionID"":3,""SeatType"":0,""IsControl"":1,""LeaveKey"":40,""Icon"":100,""Key1"":16,""KeyIcon1"":""icon_getout"",""KeyType1"":1,""Key2"":114,""KeyIcon2"":""icon_turnover"",""KeyType2"":1},{""FunctionID"":4,""ResetKey"":1,""Icon"":100}]"
1189,螺旋推进器,0,180,2,4,0,0,0,0,0,0,1,0,2,,"[{""FunctionID"":13,""ThrusterForce"":100,""MaxUpAngle"":45,""MaxDownAngle"":-45,""Key1"":97,""KeyIcon1"":""icon_turnleft"",""KeyType1"":0,""Key2"":100,""KeyIcon2"":""icon_turnright"",""KeyType2"":0}]"
1190,浮桶,0,90,0,0,1,0,0,0,0,0,1,0,0,,"[{""FunctionID"":14,""FloatForce"":50}]"
2000,微缩模型,0,22,0,0,1,0,0,0,0,0,1,,0,,
1244,星球岩斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1245,竹板斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1246,桃花木斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1247,灰砂砖斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1248,硫黄砖斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1249,石块斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1250,石砖斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1251,钛合金斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
1252,黄铜斜块,0,18,0,0,1,0,0,0,0,0,1,0,0,,
