任务id,任务名称（stringdef,多少级显示,是否显示进度（0=不显示，1=显示）,任务类型(1:新手引导任务，2：其它）,任务难度（1普通，2困难，3挑战),任务权重（1~10）,更新版本,完成类型,完成次数,任务额外条件id,任务额外条件图标是否显示（0=不显示，1=显示）,任务额外条件参数,前置任务id,经验奖励,任务奖励类型type(2:家园币，5：道具),任务奖励1ID,奖励1数量,任务奖励类型type(2:家园币，5：道具),任务奖励2ID,奖励2数量,任务奖励类型type(2:家园币，5：道具),任务奖励3ID,奖励3数量,任务奖励类型type(2:家园币，5：道具),任务奖励4ID,奖励4数量,任务奖励类型type(2:家园币，5：道具),任务奖励5ID,奖励5数量,任务奖励类型type(2:家园币，5：道具),任务奖励6ID,奖励6数量,任务标题文本id（stringdef,任务描述文本id（stringdef,剧情ID（stringdef,npcID,npcID类型,位置坐标x,位置坐标y,位置坐标z,备注
255,101094,31,1,2,3,1,1.5.0,23,1,64048,1,,18,300,,,,,,,,,,,,,,,,,,,110279,,,,,,,,在灶台制作一杯咖啡
256,101094,31,1,2,1,1,1.5.0,25,1,75008,1,,18,300,,,,,,,,,,,,,,,,,,,110280,,,,,,,,在制作台制作两个果木板
257,101094,31,1,2,2,1,1.5.0,25,1,1569,1,,18,300,,,,,,,,,,,,,,,,,,,110281,,,,,,,,在制作台制作2个简约楼梯
258,101094,31,1,2,3,1,1.5.0,25,1,75003,1,,18,300,,,,,,,,,,,,,,,,,,,110282,,,,,,,,在制作台制作一个陶瓷土坯
259,101094,31,1,2,1,1,1.5.0,51,1,75017,1,,18,300,,,,,,,,,,,,,,,,,,,110283,,,,,,,,购买5个食盐
260,101094,31,1,2,2,1,1.5.0,51,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110284,,,,,,,,购买6头牛
261,101094,31,1,2,3,1,1.5.0,51,1,64244,1,,18,300,,,,,,,,,,,,,,,,,,,110285,,,,,,,,购买20瓶能量水
262,101094,31,1,2,1,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110286,,,,,,,,喂养牧场中的小动物4次
263,101094,31,1,2,2,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110287,,,,,,,,喂养牧场中的小动物8次
264,101094,31,1,2,3,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110288,,,,,,,,喂养牧场中的小动物12次
265,101094,31,1,2,1,1,1.5.0,53,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110289,,,,,,,,收获5个生鸡腿
266,101094,31,1,2,2,1,1.5.0,53,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110290,,,,,,,,收获四块生猪肉
267,101094,31,1,2,1,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110291,,,,,,,,去好友家园逛3次
268,101094,31,1,2,2,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110292,,,,,,,,去好友家园逛5次
269,101094,31,0,2,1,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110293,,,,,,,,在家园游玩6分钟
270,101094,31,0,2,2,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110294,,,,,,,,在家园游玩15分钟
271,101094,31,0,2,3,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110295,,,,,,,,在家园游玩30分钟
272,101094,31,1,2,3,1,1.5.0,56,1,,,,18,300,,,,,,,,,,,,,,,,,,,110296,,,,,,,,收养一只新的宠物伙伴吧！
273,101094,31,1,2,1,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110297,,,,,,,,在家园商店购买任意一个方块建材
274,101094,31,1,2,2,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110298,,,,,,,,在家园商店购买任意一件家园家具
275,101094,31,1,2,3,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110299,,,,,,,,在家园商店购买任意一件系列家具
276,101094,31,1,2,1,1,1.5.0,13,1,62058,1,,18,300,,,,,,,,,,,,,,,,,,,110300,,,,,,,,购买10个蛋黄果树种子
277,101094,31,1,2,2,1,1.5.0,13,1,62059,1,,18,300,,,,,,,,,,,,,,,,,,,110301,,,,,,,,购买10个红高粱种子
278,101094,31,1,2,3,1,1.5.0,13,1,62057,1,,18,300,,,,,,,,,,,,,,,,,,,110302,,,,,,,,购买12个覆盆子种子
279,101094,31,1,2,1,1,1.5.0,14,1,62058,1,,18,300,,,,,,,,,,,,,,,,,,,110303,,,,,,,,种植10个红高粱种子
280,101094,31,1,2,2,1,1.5.0,14,1,62059,1,,18,300,,,,,,,,,,,,,,,,,,,110304,,,,,,,,种植6个蛋黄果树种子
281,101094,31,1,2,3,1,1.5.0,14,1,62057,1,,18,300,,,,,,,,,,,,,,,,,,,110305,,,,,,,,种植12个覆盆子种子
282,101094,31,1,2,1,1,1.5.0,15,1,62459,1,,18,300,,,,,,,,,,,,,,,,,,,110306,,,,,,,,出售60个蛋黄果
283,101094,31,1,2,2,1,1.5.0,15,1,62462,1,,18,300,,,,,,,,,,,,,,,,,,,110307,,,,,,,,出售200个豌豆
284,101094,31,1,2,3,1,1.5.0,15,1,62908,1,,18,300,,,,,,,,,,,,,,,,,,,110308,,,,,,,,出售10个牛奶
285,101094,31,1,2,1,1,1.5.0,50,1,62459,1,,18,300,,,,,,,,,,,,,,,,,,,110309,,,,,,,,收获30个蛋黄果
286,101094,31,1,2,2,1,1.5.0,50,1,62462,1,,18,300,,,,,,,,,,,,,,,,,,,110310,,,,,,,,收获200个豌豆
287,101094,31,1,2,3,1,1.5.0,50,1,62462,1,,18,300,,,,,,,,,,,,,,,,,,,110311,,,,,,,,收获400个豌豆
288,101094,31,1,2,1,1,1.5.0,17,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110312,,,,,,,,养4头猪
289,101094,31,1,2,2,1,1.5.0,17,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110313,,,,,,,,养四头牛
290,101094,31,1,2,3,1,1.5.0,17,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110314,,,,,,,,养12只鸡
291,101094,31,1,2,1,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110315,,,,,,,,给任一宠物培养属性1次
292,101094,31,1,2,3,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110316,,,,,,,,给任一宠物培养属性3次
293,101094,31,1,2,1,1,1.5.0,21,1,2,,,18,300,,,,,,,,,,,,,,,,,,,110317,,,,,,,,出发去森林探险
294,101094,31,1,2,2,1,1.5.0,21,1,3,,,18,300,,,,,,,,,,,,,,,,,,,110318,,,,,,,,出发去山丘探险
295,101094,31,1,2,3,1,1.5.0,21,1,5,,,18,300,,,,,,,,,,,,,,,,,,,110319,,,,,,,,出发去矿洞探险
296,101094,31,1,2,1,1,1.5.0,23,1,64007,1,,18,300,,,,,,,,,,,,,,,,,,,110320,,,,,,,,在灶台制作小麦面包
297,101094,31,1,2,2,1,1.5.0,23,1,64126,1,,18,300,,,,,,,,,,,,,,,,,,,110321,,,,,,,,在灶台制作一个水果拼盘
298,101094,31,1,2,3,1,1.5.0,23,1,64048,1,,18,300,,,,,,,,,,,,,,,,,,,110322,,,,,,,,在灶台制作一杯咖啡
299,101094,31,1,2,1,1,1.5.0,25,1,75008,1,,18,300,,,,,,,,,,,,,,,,,,,110323,,,,,,,,在制作台制作两个果木板
300,101094,31,1,2,2,1,1.5.0,25,1,1569,1,,18,300,,,,,,,,,,,,,,,,,,,110324,,,,,,,,在制作台制作2个简约楼梯
301,101094,31,1,2,3,1,1.5.0,25,1,75003,1,,18,300,,,,,,,,,,,,,,,,,,,110325,,,,,,,,在制作台制作一个陶瓷土坯
302,101094,31,1,2,1,1,1.5.0,51,1,75017,1,,18,300,,,,,,,,,,,,,,,,,,,110326,,,,,,,,购买5个食盐
303,101094,31,1,2,2,1,1.5.0,51,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110327,,,,,,,,购买6头牛
304,101094,31,1,2,3,1,1.5.0,51,1,64244,1,,18,300,,,,,,,,,,,,,,,,,,,110328,,,,,,,,购买30个糯米团
305,101094,31,1,2,1,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110329,,,,,,,,喂养牧场中的小动物4次
306,101094,31,1,2,2,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110330,,,,,,,,喂养牧场中的小动物8次
307,101094,31,1,2,3,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110331,,,,,,,,喂养牧场中的小动物12次
308,101094,31,1,2,1,1,1.5.0,53,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110332,,,,,,,,收获5个生鸡腿
309,101094,31,1,2,2,1,1.5.0,53,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110333,,,,,,,,收获四块生猪肉
310,101094,31,1,2,1,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110334,,,,,,,,去好友家园逛3次
311,101094,31,1,2,2,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110335,,,,,,,,去好友家园逛5次
312,101094,31,0,2,1,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110336,,,,,,,,在家园游玩6分钟
313,101094,31,0,2,2,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110337,,,,,,,,在家园游玩15分钟
314,101094,31,0,2,3,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110338,,,,,,,,在家园游玩30分钟
315,101094,31,1,2,3,1,1.5.0,56,1,,,,18,300,,,,,,,,,,,,,,,,,,,110339,,,,,,,,收养一只新的宠物伙伴吧！
316,101094,31,1,2,1,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110340,,,,,,,,在家园商店购买任意一个方块建材
317,101094,31,1,2,2,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110341,,,,,,,,在家园商店购买任意一件家园家具
318,101094,31,1,2,3,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110342,,,,,,,,在家园商店购买任意一件系列家具
319,101094,31,1,2,1,1,1.5.0,13,1,62066,1,,18,300,,,,,,,,,,,,,,,,,,,110343,,,,,,,,购买10个樱桃树种子
320,101094,31,1,2,2,1,1.5.0,13,1,62062,1,,18,300,,,,,,,,,,,,,,,,,,,110344,,,,,,,,购买10个蓝莓树种子
321,101094,31,1,2,3,1,1.5.0,13,1,62065,1,,18,300,,,,,,,,,,,,,,,,,,,110345,,,,,,,,购买12个葡萄树种子
322,101094,31,1,2,1,1,1.5.0,14,1,62066,1,,18,300,,,,,,,,,,,,,,,,,,,110346,,,,,,,,种植6个樱桃树种子
323,101094,31,1,2,2,1,1.5.0,14,1,62062,1,,18,300,,,,,,,,,,,,,,,,,,,110347,,,,,,,,种植6个蓝莓树种子
324,101094,31,1,2,3,1,1.5.0,14,1,62065,1,,18,300,,,,,,,,,,,,,,,,,,,110348,,,,,,,,种植12个樱桃树种子
325,101094,31,1,2,1,1,1.5.0,15,1,62467,1,,18,300,,,,,,,,,,,,,,,,,,,110349,,,,,,,,出售90个樱桃
326,101094,31,1,2,2,1,1.5.0,15,1,62463,1,,18,300,,,,,,,,,,,,,,,,,,,110350,,,,,,,,出售100个蓝莓
327,101094,31,1,2,3,1,1.5.0,15,1,62904,1,,18,300,,,,,,,,,,,,,,,,,,,110351,,,,,,,,出售10个生猪肉
328,101094,31,1,2,1,1,1.5.0,50,1,62467,1,,18,300,,,,,,,,,,,,,,,,,,,110352,,,,,,,,收获90个樱桃
329,101094,31,1,2,2,1,1.5.0,50,1,62464,1,,18,300,,,,,,,,,,,,,,,,,,,110353,,,,,,,,收获200个草莓
330,101094,31,1,2,3,1,1.5.0,50,1,62464,1,,18,300,,,,,,,,,,,,,,,,,,,110354,,,,,,,,收获400个草莓
331,101094,31,1,2,1,1,1.5.0,17,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110355,,,,,,,,养4头猪
332,101094,31,1,2,2,1,1.5.0,17,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110356,,,,,,,,养四头牛
333,101094,31,1,2,3,1,1.5.0,17,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110357,,,,,,,,养12只鸡
334,101094,31,1,2,1,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110358,,,,,,,,给任一宠物培养属性1次
335,101094,31,1,2,3,1,1.5.0,20,1,68004,1,,18,300,,,,,,,,,,,,,,,,,,,110359,,,,,,,,给任一宠物培养属性3次
336,101094,31,1,2,1,1,1.5.0,21,1,2,,,18,300,,,,,,,,,,,,,,,,,,,110360,,,,,,,,出发去森林探险
337,101094,31,1,2,2,1,1.5.0,21,1,4,,,18,300,,,,,,,,,,,,,,,,,,,110361,,,,,,,,出发去海岸探险
338,101094,31,1,2,3,1,1.5.0,21,1,6,,,18,300,,,,,,,,,,,,,,,,,,,110362,,,,,,,,出发去空岛探险
339,101094,31,1,2,1,1,1.5.0,23,1,64007,1,,18,300,,,,,,,,,,,,,,,,,,,110363,,,,,,,,在灶台制作小麦面包
340,101094,31,1,2,2,1,1.5.0,23,1,64126,1,,18,300,,,,,,,,,,,,,,,,,,,110364,,,,,,,,在灶台制作一个水果拼盘
341,101094,31,1,2,3,1,1.5.0,23,1,64048,1,,18,300,,,,,,,,,,,,,,,,,,,110365,,,,,,,,在灶台制作一杯咖啡
342,101094,31,1,2,1,1,1.5.0,25,1,75008,1,,18,300,,,,,,,,,,,,,,,,,,,110366,,,,,,,,在制作台制作两个果木板
343,101094,31,1,2,2,1,1.5.0,25,1,1569,1,,18,300,,,,,,,,,,,,,,,,,,,110367,,,,,,,,在制作台制作2个简约楼梯
344,101094,31,1,2,3,1,1.5.0,25,1,75005,1,,18,300,,,,,,,,,,,,,,,,,,,110368,,,,,,,,在制作台制作一个粗制石砖
345,101094,31,1,2,1,1,1.5.0,51,1,75017,1,,18,300,,,,,,,,,,,,,,,,,,,110369,,,,,,,,购买5个食盐
346,101094,31,1,2,2,1,1.5.0,51,1,62103,1,,18,300,,,,,,,,,,,,,,,,,,,110370,,,,,,,,购买6头牛
347,101094,31,1,2,3,1,1.5.0,51,1,64242,1,,18,300,,,,,,,,,,,,,,,,,,,110371,,,,,,,,购买30个馒头
348,101094,31,1,2,1,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110372,,,,,,,,喂养牧场中的小动物4次
349,101094,31,1,2,2,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110373,,,,,,,,喂养牧场中的小动物8次
350,101094,31,1,2,3,1,1.5.0,52,1,,,,18,300,,,,,,,,,,,,,,,,,,,110374,,,,,,,,喂养牧场中的小动物12次
351,101094,31,1,2,1,1,1.5.0,53,1,62101,1,,18,300,,,,,,,,,,,,,,,,,,,110375,,,,,,,,收获5个生鸡腿
352,101094,31,1,2,2,1,1.5.0,53,1,62105,1,,18,300,,,,,,,,,,,,,,,,,,,110376,,,,,,,,收获四块生猪肉
353,101094,31,1,2,1,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110377,,,,,,,,去好友家园逛3次
354,101094,31,1,2,2,1,1.5.0,54,1,,,,18,300,,,,,,,,,,,,,,,,,,,110378,,,,,,,,去好友家园逛5次
355,101094,31,0,2,1,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110379,,,,,,,,在家园游玩6分钟
356,101094,31,0,2,2,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110380,,,,,,,,在家园游玩15分钟
357,101094,31,0,2,3,1,1.5.0,55,1,,,,18,300,,,,,,,,,,,,,,,,,,,110381,,,,,,,,在家园游玩30分钟
358,101094,31,1,2,3,1,1.5.0,56,1,,,,18,300,,,,,,,,,,,,,,,,,,,110382,,,,,,,,收养一只新的宠物伙伴吧！
359,101094,31,1,2,1,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110383,,,,,,,,在家园商店购买任意一个方块建材
360,101094,31,1,2,2,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110384,,,,,,,,在家园商店购买任意一件家园家具
361,101094,31,1,2,3,1,1.5.0,57,1,,,,18,300,,,,,,,,,,,,,,,,,,,110385,,,,,,,,在家园商店购买任意一件系列家具
2001,101094,2,1,2,1,5,1.5.0,14,1,62040,1,,18,100,2,,1100,5,75027,1,,,,,,,,,,,,,110386,,,,,,,,在农场种植芝麻种子
2002,101094,3,1,2,1,6,1.5.0,14,1,62041,1,,18,100,2,,1100,5,75012,1,,,,,,,,,,,,,110387,,,,,,,,在农场种植生菜种子
2003,101094,4,1,2,1,7,1.5.0,14,1,62042,1,,18,100,2,,1400,5,75025,3,,,,,,,,,,,,,110388,,,,,,,,在农场种植甜菜种子
2004,101094,5,1,2,1,8,1.5.0,14,1,62039,1,,18,100,2,,1100,5,75025,3,,,,,,,,,,,,,110389,,,,,,,,在农场种植大麦种子
2005,101094,6,1,2,1,6,1.5.0,14,1,62044,1,,18,200,2,,2100,5,75027,2,,,,,,,,,,,,,110390,,,,,,,,在农场种植高丹草种子
2006,101094,7,1,2,1,7,1.5.0,14,1,62045,1,,18,200,2,,2700,5,75012,2,,,,,,,,,,,,,110391,,,,,,,,在农场种植甘蓝种子
2007,101094,9,1,2,1,8,1.5.0,14,1,62047,1,,18,200,2,,2100,5,75025,6,,,,,,,,,,,,,110392,,,,,,,,在农场种植青椒种子
2008,101094,11,1,2,1,5,1.5.0,14,1,62050,1,,18,300,2,,3100,5,75027,3,,,,,,,,,,,,,110393,,,,,,,,在农场种植花椰菜种子
2009,101094,12,1,2,1,6,1.5.0,14,1,62051,1,,18,300,2,,3500,5,75012,3,,,,,,,,,,,,,110394,,,,,,,,在农场种植韭菜种子
2010,101094,13,1,2,1,7,1.5.0,14,1,62052,1,,18,300,2,,3100,5,75025,9,,,,,,,,,,,,,110395,,,,,,,,在农场种植红枣树种子
2011,101094,14,1,2,1,8,1.5.0,14,1,62053,1,,18,300,2,,3800,5,75025,9,,,,,,,,,,,,,110396,,,,,,,,在农场种植黄瓜种子
2012,101094,16,1,2,1,6,1.5.0,14,1,62055,1,,18,400,2,,4200,5,75027,4,,,,,,,,,,,,,110397,,,,,,,,在农场种植青稞种子
2013,101094,17,1,2,1,7,1.5.0,14,1,62056,1,,18,400,2,,5000,5,75012,4,,,,,,,,,,,,,110398,,,,,,,,在农场种植椰树种子
2014,101094,19,1,2,1,8,1.5.0,14,1,62058,1,,18,400,2,,4100,5,75025,12,,,,,,,,,,,,,110399,,,,,,,,在农场种植蛋黄果树种子
2015,101094,21,1,2,1,5,1.5.0,14,1,62061,1,,18,500,2,,5100,5,75027,5,,,,,,,,,,,,,110400,,,,,,,,在农场种植豌豆种子
2016,101094,22,1,2,1,6,1.5.0,14,1,62062,1,,18,500,2,,5700,5,75012,5,,,,,,,,,,,,,110401,,,,,,,,在农场种植蓝莓树种子
2017,101094,23,1,2,1,7,1.5.0,14,1,62063,1,,18,500,2,,5100,5,75025,15,,,,,,,,,,,,,110402,,,,,,,,在农场种植草莓种子
2018,101094,24,1,2,1,8,1.5.0,14,1,62064,1,,18,500,2,,6100,5,75025,15,,,,,,,,,,,,,110403,,,,,,,,在农场种植菠萝树种子
2019,101094,26,1,2,1,6,1.5.0,14,1,62066,1,,18,600,2,,6200,5,75027,6,,,,,,,,,,,,,110404,,,,,,,,在农场种植樱桃树种子
2020,101094,27,1,2,1,7,1.5.0,14,1,62067,1,,18,600,2,,7400,5,75012,6,,,,,,,,,,,,,110405,,,,,,,,在农场种植灵芝种子
2021,101094,29,1,2,1,8,1.5.0,14,1,62069,1,,18,600,2,,6100,5,75025,18,,,,,,,,,,,,,110406,,,,,,,,在农场种植五彩椒种子
2022,101094,1,1,2,2,8,1.5.0,50,6,62431,1,,18,150,2,,1500,5,75008,1,,,,,,,,,,,,,110407,,,,,,,,在农场收获麦子
2023,101094,6,1,2,2,8,1.5.0,50,1,62438,1,,18,300,2,,3100,5,75008,2,,,,,,,,,,,,,110408,,,,,,,,在农场收获芦荟
2024,101094,11,1,2,2,8,1.5.0,50,1,62439,1,,18,450,2,,4600,5,75008,3,,,,,,,,,,,,,110409,,,,,,,,在农场收获花生
2025,101094,16,1,2,2,8,1.5.0,50,1,62412,1,,18,600,2,,6100,5,75008,3,,,,,,,,,,,,,110410,,,,,,,,在农场收获胡萝卜
2026,101094,21,1,2,2,8,1.5.0,50,1,62413,1,,18,750,2,,7500,5,75008,4,,,,,,,,,,,,,110411,,,,,,,,在农场收获向阳花
2027,101094,26,1,2,2,8,1.5.0,50,1,62404,1,,18,900,2,,9000,5,75008,4,,,,,,,,,,,,,110412,,,,,,,,在农场收获茶叶
2028,101094,2,1,2,2,6,1.5.0,50,1,62441,1,,18,150,2,,1600,5,75027,3,,,,,,,,,,,,,110413,,,,,,,,在农场收获芝麻
2029,101094,3,1,2,2,7,1.5.0,50,1,62442,1,,18,150,2,,1600,5,75012,3,,,,,,,,,,,,,110414,,,,,,,,在农场收获生菜
2030,101094,5,1,2,2,8,1.5.0,50,1,62440,1,,18,150,2,,1600,5,75012,3,,,,,,,,,,,,,110415,,,,,,,,在农场收获大麦
2031,101094,6,1,2,2,7,1.5.0,50,1,62445,1,,18,300,2,,3100,5,75027,4,,,,,,,,,,,,,110416,,,,,,,,在农场收获高丹草
2032,101094,9,1,2,2,8,1.5.0,50,1,62448,1,,18,300,2,,3100,5,75012,4,,,,,,,,,,,,,110417,,,,,,,,在农场收获青椒
2033,101094,11,1,2,2,7,1.5.0,50,1,62451,1,,18,450,2,,4600,5,75027,5,,,,,,,,,,,,,110418,,,,,,,,在农场收获花椰菜
2034,101094,13,1,2,2,8,1.5.0,50,1,62453,1,,18,450,2,,4600,5,75012,5,,,,,,,,,,,,,110419,,,,,,,,在农场收获红枣
2035,101094,16,1,2,2,7,1.5.0,50,1,62456,1,,18,600,2,,6200,5,75027,6,,,,,,,,,,,,,110420,,,,,,,,在农场收获青稞
2036,101094,19,1,2,2,8,1.5.0,50,1,62459,1,,18,600,2,,6100,5,75012,6,,,,,,,,,,,,,110421,,,,,,,,在农场收获蛋黄果
2037,101094,21,1,2,2,7,1.5.0,50,1,62462,1,,18,750,2,,7600,5,75027,7,,,,,,,,,,,,,110422,,,,,,,,在农场收获豌豆
2038,101094,23,1,2,2,8,1.5.0,50,1,62464,1,,18,750,2,,7600,5,75012,7,,,,,,,,,,,,,110423,,,,,,,,在农场收获草莓
2039,101094,26,1,2,2,7,1.5.0,50,1,62467,1,,18,900,2,,9200,5,75027,8,,,,,,,,,,,,,110424,,,,,,,,在农场收获樱桃
2040,101094,29,1,2,2,8,1.5.0,50,1,62470,1,,18,900,2,,9100,5,75012,8,,,,,,,,,,,,,110425,,,,,,,,在农场收获五彩椒
2041,101094,1,1,2,2,8,1.5.0,15,6,62431,1,,18,150,2,,1500,5,68004,1,,,,,,,,,,,,,110426,,,,,,,,在任意商人处卖出麦子
2042,101094,1,1,2,2,8,1.5.0,15,2,62438,1,,18,150,2,,1500,5,64244,3,,,,,,,,,,,,,110427,,,,,,,,在任意商人处卖出芦荟
2043,101094,1,1,2,2,8,1.5.0,15,2,62439,1,,18,150,2,,1500,5,64244,3,,,,,,,,,,,,,110428,,,,,,,,在任意商人处卖出花生
2044,101094,6,1,2,2,8,1.5.0,15,2,62412,1,,18,300,2,,3100,5,68004,2,,,,,,,,,,,,,110429,,,,,,,,在任意商人处卖出胡萝卜
2045,101094,6,1,2,2,8,1.5.0,15,2,62413,1,,18,300,2,,3100,5,64244,5,,,,,,,,,,,,,110430,,,,,,,,在任意商人处卖出向阳花
2046,101094,11,1,2,2,8,1.5.0,15,1,62406,1,,18,450,2,,4700,5,68004,3,,,,,,,,,,,,,110431,,,,,,,,在任意商人处卖出芒果
2047,101094,11,1,2,2,8,1.5.0,15,1,62434,1,,18,450,2,,4700,5,64244,8,,,,,,,,,,,,,110432,,,,,,,,在任意商人处卖出甘蔗
2048,101094,11,1,2,2,8,1.5.0,15,1,62430,1,,18,450,2,,4700,5,64244,8,,,,,,,,,,,,,110433,,,,,,,,在任意商人处卖出水稻
2049,101094,16,1,2,2,8,1.5.0,15,1,62408,1,,18,600,2,,6200,5,68004,3,,,,,,,,,,,,,110434,,,,,,,,在任意商人处卖出柑橘
2050,101094,16,1,2,2,8,1.5.0,15,1,62432,1,,18,600,2,,6200,5,64244,12,,,,,,,,,,,,,110435,,,,,,,,在任意商人处卖出土豆
2051,101094,16,1,2,2,8,1.5.0,15,1,62433,1,,18,600,2,,6200,5,64244,12,,,,,,,,,,,,,110436,,,,,,,,在任意商人处卖出南瓜
2052,101094,21,1,2,2,8,1.5.0,15,2,62404,1,,18,750,2,,7600,5,68004,4,,,,,,,,,,,,,110437,,,,,,,,在任意商人处卖出茶叶
2053,101094,21,1,2,2,8,1.5.0,15,1,62423,1,,18,750,2,,7700,5,64244,15,,,,,,,,,,,,,110438,,,,,,,,在任意商人处卖出西瓜
2054,101094,21,1,2,2,8,1.5.0,15,1,62420,1,,18,750,2,,7700,5,64244,15,,,,,,,,,,,,,110439,,,,,,,,在任意商人处卖出小白菊
2055,101094,26,1,2,2,8,1.5.0,15,1,62407,1,,18,900,2,,9200,5,68004,4,,,,,,,,,,,,,110440,,,,,,,,在任意商人处卖出梨子
2056,101094,26,1,2,2,8,1.5.0,15,1,62409,1,,18,900,2,,9200,5,64244,18,,,,,,,,,,,,,110441,,,,,,,,在任意商人处卖出桃子
2057,101094,2,1,2,3,5,1.5.0,15,1,62441,1,,18,200,2,,2100,5,75008,2,,,,,,,,,,,,,110442,,,,,,,,在任意商人处卖出芝麻
2058,101094,3,1,2,3,6,1.5.0,15,1,62442,1,,18,200,2,,2100,5,75015,2,,,,,,,,,,,,,110443,,,,,,,,在任意商人处卖出生菜
2059,101094,4,1,2,3,7,1.5.0,15,1,62443,1,,18,200,2,,2400,5,68004,2,,,,,,,,,,,,,110444,,,,,,,,在任意商人处卖出甜菜
2060,101094,5,1,2,3,8,1.5.0,15,1,62440,1,,18,200,2,,2100,5,68004,2,,,,,,,,,,,,,110445,,,,,,,,在任意商人处卖出大麦
2061,101094,6,1,2,3,6,1.5.0,15,1,62445,1,,18,400,2,,4100,5,75008,3,,,,,,,,,,,,,110446,,,,,,,,在任意商人处卖出高丹草
2062,101094,7,1,2,3,7,1.5.0,15,1,62446,1,,18,400,2,,4700,5,75015,3,,,,,,,,,,,,,110447,,,,,,,,在任意商人处卖出甘蓝
2063,101094,9,1,2,3,8,1.5.0,15,1,62448,1,,18,400,2,,4100,5,68004,3,,,,,,,,,,,,,110448,,,,,,,,在任意商人处卖出青椒
2064,101094,11,1,2,3,5,1.5.0,15,1,62451,1,,18,600,2,,6100,5,75008,4,,,,,,,,,,,,,110449,,,,,,,,在任意商人处卖出花椰菜
2065,101094,12,1,2,3,6,1.5.0,15,1,62452,1,,18,600,2,,6500,5,75015,4,,,,,,,,,,,,,110450,,,,,,,,在任意商人处卖出韭菜
2066,101094,13,1,2,3,7,1.5.0,15,1,62453,1,,18,600,2,,6100,5,68004,4,,,,,,,,,,,,,110451,,,,,,,,在任意商人处卖出红枣
2067,101094,14,1,2,3,8,1.5.0,15,1,62454,1,,18,600,2,,6800,5,68004,4,,,,,,,,,,,,,110452,,,,,,,,在任意商人处卖出黄瓜
2068,101094,16,1,2,3,6,1.5.0,15,1,62456,1,,18,800,2,,8200,5,75008,5,,,,,,,,,,,,,110453,,,,,,,,在任意商人处卖出青稞
