宠物ID,阶段（同一个宠物的要连续）,宠物品质（0普通，1中等，2稀有中等，3珍贵，4传说，认阶段1的）,头像ID（填文件夹.文件名称，res/ui目录下）,生物ID（填monster表的ID）,合成碎片ID（弃用）,合成碎片数量（弃用）,分数,探险CD（秒）--疲劳,基础体力下限（基础的属性从上限和下限中随机）废弃,基础体力上限（废弃）,基础速度下限基础体力上限（废弃）,基础速度上限基础体力上限（废弃）,基础运气下限基础体力上限（废弃）,基础运气上限基础体力上限（废弃）,最大负重,最大耐力,最大速度,获取特性包ID（特性是随机获取的）,喂养食物偏好类型（修改）探险偏好食物类型,进化需要经验值,进化需要材料1,进化需要材料1数量,进化需要材料2,进化需要材料2数量,进化需要材料3,进化需要材料3数量,进化消耗类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）,进化消耗数值,进化增加角色经验,培养消耗道具ID1,培养消耗道具1数量,培养消耗道具ID2,培养消耗道具2数量,培养消耗道具ID3,培养消耗道具3数量,培养消耗道具ID4,培养消耗道具4数量,培养消耗类型（0免费，1迷你币，2家园币，3迷你豆，4迷你点）,培养消耗数值,培养增加角色经验,放生获得物品ID,放生获得物品数量,特效,脚印
10006,2,2,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,134,134,178,"1,2,3",6003,1000,68106,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_2,
10006,3,2,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,187,187,249,"1,2,3",6003,2400,68106,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_2,
10006,4,2,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,245,245,327,"1,2,3",6003,5000,68106,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_2,
10006,5,2,roleicons.10018,10018,68301,10,10,300,10,15,10,15,10,15,306,306,408,"1,2,3",6003,0,68106,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_2,
10006,1,3,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,123,123,164,"1,2,3,4",6003,300,68106,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150037_2,
10006,2,3,roleicons.10016,10016,68301,10,10,300,10,15,10,15,10,15,196,196,261,"1,2,3,4",6003,1000,68106,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150037_2,
10006,3,3,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,275,275,366,"1,2,3,4",6003,2400,68106,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150038_2,
10006,4,3,roleicons.10017,10017,68301,10,10,300,10,15,10,15,10,15,360,360,479,"1,2,3,4",6003,5000,68106,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150038_2,
10006,5,3,roleicons.10018,10018,68301,10,10,300,10,15,10,15,10,15,450,450,600,"1,2,3,4",6003,0,68106,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150039_2,150039_3
10007,1,0,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,44,40,49,1,6001,300,68107,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10007,2,0,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,70,63,77,1,6001,1000,68107,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10007,3,0,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,98,89,108,1,6001,2400,68107,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10007,4,0,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,128,116,141,1,6001,5000,68107,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10007,5,0,roleicons.10021,10021,68301,10,10,300,10,15,10,15,10,15,160,144,176,1,6001,0,68107,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10007,1,1,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,65,59,72,"1,2",6001,300,68107,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_3,
10007,2,1,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,104,94,115,"1,2",6001,1000,68107,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_3,
10007,3,1,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,146,132,161,"1,2",6001,2400,68107,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_4,
10007,4,1,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,192,173,212,"1,2",6001,5000,68107,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_4,
10007,5,1,roleicons.10021,10021,68301,10,10,300,10,15,10,15,10,15,240,216,264,"1,2",6001,0,68107,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_4,
10007,1,2,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,92,83,102,"1,2,3",6001,300,68107,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_3,
10007,2,2,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,148,134,163,"1,2,3",6001,1000,68107,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_3,
10007,3,2,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,207,187,228,"1,2,3",6001,2400,68107,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_4,
10007,4,2,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,272,245,300,"1,2,3",6001,5000,68107,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_4,
10007,5,2,roleicons.10021,10021,68301,10,10,300,10,15,10,15,10,15,340,306,374,"1,2,3",6001,0,68107,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_4,
10007,1,3,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,136,123,150,"1,2,3,4",6001,300,68107,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150031_2,
10007,2,3,roleicons.10019,10019,68301,10,10,300,10,15,10,15,10,15,217,196,239,"1,2,3,4",6001,1000,68107,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150031_2,
10007,3,3,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,305,275,336,"1,2,3,4",6001,2400,68107,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150032_2,
10007,4,3,roleicons.10020,10020,68301,10,10,300,10,15,10,15,10,15,399,360,439,"1,2,3,4",6001,5000,68107,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150032_2,
10007,5,3,roleicons.10021,10021,68301,10,10,300,10,15,10,15,10,15,500,450,550,"1,2,3,4",6001,0,68107,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150033_2,150033_3
10008,1,0,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,58,40,36,1,6002,300,68108,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10008,2,0,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,91,63,56,1,6002,1000,68108,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10008,3,0,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,128,89,79,1,6002,2400,68108,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10008,4,0,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,167,116,103,1,6002,5000,68108,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10008,5,0,roleicons.10024,10024,68301,10,10,300,10,15,10,15,10,15,208,144,128,1,6002,0,68108,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10008,1,1,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,85,59,52,"1,2",6002,300,68108,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_1,
10008,2,1,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,136,94,84,"1,2",6002,1000,68108,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_1,
10008,3,1,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,190,132,117,"1,2",6002,2400,68108,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_6,
10008,4,1,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,250,173,154,"1,2",6002,5000,68108,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_6,
10008,5,1,roleicons.10024,10024,68301,10,10,300,10,15,10,15,10,15,312,216,192,"1,2",6002,0,68108,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_6,
10008,1,2,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,120,83,74,"1,2,3",6002,300,68108,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_1,
10008,2,2,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,193,134,119,"1,2,3",6002,1000,68108,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_1,
10008,3,2,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,270,187,166,"1,2,3",6002,2400,68108,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_6,
10008,4,2,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,354,245,218,"1,2,3",6002,5000,68108,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_6,
10008,5,2,roleicons.10024,10024,68301,10,10,300,10,15,10,15,10,15,442,306,272,"1,2,3",6002,0,68108,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_6,
10008,1,3,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,177,123,109,"1,2,3,4",6002,300,68108,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150010_2,
10008,2,3,roleicons.10022,10022,68301,10,10,300,10,15,10,15,10,15,283,196,174,"1,2,3,4",6002,1000,68108,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150010_2,
10008,3,3,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,397,275,244,"1,2,3,4",6002,2400,68108,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150011_2,
10008,4,3,roleicons.10023,10023,68301,10,10,300,10,15,10,15,10,15,519,360,320,"1,2,3,4",6002,5000,68108,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150011_2,
10008,5,3,roleicons.10024,10024,68301,10,10,300,10,15,10,15,10,15,650,450,400,"1,2,3,4",6002,0,68108,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150012_2,150012_3
10009,1,0,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,36,44,53,1,6003,300,68109,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10009,2,0,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,56,70,84,1,6003,1000,68109,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10009,3,0,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,79,98,118,1,6003,2400,68109,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10009,4,0,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,103,128,154,1,6003,5000,68109,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10009,5,0,roleicons.10027,10027,68301,10,10,300,10,15,10,15,10,15,128,160,192,1,6003,0,68109,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10009,1,1,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,52,65,78,"1,2",6003,300,68109,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_2,
10009,2,1,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,84,104,125,"1,2",6003,1000,68109,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_2,
10009,3,1,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,117,146,176,"1,2",6003,2400,68109,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_2,
10009,4,1,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,154,192,231,"1,2",6003,5000,68109,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_2,
10009,5,1,roleicons.10027,10027,68301,10,10,300,10,15,10,15,10,15,192,240,288,"1,2",6003,0,68109,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_4,
10009,1,2,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,74,92,111,"1,2,3",6003,300,68109,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_2,
10009,2,2,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,119,148,178,"1,2,3",6003,1000,68109,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_2,
10009,3,2,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,166,207,249,"1,2,3",6003,2400,68109,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_2,
10009,4,2,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,218,272,327,"1,2,3",6003,5000,68109,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_2,
10009,5,2,roleicons.10027,10027,68301,10,10,300,10,15,10,15,10,15,272,340,408,"1,2,3",6003,0,68109,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_4,
10009,1,3,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,109,136,164,"1,2,3,4",6003,300,68109,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150013_2,
10009,2,3,roleicons.10025,10025,68301,10,10,300,10,15,10,15,10,15,174,217,261,"1,2,3,4",6003,1000,68109,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150013_2,
10009,3,3,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,244,305,366,"1,2,3,4",6003,2400,68109,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150014_2,
10009,4,3,roleicons.10026,10026,68301,10,10,300,10,15,10,15,10,15,320,399,479,"1,2,3,4",6003,5000,68109,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150014_2,
10009,5,3,roleicons.10027,10027,68301,10,10,300,10,15,10,15,10,15,400,500,600,"1,2,3,4",6003,0,68109,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150015_2,150015_3
10010,1,0,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,44,44,44,1,6001,300,68110,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10010,2,0,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,70,70,70,1,6001,1000,68110,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10010,3,0,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,98,98,98,1,6001,2400,68110,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10010,4,0,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,128,128,128,1,6001,5000,68110,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10010,5,0,roleicons.10030,10030,68301,10,10,300,10,15,10,15,10,15,160,160,160,1,6001,0,68110,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10010,1,1,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,65,65,65,"1,2",6001,300,68110,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_3,
10010,2,1,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,104,104,104,"1,2",6001,1000,68110,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_3,
10010,3,1,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,146,146,146,"1,2",6001,2400,68110,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_3,
10010,4,1,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,192,192,192,"1,2",6001,5000,68110,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_3,
10010,5,1,roleicons.10030,10030,68301,10,10,300,10,15,10,15,10,15,240,240,240,"1,2",6001,0,68110,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_3,
10010,1,2,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,92,92,92,"1,2,3",6001,300,68110,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_3,
10010,2,2,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,148,148,148,"1,2,3",6001,1000,68110,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_3,
10010,3,2,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,207,207,207,"1,2,3",6001,2400,68110,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_3,
10010,4,2,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,272,272,272,"1,2,3",6001,5000,68110,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_3,
10010,5,2,roleicons.10030,10030,68301,10,10,300,10,15,10,15,10,15,340,340,340,"1,2,3",6001,0,68110,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_3,
10010,1,3,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,136,136,136,"1,2,3,4",6001,300,68110,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150043_2,
10010,2,3,roleicons.10028,10028,68301,10,10,300,10,15,10,15,10,15,217,217,217,"1,2,3,4",6001,1000,68110,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150043_2,
10010,3,3,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,305,305,305,"1,2,3,4",6001,2400,68110,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150044_2,
10010,4,3,roleicons.10029,10029,68301,10,10,300,10,15,10,15,10,15,399,399,399,"1,2,3,4",6001,5000,68110,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150044_2,
10010,5,3,roleicons.10030,10030,68301,10,10,300,10,15,10,15,10,15,500,500,500,"1,2,3,4",6001,0,68110,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150045_2,150045_3
10011,1,0,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,40,44,49,7,6002,300,68111,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10011,2,0,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,63,70,77,7,6002,1000,68111,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10011,3,0,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,89,98,108,7,6002,2400,68111,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10011,4,0,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,116,128,141,7,6002,5000,68111,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10011,5,0,roleicons.10033,10033,68301,10,10,300,10,15,10,15,10,15,144,160,176,7,6002,0,68111,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10011,1,1,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,59,65,72,"5,2",6002,300,68111,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_3,
10011,2,1,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,94,104,115,"5,2",6002,1000,68111,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_3,
10011,3,1,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,132,146,161,"5,2",6002,2400,68111,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_4,
10011,4,1,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,173,192,212,"5,2",6002,5000,68111,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_4,
10011,5,1,roleicons.10033,10033,68301,10,10,300,10,15,10,15,10,15,216,240,264,"5,2",6002,0,68111,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_3,
10011,1,2,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,83,92,102,"5,2,3",6002,300,68111,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,3,zipinzhi_3,
10011,2,2,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,134,148,163,"5,2,3",6002,1000,68111,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,3,zipinzhi_3,
10011,3,2,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,187,207,228,"5,2,3",6002,2400,68111,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,3,zipinzhi_4,
10011,4,2,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,245,272,300,"5,2,3",6002,5000,68111,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,3,zipinzhi_4,
10011,5,2,roleicons.10033,10033,68301,10,10,300,10,15,10,15,10,15,306,340,374,"5,2,3",6002,0,68111,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,3,zipinzhi_3,
10011,1,3,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,123,136,150,"5,2,3,4",6002,300,68111,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,4,150028_2,
10011,2,3,roleicons.10031,10031,68301,10,10,300,10,15,10,15,10,15,196,217,239,"5,2,3,4",6002,1000,68111,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,4,150028_2,
10011,3,3,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,275,305,336,"5,2,3,4",6002,2400,68111,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,4,150029_2,
10011,4,3,roleicons.10032,10032,68301,10,10,300,10,15,10,15,10,15,360,399,439,"5,2,3,4",6002,5000,68111,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,4,150029_2,
10011,5,3,roleicons.10033,10033,68301,10,10,300,10,15,10,15,10,15,450,500,550,"5,2,3,4",6002,0,68111,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,4,150030_2,150030_3
10012,1,0,roleicons.10034,10034,68301,10,10,300,10,15,10,15,10,15,49,53,31,5,6001,300,68112,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,1,,
10012,2,0,roleicons.10034,10034,68301,10,10,300,10,15,10,15,10,15,77,84,49,5,6001,1000,68112,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,1,,
10012,3,0,roleicons.10035,10035,68301,10,10,300,10,15,10,15,10,15,108,118,69,5,6001,2400,68112,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,1,,
10012,4,0,roleicons.10035,10035,68301,10,10,300,10,15,10,15,10,15,141,154,90,5,6001,5000,68112,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,1,,
10012,5,0,roleicons.10036,10036,68301,10,10,300,10,15,10,15,10,15,176,192,112,5,6001,0,68112,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,1,,
10012,1,1,roleicons.10034,10034,68301,10,10,300,10,15,10,15,10,15,72,78,46,"7,2",6001,300,68112,10,,,,,2,2000,100,68001,1,68002,1,68003,1,68004,1,2,1000,100,68004,2,lanpinzhi_2,
10012,2,1,roleicons.10034,10034,68301,10,10,300,10,15,10,15,10,15,115,125,73,"7,2",6001,1000,68112,20,,,,,2,5000,100,68001,2,68002,2,68003,2,68004,2,2,2000,100,68004,2,lanpinzhi_2,
10012,3,1,roleicons.10035,10035,68301,10,10,300,10,15,10,15,10,15,161,176,103,"7,2",6001,2400,68112,30,,,,,2,9000,100,68001,3,68002,3,68003,3,68004,3,2,3000,100,68004,2,lanpinzhi_2,
10012,4,1,roleicons.10035,10035,68301,10,10,300,10,15,10,15,10,15,212,231,135,"7,2",6001,5000,68112,40,,,,,2,12000,100,68001,4,68002,4,68003,4,68004,4,2,4000,100,68004,2,lanpinzhi_2,
10012,5,1,roleicons.10036,10036,68301,10,10,300,10,15,10,15,10,15,264,288,168,"7,2",6001,0,68112,50,,,,,2,15000,100,68001,5,68002,5,68003,5,68004,5,2,5000,100,68004,2,lanpinzhi_2,
