功能操作ID,备注(自己看),UI名称（IDString）,分类(暂时没用上),UI描述（IDString）,图标,技能类型[0=点击目标，1=无目标，2=不主动释放],键位[0=左键/屏幕，1=右键/屏幕，2=右键/使用按钮],蓄力模式[0=不蓄力，1=蓄力中途可以释放，2=蓄满才能释放，3=蓄满自动释放],蓄力时间[单位0.1秒],蓄力移动速度[百分比],操作间隔[0.01秒]-暂时用不上,冷却时间[单位1秒],使用距离[单位厘米],目标类型[0=生物，1=方块，2=物理对象],目标种类[当目标类型为生物，-1=所有生物，0=怪物，1=动物，2=稀有动物，3=水生物，4=移动工具，5=村民，6=boss，7=Npc，8=飞行生物，9=除怪物以外的所有生物（包括玩家）][当目标类型为方块，0=所有方块，1=木头，2=石头，3=泥土，5=树叶羊毛],精确目标[ID],目标队伍[0=不限队伍，1=同队伍，2=不同队伍],特殊类型标记（暂时没用到）,"目标范围类型[0=单体，1=射线，2=立方体,3=圆柱体]",目标范围类型参数1[射线的长度 or 立体的长 or 圆柱体半径]（100=1格）,目标范围类型参数2[射线的半径 or 立体的宽 or 圆柱体角度]（100=1格）,目标范围类型参数3[立体的高 or 圆柱体的高]（100=1格）,第一人称启动动作,第一人称蓄力动作,第一人称释放动作,第三人称启动动作,第三人称蓄力动作,第三人称释放动作,启动音效,蓄力音效,释放音效,启动特效,蓄力特效,释放特效,目标地点特效(暂时没用上),目标特效,消耗[数组]（type：0=耐久，1=饥饿，2=弹药，3=体力）,"效果[数组，1=方块操作（Type：5：替换方块为指定方块），2=攻击，3=加状态，4=击飞，5=召唤，6=治疗，7=发射投掷物，8=图纸，9=变蛋，10=接剧情，11-13都被占用，14=加状态（自身），15=引雷，16=巴啦啦变身，17=清除某类型状态，18=给某类型生物加状态,19=Actor,20=架盾,21=穿刺投掷,22=削韧]"
208,替换方块,6500,,6501,100,2,,,,,,,,1,0,,,,1,1000,200,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":2,""DropOut"":1,""BlockID"":200}]"
201,攻击（投掷）,6500,,6501,101,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":2,""AttackType"":1,""AttackVal"":20},{""function_id"":4,""RepelPower"":300,""BlowUpPower"":200}]"
202,击飞（投掷）,6500,,6501,102,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":300,""BlowUpPower"":200}]"
203,召唤（投掷）,6500,,6501,103,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3407,""CallNum"":5,""IsFollow"":1,""Duration"":10}]"
204,加状态（投掷）,6500,,6501,104,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,item_12004_4,,"[{""function_id"":3,""BuffID"":101005,""Duration"":5,""Odds"":100},{""function_id"":2,""AttackType"":1,""AttackVal"":0}]"
205,发射投掷物（投掷）,6500,,6501,105,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,,,"[{""function_id"":7,""ProjectileID"":12051,""SpeedAdd"":0}]"
206,治疗（投掷）,6500,,6501,106,2,,,,,,,,0,-1,,,,1,1000,200,,,,,,,,,,,,,,,BUFF_HP_R,,"[{""function_id"":6,""TreatType"":0,""TreatVal"":100}]"
300,小外星人C（岩浆球）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,100,100,,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":0,""BlowUpPower"":60}]"
301,合体外星人BB（巨型冰锥）,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":113}]"
302,合体外星人CC（巨型岩浆球）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,100,100,,,,,,,,,,,,,,,item_15060_trigger,,"[{""function_id"":3,""BuffID"":47001,""Duration"":3,""Odds"":100},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
303,合体外星人AB（冰炸弹）,6500,,6501,104,2,,,,,,,,0,-1,,,,2,600,600,200,,,,,,,,,,,,,,item_15064_trigger,,"[{""function_id"":2,""AttackType"":1,""AttackVal"":30},{""function_id"":3,""BuffID"":45001,""Duration"":3,""Odds"":100}]"
304,合体外星人AC（火炸弹）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,600,600,200,,,,,,,,,,,,,,item_15065_trigger,,"[{""function_id"":2,""AttackType"":1,""AttackVal"":30},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
305,合体外星人BC（冰火球）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,600,600,200,,,,,,,,,,,,,,item_15065_trigger,,"[{""function_id"":3,""BuffID"":45002,""Duration"":3,""Odds"":100},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
306,小荧光球（荧光）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":4,""DropOut"":1,""BlockID"":1071}]"
307,巨型冰锥,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":113}]"
308,巨型岩浆球,,,,,2,,,,,,,,0,-1,,,,2,100,100,,,,,,,,,,,,,,,item_15060_trigger,,"[{""function_id"":3,""BuffID"":47002,""Duration"":3,""Odds"":100},{""function_id"":4,""RepelPower"":0,""BlowUpPower"":80}]"
309,变蛋功能,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":9},]"
310,大荧光球（荧光）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":4,""DropOut"":1,""BlockID"":1070}]"
311,击飞（激光）,6500,,6501,102,2,,,,,,,,0,-1,,,,2,300,300,300,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":100,""BlowUpPower"":-300}]"
312,岩石海啸,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":138}]"
313,黑龙熔岩球（岩浆）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":47002,""Duration"":3,""Odds"":100},{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":6}]"
314,黑龙混乱球（召唤）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3132,""CallNum"":1,""IsFollow"":1,""Duration"":45}]"
315,召唤星星,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":4,""DropOut"":1,""BlockID"":1069}]"
316,加状态（治疗自身）,6500,,6501,104,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,101122,,100149,100142,,item.12004.charge3,item.12004.charge4,,item_12004_3,,,item_12004_4,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":14,""BuffID"":3003,""Duration"":5,""Odds"":100}]"
317,引雷,6500,,6501,,1,2,2,1.5,0.7,,,500,0,-1,,,,1,1000,300,,101120,101121,101122,,100149,100142,,item.12004.charge3,item.12004.charge4,,item_12004_3,,,item_12004_4,,"[{""function_id"":15},]"
318,平凡法杖发射,,,,,2,,,10,1,,2,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_normal,staffshot_normal,,,,"[{""function_id"":7,""ProjectileID"":11586,""SpeedAdd"":0}]"
319,炽烈法杖发射,,,,,2,,,15,0.7,,5,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_fire,staffshot_fire,,,,"[{""function_id"":7,""ProjectileID"":11587,""SpeedAdd"":0}]"
320,雷电法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_thunder,staffshot_thunder,,,,"[{""function_id"":7,""ProjectileID"":11588,""SpeedAdd"":0}]"
321,淬毒法杖发射,,,,,2,,,15,0.7,,5,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_poison,staffshot_poison,,,,"[{""function_id"":7,""ProjectileID"":11589,""SpeedAdd"":0}]"
322,复苏法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_cure,staffshot_cure,,,,"[{""function_id"":7,""ProjectileID"":11590,""SpeedAdd"":0}]"
323,炽烈法杖（火焰）,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":500}]"
324,钛金镰技能,,,,,1,,2,1,0.7,,8,,0,-1,,,,3,500,150,200,101111,101111,,,100116,,,item_11580.gather,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,巴啦啦变身,,,,,1,2,2,1,0.7,,600,,0,-1,,,,0,,,,101111,101111,,,100116,,,item.12004.charge3,item.12004.charge4,bianshen,,acchorse,,,"[{""CostType"":0,""CostVal"":20}]","[{""function_id"":16},]"
327,喷漆,,,,,0,2,0,1.5,0.7,,1.5,500,1,0,,,,0,1000,300,,101130,101131,100811,,100148,100147,,item.12239.spray,item.12239.spray,,item_12004_3,ui_penqi,item_12253_2,,"[{""CostType"":0,""CostVal"":0},{""CostType"":1,""CostVal"":0},{""CostType"":2,""CostVal"":0,""CostTarget"":200}]","[{""function_id"":1,""ActionType"":3,""DropOut"":1}]"
328,召唤法杖发射,,,,,2,,,20,0.5,,15,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_summon,staffshot_summon,,,,"[{""function_id"":7,""ProjectileID"":11629,""SpeedAdd"":0}]"
329,召唤沙人（友好）,6500,,6501,103,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3827,""CallNum"":1,""IsFollow"":1,""Duration"":60}]"
330,生成剧毒（砸中方块）,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":18}]"
331,解毒粉包技能(给蝎子上毒）,6500,,6501,104,2,,,,,,,,0,-1,,,,2,1100,1100,500,,,,,,,,,,,,,,item_12004_4,,"[{""function_id"":17,""BuffNature"":3},{""function_id"":18,""Monsterid"":""3824|3829"",""BuffID"":55001,""Odds"":100},{""function_id"":18,""Monsterid"":""0|3200|3201|3202|3204|3205|3206|3207|3208|3209|3210|3211|3212|3213|3405|3406|3408|3410|3415|3417|3422|3823|3871|3882|3884|3891|3896"",""BuffID"":54001,""Odds"":100},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":584,""ToBlockID"":0}]"
332,口水糊脸,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,
333,沙子糊脸,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,
334,液化剂技能,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":106,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":29,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":108,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":109,""ToBlockID"":14},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":123,""ToBlockID"":4},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":1757,""ToBlockID"":6},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":558,""ToBlockID"":12}]"
335,音爆罐子,6500,,6501,104,2,,,,,,,,0,-1,,,,2,500,500,500,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":1019001,""Duration"":3,""Odds"":0}]"
336,沙虫咆哮,6500,,6501,104,1,2,2,1,0.8,,10,500,0,-1,,,,1,800,500,300,101120,101121,101122,,100153,100153,100116,item.12004.charge3,item.12004.charge4,,item_12311_charge,item_12311_attack,,item_12004_4,"[{""CostType"":0,""CostVal"":10}]","[{""function_id"":3,""BuffID"":1019001,""Duration"":5,""Odds"":0},{""function_id"":4,""RepelPower"":200,""BlowUpPower"":0},{""function_id"":2,""AttackType"":1,""AttackVal"":40}]"
337,生成沙块,6500,,6501,100,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,item_12253_2,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":29}]"
338,召唤沙人（敌对）,6500,,6501,103,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":5,""MobID"":3826,""CallNum"":1,""IsFollow"":0,""Duration"":600}]"
339,彼岸菠萝技能,6500,,6501,,2,,,,,,,,0,-1,,,,2,1100,1100,500,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":1021001,""Duration"":5,""Odds"":100}]"
340,空气球岸上爆炸,6500,,6501,104,2,,,,,,,,0,-1,,,,2,500,500,500,,,,,,,,,,,,,,,,"[{""function_id"":4,""RepelPower"":200,""BlowUpPower"":0}]"
341,蓄力钓鱼,6500,,6501,104,1,2,1,0.1,0.8,,0.1,500,1,-1,,,,2,500,500,500,,,,,,,,,,,,,,,,
342,成功钓鱼扣耐久,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":0,""CostVal"":5}]",
343,冰魄法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_cure,staffshot_cure,,,,"[{""function_id"":7,""ProjectileID"":11669,""SpeedAdd"":0}]"
344,极寒域法杖发射,,,,,2,,,20,0.5,,8,,,,,,,,,,,101111,101111,,,100116,,,item_11580.gather,item_11580.fire,,item_staffgather_cure,staffshot_cure,,,,"[{""function_id"":7,""ProjectileID"":11670,""SpeedAdd"":0}]"
345,冰魄,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":3,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":4,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":5,""ToBlockID"":1757},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":6,""ToBlockID"":1757},{""function_id"":3,""BuffID"":1038002,""Duration"":5,""Odds"":100},{""function_id"":3,""BuffID"":1037001,""Duration"":3,""Odds"":100}]"
346,极寒域,,,,,2,,,,,,,,0,-1,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":3,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":4,""ToBlockID"":123},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":5,""ToBlockID"":1757},{""function_id"":1,""ActionType"":5,""DropOut"":1,""CurBlockID"":6,""ToBlockID"":1757},{""function_id"":3,""BuffID"":1038002,""Duration"":5,""Odds"":100}]"
347,生成冰雾,,,,,2,,,,,,,,0,-1,,,,2,800,800,800,,,,,,,,,,,,,,,,"[{""function_id"":3,""BuffID"":1038003,""Duration"":3,""Odds"":100}]"
350,布丁块,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":1,""ActionType"":1,""DropOut"":1,""BlockID"":1992}]"
351,传送球,,,,,2,,,,,,,,1,0,,,,0,,,,,,,,,,,,,,,,,,,"[{""function_id"":19,""ActorName"":""ActorPortal"",""Num"":1}]"
352,木盾技能,,,,,2,2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":3}]","[{""function_id"":20,""DefenceRange"":70,""DamageReduce"":0,""KnockbackResist"":0.2}]"
353,铜盾技能,,,,,2,2,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":2}]","[{""function_id"":20,""DefenceRange"":80,""DamageReduce"":0,""KnockbackResist"":0.4}]"
354,钛金盾技能,,,,,2,2,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":1}]","[{""function_id"":20,""DefenceRange"":90,""DamageReduce"":0,""KnockbackResist"":0.6}]"
355,蝎壳盾技能,,,,,2,2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":1}]","[{""function_id"":20,""DefenceRange"":100,""DamageReduce"":0,""KnockbackResist"":0.8}]"
356,蝎刺盾技能,,,,,2,2,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""CostType"":3,""CostVal"":2}]","[{""function_id"":20,""DefenceRange"":90,""DamageReduce"":0,""KnockbackResist"":0.5,""GainBuff"":1071001}]"
357,石剑技能,,,,,1,2,2,1,0.8,,8,,0,-1,,,,2,300,150,200,101111,101111,,,100150,100151,,item_11580.gather,item.12005.charge4,,,item_12005_4,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":15},{""function_id"":22,""TouReduce"":10}]"
358,短剑技能,,,,,1,2,2,1,0.8,,8,,0,-1,,,,2,500,150,200,101111,101111,,,100150,100151,,item_11580.gather,item.12005.charge4,,,item_12005_4,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":25},{""function_id"":22,""TouReduce"":15}]"
359,收割者技能,,,,,1,2,2,1,0.7,,8,,0,-1,,,,2,500,150,200,101111,101111,,,100150,100151,,item_11580.gather,item.12005.charge4,,,item_12005_4,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":25},{""function_id"":22,""TouReduce"":20}]"
360,穿刺投掷,6500,,6501,101,2,,,,,,,,0,-1,,,,,,,,,,,,,,,,,,,,,,,"[{""function_id"":21,""PunctureNum"":-1}]"
361,木棒技能,,,,,1,2,2,3,0.5,,10,,0,-1,,,,2,200,200,200,101111,101111,,600139,600139,600140,,item_11580.gather,,,,,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":25},{""function_id"":3,""BuffID"":1019001,""Duration"":2,""Odds"":0},{""function_id"":22,""TouReduce"":20}]"
362,尖尖碰碰锤技能,,,,,1,2,2,2,0.5,,10,,0,-1,,,,2,200,200,200,101111,101111,,600139,600139,600140,,item_11580.gather,,,,,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":3},{""function_id"":3,""BuffID"":1019001,""Duration"":1,""Odds"":0},{""function_id"":3,""BuffID"":1020001,""Duration"":3,""Odds"":0},{""function_id"":22,""TouReduce"":30}]"
363,冻结棒技能,,,,,1,2,2,2,0.5,,10,,0,-1,,,,2,300,200,200,101111,101111,,600139,600139,600140,,item_11580.gather,,,,,,,"[{""CostType"":0,""CostVal"":5},{""CostType"":3,""CostVal"":5}]","[{""function_id"":2,""AttackType"":1,""AttackVal"":3},{""function_id"":3,""BuffID"":1019001,""Duration"":1,""Odds"":0},{""function_id"":3,""BuffID"":1050001,""Duration"":3,""Odds"":0},{""function_id"":22,""TouReduce"":30}]"
400,接剧情,6500,,6501,109,1,2,0,1.5,0.7,,,500,0,-1,,,,0,,,,,101133,101134,,100150,100151,,item.12004.charge3,item.11072.clear_prop,,item_12004_3,clear_prop,,,,"[{""function_id"":10,""Type"":1,""ID"":6}]"
