对话ID,对话内容（DisplayType=0时，可使用@item_道具id# 添加道具名和icon）,对话内容备注,头像icon（Assetruntime\Art\miniuidesign\universe\assets\BotConversationsAtlas\bot_icons）,对话触发类型（0直接调用或上句自动跳转，1待机随机，2任务完成，3任务被追踪）,触发参数,显示类型（0对话框，1地图聊天框）,对话框存在时长（控制单句对话展示后存在的时间，DisplayType=0时使用，数值为秒，1s=20tick）,跳转条件（DisplayType=0时使用，0点任意处，1点对话框）,跳转对话id（DisplayType=0时使用，不填或找不到id则结束对话）,横坐标X（DisplayType=0时使用，对话框在屏幕上的位置）,纵坐标Y（对话框在屏幕上的位置）,备注
3005009,据资料记载符文石是迷拉星特有的矿物，镶嵌到武器或工具上，能够获得意想不到的力量卟！,,,2,1005011,1,,,,,,自然凝练的力量完成
3005010,喔喔！你已经学会了在迷拉星生存下去的所有基础知识卟！,,laugh,2,1005013,0,10,1,3005011,750,230,更进一步！完成
3005011,接下来……稍等，我看一下……嗷，接下来该去修复星站了卟。,,embarrassed,0,,0,10,1,3005012,750,230,
3005012,或者还有一些别的想要做的事情，就点击一下屏幕上的任务追踪框，看看其他的任务卟！,,smile,0,,0,10,1,,750,230,
3006001,卟！让我瞧瞧，这些能源碎片在地底沉眠了好久好久，希望还能组合成能源核心卟。,,,2,1006001,1,,,,,,往日碎片完成
3006002,居然成功了卟！核心到手，现在得去找@item_11334#了。资料库里显示是在空岛生态里，我们出发吧。,item_11334=智能芯片,,2,1006002,1,,,,,,星链能源
3006003,真是壮观卟。但是空岛这么高，我们得想个办法上去。先观察一下周围的情况吧。,,,2,1006003,1,,,,,,岛在天上？！
3006004,那个带翅膀的家伙怎么弄到那么多芯片的卟，不过总算是拿到了，这下可以加工@item_11335# 啦。,item_11335=升级元件,,2,1006004,1,,,,,,外来者贸易
3006005,元件和核心都准备齐了，是时候修复星站了卟！仔细看看@item_11331# 的道具说明吧！,item_11331=能源核心,,2,1006005,1,,,,,,凑齐了
3006006,喔喔，控制台成功激活了卟！这座星站已经重新连上星链了，快使用@item_11335# 升级一下传送舱吧！,item_11335=升级元件,,2,1006006,1,,,,,,修复星站
3006007,连接成功卟！这台星站已经恢复星球间传送的功能了。再修理几台星站，我们的旅行就会更加方便了卟。,,laugh,2,1006007,0,10,1,3006008,750,230,升级星站
3006008,那么准备好了么卟，是时候去寻找“三圣物”了！看看最新更新的任务吧。,,smile,0,,0,10,1,,750,230,
3007001,看来我们找到雨林了卟。雨林里处处充满危险，你千万要小心。,,cry,2,1007001,0,10,1,,750,230,踏入雨林
3007002,这些@item_11601#是雨林乔木内部的创造之力过剩而析出晶体，加上@item_11329#就能制作@item_11597#了卟。,item_11601=雨林之芯碎片，item_11329=黄铜，item_11597=雨林之眼,,2,1007002,1,,,,,,雨林之芯碎片
3007003,刚刚加工出来的@item_11597#是神庙的钥匙卟，但是我们需要找到正确的神龛才能激活神像，在雨林里找找看吧。,item_11597=雨林之眼,,2,1007003,1,,,,,,雨林之眼
3007004,这就是雨林神庙吗？！虽然在资料里看过，但实际见到的感受还是相当震撼的卟！,,laugh,2,1007004,0,10,1,3007005,750,230,雨林神庙！
3007005,被称为“羽蛇神”的怪物就在神庙里面卟，想要获得@item_591#必须先打败它。准备好了吗？,item_591=神圣果实,angry,0,,0,10,1,,750,230,
3007006,真是有惊无险卟。快在附近的地上找找羽蛇神掉的东西，千万别掉岩浆里去了……,,embarrassed,2,1007005,0,10,1,,750,230,羽蛇神
3007007,神圣果实居然在羽蛇神体内消化得只剩种子了卟，找块空旷的地方把它种出来吧。,,,2,1007006,1,,,,,,神圣种子
3007008,这么小一颗种子居然能长成这么巨大的树卟！果实应该在接近树冠的位置，得想个办法上去。,,,2,1007007,1,,,,,,生命的奇迹
3007009,总算是拿到@item_591#卟，辛苦辛苦。下去的时候小心一些，这一路上来我有点恐高了卟……,item_591=神圣果实,cry,2,1007008,0,10,1,,750,230,代表“生命”的密钥
3007010,喔吼吼，这翅膀真漂亮，从高处下落时安全多了卟。,,,2,1007009,1,,,,,,展翅翱翔
3007011,这粉尘闪闪发亮得真漂亮卟，和我得颜色一样嘿嘿。,,,2,1007010,1,,,,,,闪闪发亮的树叶
3007012,这就是野人祭司手上拿的东西么，好像还缺些什么卟。,,,2,1007011,1,,,,,,巫术？
3007013,真帅啊，快试试看能发射出什么样的东西卟。,,,2,1007012,1,,,,,,巫术！！！
3008001,天呐，这就是烈焰星吗？这地方也太热了卟。离太阳好近啊。,,embarrassed,2,1008001,0,10,1,3008002,750,230,抵达烈焰星
3008002,在去找黑龙之前，我觉得先加工一个@item_12277#会比较好卟。,item_12277=防火背包,angry,0,,0,10,1,,750,230,
3008003,赢啦！真是惊险，黑龙也太厉害了卟。不过这下黑龙也不得不承认你的实力了吧，嘿嘿。,,laugh,2,1008002,0,10,1,3008004,750,230,黑龙试炼Ⅰ
3008004,去拿@item_588#吧，这是你“勇气”的证明卟！,item_588=烈焰断剑,laugh,0,,0,10,1,,750,230,
3008005,这就是“烈焰断剑”吗？明明是两个世界长久合作的纪念，却用的一把断剑的形象，有时真难理解设计师的想法卟。,,embarrassed,2,1008003,0,10,1,3008006,750,230,代表“勇气”的密钥
3008006,黑龙还有另外两种形态，留有余力的话可以尝试挑战一下卟。觉得实力还差一点的话，也可以下次再来。,,smile,0,,0,10,1,3008007,750,230,
3008007,新的任务我更新在列表里了，可以看看卟。,,smile,0,,0,10,1,,750,230,
3008008,居然打赢了熔岩形态的黑龙，你也太厉害了卟！快去看看黑龙给我们留下了什么卟。,,,2,1008005,1,,,,,,黑龙试炼Ⅱ
3008009,混乱形态也不过如此嘛，卟嘿嘿。去拿奖励吧，还是在龙岛中间的罐子里。,,,2,1008007,1,,,,,,黑龙试炼∞
3008010,好受多了卟，差点以为自己要融化了。差点忘了我好像不会融化，嘿嘿~,,,2,1008009,1,,,,,,装备防火背包
3009001,这里天空真漂亮卟！但是萌眼星的大气层非常稀薄，召唤远古巨人之前你可能会需要一些氧气装置，使用工匠台看一下有什么能做的吧。,,smile,2,1009001,0,10,1,,750,230,抵达萌眼星
3009002,远古巨人终于解脱了，虚空幻影真是罪大恶极卟！快回收@item_589#吧，消灭虚空幻影近在咫尺了卟！,item_589=石人之眼,angry,2,1009002,0,10,1,,750,230,驱散虚空侵蚀
3009003,叮叮咚咚当当……你说，萌眼星上的生物名字都是谁取的，也太随便了卟。,,,2,1009004,1,,,,,,“叮叮历险记”
3009004,居然生成了氧气区，这层蓝蓝的罩子还挺好看的卟。,,,2,1009006,1,,,,,,激活萌眼星图腾
3009005,“我的钻头……是用来开天辟地的钻头啊！”卟？是谁把这句台词偷偷加到资料库里的……,,,2,1009008,1,,,,,,星铜钻头
3009006,喔喔喔，钩爪也太帅了，这下上空岛方便多了卟！,,,2,1009010,1,,,,,,飞天遁地！
4000001,看呐地底的虚空能量冒出来了，根据记载晚上虚空能量会更浓郁，万物都会受到虚空影响，总而言之今天晚上会更危险！,,,0,,1,,,,,,虚空之夜来临
