接口ID,印尼语,印尼语,印尼语,印尼语,印尼语,印尼语,印尼语
50043,Pemain,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kekuatan lompat,local result = Player:getJumpPower(objid)
50044,Pemain,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kecepatan berlari,local result = Player:getRunSpeed(objid)
50045,Pemain,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kecepatan menyelinap,local result = Player:getSneakSpeed(objid)
50046,Pemain,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kecepatan mengelak,local result = Player:getDodge(objid)
50047,Pemain,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Serangan jarak dekat,local result = Player:getPunchAttack(objid)
50048,Pemain,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Serangan jarak jauh,local result = Player:getRangeAttack(objid)
50049,Pemain,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Perlindungan serangan jarak dekat,local result = Player:getPunchDefense(objid)
50050,Pemain,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Perlindungan serangan jarak jauh,local result = Player:getRangeDefense(objid)
50051,Pemain,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Jumlah bintang,"local result = Player:getStarNum(objid, val)"
50052,Pemain,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Ukuran model,"local result = Player:getModelScale(objid, val)"
50053,Pemain,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur jumlah max pada nyawa,"local result = Player:setMaxHP(objid, val)"
50054,Pemain,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur nyawa,"local result = Player:setHP(objid, val)"
50055,Pemain,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Atur pemulihan pada nyawa,local result = Player:setHpRecover(objid)
50056,Pemain,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Atur tingkat kelaparan,local result = Player:setCurFood(objid)
50057,Pemain,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur oksigen,"local result = Player:setOxygen(objid, val)"
50058,Pemain,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kecepatan jalan,"local result = Player:setWalkSpeed(objid, val)"
50059,Pemain,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kecepatan berenang,"local result = Player:setSwimSpeed(objid, val)"
50060,Pemain,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kekuatan lompat,"local result = Player:setJumpPower(objid, val)"
50061,Pemain,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kecepatan berlari,"local result = Player:setRunSpeed(objid, val)"
50062,Pemain,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kecepatan menyelinap,"local result = Player:setSneakSpeed(objid, val)"
50063,Pemain,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kekuatan mengelak,"local result = Player:setDodge(objid, val)"
50064,Pemain,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur serangan jarak dekat,"local result = Player:setPunchAttack(objid, val)"
50065,Pemain,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur serangan jarak jauh,"local result = Player:setRangeAttack(objid, val)"
50066,Pemain,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur perlindungan serangan jarak dekat,"local result = Player:setPunchDefense(objid, val)"
50067,Pemain,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur perlindungan serangan jarak jauh,"local result = Player:setRangeDefense(objid, val)"
50068,Pemain,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur jumlah bintang,"local result = Player:setStarNum(objid, val)"
50069,Pemain,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur ukuran model,"local result = Player:setModelScale(objid, val)"
50070,Pemain,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Atur lokasi aktor,"local result = Player:setPosition(objid, x, y, z)"
50071,Pemain,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Lihat posisi pemain dgn tepat,local result = Player:getAimPos(objid)
60001,Makhluk,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,Apakah seorang dewasa?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Makhluk,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Atur oksigen jika diperlukan,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Makhluk,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Lihat ID pemain yang telah menjinakkan makhluk atau hewan,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Makhluk,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Atur tingkat kepanikan,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Makhluk,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Atur efek AI,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Makhluk,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Lihat ID dan meterial monster,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Makhluk,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Lihat ID dan meterial monster,local result = Creature:getActorName(objid)
60008,Makhluk,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Tingkatkan ModAttrib monster,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Makhluk,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Tingkatkan ModAttrib monster,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Makhluk,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Atur team makhluk,"local result = Creature:setTeam(objid, teamid)"
60011,Makhluk,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Atur team makhluk,local result = Creature:getTeam(objid)
60012,Makhluk,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tingkat max kelaparan,local result = Creature:getMaxFood(objid)
60013,Makhluk,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tingkat kelaparan,local result = Creature:getFood(objid)
60014,Makhluk,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur tingkat kelaparan,"local result = Creature:setFood(objid, val)"
60015,Makhluk,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pemulihan nyawa,local result = Creature:getHpRecover(objid)
60016,Makhluk,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Volume max oksigen,local result = Creature:getMaxOxygen(objid)
60017,Makhluk,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kecepatan berjalan,local result = Creature:getWalkSpeed(objid)
60018,Makhluk,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kecepatan berenang,local result = Creature:getSwimSpeed(objid)
60019,Makhluk,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kekuatan lompat,local result = Creature:getJumpPower(objid)
60020,Makhluk,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Berat,local result = Creature:getMass(objid)
60021,Makhluk,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Mengelak,local result = Creature:getDodge(objid)
60022,Makhluk,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Serangan jarak dekat,local result = Creature:getPunchAttack(objid)
60023,Makhluk,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Srangan jarak jauh,local result = Creature:getRangeAttack(objid)
60024,Makhluk,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Perlindungan serangan jarak dekat,local result = Creature:getPunchDefense(objid)
60025,Makhluk,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Perlindungan serangan jarak jauh,local result = Creature:getRangeDefense(objid)
60026,Makhluk,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur nyawa,"local result = Creature:setMaxHp(objid, val)"
60027,Makhluk,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur nyawa,"local result = Creature:setHP(objid, val)"
60028,Makhluk,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Atur pemulihan nyawa,local result = Creature:setHpRecover(objid)
60029,Makhluk,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur oksigen,"local result = Creature:setOxygen(objid, val)"
60030,Makhluk,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kecepatan berjalan,"local result = Creature:setWalkSpeed(objid, val)"
60031,Makhluk,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kecepatan berenang,"local result = Creature:setSwimSpeed(objid, val)"
60032,Makhluk,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kekuatan lompat,"local result = Creature:setJumpPower(objid, val)"
60033,Makhluk,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur kecepatan mengelak,"local result = Creature:setDodge(objid, val)"
60034,Makhluk,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur serangan jarak dekat,"local result = Creature:setPunchAttack(objid, val)"
60035,Makhluk,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur serangan jarak jauh,"local result = Creature:setRangeAttack(objid, val)"
60036,Makhluk,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur perlindungan serangan jarak dekat,"local result = Creature:setPunchDefense(objid, val)"
60037,Makhluk,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atur perlindungan serangan jarak jauh,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Atur pertarungan UI,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Koordinat dunia atau peta berubah menjadi mini map,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Ukuran dunia atau peta berubah menjadi mini map,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Atur mode mini map: 1. Sudut rotasi 45 °. 2. Sudut pandang gambar yang penuh,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Pengaturan bentuk pada tanda peta. Tetapkan sbg garis,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Pengaturan bentuk pada tanda peta. Tetapkan sbg lingkaran,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Efek tampilan layar,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Chat,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Kirim pesan chat,local result = Chat:sendChat(content)
80002,Chat,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Kirim pesan chat,local result = Chat:sendSystemMsg(content)
90001,Team,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Lihat jumlah team,local result = Team:getNumTeam()
90002,Team,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Lihat team pemain yg ditunjuk,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Team,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Lihat team pemain yg ditunjuk,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Team,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Random Player,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Team,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Atur skor team,"local result = Team:setTeamScore(teamid, s)"
90006,Team,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Lihat skor team,local result = Team:getTeamScore(teamid)
90007,Team,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Tambah skor team,"local result = Team:addTeamScore(teamid, score)"
90008,Team,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Atur team yg menang/kalah,"local result = Team:setTeamResults(teamid, result)"
90009,Team,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Lihat team yg menang/kalah saat ini,local result = Team:getTeamResults(teamid)
90010,Team,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Atur team yg menang/kalah,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Team,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Atur tingkat kematian dari team,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Team,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Lihat tingkat kematian team,local result = Team:getTeamDieTimes(teamid)
90013,Team,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Tambah tingkat kematian team,local result = Team:addTeamDieTimes(teamid)
90014,Team,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Ganti team,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Alat,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Ambil nama item,local result = Item:getItemName(itemid)
100002,Alat,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Ambil ID item,local result = Item:getItemId(objid)
100003,Alat,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Ambil jumlah drops,local result = Item:getDropItemNum(objid)
110001,Tas,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Lihat ID dari berbagai tas (ID awal-ID akhir),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Tas,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Lihat ukuran tas,local result = Backpack:getBackpackBarSize(bartype)
110003,Tas,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Atur settingan tas,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Tas,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Hapus beberapa item di tas. Beberapa item akan dihapus secara otomatis.,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Tas,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Hapus beberapa item di tas. Beberapa item akan dihapus secara otomatis.,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Tas,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Kosongkan tas,"local result = Backpack:clearPack(playerid, bartype)"
110007,Tas,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Kosongkan isi tas (termasuk bar tas, shortcut bar dll)",local result = Backpack:clearAllPack(playerid)
110008,Tas,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Hapus item didalam tas. Semua akan ditransfer secara otomatis.,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Tas,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Tukar tas item,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Tas,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 15",ErrorCode.OK,Apakah terdapat cukup ruang di tas untuk menyimpan item?,"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Tas,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Hitung jumlah total item yang tersisa yang dapat disimpandi tas (termasuk bar backpack, shortcut bar)","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Tas,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Dapatkan daftar ID barang yang valid dan yang sudah ada di dalam tas. ID barang.,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Tas,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Dapatkan barang yang sudah ada di bar tas. ID barang.,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Tas,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Pendeteksi jika ada barang yang ditunjuk di tas.,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Tas,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Dapatkan jumlah total barang di tas. Kembali ke tas dengan barang-barang tersebut.,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Tas,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Lihat ID item dan jumlahnya di tas,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Tas,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Dapat nama tas item,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Tas,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Dapatkan jumlah barang di tas dan jumalh maksimal tumpukan,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Tas,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Lihat daya tahan barang di tas dan daya tahan maksimumnya,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Tas,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Dapatkan nilai pesona dari item di tas. Kembali ke ID pesona.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Tas,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Dapatkan tipe item di tas (<0 berarti bukan sebuah alat),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Tas,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Tambahkan item ke tas,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Tas,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Buang item dari tas,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Tas,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Dapatkan jumlah item di sebuah slot dalam tas,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Minimap,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Bentuk baru (garis, kotak atau bulat)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Minimap,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Hapus bentuk,local result = MapMark:deleteShape(shapeid)
120003,Minimap,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Atur bentuk dan warna,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Minimap,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Atur ukuran tertampil atau tersembunyi,"local result = MapMark:showShape(shapeid, showflag)"
120005,Minimap,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Update bentuk (garis). Tambahkan kordinasi mulai atau awal dan kordinasi akhir,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Minimap,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Update bentuk (kotak). Tambahkan kordinasi mulai atau awal dan kordinasi akhir,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,Minimap,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Update bentuk (bulat). Tambahkan kordinasi mulai atau awal dan kordinasi akhir,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Titik Bangkit,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Lihat lokasi dari titik bangkit,local result = Spawnport:getSpawnPoint()
130002,Titik Bangkit,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",Lihat titik bangkit di wilayah. Tambahkan posisi dari blok wilayah secara acak.,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
