接口ID,日语,日语,日语,日语,日语,日语,日语
50041,プレイヤー,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",歩くスピード,local result = Player:getWalkSpeed(objid)
50042,プレイヤー,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",水泳スピード（水中）,local result = Player:getSwimSpeed(objid)
50043,プレイヤー,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ジャンプ力,local result = Player:getJumpPower(objid)
50044,プレイヤー,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",走る速度,local result = Player:getRunSpeed(objid)
50045,プレイヤー,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",潜水スピード,local result = Player:getSneakSpeed(objid)
50046,プレイヤー,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",避難,local result = Player:getDodge(objid)
50047,プレイヤー,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近接攻撃,local result = Player:getPunchAttack(objid)
50048,プレイヤー,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠距離攻撃,local result = Player:getRangeAttack(objid)
50049,プレイヤー,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近接防御,local result = Player:getPunchDefense(objid)
50050,プレイヤー,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠距離防衛,local result = Player:getRangeDefense(objid)
50051,プレイヤー,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",星の数,"local result = Player:getStarNum(objid, val)"
50052,プレイヤー,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",モデルの大きさ,"local result = Player:getModelScale(objid, val)"
50053,プレイヤー,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,最大HPを設定,"local result = Player:setMaxHP(objid, val)"
50054,プレイヤー,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HPを設定,"local result = Player:setHP(objid, val)"
50055,プレイヤー,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,HP回復を設定する,local result = Player:setHpRecover(objid)
50056,プレイヤー,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,現在の満腹度を設定する,local result = Player:setCurFood(objid)
50057,プレイヤー,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,酸素を設定する,"local result = Player:setOxygen(objid, val)"
50058,プレイヤー,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,歩く速度を設定する,"local result = Player:setWalkSpeed(objid, val)"
50059,プレイヤー,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,水泳速度を設定する（水中）,"local result = Player:setSwimSpeed(objid, val)"
50060,プレイヤー,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ジャンプ力を設定,"local result = Player:setJumpPower(objid, val)"
50061,プレイヤー,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,走るスピードを設定する,"local result = Player:setRunSpeed(objid, val)"
50062,プレイヤー,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,潜水スピードを設定,"local result = Player:setSneakSpeed(objid, val)"
50063,プレイヤー,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,回避を設定する,"local result = Player:setDodge(objid, val)"
50064,プレイヤー,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,近接攻撃を設定する,"local result = Player:setPunchAttack(objid, val)"
50065,プレイヤー,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,遠隔攻撃を設定する,"local result = Player:setRangeAttack(objid, val)"
50066,プレイヤー,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,近接防御を設定する,"local result = Player:setPunchDefense(objid, val)"
50067,プレイヤー,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,遠距離防御を設定する,"local result = Player:setRangeDefense(objid, val)"
50068,プレイヤー,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,星の数を設定する,"local result = Player:setStarNum(objid, val)"
50069,プレイヤー,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,モデルのサイズを設定する,"local result = Player:setModelScale(objid, val)"
50070,プレイヤー,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,actorの位置を設定する,"local result = Player:setPosition(objid, x, y, z)"
50071,プレイヤー,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,プレイヤーの十字線の位置を取得する,local result = Player:getAimPos(objid)
60001,生き物,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,大人ですか？,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,生き物,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,酸素が必要どうかを設定する,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,生き物,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",生き物を飼っていたプレイヤーのIDを取得する,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,生き物,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,パニックを引き起こすことを設定する,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,生き物,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,AIが有効になったことを設定する,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,生き物,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",モンスターのIDを取得する,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,生き物,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",モンスターのIDを取得する,local result = Creature:getActorName(objid)
60008,生き物,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,モンスターのModAttribを増やす,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,生き物,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",モンスターのModAttribを獲得する。,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,生き物,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,生き物のチームを設定する,"local result = Creature:setTeam(objid, teamid)"
60011,生き物,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",生き物のチームを受取る,local result = Creature:getTeam(objid)
60012,生き物,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",最大の満腹感を得る,local result = Creature:getMaxFood(objid)
60013,生き物,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",満腹度を受取る,local result = Creature:getFood(objid)
60014,生き物,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,満腹感を設定する,"local result = Creature:setFood(objid, val)"
60015,生き物,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP回復,local result = Creature:getHpRecover(objid)
60016,生き物,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",最大酸素量,local result = Creature:getMaxOxygen(objid)
60017,生き物,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",歩くスピード,local result = Creature:getWalkSpeed(objid)
60018,生き物,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",水泳スピード（水中）,local result = Creature:getSwimSpeed(objid)
60019,生き物,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ジャンプ力,local result = Creature:getJumpPower(objid)
60020,生き物,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",重さ,local result = Creature:getMass(objid)
60021,生き物,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",回避,local result = Creature:getDodge(objid)
60022,生き物,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近接攻撃,local result = Creature:getPunchAttack(objid)
60023,生き物,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠隔攻撃,local result = Creature:getRangeAttack(objid)
60024,生き物,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近接防御,local result = Creature:getPunchDefense(objid)
60025,生き物,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠隔防衛,local result = Creature:getRangeDefense(objid)
60026,生き物,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HPを設定,"local result = Creature:setMaxHp(objid, val)"
60027,生き物,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HPを設定,"local result = Creature:setHP(objid, val)"
60028,生き物,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,HPの回復を設定する,local result = Creature:setHpRecover(objid)
60029,生き物,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,最大HPを設定,"local result = Creature:setOxygen(objid, val)"
60030,生き物,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,走るスピードを設定する,"local result = Creature:setWalkSpeed(objid, val)"
60031,生き物,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,水泳スピードを設定する,"local result = Creature:setSwimSpeed(objid, val)"
60032,生き物,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ジャンプ力を設定する,"local result = Creature:setJumpPower(objid, val)"
60033,生き物,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,回避設定,"local result = Creature:setDodge(objid, val)"
60034,生き物,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,近接攻撃を設定する,"local result = Creature:setPunchAttack(objid, val)"
60035,生き物,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,遠隔攻撃を設定する,"local result = Creature:setRangeAttack(objid, val)"
60036,生き物,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,近接防御を設定する,"local result = Creature:setPunchDefense(objid, val)"
60037,生き物,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,遠距離防御を設定する,"local result = Creature:setRangeDefense(objid, val)"
70001,UI管理,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,戦いの概要UIを設定する,"local result = UI:setGBattleUI(name, value)"
70002,UI管理,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",ワールドの座標がミニマップに変更される,"local result = UI:world2RadarPos(x, y)"
70003,UI管理,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",ワールドの長さがミニマップに変更される,local result = UI:world2RadarDist(length)
70004,UI管理,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,ミニマップモードを設定します。1. 45°の回転角度。 2.全面写真のトップビュー,local result = UI:setMinimapRenderMode(mode)
70005,UI管理,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,マップのマークの形の設定。線に設定させる,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI管理,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,マップのマークの形の設定。丸に設定させる,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI管理,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,表示画面効果,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,チャット,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,チャットメッセージを送信する,local result = Chat:sendChat(content)
80002,チャット,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,システムメッセージを送信する,local result = Chat:sendSystemMsg(content)
90001,チーム,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",チーム数を取得する,local result = Team:getNumTeam()
90002,チーム,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",指定選手チームを獲得する,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,チーム,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",指定選手チームを獲得する,"local result = Team:getTeamPlayers(teamid, alive)"
90004,チーム,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",ランダムのプレイヤー一人様,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,チーム,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,チームの得点を設定する,"local result = Team:setTeamScore(teamid, s)"
90006,チーム,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",チームの得点を取得する,local result = Team:getTeamScore(teamid)
90007,チーム,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,チームの得点を増やす,"local result = Team:addTeamScore(teamid, score)"
90008,チーム,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,チームの勝敗を設定する,"local result = Team:setTeamResults(teamid, result)"
90009,チーム,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",チームの今の勝利を取る,local result = Team:getTeamResults(teamid)
90010,チーム,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,選手チームの勝敗を設定する,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,チーム,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,チームの総計死亡人数を設定する,"local result = Team:setTeamDieTimes(teamid, times)"
90012,チーム,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",チームの総計死亡人数を獲得する。,local result = Team:getTeamDieTimes(teamid)
90013,チーム,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,チームの総計死亡人数を増やす。,local result = Team:addTeamDieTimes(teamid)
90014,チーム,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,プレイヤーのチームを変える,"local result = Team:changePlayerTeam(uin, teamid)"
100001,道具管理,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",アイテム名を取得する,local result = Item:getItemName(itemid)
100002,道具管理,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",アイテムのIDを取得,local result = Item:getItemId(objid)
100003,道具管理,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",落とし物の数量を取得する,local result = Item:getDropItemNum(objid)
110001,鞄管理,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",バックパックバーのIDの範囲を取得します（開始ID〜終了ID）,local result = Backpack:getBackpackBarIDRange(bartype)
110002,鞄管理,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",バックパックバーのサイズを取得する,local result = Backpack:getBackpackBarSize(bartype)
110003,鞄管理,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,バックパックをセットする,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,鞄管理,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,バックパックバーの中のいくつかのアイテムを取り除き、アイテムスロットによって取り除くことで、デフォルトですべて削除する。,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,鞄管理,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",バックパックバーの中のいくつかのアイテムを取り除き、アイテムスロットによって取り除くことで、デフォルトですべて削除する。,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,鞄管理,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,指定バックパックバーをクリアする,"local result = Backpack:clearPack(playerid, bartype)"
110007,鞄管理,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,すべてのバックパックをクリアする（バックパックバー、ショートカットバー、装備バーを含む）,local result = Backpack:clearAllPack(playerid)
110008,鞄管理,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,バックパックの中身を取り除きます。デフォルトですべて転送する。,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,鞄管理,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,アイテムのバックパックを交換する,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,鞄管理,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 8",ErrorCode.OK,アイテムを保管するためにバックパック（バックパックバー、ショートカットバーを含む）に十分なスペースがありますか。,"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,鞄管理,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",バックパック（バックパックバー、ショートカットバーを含む）に保存できる残りのアイテムの総数を計算する,"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,鞄管理,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",すでにバックパックバーに入っているアイテムIDの有効リストを取得します。バックパックバーのアイテムID。,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,鞄管理,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",バックパックバーに既にアイテムが入っています。アイテムID。,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,鞄管理,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,バックパックに指定アイテムがあるかどうかをチェックする。,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,鞄管理,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",バックパック内のアイテムの合計数を取得します。アイテムのバックパックを返す。,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,鞄管理,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",バックパックでアイテムIDと数量を取得する,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,鞄管理,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",バックパックのアイテム名を取得する,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,鞄管理,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",バックパックのアイテム数と最大数を取得します。,"local result = Backpack:getGridStack(playerid, gridid)"
110019,鞄管理,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",バックパックにあるアイテムの耐久性と最大の耐久性を獲得する。,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,鞄管理,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",バックパックの中のアイテムenchantmentを獲得する。enchantmentのIDを返す。,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,鞄管理,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",バックパックのアイテムツールタイプを取得します（<0はツールではないことを意味します）,"local result = Backpack:getGridToolType(playerid, gridid)"
110022,鞄管理,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",アイテムをバックパックに入れる,"local result = Backpack:addItem(playerid, itemid, num)"
110023,鞄管理,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,バックパックのアイテムを捨てる,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,鞄管理,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,バックパックにあるスロットのアイテム数を取得する,"local result = Backpack:getGridNum(playerid, gridid)"
120001,ミニマップ,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number",形（線、長方形、円形）を一つ追加する。,"local result = MapMark:newShape(type, isshow, r, g, b)"
120002,ミニマップ,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,形を一つ削除する,local result = MapMark:deleteShape(shapeid)
120003,ミニマップ,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,形と色を設定する,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,ミニマップ,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,形状を表示或いは非表示を設定する。,"local result = MapMark:showShape(shapeid, showflag)"
120005,ミニマップ,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,形を更新する（線）。開始座標と終了座標を追加する。,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,ミニマップ,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,形を更新する（長方形）。開始座標と大きさを追加する。,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,ミニマップ,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,形を更新する（円）。中心座標と半径を追加する。,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,出生地管理,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",出生地の位置を取得,local result = Spawnport:getSpawnPoint()
130002,出生地管理,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",領域内に出生地としての場所を取得します。領域内のランダムのブロックの位置へ追加する。,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
