接口ID,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语,阿拉伯语
50034,لاعب,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,تبديل تصرّف وصفة وحالة اللاعب,"local result = Player:checkActionAttrState(objid, actionattr)"
50035,لاعب,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",الحصول على أقصى حدّ من الايتش بي,local result = Player:getMaxHP(objid)
50036,لاعب,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",الحصول على الايتش بي الحالي,local result = Player:getCurHP(objid)
50037,لاعب,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",استرداد الايتش بي,local result = Player:getHpRecover(objid)
50038,لاعب,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",الشبع الحالي,local result = Player:getCurFood(objid)
50039,لاعب,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,لاعب,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سعة الاوكسيجين الحاليّة,local result = Player:getCurOxygen(objid)
50041,لاعب,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سرعة المشي,local result = Player:getWalkSpeed(objid)
50042,لاعب,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سرعة السباحة (في الماء),local result = Player:getSwimSpeed(objid)
50043,لاعب,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",قوّة القفز,local result = Player:getJumpPower(objid)
50044,لاعب,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سرعة الركض,local result = Player:getRunSpeed(objid)
50045,لاعب,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سرعة التسلّل,local result = Player:getSneakSpeed(objid)
50046,لاعب,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سرعة المراوغة,local result = Player:getDodge(objid)
50047,لاعب,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",هجوم قويّ,local result = Player:getPunchAttack(objid)
50048,لاعب,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",هجوم متراوح,local result = Player:getRangeAttack(objid)
50049,لاعب,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",دفاع قويّ,local result = Player:getPunchDefense(objid)
50050,لاعب,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",دفاع متراوح,local result = Player:getRangeDefense(objid)
50051,لاعب,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",عدد النجوم,"local result = Player:getStarNum(objid, val)"
50052,لاعب,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",قياس الموديل,"local result = Player:getModelScale(objid, val)"
50053,لاعب,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد أقصى حد للايتش بي,"local result = Player:setMaxHP(objid, val)"
50054,لاعب,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الايتش بي,"local result = Player:setHP(objid, val)"
50055,لاعب,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,تحديد استعادة الايتش بي,local result = Player:setHpRecover(objid)
50056,لاعب,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الشبع الحالي,local result = Player:setCurFood(objid)
50057,لاعب,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الاوكسيجين,"local result = Player:setOxygen(objid, val)"
50058,لاعب,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد سرعة المشي,"local result = Player:setWalkSpeed(objid, val)"
50059,لاعب,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد سرعة السباحة (في الماء),"local result = Player:setSwimSpeed(objid, val)"
50060,لاعب,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد قوّة القفز,"local result = Player:setJumpPower(objid, val)"
50061,لاعب,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد سرعة الركض,"local result = Player:setRunSpeed(objid, val)"
50062,لاعب,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد سرعة التسلّل,"local result = Player:setSneakSpeed(objid, val)"
50063,لاعب,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد سرعة المراوغة,"local result = Player:setDodge(objid, val)"
50064,لاعب,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الهجوم القويّ,"local result = Player:setPunchAttack(objid, val)"
50065,لاعب,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الهجوم المتراوح,"local result = Player:setRangeAttack(objid, val)"
50066,لاعب,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الدفاع القويّ,"local result = Player:setPunchDefense(objid, val)"
50067,لاعب,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الدفاع المتراوح,"local result = Player:setRangeDefense(objid, val)"
50068,لاعب,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد عدد النجوم,"local result = Player:setStarNum(objid, val)"
50069,لاعب,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد قياس الموديل,"local result = Player:setModelScale(objid, val)"
50070,لاعب,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,تحديد موقع الممثّل,"local result = Player:setPosition(objid, x, y, z)"
50071,لاعب,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,الحصول على التموضع العكسيّ للاعب,local result = Player:getAimPos(objid)
60001,مخلوق,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,هل هو بالغ؟,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,مخلوق,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,تحديد إن كان الاوكسيجين ضروريًأ,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,مخلوق,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",تحديد هويّة اللاعب الذي لديه مخلوف أليف,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,مخلوق,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,تحديد إن كان يسبّب الهلع,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,مخلوق,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,تحديد إن كان يحتاج للتأثير,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,مخلوق,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",الحصول على هويّة مصدر الوحش,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,مخلوق,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",الحصول على هويّة مصدر الوحش,local result = Creature:getActorName(objid)
60008,مخلوق,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,زيادة وضع صفة الوحش,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,مخلوق,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",زيادة وضع صفة الوحش,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,مخلوق,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,تحديد فريق المخلوقات,"local result = Creature:setTeam(objid, teamid)"
60011,مخلوق,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",تحديد فريق المخلوقات,local result = Creature:getTeam(objid)
60012,مخلوق,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",الحصول على أقصى حدّ من الشبع,local result = Creature:getMaxFood(objid)
60013,مخلوق,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",الحصول على الشبع,local result = Creature:getFood(objid)
60014,مخلوق,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الشبع,"local result = Creature:setFood(objid, val)"
60015,مخلوق,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",استعادة الايتش بي,local result = Creature:getHpRecover(objid)
60016,مخلوق,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سعة الاوكسيجين القصوى,local result = Creature:getMaxOxygen(objid)
60017,مخلوق,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سرعة المشي,local result = Creature:getWalkSpeed(objid)
60018,مخلوق,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",سرعة السباحة (في الماء),local result = Creature:getSwimSpeed(objid)
60019,مخلوق,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",قوّة القفز,local result = Creature:getJumpPower(objid)
60020,مخلوق,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",الوزن,local result = Creature:getMass(objid)
60021,مخلوق,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",مراوغة,local result = Creature:getDodge(objid)
60022,مخلوق,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",هجوم قويّ,local result = Creature:getPunchAttack(objid)
60023,مخلوق,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",هجوم متراوح,local result = Creature:getRangeAttack(objid)
60024,مخلوق,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",دفاع قويّ,local result = Creature:getPunchDefense(objid)
60025,مخلوق,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",دفاع متراوح,local result = Creature:getRangeDefense(objid)
60026,مخلوق,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الايتش بي,"local result = Creature:setMaxHp(objid, val)"
60027,مخلوق,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الايتش بي,"local result = Creature:setHP(objid, val)"
60028,مخلوق,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,تحديد استعادة الايتش بي,local result = Creature:setHpRecover(objid)
60029,مخلوق,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الاوكسيجين,"local result = Creature:setOxygen(objid, val)"
60030,مخلوق,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد سرعة المشي,"local result = Creature:setWalkSpeed(objid, val)"
60031,مخلوق,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد سرعة السباحة (في الماء),"local result = Creature:setSwimSpeed(objid, val)"
60032,مخلوق,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد قوّة القفز,"local result = Creature:setJumpPower(objid, val)"
60033,مخلوق,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد المراوغة,"local result = Creature:setDodge(objid, val)"
60034,مخلوق,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الهجوم القويّ,"local result = Creature:setPunchAttack(objid, val)"
60035,مخلوق,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الهجوم المتراوح,"local result = Creature:setRangeAttack(objid, val)"
60036,مخلوق,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الدفاع القويّ,"local result = Creature:setPunchDefense(objid, val)"
60037,مخلوق,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,تحديد الدفاع المتراوح,"local result = Creature:setRangeDefense(objid, val)"
70001,يو آي,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,تحديد ملخّص يو آي القتال,"local result = UI:setGBattleUI(name, value)"
70002,يو آي,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",تغيير احداثيات العالم الى الخريطة الصغيرة,"local result = UI:world2RadarPos(x, y)"
70003,يو آي,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",تغيير طول العالم الى الخريطة الصغيرة,local result = UI:world2RadarDist(length)
70004,يو آي,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,تحديد وضع الخريطة الصغيرة: 1. زاوية دوران 45 درجة. 2. زاوية إشراف الصورة كاملة,local result = UI:setMinimapRenderMode(mode)
70005,يو آي,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,اعداد الشكل لعلامات الخريطة. تحديدها كخطوط,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,يو آي,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,اعداد الشكل لعلامات الخريطة. تحديدها كدوائر,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,يو آي,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,عرض تأثير الشاشة,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,دردشة,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,إرسال رسالة دردشة,local result = Chat:sendChat(content)
80002,دردشة,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,إرسال رسالة الشبكة,local result = Chat:sendSystemMsg(content)
90001,فريق,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",الحصول على عدد الفرق,local result = Team:getNumTeam()
90002,فريق,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",الحصول على فريق اللاعب المعيّن,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,فريق,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",الحصول على فريق اللاعب المعيّن,"local result = Team:getTeamPlayers(teamid, alive)"
90004,فريق,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",لاعب عشوائيّ,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,فريق,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,تحديد مجموع الفريق,"local result = Team:setTeamScore(teamid, s)"
90006,فريق,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",الحصول على مجموع الفريق,local result = Team:getTeamScore(teamid)
90007,فريق,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,زيادة مجموع الفريق,"local result = Team:addTeamScore(teamid, score)"
90008,فريق,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,تحديد فوز وخسارة الفريق,"local result = Team:setTeamResults(teamid, result)"
90009,فريق,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",الحصول على الفوز والخسارة الحاليّة للفريق,local result = Team:getTeamResults(teamid)
90010,فريق,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,تحديد فوز وخسارة فريق اللاعبب,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,فريق,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,تحديد مجموع الوفيات في الفريق,"local result = Team:setTeamDieTimes(teamid, times)"
90012,فريق,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",الحصول على مجموع الوفيات في الفريق,local result = Team:getTeamDieTimes(teamid)
90013,فريق,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,زيادة مجموع وفيّات الفريق,local result = Team:addTeamDieTimes(teamid)
90014,فريق,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,تغيير فريق اللاعب,"local result = Team:changePlayerTeam(uin, teamid)"
100001,دعائم,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",الحصول على اسم العنصر,local result = Item:getItemName(itemid)
100002,دعائم,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",الحصول على هويّة العنصر,local result = Item:getItemId(objid)
100003,دعائم,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",الحصول على عدد القطرات,local result = Item:getDropItemNum(objid)
110001,حقيبة ظهر,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",الحصول على نطاق هوية شريط حقيبة الظهر (هويّة البدء وهويّة الانهاء),local result = Backpack:getBackpackBarIDRange(bartype)
110002,حقيبة ظهر,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",الحصول على حجم شريط حقيبة الظهر,local result = Backpack:getBackpackBarSize(bartype)
110003,حقيبة ظهر,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,تحديد حقيبة الظهر,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,حقيبة ظهر,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,إزالة بعض العناصر من شريط حقيبة الظهر. تزال بواسطة الفتحات. تزال كلّها تلقائيًا,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,حقيبة ظهر,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",ازالة بعض العناصر من شريط حقيبة الظهر. ازالتها بواسطة هويّة العناصر. تزال كلها بشكل تلقائيّ,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,حقيبة ظهر,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,مسح شريط حقيبة الظهر المعيّنة,"local result = Backpack:clearPack(playerid, bartype)"
110007,حقيبة ظهر,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,مسح حقيبة الظهر بالكامل (بما في ذلك شريط حقيبة الظهر، شريط الاختصار، شريط التجهيزات),local result = Backpack:clearAllPack(playerid)
110008,حقيبة ظهر,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,ازالة العناصر في حقيبة الظهر. يتمّ نقلها كلّها بشكل تلقائيّ,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,حقيبة ظهر,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,تبديل العناصر في حقيبة الظهر,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,حقيبة ظهر,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 7",ErrorCode.OK,ان كان يوجد مساحة في حقيبة الظهر (بما في ذلك شريط حقيبة الظهر، شريط الاختصار) لتخزين العناصر,"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,حقيبة ظهر,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",احسب مجموع الرقم العناصر المتبقية التي يمكن تخزينها في حقيبة الظهر (بما في ذلك، شريط حقيبة الظهر، شريط الاختصار),"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,حقيبة ظهر,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",احصل على لائحة صالحة لهويّة العناصر الموجودة مسبقًا في حقيبة الظهر. هويّة العنصر,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,حقيبة ظهر,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",احصل على عناصر موجودة مسبقًا في شريط حقيبة الظهر. هويّة العنصر,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,حقيبة ظهر,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,ارصد وجود عنصر معيّن في حقيبة الظهر,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,حقيبة ظهر,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",احصل على الرقم مجموع العناصر في حقيبة الظهر. العودة الى حقائب الظهر مع العناصر,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,حقيبة ظهر,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",احصل على هويّة وعدد العنصر في حقيبة الظهر,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,حقيبة ظهر,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",احصل على اسم العنصر في حقيبة الظهر,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,حقيبة ظهر,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",احصل على عدد العناصر في حقيبة الظهر وأقصى عدد من الرزم,"local result = Backpack:getGridStack(playerid, gridid)"
110019,حقيبة ظهر,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",احصل على ديمومة العنصر في حقيبة الظهر والمتانة القصوى,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,حقيبة ظهر,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",احصل على تعويذة العناصر في حقيبة الظهر. العودة الى هويّة التعويذة,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,حقيبة ظهر,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",احصل على نوع أداة العنصر من حقيبة الظهر (<0 تعني عدم وجود أدوات>),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,حقيبة ظهر,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",إضافة العنصر إلى حقيبة الظهر,"local result = Backpack:addItem(playerid, itemid, num)"
110023,حقيبة ظهر,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,التخلّص من الغرض الموجود في حقيبة الظهر,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,حقيبة ظهر,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,الحصول على رقم الأغراض الموجودة في مكان واحد في حقيبة الظهر,"local result = Backpack:getGridNum(playerid, gridid)"
120001,خريطة صغيرة,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number",شكل جديد (خطّ، مستطيل، دائرة),"local result = MapMark:newShape(type, isshow, r, g, b)"
120002,خريطة صغيرة,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,حذف شكل,local result = MapMark:deleteShape(shapeid)
120003,خريطة صغيرة,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,تحديد الشكل واللون,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,خريطة صغيرة,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,تحديد الشكل المعروض أو المخفي,"local result = MapMark:showShape(shapeid, showflag)"
120005,خريطة صغيرة,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,تحديث الشكل (خطّ). أضف احداثيات البدء والانتهاء,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
