ID,名字,描述,获得方式
12494,Geröstete Süßkartoffel,Duftende geröstete Süßkartoffeln,
12495,gerösteter Mais,Duftender gerösteter Mais,
12496,Meeresfrüchte,"Ein Haufen Meeresfrüchte, darunter @item_12520#, @item_12524#, @item_12527#, @item_12703#, @item_12704# und andere Meeresfrüchtezutaten.",
12497,Gegrilltes Fleisch,"#c0aba1d 10 körperliche Kraft nach dem Essen #nwiederherstellen. #r das verbrannte Fleisch auf dem Feuer, kann es nicht sehen, das ursprüngliche Aussehen deutlich, seien Sie vorsichtig #c0aba1d  #n.",
12498,Nachtsicht-Sporen,#c0aba1d  #c0aba1d Nachtsicht #n innerhalb von 600 Sekunden nach #n.,
12499,Sprint Roast Doodle,#c0aba1d #n #c0aba1d Bewegungsgeschwindigkeit 75% #n innerhalb von 600 Sekunden.,
12500,Kirsche,#c0aba1d zahm#n Volvo.,Wächst auf Kirschbäumen und erhält @item_11405# nach dem Essen.
12501,Obstteller,Stellt die körperliche Verfassung nach dem Essen wieder her,
12502,Nudel,Regeneriert sich nach dem Verzehr.,Benötigt @item_794# zum Kochen.
12503,Kiefernzapfen,"#c0aba1dFeed#nit an fliegende Eichhörnchen, um ihre HP wiederherzustellen. Es kann auch als #c0aba1dsnowman's eyes#n verwendet werden.",Wächst auf Kiefern. @item_11406# kann nach dem Verzehr erhalten werden.
12504,Wabenreste,#c0aba1d 15 Leben nach dem Verzehr von #nwiederherstellen. #r kann abgefüllten Honig verarbeiten.,"Sammeln Sie Bienenstöcke mit Axtwerkzeugen, um sie zu erhalten."
12505,Kalte Gurke,#c0aba1d hat nach dem Verzehr von #n15 Ausdauer und 15 Körnung gewonnen. #r,
12506,Obst,"Einschließlich @item_230#, @item_237#, @item_239#, @item_11599#, @item_12500# und andere Früchte.",
12507,Mais-Dessert,Die Grabgeschwindigkeit wird nach dem #c0aba1deating erhöht#nfür eine gewisse Zeit.#r,Benötigt @item_794# zum Kochen.
12508,Riesige Schuppenfederscheiben,"#c0aba1d 10 Leben nach dem Essen #nwiedererlangen. #r  #n #c0aba1d Strauß verwendet werden, kann eine gewisse Chance #c0aba1d zähmen #n.",Verarbeitet in Rucksäcken durch riesige Schuppenfedern. #r Schäden an der Tontopf hat auch eine Chance zu fallen.
12509,Frische Milch in Flaschen,#c0aba1d 20 Leben nach dem Verzehr von #nwiederherstellen. Und 1 willkürlichen Zustand beseitigen.,Wird in kleinen Glasflaschen für gehörnte Hirsche bei der Milchproduktion gewonnen.
12510,Geschmorter Dodo mit Bodensprossen,"Es wird gemunkelt, dass es sich um ein berühmtes Gericht aus Miras handelt, das sehr nahrhaft ist und von vielen Menschen bevorzugt wird.",Benötigt @item_794# zum Kochen.
12511,Honig in Flaschen,"#c0aba1d gewinnt 10 Leben zurück, nachdem er #nverzehrt hat. Und er gewinnt über einen gewissen Zeitraum immer wieder an Leben. #r kann verwendet werden, um #c0aba1d Glühwürmchen #nanzulocken.",
12512,Süßkartoffelpüree,Regeneriert sich nach dem Verzehr.,Benötigt @item_794# zum Kochen.
12513,Fleisch,"Einschließlich @item_12516#, @item_12518#, @item_12522#, @item_12530#, @item_12532#, @item_12535#, @item_12607# und anderes Fleisch.",Wird durch das Besiegen der entsprechenden Kreatur fallen gelassen
12514,Grill,"Einschließlich @item_12517#, @item_12519#, @item_12523#, @item_12531#, @item_12533#, @item_12536#, @item_12608#, @item_12521#, @item_12705# und @item_12706#","Erhalten Sie es, indem Sie #c0aba1dRohes Fleisch#n über dem Lagerfeuer rösten."
12515,Riesiger Buru-Streifen,"#c0aba1dEat es#n, um eine kleine Menge an HP und Ausdauer wiederherzustellen und einen Schild und Ausdauer zu erhalten.#rMiras traditioneller Snack. Riesiger Buru-Streifen aus @item_230#.",Benötigt @item_795# zum Kochen.
12516,Wovo-Fleisch,"#c0aba1d 15 körperliche Kraft nach dem Essen #nwiederherstellen. #r essen roh vorsichtig #c0aba1d Durchfall #n, kann auf #c0aba1d Lagerfeuer gebacken werden #n.",Besiege den Volvo Beast Drop.
12517,Gegrilltes Wover-Fleisch,"#c0aba1d 25 körperliche Kräfte wiedererlangt, nachdem er #n #r",Verarbeitet in einem Lagerfeuer #c0aba1d Volvo Fleisch #n erhalten.
12518,Dudu-Vogelfleisch,"#c0aba1d , um 10 körperliche Kraft nach dem Essen #nwiederzuerlangen. #r essen roh #c0aba1d Durchfall #n, kann auf #c0aba1d Lagerfeuer gebacken werden #n.",Besiege den Doodle Bird Drop.
12519,Gegrillter Dudu-Vogel,"#c0aba1d 25 körperliche Kräfte wiedererlangt, nachdem er #n #r",Verarbeitet im Lagerfeuer #c0aba1d rohes Dudu-Vogelfleisch #n erhalten.
12520,Frischer dummer Fisch,"#c0aba1d essen #n zur Wiederherstellung 10 körperliche Stärke, essen rohe #c0aba1d  #n, gekocht auf #c0aba1d  #n wird köstlicher, kann auch verwendet werden, um Eisbären zu zähmen #r füttern #c0aba1d Baby Robbe Mount #n essen kann 20 Gesundheitspunkte wiederherstellen",
12521,Gegrillter dummer Fisch,"#c0aba1d , um 20 körperliche Kraft nach dem Essen #n #r mit frischem Fisch auf einem Lagerfeuer gebraten, und kann auch verwendet werden, um Yan Krabbe zu zähmen",
12522,Dun-Fleisch,"#c0aba1d 15 körperliche Kraft nach dem Essen #nwiederzuerlangen. #r essen roh #c0aba1d Durchfall #n, kann auf #c0aba1d Lagerfeuer gebacken werden #n",Besiegen Sie den Pier Drop.
12523,Gebratenes Tonton-Fleisch,"Verbrauchen Sie es, um den Körperstatus wiederherzustellen",Erhalten durch die Herstellung von @item_12522# am Lagerfeuer
12524,Lachs,"#c0aba1d , um 15 körperliche Kraft nach dem Essen #nwiederzuerlangen. #r essen roh #c0aba1d Durchfall #n. #r  #n #c0aba1d Eisbär verwenden, kann eine gewisse Chance #c0aba1d zähmen #n, kann auf #c0aba1d Lagerfeuer gebacken werden #n.",Besiege Penguin Drop.
12525,Gegrillter Lachs,#c0aba1d nach dem Essen #n #rwieder 30 körperliche Kraft,In einem Lagerfeuer verarbeitet #c0aba1d  #n erhalten.
12526,Seltsamer Ellbogen,#c0aba1d nach dem Essen wieder 10 körperliche Kraft #nund lassen Hexenknochen fallen. #r essen wahllos #c0aba1d  #n.,Besiege den Wildling-Tropfen.
12527,Krabbenbeine,"Kann zu #c0aba1d ""Krabbenstäbchen"" #nverarbeitet werden.",
12528,Eine Schüssel mit rohem Reis,Kann zu #c0aba1d gekochtem Reis in einem Steintopf verarbeitet werden #n,
12529,Gekochter Reis,Regeneriert sich nach dem Verzehr.,Benötigt @item_794# zum Kochen.
12530,Gehörntes Wildbret,"#c0aba1d 15 körperliche Kraft nach dem Essen #nwiederherstellen. #r essen roh vorsichtig #c0aba1d Durchfall #n, kann auf #c0aba1d Lagerfeuer gebacken werden #n.",Besiege den gehörnten Hirschtropfen.
12531,Gebratenes Geweihwild,#c0aba1d nach dem Essen #n #rwieder 30 körperliche Kraft,In einem Lagerfeuer verarbeitet #c0aba1d gehörntes Hirschfleisch #n erhalten.
12532,Kaninchen,"Du könntest #c0aba1ddiarrhö#n haben, wenn du es isst. Seien Sie vorsichtig. Es kann auch auf @item_1200 # gekocht werden.",Wird durch das Besiegen von Schneehasen fallen gelassen.
12533,Gebratenes Kaninchen,"Essen Sie es, um Ihre Körpertemperatur leicht wiederherzustellen.","Kochen Sie @item_12532# über einem Lagerfeuer, um zu erhalten."
12534,Gebratenes Kaninchen,"Essen Sie es, um Ihre Körpertemperatur leicht wiederherzustellen und für eine gewisse Zeit kälteresistent zu sein.#rGive Sie es den Dorfbewohnern von Icefield und sie werden es zu schätzen wissen.",Benötigt @item_794# zum Kochen.
12535,Yak-Fleisch,"Du könntest #c0aba1ddiarrhö#n haben, wenn du es isst. Seien Sie vorsichtig. Es kann auch auf @item_1200 # gekocht werden.",Wird durch das Besiegen von Yaks fallen gelassen.
12536,Gegrilltes Yakfleisch,"Essen Sie es, um Ihre Körpertemperatur leicht wiederherzustellen.","Kochen Sie @item_12535# über einem Lagerfeuer, um zu erhalten."
12537,Yak Fleisch Dörrfleisch,"Lebensmittel, die im Trocknungsprozess hergestellt werden. Das Fleisch ist ziemlich zäh und man kann nicht aufhören, es zu essen.",Wird durch Anhängen von @item_12535# an @item_1192# für einen bestimmten Zeitraum erhalten.
12538,Frucht-Smoothie,"Eine erfrischende Delikatesse, die durch Mischen von Früchten mit Eis hergestellt wird. Es ist ein Muss in heißen Regionen.",
12539,Farn-Pudding,"Nach #r#c0aba1dtaking it#n erhalten Sie den Status #c0aba1dHeat-resistent#n, der Ihnen hilft, der Hitze für kurze Zeit standzuhalten.",
12540,Nudeln mit Spiegeleiern,"Nachdem Sie it#n #c0aba1dtaking haben, stellen Sie HP im Laufe der Zeit für kurze Zeit wieder her.",Benötigt @item_794# zum Kochen.
12541,Gebackene Pommes frites,Nach dem #c0aba1dtaking it#n wird der erlittene Fallschaden für eine gewisse Zeit leicht verringert.#r,Benötigt @item_794# zum Kochen.
12542,Gemüsesuppe,Regeneriert sich nach dem Verzehr.,Benötigt @item_794# zum Kochen.
12543,Gebratener Dodo-Familieneimer,Nach dem #c0aba1dtaking es#n wird die Bewegungsgeschwindigkeit für eine gewisse Zeit leicht erhöht.#rUse es auf #c0aba1dRaptors#nfür eine Chance auf #c0aba1dtame#nthem.,Benötigt @item_794# zum Kochen.
12544,Barbecue-Nudeln,Regeneriert sich nach dem Verzehr.,Benötigt @item_794# zum Kochen.
12545,Auflauf mit Hirschfleisch,Regeneriert sich nach dem Verzehr.,Benötigt @item_794# zum Kochen.
12546,Schinken,"Nach dem #c0aba1dtaking it#n wird der Ausdauerverbrauch beim Graben für eine gewisse Zeit leicht reduziert.#r#c0aba1dFeed#nit zu Gezähmten Eisbären, um sie zu #c0aba1dbreed#n zu machen.",Benötigt @item_794# zum Kochen.
12547,Stinkender Schinken,Nach dem #c0aba1dtaking it#n wird der Ausdauerverbrauch von Running Jump für eine gewisse Zeit leicht reduziert.,Benötigt @item_795# zum Kochen.
12548,Krabbenstäbchen-Schinken,Nach dem #c0aba1dtaking it#n wird der Ausdauerverbrauch des Aufladens für eine gewisse Zeit leicht reduziert.#r,Benötigt @item_795# zum Kochen.
12549,Süßigkeiten aus Kondensmilch,"Nach #c0aba1dtaking es#n wird ein zufälliger Debuff entfernt.#rA Boarman Companion vergisst die anstehende Arbeit, nachdem er ihn gefressen hat.",Benötigt @item_794# zum Kochen.
12550,Leckere Nudeln mit Spiegeleiern,"Nachdem Sie it#n #c0aba1dtaking haben, stellen Sie HP im Laufe der Zeit für einen bestimmten Zeitraum wieder her.#r",Benötigt @item_795# zum Kochen.
12551,Leckere Pommes,Nach #c0aba1dtaking it#n wird der erlittene Fallschaden für eine gewisse Zeit reduziert.#r,Benötigt @item_795# zum Kochen.
12552,Leckerer Riesen-Buru-Kuchen,Nach dem #c0aba1dtaking it#n wird eine kleine Menge an HP und Ausdauer wiederhergestellt. Außerdem kannst du auch Schilde und Ausdauer erhalten.#rUse es auf #c0aba1dBulli#nfür die Chance auf #c0aba1dtame#nit.,Benötigt @item_795# zum Kochen.
12553,Leckeres Mais-Dessert,Nach dem #c0aba1dtaking es#n wird die Grabgeschwindigkeit für eine gewisse Zeit erhöht.#rUse es auf #c0aba1dRocki#nfür eine Chance auf #c0aba1dtame#nit.,Benötigt @item_795# zum Kochen.
12554,Leckere Gemüsesuppe,Regeneriert sich nach dem Verzehr.,Benötigt @item_795# zum Kochen.
12555,Duftende Gurke,#c0aba1d nach dem Verzehr von #n15 und 40 Ausdauer wiedererlangt. #r,
12556,Duftender Schuppenfedersaft,#c0aba1d erhält nach dem Verzehr von #n 20 Gesundheit zurück und reduziert den Brandschaden für eine gewisse Zeit. #r,
12557,Duftender Obstteller,"#c0aba1d , um 100 Leben nach dem Essen #nwiederherzustellen. #r  #n #c0aba1d niedlichen Augen verwenden, kann eine gewisse Chance #c0aba1d zähmen #nwerden.",
12558,Leckerer Braten Dodo,Nach #c0aba1dtaking es#n wird die Bewegungsgeschwindigkeit für eine gewisse Zeit erhöht.,Benötigt @item_795# zum Kochen.
12559,Leckere Grillnudeln,Regeneriert sich nach dem Verzehr.,Benötigt @item_795# zum Kochen.
12560,Leckerer Geweih-Auflauf,Regeneriert sich nach dem Verzehr.,Benötigt @item_795# zum Kochen.
12561,Leckerer Schinken,Nach #c0aba1dtaking it#n wird der Ausdauerverbrauch beim Graben für eine gewisse Zeit reduziert.#r,Benötigt @item_795# zum Kochen.
12562,Leckerer stinkender Schinken,Nach #c0aba1dtaking it#n wird der Ausdauerverbrauch von Running Jump für eine gewisse Zeit reduziert.#r,Benötigt @item_795# zum Kochen.
12563,Leckerer Krabbenstäbchen,Nach #c0aba1dtaking it#n wird der Ausdauerverbrauch des Aufladens für eine gewisse Zeit reduziert.#r,Benötigt @item_795# zum Kochen.
12564,Knödel für den Neujahrstag,"#c0aba1d erhält nach dem Verzehr #n15 Körpermasse zurück, und #c0aba1d  #n in 180 Sekunden.",Gekauft bei Neujahrshändlern während der Neujahrsaktivitäten
12565,Seltsame Süßigkeiten,"#c0aba1d erhält nach dem Verbrauch von #n15 Stärke zurück, und #c0aba1d Bewegungssteuerung in die entgegengesetzte Richtung #n 60 Sekunden.",Kaufen Sie beim Weihnachtsmann während der Weihnachtsveranstaltungen
12566,Zerbrochene Knödel,"#c0aba1d erhält 15 Kraft zurück, nachdem sie #n und #c0aba1d  60% #n innerhalb von 60 Sekunden verbraucht hat.",
12567,Chinesische Neujahrsknödel,"#c0aba1d erhält nach dem Verzehr #n15 Körpermasse zurück, und #c0aba1d  #n in 180 Sekunden.",Gekauft bei Frühlingsfest-Händlern während der Frühlingsfest-Aktivitäten.
12568,Reiskuchen,#c0aba1d nach dem Verbrauch von #nwieder 15 Kraft und #c0aba1d  #n 180 Sekunden.,Gekauft bei Frühlingsfest-Händlern während der Frühlingsfest-Aktivitäten.
12569,Schwarzes ausgestopftes Laternenfest,"#c0aba1d erhält nach dem Verzehr von #nwieder 15 Stärke, und in 30 Sekunden wird der Charakter #c0aba1d Doodle #n.",
12570,Lila gefüllte Laterne Festival,"#c0aba1d erhält 15 Körperpunkte zurück, nachdem er #nverbraucht hat, und innerhalb von 30 Sekunden wird der Charakter #c0aba1d Wauvoo #n.",
12571,Gelbes gefülltes Laternenfest,"#c0aba1d erhält nach dem Verzehr von #nwieder 15 Stärke, und in 30 Sekunden wird der Charakter #c0aba1d gehörnten Hirsch #n.",
12572,Kirschsaft,"Nach dem Gebrauch wird ein chaotischer Zustand erreicht, und innerhalb von 60 Sekunden #c0aba1d die Steuerung in die entgegengesetzte Richtung bewegen #n.",Beim Jubiläumshändler während der Jubiläumsveranstaltung gekauft.
12573,Funkelnder Saft,"#c0aba1d gewann 15 Kraft zurück, nachdem er #n verbraucht und die Sprungkraft #c0aba1d 17 #n in 60 Sekunden erhöht hatte.",Beim Jubiläumshändler während der Jubiläumsveranstaltung gekauft.
12574,Teufelssaft,"#c0aba1d erhält nach dem Verzehr #n15 Stärke zurück, und in 30 Sekunden wird der Charakter #c0aba1d #n.",Beim Jubiläumshändler während der Jubiläumsveranstaltung gekauft.
12575,Zongzi,"#c0aba1d erhält nach dem Verzehr #n15 Stärke zurück, und innerhalb von 30 Sekunden wird der Charakter #c0aba1d #n.",
12576,Kaugummi,"#c0aba1d Erhalte 5 Gesundheit nach dem Essen #nund gewinne 15 Schilde. Erhalte #c0aba1d Blasenzustand in 15 Sekunden #n. #r  #n #c0aba1d verwenden, kann eine gewisse Chance #c0aba1d zähmen #n.","Zerstöre den Tontopf, öffne die Dungeon-Schatzkiste und besiege den Ball - alle haben die Chance zu fallen. #r #c0aba1d imitiere kein Verhalten im Spiel. #n"
12577,Gurkenfest,Nach #n #c0aba1d Pier in einen Zustand #c0aba1d  #n,
12578,Wolverine Cape,"Kämpfe zwischen Volvos haben die Chance zu fallen. #r können verwendet werden, um Hörner herzustellen.",
12579,Hupe,"Befindet sich nach der Anwendung ein #c0aba1d Wowo Beast #n innerhalb der effektiven Reichweite, wird es angezogen.",
12580,Geist Fuchs Pfeife,"#c0aba1d gezähmten Fuchs und Affe #n verwenden, kann es sitzen.",
12581,'Krabbenstab',#c0aba1d 15 körperliche Kraft nach dem Essen #n. #r essen wahllos #c0aba1d  #n.,
12582,Sauerstoff Bohne,"#c0aba1d  #n auf seltenem Holz gepflanzt, um nach einer gewissen Zeit Sauerstofffrüchte anzubauen.",
12583,Sauerstoff Obst,#c0aba1d den Gesundheitspunkt des aktuellen Lebens 10% nach dem Verzehr #nreduzieren und #c0aba1d Sauerstoffversorgung #n 60 Sekunden erreichen.,"Die Früchte, die auf dem kostbaren Holz des niedlichen Augensterns angebaut werden, können durch Pflanzen von Sauerstoffbohnen auf dem kostbaren Holz gewonnen werden. Nach dem Verzehr können die kostbaren Holzsamen gewonnen und die Sauerstoffbohnen mit leeren Händen verarbeitet werden."
12584,Astrospore,,
12585,Mutierte Bambussprossen,,
12586,Mutierter roter Pilz,,
12587,Eierpistole,"Wende es auf bestimmte nicht-aggressive #c0aba1dland Kreaturen#n an, um sie einzutauschen, um entsprechend Eier zu spawnen.#rAfter mit @item_11082# wird @item_800# zum Herstellen freigeschaltet.",
12588,Eierpistolenkugel,Exklusive Munition für Egg Gun.,
12589,Fluoreszierende Schleuder,"#c0aba1d Basisschaden + 5 #n #r Fernkampfwaffe, jeder Angriff #c0aba1d #n1 Granaten.",
12590,Fluoreszierende Bombe,"#c0aba1d Grundschaden + 5 #n #r den Block getroffen wird #c0aba1d Lichtquelle #n für einen Zeitraum, traf die Kreatur wird #c0aba1d fluoreszierenden Zustand #nhinzufügen. #r erfordert fluoreszierende Schleuder Emission.",
12591,Fluoreszierende Kugel,"Die Verwendung von Quadraten #c0aba1d  #n für eine gewisse Zeit, und die Verwendung von #c0aba1d #n wird einen fluoreszierenden Zustand hinzufügen.",
12592,Spielversion ist zu niedrig,,
12593,Niedlich-äugige Sternmuschel,Die mit dem kosmischen Händler gehandelte Währung kann gegen besondere Gegenstände des niedlichen Augensterns eingetauscht werden.,Verfügbar für den Handel mit Cosmic Merchants.
12594,Erste-Hilfe-Paket,"Eine heilende Kombination aus Kräutern und Erste-Hilfe-Verbänden, die verwundete Boarman-Gefährten heilen können.#rInjured Boarman-Gefährten werden allmählich schwächer. Wenn sie nicht rechtzeitig geheilt werden, können sie irreversible Folgen haben.",
12595,Wilde Souvenirs,"Ein Schmuckstück, das von einem wilden Partner fallen gelassen wird, bewahrt die Erinnerung an den Partner. #r kann es als Gedenkstätte auf eine #c0aba1d  #n legen",
12596,Jäger-Souvenirs,"Ein Schmuckstück, das vom Begleiter eines Jägers fallen gelassen wurde, bewahrt die Erinnerung an den Begleiter. #r kann es auf #c0aba1d Steintafel #n als Denkmal legen",
12597,Mengbao-Souvenir,"Die Schmuckstücke, die der niedliche Schatzpartner fallen ließ, bewahren die Erinnerungen des Partners. #r kann es auf die #c0aba1d Steintafel legen #n als Gedenken",
12598,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
12599,Zauberer Stock Hammer,"Der zerbrechliche Stabhammer, der ein schwaches Licht ausstrahlt und den Hauch von Sonnenlicht verströmt, ist eine häufig verwendete Opferrequisite in wilden Stämmen.
Stammespriester klopfen oft mit Stöcken und Hämmern auf schlafende Wilde, um den dunklen Fluch auf sie zu vertreiben.",
12600,Baumwolle,"Weiche Baumwolle, die auf @item_800# zu verschiedenen Baumwollprodukten verarbeitet oder als Schal für #c0aba1dsnowman verwendet werden kann#n. Gewonnen aus Baumwollbaum.",
12601,Pfirsich,#c0aba1d zähme fliegende Hühner#n.#r#c0aba1d füttere#n in#c0aba1d#n.,Sie wächst auf dem Pfirsichbaum und kann nach dem Verzehr von @item_11409# gewonnen werden.
12602,Rotholzfrucht,#c0aba1d füttern#n Pinguine in#c0aba1d #n.,"Rotholzblätter, die die Ergebnisse zerstören, können abfallen und können nach dem Verzehr von @item_11412# erhalten werden."
12603,Walnuss,Du kannst#c0aba1d den Spatz und die Grasmücke#nzähmen und danach fallen @item_12278#.,Sie wächst auf dem Walnussbaum und kann nach dem Verzehr von @item_11411# gewonnen werden.
12604,Espenfrucht,"#c0aba1d 15 Menschenleben wiedererlangt, nachdem sie #n","Pappelblätter, die die Ergebnisse zerstören, haben die Möglichkeit zu fallen, und Pappelsamen können nach dem Verzehr gewonnen werden."
12605,Yan-Yan-Krabbenschale,"Muschelfragmente, die von Yan-Yan-Krabben fallen gelassen wurden, sollen zur Herstellung von Brandschutzausrüstung verwendet werden!",
12606,Hämostatisches Mittel,#c0aba1d nach dem Verzehr #n 30 Gesundheit wiedererlangt und befreit den Körper von #c0aba1d Blutungen #n und erhält 15 Schilde. Nach 180 Sekunden #c0aba1d Immunblutung #n.,Hergestellt aus Populus euphratica
12607,Rohe Straußenbeine,"#c0aba1d 15 körperliche Kraft nach dem Essen #n #r essen rohen #c0aba1d Durchfall #n, kann auf #c0aba1d Lagerfeuer gebacken werden #n",Besiege den Straußentropfen.
12608,Gebratene Straußenkeule,"#c0aba1d gebratene Straußenbeine, sehr lecker! Erhalten Sie 25 Ausdauer nach dem Essen #n.",Verarbeitet in einem Lagerfeuer #c0aba1d rohen Straußenschenkeln #n
12609,Spiegeleier Straußene,"Gebratene @item_462#, viel größer als ein Hühnerei!",Benötigt @item_794# zum Kochen.
12610,Populus euphratica,"#c0aba1d nach dem Essen #n 10 Leben wiederherstellt und befreit den Körper von #c0aba1d Blutungen #n sowie gewinnen 5 Schilde. Populus euphratica Blume, hat hämostatische Wirkungen.","Wächst in den Blättern der Krone eines Populus euphratica-Baumes, wenn sich seine Blätter rot färben"
12611,Populus euphratica Tränen,"Die Tränen von toten Pappeln können entgiften, verarbeiten #c0aba1d Entgiftungspulver-Paket #n wichtige Rohstoffe!",Erscheint an der Seite eines toten Populus euphratica-Stammes
12612,Kaktus Blume,Seltene Blumen sind unverzichtbare Zutaten für #c0aba1d #n,"Erscheint an der Spitze des Stammes des Kaktus, wenn er reift"
12613,Kaktusfrucht,#c0aba1d nach dem Essen wieder 20 körperliche Kräfte #n,"Erscheint an der Seite des Stammes des Kaktus, wenn er reift"
12614,Mangan-Knötchen,"Wird verwendet, um #c0aba1d Tauchausrüstung zu verstärken, gehärtete Glasblöcke herzustellen #n dem hohen Druck der Tiefsee standzuhalten","Manganmetall ist ein Mineral, das durch die kontinuierliche Kondensation von Manganmetall in Plutonium entsteht, daher wird es in der Tiefsee nur geringfügig produziert"
12615,Roher Seetang,#c0aba1d Erholen Sie 5 körperliche Kraft und 3 Sauerstoffwerte nach dem Essen #n. #r essen rohe #c0aba1d Durchfall #n,Seetanggewinn zerstören
12616,Schatzkarte Glasflasche,,In der Flasche befindet sich eine Schatzkarte
12617,Schatzkarte,,Scheint eine Karte eines Schatzes zu sein
12618,Dornenstiele von gezackten Farnen,"Der stachelige Stängel, der in der Mitte wächst #n #c0aba1d gezackter Farn, wird wegen seiner vollen Spikes und seiner besonderen Plastizität oft verwendet, um die #n von #c0aba1d Mauerplätzen zu umwickeln und Befestigungen zu bauen.",Zerstöre gezackten Farntropfen
12619,Spike,"#c0aba1d gezackten Farn #n Wachstum auf dem Dorn Ball, immer unerklärlich kleben an den Körper #r  #c0aba1d schnellen Sprung #n oder #c0aba1d in Wasser getränkt #n , um es abzuschütteln #r #c0aba1d Tipps #n: finden Sie den Körper klebrigen Dorn Ball, bitte mit ihm in der Zeit, sonst sind die Folgen unvorstellbar!",
12620,Truhe vom Piratenschiff abgeworfen,,
12621,Gemüse,"Einschließlich @item_226#, @item_227#, @item_228#, @item_229#, @item_234#, @item_236#, @item_241# und anderes Gemüse.",Erhalten durch das Sammeln des entsprechenden Korps
12622,Yak-Horn,"Scharfe Hörner fallen von den Köpfen erwachsener Yaks, die ein hohles Inneres haben. Menschen in Eisfeldregionen nehmen diese Hörner oft auf, um @item_12711# herzustellen.",Unter erwachsenen Yaks kommt es oft zu Konflikten. Nach einem erbitterten Duell können ihre Hörner versehentlich abfallen.
12623,Schnee-Hasen-Fell,"Weiches und warmes Fell, aus dem kältebeständige Ausrüstung hergestellt werden kann.",Wird durch das Besiegen von Schneehasen fallen gelassen.
12624,Eisfeld-Dorfbewohner-Souvenir,"Die Accessoires der Eisfeld-Dorfbewohner, die Erinnerungen an ihre Gefährten enthalten, #rCan als Erinnerung auf @item_1201# platziert werden.",
12625,Eisstein,"#c0aba1dCharge#n an den Zielort und wirf ihn. Wenn es eine Kreatur trifft, wird es #c0aba1dslow#n die Kreatur zu Boden bringen. Wenn es auf einen Block trifft, wird natürliches Eis erzeugt.",
12626,Bandage,"Medizinische Notfallversorgung, sehr wichtige Gegenstände für das Überleben in der Wildnis",
12627,Geländekarte,,Es sieht aus wie eine Geländekarte
12703,Frischer hässlicher Fisch,"#c0aba1d essen #n zur Wiederherstellung 10 körperliche Stärke, essen rohe #c0aba1d  #n, gekocht auf #c0aba1d  #n wird köstlicher, kann auch verwendet werden, um Eisbären zu zähmen #r füttern #c0aba1d Baby Robbe Mount #n essen kann 20 Gesundheitspunkte wiederherstellen",
12704,Frischer seltsamer Fisch,"#c0aba1d essen #n zur Wiederherstellung 10 körperliche Stärke, essen rohe #c0aba1d  #n, gekocht auf #c0aba1d  #n wird köstlicher, kann auch verwendet werden, um Eisbären zu zähmen #r füttern #c0aba1d Baby Robbe Mount #n essen kann 20 Gesundheitspunkte wiederherstellen",
12705,Gegrillter hässlicher Fisch,"#c0aba1d , um 20 körperliche Kraft nach dem Essen #n #r mit frischem Fisch auf einem Lagerfeuer gebraten, und kann auch verwendet werden, um Yan Krabbe zu zähmen",
12706,Gegrillter Kiki-Fisch,"#c0aba1d , um 20 körperliche Kraft nach dem Essen #n #r mit frischem Fisch auf einem Lagerfeuer gebraten, und kann auch verwendet werden, um Yan Krabbe zu zähmen",
12707,Hässlicher getrockneter Fisch,"#c0aba1d , um 15 körperliche Kräfte nach dem Essen #n #r , um den hässlichen Fisch auf dem Fischtrockengestell zu trocknen, der auch die Nahrung der Dorfbewohner im Fischerdorf ist",
12708,Sonnengetrockneter Kiki-Fisch,"#c0aba1d , um 15 körperliche Kräfte nach dem Essen #n #r trocknen Sie den seltsamen Fisch auf dem Fischtrocknungsgestell, das auch die Nahrung der Dorfbewohner im Fischerdorf ist",
12709,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
12710,Eisgeist-Essenz,"Die Lebensessenz des Elementarwächters, #c0aba1dIce Spirit Guard#n, die im kalten Gebiet von Miras spawnt. Wenn es auf einen leblosen #c0aba1dsnowman#n übertragen wird, gewährt es ihm vorübergehende Lebenszeichen.#rCan auch verwendet werden, um @item_12316# zu reparieren.",Belohnungen für das Besiegen von Eisgeisterwächtern
12711,Kampfhorn,"Nachdem du es benutzt hast, kannst du #c0aba1dvillage Gefährten, die kampfbereit sind#n innerhalb einer Reichweite von #c0aba1d32*32#n an deine Seite rufen, #c0aba1dfighting mit dir.#n #rAfter wenn du es erneut verwendest, kehren die Gefährten zum Totem zurück, wenn du es in der Nähe eines Totems verwendest. Wenn sich die Gefährten nicht in Reichweite des Totems befinden, warten sie an Ort und Stelle auf deinen nächsten Befehl.",
12713,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
12714,Spielversion ist zu niedrig,Laden Sie die neueste Spielversion herunter!,
12715,Rotalgen-Stärketrank,"Erhalte #c0aba1dKnockback-Effekt#n für 60 Sekunden, nachdem #c0aba1de#n es besiegt hat. Aber bei Fisch funktioniert es nicht.",
12716,Atemtrank,"Erhalte die #c0aba1dUnterwasser-Atmungsfähigkeit#nfür 180 Sekunden, nachdem #c0aba1de#n sie besiegt hat",
