接口ID,德语,德语,德语,德语,德语,德语,德语
50034,Spieler,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,"Das Umschalten des Verhaltens, Attribut und den Zustand der Spieler","local result = Player:checkActionAttrState(objid, actionattr)"
50035,Spieler,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Holen Sie sich den aktuellen max HP,local result = Player:getMaxHP(objid)
50036,Spieler,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Holen Sie sich das aktuelle HP,local result = Player:getCurHP(objid)
50037,Spieler,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP erholen,local result = Player:getHpRecover(objid)
50038,Spieler,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",aktuelle Sättigungs,local result = Player:getCurFood(objid)
50039,Spieler,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Spieler,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Aktuelle Sauerstoffvolumen,local result = Player:getCurOxygen(objid)
50041,Spieler,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Schrittgeschwindigkeit,local result = Player:getWalkSpeed(objid)
50042,Spieler,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Schwimmgeschwindigkeit (in Wasser),local result = Player:getSwimSpeed(objid)
50043,Spieler,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Sprungkraft,local result = Player:getJumpPower(objid)
50044,Spieler,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Laufgeschwindigkeit,local result = Player:getRunSpeed(objid)
50045,Spieler,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",schleichen Geschwindigkeit,local result = Player:getSneakSpeed(objid)
50046,Spieler,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Dodging Geschwindigkeit,local result = Player:getDodge(objid)
50047,Spieler,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Nahkampfangriff,local result = Player:getPunchAttack(objid)
50048,Spieler,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Fernangriff,local result = Player:getRangeAttack(objid)
50049,Spieler,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee Verteidigung,local result = Player:getPunchDefense(objid)
50050,Spieler,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",lag im Bereich Verteidigung,local result = Player:getRangeDefense(objid)
50051,Spieler,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Anzahl der Sterne,"local result = Player:getStarNum(objid, val)"
50052,Spieler,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Größe des Modells,"local result = Player:getModelScale(objid, val)"
50053,Spieler,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie den max HP,"local result = Player:setMaxHP(objid, val)"
50054,Spieler,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Player:setHP(objid, val)"
50055,Spieler,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie HP Recovery,local result = Player:setHpRecover(objid)
50056,Spieler,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Eingestellte Stromsättigungs,local result = Player:setCurFood(objid)
50057,Spieler,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie den Sauerstoff,"local result = Player:setOxygen(objid, val)"
50058,Spieler,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Gehgeschwindigkeit,"local result = Player:setWalkSpeed(objid, val)"
50059,Spieler,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Schwimmgeschwindigkeit (in Wasser),"local result = Player:setSwimSpeed(objid, val)"
50060,Spieler,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Sprungkraft,"local result = Player:setJumpPower(objid, val)"
50061,Spieler,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie Laufgeschwindigkeit,"local result = Player:setRunSpeed(objid, val)"
50062,Spieler,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie schleichen Geschwindigkeit,"local result = Player:setSneakSpeed(objid, val)"
50063,Spieler,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie ausweich Geschwindigkeit,"local result = Player:setDodge(objid, val)"
50064,Spieler,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Nahkampfangriff,"local result = Player:setPunchAttack(objid, val)"
50065,Spieler,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Distanzangriff,"local result = Player:setRangeAttack(objid, val)"
50066,Spieler,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Nahkampfverteidigung,"local result = Player:setPunchDefense(objid, val)"
50067,Spieler,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set reichte Verteidigung,"local result = Player:setRangeDefense(objid, val)"
50068,Spieler,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Legen Sie die Anzahl der Sterne,"local result = Player:setStarNum(objid, val)"
50069,Spieler,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Legen Sie die Größe des Modells,"local result = Player:setModelScale(objid, val)"
50070,Spieler,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Stellen Sie die Lage von Schauspieler,"local result = Player:setPosition(objid, x, y, z)"
50071,Spieler,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Holen Sie sich das Fadenkreuz Position des Spielers,local result = Player:getAimPos(objid)
60001,Kreatur,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,Ist es für Erwachsene?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Kreatur,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,"Gesetzt, wenn Sauerstoff ist notwendig,","local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Kreatur,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed","Holen Sie sich das ID von Spielern, die Kreatur gezähmt hat","local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Kreatur,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,"Gesetzt, wenn es Panik verursacht","local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Kreatur,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,"Gesetzt, wenn AI Wirksam","local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Kreatur,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Get ID von Monster Ressource,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Kreatur,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Get ID von Monster Ressource,local result = Creature:getActorName(objid)
60008,Kreatur,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Erhöhen Sie die ModAttrib von Monster,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Kreatur,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Erhöhen Sie die ModAttrib von Monster,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Kreatur,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Stellen Sie die Kreatur Team,"local result = Creature:setTeam(objid, teamid)"
60011,Kreatur,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Stellen Sie die Kreatur Team,local result = Creature:getTeam(objid)
60012,Kreatur,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Erhalten Sie max Sättigung,local result = Creature:getMaxFood(objid)
60013,Kreatur,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",erhalten Sättigung,local result = Creature:getFood(objid)
60014,Kreatur,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Sättigung,"local result = Creature:setFood(objid, val)"
60015,Kreatur,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP erholen,local result = Creature:getHpRecover(objid)
60016,Kreatur,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Max Sauerstoffvolumen,local result = Creature:getMaxOxygen(objid)
60017,Kreatur,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Schrittgeschwindigkeit,local result = Creature:getWalkSpeed(objid)
60018,Kreatur,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Schwimmgeschwindigkeit (in Wasser),local result = Creature:getSwimSpeed(objid)
60019,Kreatur,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Sprungkraft,local result = Creature:getJumpPower(objid)
60020,Kreatur,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Gewicht,local result = Creature:getMass(objid)
60021,Kreatur,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ausweichen,local result = Creature:getDodge(objid)
60022,Kreatur,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Nahkampfangriff,local result = Creature:getPunchAttack(objid)
60023,Kreatur,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Fernangriff,local result = Creature:getRangeAttack(objid)
60024,Kreatur,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee Verteidigung,local result = Creature:getPunchDefense(objid)
60025,Kreatur,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",lag im Bereich Verteidigung,local result = Creature:getRangeDefense(objid)
60026,Kreatur,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Creature:setMaxHp(objid, val)"
60027,Kreatur,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Creature:setHP(objid, val)"
60028,Kreatur,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie HP Recovery,local result = Creature:setHpRecover(objid)
60029,Kreatur,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Sauerstoff,"local result = Creature:setOxygen(objid, val)"
60030,Kreatur,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Gehgeschwindigkeit,"local result = Creature:setWalkSpeed(objid, val)"
60031,Kreatur,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Schwimmgeschwindigkeit (in Wasser),"local result = Creature:setSwimSpeed(objid, val)"
60032,Kreatur,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Stellen Sie die Sprungkraft,"local result = Creature:setJumpPower(objid, val)"
60033,Kreatur,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set ausweich,"local result = Creature:setDodge(objid, val)"
60034,Kreatur,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Nahkampfangriff,"local result = Creature:setPunchAttack(objid, val)"
60035,Kreatur,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Distanzangriff,"local result = Creature:setRangeAttack(objid, val)"
60036,Kreatur,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set Nahkampfverteidigung,"local result = Creature:setPunchDefense(objid, val)"
60037,Kreatur,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set reichte Verteidigung,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Set Zusammenfassung UI des Kampfes,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Weltkoordinaten geändert Minimap,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Wolrd Länge geändert Minimap,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Set Minimap-Modus: 1. 45 ° Drehwinkel. 2. Voll pic Überschauwinkel,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Form-Einstellung von Kartenmarkierungen. Stellen Sie als Linie,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Form-Einstellung von Kartenmarkierungen. Stellen Sie als Kreis,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Display-Screen-Effekt,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Plaudern,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Senden Chat-Nachricht,local result = Chat:sendChat(content)
80002,Plaudern,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Senden Systemmeldung,local result = Chat:sendSystemMsg(content)
90001,Mannschaft,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Gibt die Anzahl der Mannschaften,local result = Team:getNumTeam()
90002,Mannschaft,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Holen Sie sich das designierte Spieler Team,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Mannschaft,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Holen Sie sich das designierte Spieler Team,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Mannschaft,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",zufällige Spieler,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Mannschaft,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Stellen Sie die Mannschaftswertung,"local result = Team:setTeamScore(teamid, s)"
90006,Mannschaft,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Holen Sie sich das Team der Gäste,local result = Team:getTeamScore(teamid)
90007,Mannschaft,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Erhöhen Sie die Teamwertung,"local result = Team:addTeamScore(teamid, score)"
90008,Mannschaft,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Stellen Sie die Win-los von Team,"local result = Team:setTeamResults(teamid, result)"
90009,Mannschaft,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Holen Sie sich die aktuelle Win-los von Team,local result = Team:getTeamResults(teamid)
90010,Mannschaft,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Stellen Sie die Win-los von Spieler-Team,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Mannschaft,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Stellen Sie die Gesamtzahl der Todesfälle von Team,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Mannschaft,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Holen Sie sich die Gesamtzahl der Todesfälle von Team,local result = Team:getTeamDieTimes(teamid)
90013,Mannschaft,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Erhöhen Sie die Gesamtzahl der Todesfälle von Team,local result = Team:addTeamDieTimes(teamid)
90014,Mannschaft,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Änderung des Spielerteams,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Requisiten,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Holen Sie sich den Namen des Elements,local result = Item:getItemName(itemid)
100002,Requisiten,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Holen Sie sich das ID von Artikel,local result = Item:getItemId(objid)
100003,Requisiten,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Gibt die Anzahl der dorps,local result = Item:getDropItemNum(objid)
110001,Rucksack,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Holen Sie sich das Angebot an Rucksack Leiste des ID (Start-ID ~ Ende ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Rucksack,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Ermittelt die Größe des Rucksacks Bar,local result = Backpack:getBackpackBarSize(bartype)
110003,Rucksack,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Stellen Sie den Rucksack,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Rucksack,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Entfernen Sie einige Elemente in Rucksack bar. Entfernt von Element-Slots. Alle standardmäßig entfernt,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Rucksack,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Entfernen Sie einige Elemente in Rucksack bar. Entfernt von Artikel ID. Alle standardmäßig entfernt,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Rucksack,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Klar designierter Rucksack bar,"local result = Backpack:clearPack(playerid, bartype)"
110007,Rucksack,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Alle löscht den Rucksack (einschließlich Rucksack Bar, Shortcut-Leiste ausrüsten bar)",local result = Backpack:clearAllPack(playerid)
110008,Rucksack,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Entfernen Sie Gegenstände im Rucksack. Alle standardmäßig übertragen,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Rucksack,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Exchange-Objekt Rucksack,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Rucksack,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 14",ErrorCode.OK,"Wenn es genügend Platz im Rucksack ist (einschließlich Rucksack Bar, Shortcut-Leiste) zum Speichern von Elementen","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Rucksack,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Berechnen der Gesamtzahl der verbleibenden Elemente, die den Rucksack (einschließlich Rucksack bar, Shortcutleiste) speichern kann","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Rucksack,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array","Erhalten Sie gültige Liste der Elemente ID, die bereits im Rucksack bar sind. Artikel Identifikationsnummer","local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Rucksack,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Erhalten Sie Artikel bereits in Rucksack bar. Artikel Identifikationsnummer,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Rucksack,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,"Erkennen, ob es ein benannten Artikel in Rucksack","local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Rucksack,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Holen Sie sich die Gesamtzahl der Elemente im Rucksack. Zurück zu Rucksäcken mit Artikeln,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Rucksack,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Erhalten Sie Artikel-ID und Nummer in Rucksack,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Rucksack,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Erhalten Sie Elementname in Rucksack,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Rucksack,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Holen Sie die Anzahl der Elemente in Rucksack und max nicht. von Stapeln,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Rucksack,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Erhalten Sie Artikel Haltbarkeit in Rucksack und maximale Haltbarkeit,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Rucksack,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Holen Zauber der Elemente im Rucksack. Zurück zur Verzauberung ID.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Rucksack,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Holen Sie sich das Element Werkzeugtyp in Rucksack (<0 bedeutet nicht-Werkzeug),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Rucksack,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Fügen Sie den Artikel Rucksack,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Rucksack,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Entsorgen Sie den Artikel in Rucksack,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Rucksack,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Holen Sie die Anzahl der Elemente in einem Schlitz des Rucksacks,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Minimap,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Neue Form (Linie, Rechteck, Kreis)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Minimap,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Löschen einer Form,local result = MapMark:deleteShape(shapeid)
120003,Minimap,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Stellen Sie die Form und Farbe,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Minimap,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Set Form angezeigt oder verborgen,"local result = MapMark:showShape(shapeid, showflag)"
120005,Minimap,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Update Form (Linie). In Startkoordinate und Endkoordinate,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Minimap,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Update Form (rechteckig). In Startkoordinate und Endkoordinate,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
