ID,描述
2036,"Facebook uygulaması yüklü değil, paylaşma başarısız oldu"
2037,Çeviri başarısız
2038,Çeviri
2039,kopya
2040,@1’den çeviri
2041,Çince (Basitleştirilmiş)
2042,İngilizce
2043,Çince (Geleneksel)
2044,Tay Dili
2045,İspanyolca
2046,Portekizce
2047,Fransızca
2048,Japonca
2049,Arapça
2050,Korece
2051,Vietnamca
2052,Rusça
2053,Türkçe
2054,İtalyanca
2055,Almanca
2056,Endonezya Dili
2057,Malayca
2058,@Null@
2070,Sunak
2071,Teklif
2072,Kurban
2073,@self küle yakıldı
2074,Tüylü yılan tanrısının öfkesinde küle dönüştün
2075,Yağmur ormanı
2076,Maymunun Sırt Çantası
2077,Düşük sıcaklık
2078,Orta sıcaklık
2079,Yüksek sıcaklık
2080,Sıcaklık
2081,Lütfen daha gelişmiş bir fırın kilidini aç
2082,İki birimli yakıt koymak gerekiyor
2083,Üç birimli yakıt koymak gerekiyor
2084,Üretiliyor
2085,Aynı özelliklere sahip rune taşlar zaten ekipman üzerindedir ve kazınamıyor
2086,Lütfen doğru yuvaya koyun
2087,Taş tencere
2088,Demir tencere
2089,Lütfen önce devam eden pişirmeyi durdurun
2090,"Öznitelik çakışmaları, kazınamıyor"
2091,Rune gravür
2092,Rune sentezi
2093,Araç tamiri
2094,Lütfen önce yükseltilmiş rune taşını çıkarın
2095,Rune değerlendirildi
2096,Rune taşları
2097,Sentez
2098,Lütfen aynı seviyenin rune taşlarını koyun
2099,Lütfen şenlik ateşine yakıt ekleyin
2100,Toprağı işliyor
2101,Sırt çantasında sentezle
2102,Taş ve üstü yaratma çekiç sentezi
2103,Bronz ve Yukarıdaki Yaratılış Çekiç Sentezi
2104,Demir ve Yukarıdaki Yaratılış Çekiç Sentezi
2105,Titanyum Oluşturma Çekiç Sentezi
2106,Taş tencerede pişirme
2107,Demir tencerede pişirme
2108,Karikatür
2109,Ekran görüntüleri
2110,Diğer
2111,Yakıt
2112,Hammadde
2113,Çıktı
2114,Çıktı yok
2115,Rune değerlendirmesi
2116,Yetersiz rune değerlendirme taşları
2117,Değerlendirme
2118,Kalan Rune Değerleme Taşlarının Sayısı
2119,Sırt çantası dolu
2120,Yeni Kilit Açma Tarifi
2121,"Uzun zaman önce, menşe küpü birinin Miras denilen bir mini evrenin doğumunu verdi."
2122,Miras halkı dinler ve nihayet menşe küpünden bir cevap aldı
2123,"Gizemli bir güç, bedenlerine dökülür, bu yaratılışın gücüdür."
2124,"Bu gücü toplamak için kullanırlar, build ... Hayatı daha iyi hale getirin"
2125,"Bununla birlikte, bu güç de boşluğun covetingini çekti ve dünyanın kargaşası neden oldu ..."
2126,Bu sıcaklıkta hiçbir ürün üretilmez
2127,Pişirmek için yanan bir kamp ateşi üzerinde kurulması gerekir
2128,(Devam edecek)
2129,Kökenli hikaye
2130,Lütfen sentezlenecek öğe tarifini seçiniz.
2131,Fantom'un önderliğinde olan kuvvetler alayı içeri girdi ve Mila Yıldız'ın huzurunu bozdu.
2132,Kahramanlar toplandı! Mini evrenin güçlü olanları Mila Yıldızı'nda buluşuyor ve istilayı püskürtmeye yemin ediyor
2133,Savaş başlamak üzerey ve şiddetli savaştan sonra mor tehdit nihayet gökyüzünde sürüklendi.
2134,Mila Yıldızı huzura kavuştu ama Fantom'un düşmanlığı geri döner. Hazır mısın?
2135,Temel
2136,Teçhizat
2137,Araçlar
2138,Malzeme
2139,İnşaat
2140,Dekorasyon
2141,makine
2142,"Rün Taşlarını kullanarak etkinleştirmek, güçlü rün efektleri üretecektir. İkincil malzemelerin eklenmesi, daha etkinleştirilebilir rünler üretecektir."
2143,Bu öğe tamamen etkinleştirildi. #c9a9a9aLütfen değiştirilecek etkinleştirme efektlerinden birini seçin!#n
2144,Hiçbir öğe yerleştirilmedi. Etkinleştirilemiyor.
2145,Hiçbir Rün Taşı yerleştirilmedi. Etkinleştirilemedi.
2146,#cef2d2d@1#n bu aktivasyonda rol oynamış gibi görünüyor
2147,#cef2d2d@1#n bu sefer çalışmıyor gibi görünüyor
2148,Ana Malzeme
2149,ikincil malzeme
2150,etkinleştir
2151,İkincil malzeme seçenekleri
2152,etkinleştirilebilir
2153,inaktif
2154,Aynı türden bir rune zaten mevcutdur.
2155,Savaş
2156,Araç
2157,Gerekli malzemeler eksik
2158,Pişirme
2159,Lütfen yemeği pişirmeden önce tencereden çıkarın.
2160,Lütfen daha fazla yakıt ekleyin.
2161,@1×@2'de pişirildi.
2162,Lütfen sunumları aşağıda el ile belirtilen öğe yuvalarına yerleştirin.
3000,@Null@
3001,Büyüle
3002,Yeni bir dünya oluştur
3003,Eşya çubuğu
3004,Depo kutusu
3005,Sağkalım
3006,Yaratılış
3007,Mevcut malzemelerle şunlar yapar:
3008,Eşya
3009,Bir sonraki adımı geç. Doğrudan oynamaya başlamak istiyorum
3010,Onayla
3011,Oynamak için tıkla
3012,Kullanılabilir ekipman
3013,Ekipmanlar
3014,Oyun modları seç
3015,Açıklama:
3016,Havalı bir isim gir
3017,Sil
3018,İptal
3019,Şartlar:
3020,Ödüller:
3021,Sınırlı harita
3022,Ultra büyük harita
3023,Düz arazi
3024,Ana hat
3025,Üretim
3026,Savaş
3027,Diğer
3028,Ödül al
3029,Ödül al
3030,Malzeme seç
3031,Yakıt seç
3032,Görevi takip etmesi
3033,Kilidi aç
3034,Kontrol et
3035,Ekle
3036,Gönder
3037,Davetiye gönder
3038,Arkadaş olarak ekle
3039,Arkadaş\n ve yakınlardakileri ara
3040,Büyüleme için lütfen eşya seçin
3041,Büyüsünü kaldırmak için lütfen eşya seçin
3042,Harita paylaş
3043,Büyüleme malzemeleri seçilebilir
3044,Seç
3045,Satın Al
3046,Onarmak için eşya seçin
3047,Yüklemeye devam ediyor
3048,Şimdi haritayı oluştur
3049,Haritanı paylaş
3050,Oyuna geri dön
3051,Ayarlar
3052,Ana menüsüne geri dön
3053,Oyundan çık
3054,Yükseltmeye git
3055,Depolanan hediye
3056,Depo
3057,Mayıs ayı giriş ödülleri
3058,Yükleme
3059,Satın Al
3060,Yüklemeye git
3061,Hediye al
3062,Acemi hediyeleri
3063,Görev ödülleri
3064,Haftalık ödülleri
3065,Yeni bir karakterin kilidini açtın!
3066,Yeni bir hediyeyi aktive ettin!
3067,Beğendiğin bir karakter seç
3068,Oyuna başla
3069,UID şifrele
3070,UID
3071,Şifre ayarla
3072,UID değiştir
3073,Şifre
3074,Giriş
3075,Şifreyi gir
3076,Şifreyi tekrar gir
3077,Şifrele
3078,"1. Lütfen fotoğraf çekmek, UID ve kağıt ve kalem ile şifreyi kaydetmek #n için #cef2d2d cep telefonunu kullanın
 2. Diğer cihazlarda oturum açmak için UID ve şifreyi kullanın (arkadaşlar, hesap para birimi/öğeler korunacak ve arşiv paylaşımından sonra saklanacaktır)
 3. #cef2d2d cep telefonu numarasını bağla, e-posta #n şifreyi alabilir, şifreyi değiştirebilir"""
3079,Yön tuşu ayarları
3080,Klasik modu
3081,Oyun çubuğu modu
3082,Harita arazi kodu
3083,Düzenle
3084,Yap
3085,Tamir et
3086,Wi-Fi on-line
3087,Sıcak nokta on-line
3088,3 gün satın al
3089,7 gün satın al
3090,30 gün satın al
3091,Ev Sahibinin UIDsi
3092,Oda sohbeti
3093,Oda ayarları
3094,Sohbet içeriğine girmek için tıklayın
3095,Bugün fena değil
3096,Ekle
3097,UID boş bırakılamaz
3098,Arkadaş eklemek ve birlikte oynayacak arkadaşlar bulmak için aşağıya tıklayın.
3099,ağ bağlı değil
3100,Aşağıdan arkadaş ekle
3101,(Lütfen şifreyi unutmayın)
3102,Parolalar uyuşmuyor
3103,Şifre başarıyla ayarlandı!
3104,Mini numara boş olamaz!
3105,şifre boş bırakılamaz!
3106,@Null@
3107,Yanlış cihaz ID
3108,UID veya Şifre yanlış!
3109,Hesap donduruldu
3110,Hesap bağlandı
3111,Şifre ayarlanması gerekiyor
3112,Veri güncelleme başarısız
3113,Tekrarlanmış isim
3114,UID verisi başarıyla güncellendi
3115,UID veya Şifre yanlış
3116,Hesabı ve şifreyi doğrulamanız gerekiyor
3117,Kalıcı olarak satın al
3118,gün
3119,Kalıcı olarak sahip olundu. Satın almaya gerek yok
3120,Paylaştığı haritalar
3123,İndir
3124,Şimdi arkadaş ekle
3125,Paylaştığı arşiv yok
3126,Görünüm
3127,Rol
3128,Eşya
3129,Depo
3130,Yükleme
3131,Değiştirme
3132,Lütfen önce UID bilgisini gir
3133,@Null@
3134,Mini jetonu satın al
3135,Mini jetonun güvenliğini sağlamak için UID ekleyin
3136,Sadece çok oyunculu modunda açılır
3137,"Etkinlik yakında başlayacak, lütfen bekleyin"
3138,"Yükleme başarılı, ağ nedeniyle hesaba aktarılamıyor, lütfen tekrar deneyin"
3139,7 Günlük Giriş Ödülü
3140,Haftalık Giriş Ödülü
3141,Giriş Ödülü
3142,Mini Hazine Deposu onlineda! Yeni özel görünümler sizi bekliyor
3143,Mini Fasulye elde et
3144,Bonus
3145,Başarılar
3146,1 Gün
3147,2 Gün
3148,3 Gün
3149,4 Gün
3150,5 Gün
3151,6 Gün
3152,7 Gün
3153,Lütfen bekleyin
3154,Alın
3155,5 Yıldız Aldın
3156,Zaman sınırlı
3157,Sınırlı Satışlar: bitti
3158,Alınmadı
3159,Şef rolünün kilidini açmak için 7 gün boyunca giriş yapın! #r ve haftalık giriş ödülü aç!
3160,Ödül Alın
3161,Mini jeton ile yıldızı takas et
3162,#c0aba1d odaya girdi#n
3163,#cfa7a0f odadan ayrıldı#n
3164,Not: Şifrelenmek Mini jetonun güvenliği sağlar
3165,Şifrelendi
3166,1. Gün
3167,2. Gün
3168,3. Gün
3169,4. Gün
3170,5. Gün
3171,6. Gün
3172,7. Gün
3173,Aşırı modu
3174,nın aşırılık
3175,Yeni Rekor
3176,Bu seferin skoru
3177,En yüksek skoru
3178,(Zaman aşılırsa kurtarma başarısız oldu)
3179,Kalan süresi
3180,Aşırı macera
3181,Aşırı işbirlikçi modu
3182,"#c3f4f4f Hepimizin tek bir hayatı var. #n
 #c9a9a9a(Gerçek dünya oyun değil, hayata değer vermeli!)#n
 #c3f4f4f Dünya çok tehlikeli! #n
 #c9a9a9a（açlık, boğulma, yanma, düşme, şiddet...)#n
 #c3f4f4f Yaratıcılığınızı kullanın ve kendinizi tehlikelerden korumayı öğrenin#n#r
 #cfa7a0f Sınıra meydan okumak için cesur olun!
 (Şu an işbirlikçi modu mevcut değil) #n"
3183,"Aşırı modunda çevrimiçi işbirlişçiliğin özellikleri: #r1. Yalnızca bir can, ancak başarısızlıktan sonraki belirli bir süre içinde takım arkadaşları tarafından diriltilebilir #r2. Daha güçlü canavarlar #r3. Açlık başarısızlığa yol açar #r4. Başarılar ve puanlar alınamıyor #r #rMümkün olduğunca uzun süre risk alın ve limite meydan okuyun! #rBaşarısız bir takım arkadaşına karşı toplanmak onu canlandırabilir."
3184,Arşiv kilitli ve giriş yapılamaz
3185,SMS Ödemesi
3186,Diğer ödeme türleri
3187,Aşırı
3188,Kollektör Verici
3189,Fırlatıcı
3190,Yeniden oyna
3191,Oyun bitti
3192,Aşırı skor:
3193,Simülasyonu macerası
3194,Oluşturma Modu
3195,Simülasyon macerasına başarıyla geçildi
3196,Oluşturma moduna başarıyla geçildi
3197,Ara
3198,Arama sonuçları
3199,Yedek
3200,Yedek
3201,İpuçları:
3202,İnek ve koyunların dikkatini çekmek için #cffda0a bir avuç #n avuç dolusu
3203,#cffda0a Şeker Besleme #n ile besleme ve taze süt elde etmek için üzerlerinde küçük cam şişeler kullanın.
3204,"Bir kafes su, çevredeki dört kafestaki #cffda0atarım arazi、toprak çukuru#n sulayabilir"
3205,#cffda0aPatlayan yumurta#n patlarken. Onu durdurmak için uzak durabilirsin
3206,(Macera Modu) Ekipmanlar artık sadece malzemeler veya yıldızlarla onarılabiliyor!
3207,"#cffda0aKarpuz#nu parçalamaktan tam bir karpuz elde dilemez, sadece #cffda0akarpuz dilimi#nkalır"
3208,"#cffda0aFlamasian#n'ın gözlerine bakma, onu rahatsız ediyor gibi görünüyor"
3209,#cffda0aYandığın#n zaman. Suya atla
3210,"Garip dirseği ye, kalan #cffda0akemik#n ile kurda tıkla, onu evcilleştirme şansı var"
3211,"Bir sorunla karşılaştığınızda aileniz ve arkadaşlarınızla konuşun, çünkü her zaman zorluklardan çok çözümler vardır!"
3212,"Macera modunda olan gece, canavarların saldırmasını önlemek için bir ev inşa edin veya bir çukur kazın"
3213,"Aynı WİFİ ağday ise, #cffda0akişisel erişim noktası#n ile işbirlikçilik moduna girebilirsiniz"
3214,Canavar karanlıkta görülebilir. Yeterince aydınlık tutulması lazım
3215,Yer altında cevher ararken ayağınızın altındaki lava dikkat edin
3216,"Macera modu, çok uzun süre aç kalmak can değerini düşürür"
3217,İki pengueni aynı anda top fasulye ile beslemek bebek penguenleri doğuracak
3218,Ayarlarda hareketin kontrol yönetmini değiştirebilirsiniz.
3219,"Ayarlarda, kendi rolünüzü görmek için bakış açısını değiştirebilirsiniz."
3220,"Ekranın karanlık olduğunu düşünüyorsanız, ayarlardan ekran parlaklığını ayarlayın."
3221,"4G, oda bağlantısını ve sesli sohbeti kullanabilir, ancak hücresel tüketir"
3222,"Harika bir bina oluşturduysanız, herkesin görmesi için arşivi paylaşabilirsiniz."
3223,"İlerlemenizin sunucuya kaydedilebilmesi için, kayıtlı haritanızın #cffda0acloud yedeğini#n düzenli olarak oluşturmayı unutmayın! Onu kaybetmeyeceksin!"
3224,"Önce ödevini tamamla, sonra Mini World size daha eğlenceli olacak"
3225,"Patlama yumurtası ses çıkardıktan sonra sürpriz yapacak, koş!"
3226,Yaratma modunda sınırsız kaynaklar var ve inşaat için daha uygundur
3227,"Yatakta dinlenin, evinizin konumunu kaydedebilirsiniz"
3228,"Kırılmış taşı kazın, kayayı bölün, taş, taş ve #cffda0a elde edin #n ortak aletler halinde işlenebilir"
3229,Alet kutusu daha fazla araç ve eşya sentezleyebilir
3230,"Haritada sırt çantasını açın, soldaki düğme ile ekipman arayüzünü açabilir"
3231,"Harita arşivinde sağa kaydırın, sil ve paylaş düğmeleri görünecektir."
3232,"Bir ev inşa ederken köşelerin parlaklığına dikkat edin, karanlıkta küçük canavarlar ortaya çıkabilir"
3233,"İşbirlikçilik modunda ağ sağlam değil, uzaylılar rastgele girecek"
3234,"Telefonunuzla çok uzun süre oynamayın, aynı zamanda dinlenin ve egzersiz yapın"
3235,Paylaşılan arşiv diğer arkadaşlar tarafından indirilebilir
3236,"Arkadaşınızın odasına girin, birlikte inşa etmek yıkmaktan daha iyidir."
3237,İyi bir haritayla karşılaşınca beğen ve arşivle
3238,Gelişmiş ayarlarda görüş alanı azaltılarak akıcılık artırılabilir
3239,"Çok sayıda oda olduğunda, yerini hızlıca bulabilmek için sahibinin UIDsini girin."
3240,Başarıyla oyun moduna dönüştürüldü
3241,Başarıyla düzenleme moduna dönüştürüldü
3242,Etkinleştir
3243,Sensör
3244,Başlık için en fazla 10 karakter.
3245,"Eşya reyonu, çekilemez"
3246,Açıklamayı girin
3247,Tüm minyatürleri siliyor musunuz?
3248,"Hatalı eklenti dosyaları, lütfen tekrar giriş yapın"
3249,@Null@
3250,"Hesap sunucusu yanıt vermiyor, lütfen ağı kontrol edin ve tekrar deneyin"
3251,"Ağ bağlantısı yok, lütfen ağı kontrol edin ve tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3252,"Ağa bağlanmaya çalışıyor, lütfen daha sonra tekrar deneyin (zh)"
3253,"Ağa bağlanmaya çalışıyor, lütfen ağı kontrol edin ve tekrar deneyin (zh)"
3254,"Ağa bağlanmaya çalışıyor, daha sonra tekrar deneyin (zh)"
3255,"Arşiv sunucusu yanıt vermiyor, lütfen ağı kontrol edin ve tekrar deneyin"
3256,"Ağ bağlantısı yok, lütfen ağı kontrol edin ve tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3257,"Arşivlenmiş veri hatası, lütfen daha sonra tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3258,"Arşivlenen veriler anormal, lütfen daha sonra tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3259,Lütfen ağın normal olup olmadığını kontrol edin ve daha sonra tekrar deneyin (cd)
3260,"Ağa bağlanmaya çalışıyor, lütfen ağı kontrol edin ve tekrar deneyin (fz)"
3261,"Ağa bağlanmaya çalışıyor, lütfen ağı kontrol edin ve tekrar deneyin (fz)"
3262,"Ağa bağlanmaya çalışıyor, lütfen daha sonra tekrar deneyin (fz)"
3263,"Ağa bağlanmaya çalışıyor, lütfen daha sonra tekrar deneyin (fz)"
3264,"Lütfen ağın normal olup olmadığını kontrol edin, daha sonra tekrar deneyin veya müşteri hizmetleri (fz) ile iletişime geçin."
3265,"Ağa bağlanmaya çalışıyor, lütfen ağı kontrol edin ve tekrar deneyin (jy)"
3266,"Ağa bağlanmaya çalışıyor, lütfen ağı kontrol edin ve tekrar deneyin veya müşteri hizmetleri ile iletişime geçin (jy)"
3267,"Ev veri hatası, lütfen ağı, cep telefonu saatini kontrol edin ve tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3268,"Ev verileri anormal, lütfen şebekeyi, cep telefonu saatini kontrol edin ve tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3269,Lütfen ağın normal olup olmadığını kontrol edin ve daha sonra tekrar deneyin (jy)
3270,Başarılı oturum açma (bhxs)
3271,"Şifre yanlış, lütfen UID ve şifrenin doğru olup olmadığını kontrol edin"
3272,"Ağ sağlam değil, lütfen ağ ve UID normal olup olmadığını kontrol edin"
3273,Lütfen UID'ye değer verin ve değişiklik ve çatlamalardan uzak durun!
3274,"Yinelenen hesap adı, lütfen adı değiştirin"
3275,"Lütfen önce kişisel bilgilerinizi girin, hesap şifrenizi doğrulayın"
3276,@Null@
3277,@Null@
3278,Reserve et
3279,Reserve et
3280,Alınamıyor. Lütfen daha sonra tekrar deneyin
3281,Mini jeton yetersiz. Lütfen yükleme yapın
3282,"Satın alma sınırlandırıldı, lütfen diğer ürünleri seçin"
3283,"Hesap etkinleştirilmedi, lütfen önce hesabı etkinleştirin"
3284,Yetersiz miktar
3285,Sınırlı satın alma süresi içinde değil
3286,Yanlış aktivasyon kodu
3287,Aktivasyon kodu kullanıldı
3288,Geçersiz aktivasyon kodu (def)
3289,"Ödül alındı, lütfen tekrar kullanmayın"
3290,"Lütfen ağı kontrol edin ve tekrar deneyin, müşteri hizmeti QQ: 800800864- yükleme sorunu bildirme"
3291,Lütfen bakiyeyi kontrol edin ve tekrar deneyin (ödeme kensinti başarısız oldu)
3292,Yanlış sürüm. Lütfen en son sürümü indirin veya müşteri hizmeti ile iletişime geçin.
3293,Kalan süre yok
3294,"Yüklemej ile ilgili bir sorun çıkarsa, aşağıdaki yöntemlerden müşteri hizmetleri ile iletişime geçebilirsiniz:
 1. Müşteri hizmetleri e-postası: miniworldcustomerservice@gmail.com
 
 2. Facebook:
 https://www.facebook.com/miniworldtech/
 
 3. Twitter:
 https://twitter.com/miniwantech
 Sorunu daha etkin bir şekilde çözmek için lütfen UID'iniz ve yükleme kesinti fişinin ekran görüntüsünü müşteri hizmetlerine gönderin"
3295,Reserve et
3296,"Meyve veri yanlış, lütfen ağı, cep telefonu saatini kontrol ettikten sonra tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3297,"Meyve pozisyonu yanlış, lütfen telefonu yeniden başlatıp tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3298,"Meyve durumu yanlış, lütfen ağı, cep telefonu saatini kontrol ettikten sonra tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3299,Mini fasulye kesintisi başarısız oldu
3300,Hazine sandığa karşı bir açıklama yok
3301,Hazine sandığa karşı bir açıklama yok
3302,Reserve et
3303,Reserve et
3304,Arşivleniyor ve diğer işlemler geçici olarak kullanılamıyor
3305,"Lütfen ağın normal olup olmadığını kontrol edin, daha sonra tekrar deneyin veya müşteri hizmetleri ile iletişime geçin."
3306,"Etkileşim çok sık, lütfen rahatlayın ve ritmi yavaşlatın (cx)"
3307,"Veri hatası, lütfen müşteri hizmetleriyle iletişime geçin (cx)"
3308,"Bugün elde edilen ödüller üst sınıra ulaştı, lütfen yarın tekrar gelin~"
3401,"Ödül başarıyla alındı, lütfen depoda kontrol edin"
3402,"Ödül alınamadı, lütfen daha sonra tekrar deneyin"
3403,Ödül al
3410,Resmi Web Sitesi
3411,Alındı
3412,Süresi doldu
3413,Cep telefonu
3414,E-posta
3415,Bağla
3416,Bağlandı
3417,Doğrulama kodu al
3418,Doğrulama kodu
3419,Hatalı telefon numarası
3420,Hatalı E-posta
3421,Yanlış doğrulama kodu
3422,UID yönet
3423,Bağla
3424,Telefonu bağla
3425,E-postayı bağla
3426,Gizemli ödülü almak için cep telefonunuzu veya e-postanızı bağlayın! Ayrıntılar için hediye arayüzüne bakın
3427,Doğrulama kodu gönderildi
3428,Bağlama başarılı
3429,"Cep telefonu numarası/e-posta zaten diğer UIDya bağlandı, tekrar bağlanamaz"
3430,göndermek
3431,Doğrulama kodu gönderildi
3432,Lütfen doğrulama kodunu sık sık almayın
3433,Alınamadı
3434,Bağlı değil
3435,Bu hesap daha önceden bağlandı
3436,Bağlanamadı
3437,@Null@
3438,@Null@
3439,@Null@
3440,"Doğrulama kodunun süresi doldu, lütfen yeniden edinin"
3441,Sınırlı süreli satın alma: bitti
3442,Oyunu başlat
3443,Çoklu oyuncu salonu
3444,Benim evim
3445,Hesap ayarları
3446,Lütfen arşivin dışında ayarlayın
3447,Profil
3448,FAQ
3449,Duyuru
3450,Bonus
3451,Etkinlik
3452,Git
3453,Duyuru
3454,Veri
3455,Albüm
3456,Profili düzenle
3457,Gönderiler:
3458,Unvan:
3459,Ajans:
3460,Mevcut değil
3461,Yönet
3462,Varsayılan klasör
3463,Bağlantısı yok
3464,"--- Kişisel merkez geliyor!
 
 1. Artık arkadaş ve fan sayısı kişisel merkezde gösterilecek
 
 2. Oyuncular, mini jetonlar aracılığıyla özel avatar işlevini kalıcı olarak açabilir
 
 3. Albüm ücretsiz olarak 3 kare için kullanılabilir ve kalan her karenin kilidini açmak için 5 mini jeton harcaması gerekir
 
 4. Oyuncular, düzenle butonunu kullanarak kendi detay kartlarını ayarlayabilirler"
3465,Erkek
3466,Kadın
3467,Diğer
3468,Değerlendirme başarısız
3469,Değerlendirilemedi
3470,Profil resimi yükle
3471,Kilitli
3472,Şimdi özel bir avatar açmak istiyor musunuz?
3473,Avatar yükleme işlevinin kilidini açtınız!
3474,"Kilit açma başarısız, lütfen daha sonra tekrar deneyin."
3475,Yeni bir albüm konumunun kilidini açmak istiyor musunuz?
3476,Yeni bir albüm konumunun kilidini açtınız!
3477,Mini World yayıncıları için özel avatar çerçevesini kullandınız!
3478,Yalnızca Mini World yayıncıları için kullanılabilir
3479,Bu özellik henüz açık değil.
3480,"Henüz bir resim yüklemediniz, bir göz atın!"
3481,Kontrol et
3482,Yüklemek için tıkla
3483,Değiştir
3484,Sil
3485,İptal
3486,Onayla
3487,Takma isim
3488,Cinsiyet
3489,Profil resmi düzenleme
3490,Yayıncını Özel Avatar Çerçevesi
3491,Yayıncı
3492,Varsayılan
3493,Arkadaşın UID'si
3494,Yardım
3495,简体中文
3496,English
3497,繁體中文
3498,"Dili değiştirmek için oyunu kapatın ve yeniden başlatın. (iOS kullanıcılarının bunu manuel olarak yapması gerekir.)
Close and restart the game to switch language. (iOS users need to do it manually.)"
3499,Dil
3500,Alet kutusu
3501,Eritme ocağı
3502,Tamir masası
3503,Binek özellikleri
3504,Başarı
3505,Soğutuyor
3506,Çağrılabilir
3507,Oda QR Kodu
3508,Odaya hızlıca girmek için tarayın
3509,Davet Kodu
3510,Linki paylaş
3511,"Woooooo~Çocuklar, Mutlu Noeller! gel eşyalarıma bakın"
3512,Yeni Yılınız Kutlu Olsun ve zengin olsun! Gel eşyalarıma bir bakın
3513,Daha fazla harita
3514,Deponuz boş!
3515,Henüz herhangi bir haritayı takip etmediniz
3516,"Ağınız sağlam değil, lütfen daha sonra tekrar deneyin"
3517,"Bakın, yeni bir görev yayınlandı!"
3518,(Ücretsiz)
3519,Acemi sorular
3520,Gelişmiş sorular
3521,Bize ulaşın
3522,Mini Kaptan
3523,%@1 indirim
3524,Orijinal fiyat:
3525,Mahsul
3526,Alet
3527,Ivır Zıvır
3528,Bloklar
3529,Düzenle
3530,Lütfen #cef2d2dmouse#n'yi @name'ye dönüştür
3531,"Karakterin hareketini kontrol etmek için #cef2d2d ""W S A D"" #n tuşuna basın"
3532,"Karakterin ilerlemesini kontrol etmek için lütfen #cef2d2d ""W"" #n tuşunu basılı tutun"
3533,Karakterin geriye doğru hareket etmesini kontrol etmek için lütfen #cef2d2d“S”#n tuşuna basın
3534,"Karakterin sola hareketini kontrol etmek için lütfen #cef2d2d ""A"" #n tuşuna basın"
3535,"Karakterin sağa hareketini kontrol etmek için lütfen #cef2d2d ""A"" #n tuşuna basın"
3536,Kapat
3537,Lütfen kristali seçmek için numara#cef2d2d“1”#n tuşuna basın
3538,@Null@
3539,Hedef noktayı hedeflemek için #cef2d2d farenin sağ tuşuna#n tıklayın
3540,@name ile yiyecek toplayın
3541,Sırt çantasını açmak için #cef2d2d“B”#n tuşuna basın
3542,Eşyaları seçmek için #cef2d2d fare sol düğmesini#n kullanın
3543,Ardından kısayol'daki eşyaları seçmek için #cef2d2d fare sol düğmesini#n kullanın
3544,Bugünkü tıklama:
3545,Daha fazlasını göstermek için Alt tuşuna basın
3546,Devre dışı bırakmak
3547,Yasağı kaldır
3548,LAN bağlantısı
3549,Ağ bağlantısı
3550,"Ultra geniş görüş, yüksek yapılandırma gerektirir"
3551,Geniş vizyon için daha yüksek yapılandırma gerekir
3552,En iyi sahne. Bir çok cihaz ile uyumludur
3553,Dengeli akıcılık ve vizyon. Bir çok cihaz ile uyumludur
3554,En akıcı. Küçük RAM’li cihazlar için uygundur
3555,Açmak/kapatmak için TAB tuşuna basın
3556,Bahar Festivali Etkinliği
3557,Bahar Festivali Paylaşma Etkinliği
3558,"1. Özel bağlantınızı paylaşın, diğer ortaklar sayfayı açmak için bağlantınızı tıklar\n2. Etkinlik sırasında bir ortağın IP'si yalnızca bir kez tıklanabilir ve birden fazla kişiye tıklamak geçersizdir\n3. etkinlik /25/58 kez her biri ödülü bir kez alabilir"
3559,Yukarıya doğru yüzmek için Atlama düğmesini basılı tutun
3560,Boşluk tuşuna basılı tutarak ileri yüzün
3561,Yoklama
3562,Telefon doğrulama
3563,Telefon numarası
3564,Onay kodunu gir
3565,Giriş yap
3566,UID @1'e başka bir cihazdan giriş yapılıyor. Lütfen ilk olarak telefon numaranızı doğrulayın.
3567,Epostanıza gönderilen kod ile şifrenizi sıfırlayın. Eğer mail gelmediyse lütfen spam kutusunu kontrol edin.
3568,Cep telefonu doğrulaması ile hesabınızı geri alıyorsunuz/şifrenizi yeniden ayarlıyorsunuz
3569,Wifi'ya geçiliyor
3570,Yanlış doğrulama kodu
3571,Şifrenizi unuttuğunuzda giriş yapabilmek ve başka cihazlardan da bağlanabilmek için UID'nizi epostanıza bağlamanızı şiddetle öneririz.
3572,Etkinlik birikimi:
3573,Geri dönüştürülüyor
3574,(Lütfen kilidinin açık olduğundan emin olun)
3575,Lütfen şifrenizi yeniden ayarlayın
3576,QQ cüzdanı
3577,Bu telefon bir mini numaraya bağlı değil
3578,QQ Cüzdan ödemesi geçici olarak kapatıldı
3579,QR kodunun süresi doldu!
3580,Minyatür Tezgah
3581,Minyatür adı
3582,Mutlu Bahar Festivalleri! Başarı ve bol şans seninle olsun.
3583,@Null@
3584,Kısayol tuşları
3585,Boş
3586,Bu anahtara çevrilemiyor
3587,Anahtar uyuşmuyor
3588,(@1 sn içinde otomatik kapanacak)
