ID,名称,文本,作者
87,Kỉ Niệm Cùng Mini World,"Vào năm 2020, lúc mình xem trên youtube của mấy youtuber nổi tiếng. Mình thấy họ chơi trò chơi mà mình cũng thấy hay, tên trò chơi ấy là Mini World. Lúc mình mới chơi, có khoảng 1 thời gian dài mình tìm hiểu về cách lập tài khoản, cách sử dụng vật phẩm, cách mua đồ. Lúc đó, mình nhận ra rằng là hầu hết skin trong mw là phải mua bằng xu, có nghĩa là phải nạp, lúc đó, mình ko có chút tiền nào. Nhưng trong cái rủi còn có cái may, khi mình đăng nhập khoảng 30 hay 31 ngày gì đó, mình đã có tận 2 con skin và 1 con thần thú voi dễ thương, mặc dù 2 skin đó là 2 skin nữ nhưng đó là lần đầu tiên mình có skin và mình sẽ ko bị gọi là nhà nghèo nữa.",Nguyễn Gia Huy
88,Confession MiniWorld,"Hi chào các bạn 
Lần đầu mình gặp mini world trên youtube từ kênh Lucy Yagami . 
Game có đồ họa 3D dễ thương , có những khối vuông lạ mà mình chưa từng thấy . Có những người bạn cùng nhau sinh tồn , sáng tạo , xây nhà , biệt thự,....,,.....vv. Và rất vui luôn
các bạn rất hiền còn cho mình đồ nữa.
Khi mình thấy khu Garden mình bấm vô thử thì........ Wowwwwwww dễ thương quá có cây , quả ....... Lúc đó mình thấy lever 1 không biết gì luôn làm theo hướng dẫn thì nó tăng EXP và Đậu Mini.
Ya! Hết rồi
Mong mọi người sẽ thấy bài của mình
I Love Mini World ",Vô danh
89,Confession MiniWorld,"VD như bạn và người đó sẽ hết thân khi cả 2 cùng chơi game khác không hợp ý nhau nữa hoặc bạn và người đó có xích mích nho nhỏ nào đó thì tình bạn cũng có thể rạn nứt từ đó mà ra , cũng có thể nhầm lẫn cũng dễ bị mất tình bạn nhé mọi người ơi , bạn bè xa hay gần thì nó cũng như nhau thui quan trọng mình và họ có thể tiền triển làm bạn lâu bền hay không thui chứ KHÔNG dễ gì mất 1 tình bạn đang bền lâu dài đâu nhé hihi  với lại tình bạn có rất nhiều nên mọi người hãy lựa bạn bè tốt mà chơi đừng chơi với 1 kẻ xấu thì bạn cung sẽ mau biến thành kẻ thứ 2 đó thui nhé , hãy là chính mình dù bạn chơi xấu hay hiền thì bạn vẫn sẽ biết làm thế nào mà phải không  ????",CFS14
90,Confession MiniWorld,"Bạn bè thứ ai cũng có phải không nè có thể có nhiều bạn có bạn bè gần lẫn bạn bè xa , nhưng đói với tui thì bạn bè qua game tui hơi bị nhiều luôn đó vừa có thể kết thân anh em vui vẻ như 1 gia đình thứ 2 qua game vậy đó ? nhưng cũng sẽ có nhiều điều làm bạn sẽ mất tình bạn đó",CFS14
91,Confession MiniWorld,"Có nhiều bạn có thể rụt rè bên ngoài  như trong khi ở 1 thế giới game nào đó họ luôn rất tự tin luôn tỏ sáng hết tất cả những gì mình có ! Họ yêu game chứ họ chưa từng nghiện nó nhưng đói với nhiều người lớn thì việc chơi game ảnh hưởng đến sự học tập hay kiến thức gì đó ?
 Như còn đói với mình thì việc chơi game không ảnh hưởng gì cả cũng không nghiện gì hết ! chơi game mình vừa học hỏi thêm nhiều điều mà bên  ngoài mình có thể không nhận biết được sớm hơn ..... như việc quản lí 1 tập thể ra sao , kết bạn bè xa thế nào , vậy việc chơi game nó đau ảnh hưởng như nào cả  đúng không.",CFS14
92,Kỉ Niệm Cùng Mini World,"Mini world là tựa game đã gắn bó với tôi 3 năm tôi bắt đầu lập acc vào khoảng năm 2020 nhưng bt đến game vào hồi năm 2019 ,  tôi bt đc game nhờ chị tôi lúc đó chúng tôi chẳng bt j cả chúng tôi lên youtube tìm kiếm cách chs , ms đầu tôi và cj tôi còn bị anh họ của tôi lừa ns ông thương nhân là quái vật ăn thịt... Lúc đó chúng tôi sợ lắm vì đang chơi game vào ban đêm còn đây thì là game cho con nít sao mà cs quái vật ăn thịt .... đc nhưng sao một hồi chơi thì chợt nhận ra mình đã bị lừa :))) Sau khi chơi đc 3 tháng thì chúng tôi nhận ra miniworld cs thể đưa chúng ta lên mặt trăng . Đi lên mặt trăng xong r thì lại đánh boss nhưng chúng tôi lấy súng đánh suốt gần 1h nhưng nó lại ko mất máu ? Thì phát hiện ra mình chx áp dụng công thức :)) Tôi cx ko ngờ thời gian trôi qua nhanh như v , đã 4 năm trôi qua và bây giờ tôi đã trở thành 1 youtuber quèn chuyên lm về sinh tồn miniworld . Thời gian đã trôi qua rất nhanh...",Trann Khangg
93,Kỉ Niệm Cùng Mini World,Mini world là một tựa game em yêu thích nhất và là một game em chơi đầu tiên mà em thấy nó rất vui và thú vị lắm.,Thảo Hiền
94,Kỉ Niệm Cùng Mini World,"Mini world!!
Mini world là tên game em hiện tại em đang chơi. Em chơi hồi năm 2020, lúc mới chơi thì em không biết sáng tạo là gì, sinh tồn là gì. Em chỉ vô chơi và làm theo hướng dẫn của game. Lúc đầu chơi sinh tồn em không biết làm bàn chế tạo để chế tạo đồ. Mà khi trời còn sáng thì em đi chặt cây rồi làm những vật dụng gì mình có thể làm được, em không biết nó có ích hay không, em chỉ lo chế tạo. Lúc trời tối thì em đi đào hàng nấp. Tới sáng em cũng không dám lên, ... Đó là khi em mới chơi Mini World... Nhưng bây giờ thì em biết thế nào là sáng tạo, thế nào là sinh tồn, bây giờ em cũng đã có một con map sinh tồn riêng của em- một ngôi làng vui vẻ. ",Thảo Hiền
95,Kỉ Niệm Cùng Mini World,"Mình rất cảm ơn game,bạn bè,tất cả mọi người vì đã tạo ra những kí ức đẹp cho tuổi thơ của mình.I love all you guys",Cuongg Phii
96,Kỉ Niệm Cùng Mini World,"Sau 4 năm chơi game,4 năm học cấp 2 của mình,mình rất cảm ơn Mini World đã đưa mình và bạn bè đến với nhau,mình rất cảm ơn game vì thời gian qua,mặc dù game còn lỗi,bug,và nhiều thứ khác nhưng mình không thể phủ nhận sự to lớn mà game tạo ra cho mình trong thời gian qua.",Cuongg Phii
97,Kỉ Niệm Cùng Mini World,"Từ những kỉ niệm đẹp trong game,mình thấy rằng game là 1 công cụ nào đó đưa chúng mình đến với nhau để tạo ra cho nhau những kỉ niệm đẹp,đặc biệt cùng nhau.Sau đó,sau 3 năm chơi game,mình quyết định kiếm cho mình 1 team để chơi cùng.Team mình chơi game với nhau 1 cách rất vui vẻ,tụi mình tạo ra cho nhau những kỉ niệm với game đẹp,và mình rất trân trọng nó,đến bây giờ,tụi mình mặc dù chơi game ít đi nhưng kỉ niệm mà bọn mình tạo ra cùng game,nó là những thứ mà chúng mình luôn trân trọng và chân quý nó.",Cuongg Phii
98,Kỉ Niệm Cùng Mini World,"Hè năm 2020,mình đã gặp 1 người bạn quan trọng nhất trong thời kì chơi MW của mình.Khi đó,mình vẫn đang chơi trên sảnh liên thông bình thường,và khi bạn ấy vào,mình nói chuyện làm quen với bạn ấy,mình thấy mình và bạn ấy rất hợp nhau.Khi đó,bọn mình có 1 nhóm bạn chơi cùng nhau,bọn mình cùng chơi qua các map thú vị,từ parkour cho đến sinh tồn,bọn mình đã tạo ra rất nhiều kỉ niệm cùng nhau. Nhưng rồi sau đó,bọn mình cũng không chơi với nhau nữa,và mình vẫn còn giữ liên lạc với bạn nữ ấy,vẫn chơi với nhau vì mình thấy bọn mình khá hợp nhau.",Cuongg Phii
99,Kỉ Niệm Cùng Mini World,"Sau khi bạn thân nghỉ game, mình chủ yếu là đi chơi ở những phòng trong sảnh liên thông,ví dụ như map đám cưới.Map đó đã cho mình rất nhiều kỉ niệm,vui có,buồn có và những khoảnh khắc dở khóc dở cười nữa.Và khi hết năm 2019,với những bản cập nhật thú vị của game,nhất là bản cập nhật thay đổi giao diện game,mình thấy game đã phát triển và thú vị hơn rất nhiều.Và khi đến năm 2020,mình có rủ bạn học của mình chơi mw.Mình và thằng bạn,2 thằng cùng nhau học tập và chơi game với nhau,và game như một thứ để gắn kết tình cảm bạn bè của bọn mình vậy.Bọn mình chơi cùng nhau sinh tồn,parkour,nó rất là vui,2 bọn mình từ game đã trở nên thân thiết hơn,từ đó mà thành tích học tập của 2 đứa cũng trở nên tốt hơn,nó thực sự đối với mình;là điều rất là đặc biệt.",Cuongg Phii
100,Kỉ Niệm Cùng Mini World,"Thực sự mình đa trải nghiệm sinh tồn 1 tháng,nó để lại cho mình một cảm giác gì đó rất thú vị,rất phấn chấn khi vào thế giới sinh tồn của mình. Nó là một cảm giác cuốn hút mà mình không thể tả nổi được,nó rất khó nói ra cảm giác đấy.Và sau 1 tháng đó,mình đã khám phá sảnh liên thông.Lúc đầu mình không chú ý lắm đến chức năng này,mình chỉ vào nhận quà rồi sau đó vào thế giới sinh tồn của mình. Nhưng sau khi khám phá ra sảnh liên thông,mình đã tìm thấy người bạn đầu tiên của mình. Từ khi chơi với bạn ấy,mình cảm giác có cảm giác có người đồng hành,có người chơi cùng một trò chơi,cảm giác đó rất là vui và đặc biệt đối với mình.",Cuongg Phii
101,Kỉ Niệm Cùng Mini World,"Chào mọi người ^^
Hôm nay mình sẽ kể vể quá trình biết đến và trải nghiệm trong thời gian 4 năm qua của mình đối với game.
Đó là một tháng 9 năm 2018.Lúc đó,có người anh họ của mình qua chơi,lúc đấy thì anh lôi đt ra,mà mình cũng mê nên cũng đã xem anh ấy chơi,và mình thấy anh ấy chơi 1 game mà mình nhìn tưởng Minecraft,hóa ra lại là cái tên xa lạ với mình thời đó,tên là Mini World.Mình thấy rất thích thú với cách chơi của nó,nhưng do mình hồi đó chưa có điện thoại nên chưa trải nghiệm được nó.Và đến ngày 31/12/2018,mình đã tải thử về để trải nghiệm game.Ấn tượng đầu tiên mà mình nhìn thấy trong game là sự khác biệt của nó. Nó không phải là một bản sao của Minecraft,mà là một game hoàn toàn khác.",Cuongg Phii
102,Kỉ Niệm Cùng Mini World,"Chơi đươc vài ngày thì mình chán và xóa game vì chơi mọt mình chán ( lúc đó mình không biết là MW có thể chơi chung nhiều người á). Khoảng vài tháng sau đó , mình lại lên Google search “ Game sinh tồn chơi cùng bạn bè” thì nó tiếp tục ra hàng loạt các game , nhưng mình lại nhìn thấy game MW lúc đó mình kiểu:
-Ủa gì kì dạ ? ủa
Thì mình mới lên Youtube và gõ “ Game Mini World” sau một hồi mình lướt thì thấy một video “ Cách chơi chung với bạn bè trong MW” thì mình liền bấm vào xem ( tiếp theo thì tự hiểu đi nha  )
Và từ khi đó mình đã chơi MW đến bây giờ , là được 2 năm rồi",Vũ Kha
103,Kỉ Niệm Cùng Mini World,"Sau khi tải game xong em mở game lên và em làm theo hướng dẫn của game và vào Memu chính của game , lúc ấy em mơ mơ màng màng trước giao diện của game , nó đẹp lung linh làm cho em như lạc vào trốn Thiên đàng vậy . Sau đó em thấy chữ “Bắt đầu” nên click vào và bấm vào chữ “ Tạo thế giới mới” và em chọn chế độ sinh tồn . Vừa vào thì đạp vào mắt em là một vùng đồng bằng với những con heo , gà , bò , v.v làm cho em cảm thấy game như thật , cây lá khá lạ . Tới tối thì xuất hiện mấy con quái lúc ấy em không biết làm như nào nên đã đào chui xuống đất trốn ( còn tiếp theo như nào thì chắc ai mới chơi lần đầu như mình thì sẽ hiểu nhé).",Vũ Kha
104,Kỉ Niệm Cùng Mini World,"Bổng một hôm đầy sự chán nản và buồn tẻ thì em lên Google search “Game sinh tồn hay nhất” thì nó xuất hiện hàng loạt các tựa game như: Minecraf , v.v nhưng Mini World lại thu hút sự chú ý của em hơn em thấy link trang chủ của Mini World thì liền bấm vào và nó đưa em tới trang chủ của Mini World em đọc phần giới thiệu game của MW thì em cảm thấy rất là thú vị và muốn trải nghiệm thử nên quyết định tải về chơi thử coi game nó như thế nào",Vũ Kha
105,Kỉ Niệm Cùng Mini World,"Hôm đó, Mini World đã được tải về một cách nhanh chóng , mở game với sự háo hức . 'Waa hình đẹp thế ' là câu nói đầu tiên khi mở đc game . Lúc mới vào đã có phần giới thiệu và cách chơi , với tính tò mò , thấy nút nào là nhấn .-. thật lạ là nhờ những lần bấm loạn đó tui đã biết tạo map , tự tạo cho mình một map sinh tồn . Map đã được tạo ra nhanh chóng , bắt đầu khám phá thôi ! toi bắt đầu đi xung quanh và khám phá , vì mới chơi lên di chuyển thật khó .. làm gì cũng phải một lúc mới được , đến buổi tối , tui thấy mý bé dã nhân và bé trứng boom quá trời , không chạy vì tui cứ tưởng đó là bạn , thấy trứng boom khá lạ nên đến gần xem thử và cái kết , bé boom nổ cko banh xác . Thật lạ lùng là sau khi chết tui vẫn tưởng mình làm sai nên mấy bé mới nổi giận , lại lần lữa đến gần và kết quả vẫn vậy . Lần này đã rút kinh nghiệm , không đến gần nữa , sau đó vì mới chơi không biết làm j khác ngoài đi , chạy và nhảy , thật nhanh trí là xém chết thì toi đã nhanh tay dùng gỗ đào được lấp lại xung quanh mà thế nào con quái lại đứng trên đầu và cầm sẵn cây giáo đợi và kết quả vẫn ..=)) . Sau nhiều lần chết vì sự bất cẩn và sự tò mò , tui cũng đã biết được khá nhiều điều . Cuộc phiêu lưu chính thức bắt đầu ! Toi đã khá thành thạo cách chơi sau một ngày chủ nhật , tui đã học được cách kết bạn , cách để chơi cùng bạn bè nè..",Tieu Bunny
106,Kỉ Niệm Cùng Mini World,"Umm .. hôm nay mình lên đây với mục đính là muốn kể cko mọi người về những kỉ niệm của mình với tựa game có tên 'Mini World' , tựa game đã gắn liền với mình gần 6 năm :33 . Thì vào một ngày đẹp trời , không lầm thì ngày hôm đó là chủ nhật . Như thường bố mẹ của bun vẫn đi làm , ở nhà một mình với sự buồn chán . Như mọi ngày , khi bố mẹ đã đi làm tui sẽ được xem youtube ở trên PC hoặc điện thoại . Chờ bố và mẹ đi làm tui lại vào trong nhà , bật PC lên và mở youtube xem , .. và bỗng dưng một ý nghĩ khác nảy ra trong đầu .. Đó là tìm kiếm một tựa game để cùng chơi với bạn bè , không nói nhiều tui đã đi tìm thử và ngay lúc đó hmm.. nói sao nhỉ sau một hồi lướt qua lướt lại, ánh mắt tui đã đổ ngay trước Mini World , đương nhiên là tải về và chơi thoi.",Tieu Bunny
107,NHỮNG LẦN CHẢI NGHIỆM TRONG CỘNG ĐỒNG MINI WORLD,Mình hay tham gia các sự kiên trong cộng đồng để góp vui cùng mọi người và mình đã vô tình đặt được giải khuyến khích tuy không cao nhưng đó là sự cố gắng của mình vậy là mình đã chơi mini world được 2 năm rưỡi rồi,Ngọc Lan
108,SỰ HỌC HỎI VÀ TÍCH LŨY KINH NGHIÊM,"-Trong Mini World có rất nhiều thể loại nào là :mạo hiểm ; parkour ; đối chiến ... mình đã học hỏi cách chơi tất cả với sự giúp đỡ từ người bạn đầu tiên của mình nhưng tất cả đều không được nhưng mình lại chơi parkour khá hơn so với các thể loại khác nên bạn của mình đã giúp mình 
-Mình lên youtube để học và mình đã vô tình biết đến anh Siro của Hero Team anh parkour rất giỏi mình luôn theo giỏi và học hỏi lối chơi của anh nhưng mình rất buồn vì anh ko còn quay Mini World nữa nhưng điều đó không thể nào cản bước học parkour của mình
- Nên mình đã nhờ người bạn đầu tiên dạy mình cách parkour trong mini world dạy nhảy có 2 block mà té đến chục lần nhưng khoảng thời gian đó bọn mình rất vui nhưng ngày hôm đó lại là ngày cuối cùng bọn mình chơi với nhau cho hiện tại mình vẫn không thấy bạn ấy chơi mini world nữa",Ngọc Lan
109,NGÀY ĐẦU VÀO MiNI WORLD CHƠI,"Đầu tiên mình vào sinh tồn chơi trong đấy có rất nhiều bạn mình rất thích sau đó do không biết sinh tồn nên mình đã chủ động hỏi mấy bạn nhưng có vẻ mấy bạn ấy không thích người mới chơi như mình nên mình lại chạy vòng vòng trong map vậy 
-Lúc sau có 1 bạn nam chảy đến chỗ mình và đưa cho mình thức ăn và 1 vài công cụ dùng để sinh tồn lúc đó mình có hơi bất ngời sau đó mình có hỏi bạn ấy sao lại đưa cho mình và bạn ấy có nói mình chắc là người mới chơi nên ngỏ lời muốn giúp đỡ lúc đó mình cũng không nghĩ ngợi gì nhiều và đúng cái ngày hôm đó mình đã có được người bạn đầu tiên",Ngọc Lan
110,LẦN ĐẦU BIẾT ĐẾN MiNi WORLD : CREATA,"Vào ngày 16/7/2020 trường mình nghỉ vì dịch covid nên mình đã được đứa bạn thân giới thiệu về tựa game Mini World lúc đấy mình rất thích vì đồ họa trong game rất đẹp nhưng do mình không có máy nên mình đã định từ bỏ lúc đó mình tiếc lắm 
-Rồi có 1 ngày mình được cậu của mình cho cái laptop cũ để phụ giúp cho việc học vào mùa dịch lúc đó mình rất vui vì vừa giúp được việc học và đồng thời mình cũng có thể tải Mini World về để chơi nữa(thật ra xin cậu mình nửa ngày trời cậu mình bất lực quá mới cho chứ ngu gì máy đang dùng mà  )",Ngọc Lan
111,Kỉ Niệm Cùng Mini World,"Nhiều kỉ niệm trong game đã qua hết rồi, những người bạn cùng đồng hành cùng mình có lẽ đã đi tìm một tựa game khác phù hợp hơn với các bạn ấy. Những map sinh tồn mà chúng mình đã xây cùng nhau đã không còn nữa. Có lẽ các kỉ niệm kia sẽ là thứ duy nhất còn tồn tại đối với mình...",Stoopit Golden Shibe
112,Kỉ Niệm Cùng Mini World,"Chơi một mình hoài cũng chán nên mình đã mở chế độ đội, và mình cũng đã gặp người bạn đầu tiên, người mà đã giúp mình về kiến thức Mini World và đã chỉ mình xuống Thế Giới Ngầm (Flamas) và lên Horas. Từ hôm đó mình đã dành nhiều thời gian hơn về Mini World hơn nhưng dường như mình không biết nên làm gì. Từ khi Mini World thêm ""huy hiệu"" nó đã khiến mình có thêm mục tiêu hơn về những gì cần làm và đạt được như kết bạn với nhiều bạn mới, tưới cây giúp bạn bè,... Thứ đó đã làm mình cùng các bạn cùng nhau hoàn thành các nhiệm vụ và huy hiệu, tưới cây giúp nhau, xây map cùng nhau, sinh tồn cùng nhau,...",Stoopit Golden Shibe
113,Kỉ Niệm Cùng Mini World,"Sau thời gian bỡ ngỡ, mình đã thử chơi sinh tồn và mọi thứ thật sự lạ lẫm. Bắt đầu sinh tồn, block gỗ đầu tiên, ngôi nhà đầu tiên tự tay mình xây lên, buổi đi mine đầu tiên, con chó đầu tiên mình thuần phục,... có lẽ khoảnh khắc hạnh phúc nhật là viên kim cương đầu tiên mình tìm được.",Stoopit Golden Shibe
114,Kỉ Niệm Cùng Mini World,"Những kí ức lần đầu mình biết đến Mini World là năm 2017. Mình khá là thích những tựa game Sandbox và bạn bè của mình cũng gợi ý đến Mini World. Mình đã tải Mini World trên máy laptop cũ kĩ. Lúc đó mình khá là bỡ ngỡ trong giao diện của Mini World. Mình cũng tạo một thế giới sáng tạo, lúc đó mình cũng chả biết làm gì nữa, mọi thứ thật lạ lẫm và mình cũng thử tham quan và khám phá nhiều thứ, mình cũng khá bất ngờ khi Mini World đa dạng về các khối, vật phẩm và sinh vật.",Stoopit Golden Shibe
115,Kỉ Niệm Cùng Mini World,"Hôm nay, cũng như bao ngày bình thường khác, Mình mở Mini World và chơi như những ngày bình thường. Vì quá chán nên mình đã tạo một map sinh tồn và mở nhạc và tiếng của Mini World (Mình thường chơi Mini World không mở nhạc nền và tiếng) và lúc đó mình có ngồi một lúc lâu, những bài nhạc nền đó khiến mình hoài niệm về những kỉ niệm cũ của mình và Mini World.",Stoopit Golden Shibe
116,Kỉ Niệm Cùng Mini World,Cảm ơn miniworld đã cho mình những kỷ niệm vui vẻ tuy có lúc vui lúc buồn nhưng không sao mình vẫn sẽ trân trọng những thời gian này để không phải hối hận,Đăng Thy
117,Kỉ Niệm Cùng Mini World,"Để chơi game giỏi hơn để không bị mất nick giống năm xưa mình bắt đầu lên youtube tìm cách chơi game và mình đã chơi game giỏi rồi nhưng bạn mình đâu họ đều nghỉ game hếtmình lại bắt đầu chán khá ít chơi game phần lớn thời gian mình đều xây map và khi xây xong mình thường chơi map để cho nó tăng lượt tải đó là mục tiêu của mình một ngày kia mình không ngờ rằng có người mình quen vào nhưng mìh không nhớ là ai chắc lẽ vì mãi xây map nên mình nghĩ là mình bị mất trí nhớ rồi còn cậu ấy thì cạn lời và mình nghĩ mối quan hệ chúng ta chỉ tới đó mà thôi người qua đường nhưng dần dần cậu ấy hay vào chơi với mình và thường mời mình chơi liên thông trông map tìm ny đi chéo tim, mình đã không biết từ khi nào mà chúng ta lại trở thành bạn thân nữa bây giờ mình đã không còn chán và cắm đầu xây map nữa mà làm quen lại với những bạn bè mình đã kết bạn",Đăng Thy
118,Kỉ Niệm Cùng Mini World,"Mình vào map sinh tồn và kết bạn với người bạn thứ hai cậu ta tên thật là khang rất hòa hợp tuy lâu lâu cậu ta lại đánh mình cho vui mình hơi tức xíu có lúc cậu ta còn giả gái lun nhưng không sao vì cậu ấy rất tốt với mình thường rủ mình chơi những map liên thông và xây map phụ mình đó là khoản thời gian vui vẻ bên hai người bạn thân mà mình có từ khi chuyển nhà đến giờ nhưng sẽ không có cuộc vui nào mà mãi mãi cả, vào năm 2021 mình đã làm bể điện thoại nên đã đi sửa và tải game lại thì mình lại không nhớ id và mật khẩu vì mình có đặt đâu lúc đó mình rất hối hận rồi tạo tài khoản mới để chơi có những người gửi kết bạn thì mình cũng chấp nhận và chơi cùng họ và mình dần dần vui vẻ lại.",Đăng Thy
119,Lần đầu tiên chơi đội.,"Lần đầu tiên chơi đội. Sau khi bật chơi đội, thời gian trôi qua mấy phút sau mình đã có được người bạn đầu tiên, một dòng chữ hiện lên thư cute đã vào phòng ??? xong mình đơ người không hiểu chuyện gì xảy ra sau đó trên bản đồ hiện một dấu chấm xanh rồi mình đi theo ra tới cửa sổ nhìn thì thấy một cô bé rất giống mình và cậu ấy đang lấy cà rốt mình trồng để ăn  rồi cậu ấy nhìn thấy mình thì trên màn hình lại hiện chữ xin chào và cậu ấy hỏi mình kết bạn không thì mình cuối cùng đã mò ra chỗ nhắn tin rồi nhắn cho cậu ấy là có nhưng rốt cuộc mình không biết kết bạn như nào sau đó cậu ấy đã dạy mình kết bạn và cách chơi game, mình đã hiểu sơ sơ rồi một lúc sau lại có người vào map nhưng lần này họ phá nhà mình ôi công sức tôi xây 3 ngày đómà mấy người lại phá chớ lúc đó mình không biết mời họ ra phòng nên đóng map lun xây lại và mỗi lần như vậy mình đều xây lại hơi cực nên mình khám phá sảnh liên thông để chơi theo lời thư đã dạy.",Đăng Thy
120,Kỉ Niệm Cùng Mini World,"Lúc đầu mình không biết rằng người chơi sẽ có thể kết bạn và mình cứ tưởng sẽ không có ai khác ngoài mình vào map nên mình đã làm một map sáng tạo xây một ngôi nhà nhỏ có tầng cạnh bờ sông, mình trồng một số rau củ để ăn và chuyển chế độ sinh tồn khi thoát map thì đập vào mắt mình là một chữ chơi đội mình cũng thấy lạ nên đã bấm vào rồi chơi như bình thường.",Đăng Thy
121,Kỉ Niệm Cùng Mini World,Nhớ hồi đó thì mình học lớp 5 nhưng vì chuyển nhà nên mình cũng không có bạn bè lúc đó mình khá buồn vì thế anh mình đã mua cho mình một chiếc điện thoại cho đỡ buồn và mình vào play tìm game thì mình đã thấy miniworld một tựa game nhìn giống minecraft lun mình khá là tò mò nên đã tải về chơi thử vào năm 2019.,Đăng Thy
122,Kỉ Niệm Cùng Mini World,"Từ hôm mình thấy một anh gamer kỳ cựu đăng trên Cộng đồng MIniworld tuyển thành viên, mình đã gửi đơn và được nhận. Mình rất cảm ơn anh vì khi mình không hiểu vấn đề gì thì anh ấy rất tận tâm trả lời giúp mình. Sau đó mình mới tiếp thu kiến thức thêm và bắt đầu tạo map với sự hướng dẫn của nhiều players khác khiến mình tạo được những bản đồ khác nhau, chẳng hạn như Nguyễn Văn Linh Sói Ăn Đêm và bla bla ... Điều mà mình cảm thấy thích nhất ở MiniWorld là tạo ra các sự kiện nhận quà miễn phí đối với 1 người cày chay như mình ><",Harry Tran
123,Kỉ Niệm Cùng Mini World,"Vào năm 2020, mình bắt đầu chơi lại khi đã rảnh rỗi và lúc đó thì mình cũng chả biết gì nhiều, không biết những người nổi tiếng, không biết cách để đổi tên và tưới cây nữa cơ, nên cứ chơi acc khách thoi, mình thường chơi map sinh tồn đơn với anh mình chứ không chơi liên thông đâu.",Harry Tran
124,Kỉ Niệm Cùng Mini World,"Trong Miniworld, chơi đội thì có sinh tồn, sang tạo, pvp, parkour các thứ ……., nói chung là nhìn khá là vui. Thế là mình thử tải về chơi thử, nhưng sau đó chơi được vài tháng thì công việc học của mình tăng lên, bài học quá nhiều khiến mình không chơi được. Thế là mình bỏ game Miniworld và cứ nghĩ tương lai mình sẽ không chơi nữa.",Harry Tran
125,Kỉ Niệm Cùng Mini World,"Câu chuyện bắt đầu vào ngày ………… mấy thì mình không nhớ, nhưng mình chỉ nhớ là vào năm 2019, mình đang chơi gì đấy ( không chứa chủ đề quảng cáo ) thì thấy các bạn của mình đang chơi game gì mà nhìn khá giống Minecraft nhưng nhìn độ họa đẹp hơn, mình bèn tới xem thử và thật tuyệt, game Miniworld này có tính năng chơi đơn và cả chơi đội nữa.",Harry Tran
126,Kỉ Niệm Cùng Mini World,"Đối với tôi , khi chơi các tựa game nọ chung và Mini World Creata nói riêng thì không có lần nào phấn khích bằng lần đầu , ôi cái cảm giác lạ lẫm khi nhìn vào các vật phẩm....",Bé Bão Mini
127,Kỉ Niệm Cùng Mini World,"Tôi vẫn còn nhớ như in mã đầu tiên tôi mod là khối ngôi sao và khối sao chép và tự đào xuống đất xây cho mòn ngồi nhà nhỏ .Cũng trong ngày hôm ấy , tôi cũng đã biết cách mở phòng nhiều người chơi.Trong tâm trí , tôi cứ nghĩ sẽ cùng mọi người xây nhà nhưng kết quả là không...Sự kiện này không tài nào quên được , cả ba thanh niên Kaka và một chị Nini nhìn có vẽ hiền hậu nhưng đã ác độc đặt bom nổ banh cái vùng đất của tôi và lúc đấy tui lo trang trí căn nhà nhỏ dưới lồng đất...",Bé Bão Mini
128,Kỉ Niệm Cùng Mini World,"Sau khi quen thuộc chế độ sinh tồn  tôi lên nền tảng Youtube và vẫn không có nhiều video về game , tôi khá buồn bởi một game hay như thế tại sao lại ít người biết đến chứ....Và thế tôi đã quyết tâm đi quảng cáo giùm game từ người thân đến bạn bè nhưng kết quả vẫn là ""cái thứ game cho trẻ trâu"" , nghe xong tôi bắt đầu trầm xuống...Sau khi chơi được một tuần tôi đã biết cách tạo plugin và bắt đầu học mod từ đây , lúc đó tôi chỉ biết thay đổi mã của các vật phẩm để chế tạo bằng khối đất .",Bé Bão Mini
129,Kỉ Niệm Cùng Mini World,"Trong cuộc đời của mỗi người đều có những kỉ niệm đáng trân trọng khi chơi một tựa game nhưng đối với tôi kỉ niệm đáng nhớ nhất là khoảng thời gian bắt đầu chơi Mini World.Lúc đấy tôi là một người hâm mộ ở tựa game cùng thể loại và khi bắt đầu tìm hiểu mà tải thử Mini World .Đập vào mắt tôi là giao diện hoạt hình vô cùng dễ thương , mặc dù Mini World là game thể loại Sand Box nên tôi cứ nghĩ nó sẽ khác.Chính sự khác biệt này là động lực của tôi trở thành kì cựu game của ngày hôm nay.",Bé Bão Mini
130,Lời bộc bạch cùng Mini World,"Sau khoảng 3 năm từ khi cùng bạn bè bỏ game, cuối cùng tớ cũng đã trở lại Mini World và ngày càng có thêm nhiều người bạn mới. Chúng tớ đã rất vui vẻ bên nhau, nào là cùng sinh tồn, cùng xây dựng hay thậm chí còn cùng nhau đón Giao thừa. nhờ những việc ấy, tình bạn bè của chúng tớ càng thêm gắn kết, bền lâu. Nếu cứ phải ngồi liệt kê hết những kỉ niệm đối với Mini World thì bài viết này có lẽ sẽ rất dài ấy chứ. Nhưng tớ muốn các bạn hãy cùng với tớ tiếp tục trải nghiệm và tìm ra những điều thú vị, tìm ra những người bạn đồng hành mới thông qua trò chơi nhé!",Đức Anh Pham
