接口ID,英文,英文,英文,英文,英文,英文,英文
50052,Player,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Size of model,"local result = Player:getModelScale(objid, val)"
50053,Player,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set the max HP,"local result = Player:setMaxHP(objid, val)"
50054,Player,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Player:setHP(objid, val)"
50055,Player,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Set HP recovery,local result = Player:setHpRecover(objid)
50056,Player,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Set current satiety ,local result = Player:setCurFood(objid)
50057,Player,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set the oxygen,"local result = Player:setOxygen(objid, val)"
50058,Player,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set walking speed,"local result = Player:setWalkSpeed(objid, val)"
50059,Player,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set swimming speed(in water),"local result = Player:setSwimSpeed(objid, val)"
50060,Player,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set jump force,"local result = Player:setJumpPower(objid, val)"
50061,Player,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set running speed,"local result = Player:setRunSpeed(objid, val)"
50062,Player,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set sneaking speed,"local result = Player:setSneakSpeed(objid, val)"
50063,Player,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set dodging speed,"local result = Player:setDodge(objid, val)"
50064,Player,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set melee attack,"local result = Player:setPunchAttack(objid, val)"
50065,Player,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set ranged attack,"local result = Player:setRangeAttack(objid, val)"
50066,Player,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set melee defense,"local result = Player:setPunchDefense(objid, val)"
50067,Player,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set ranged defense,"local result = Player:setRangeDefense(objid, val)"
50068,Player,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set the number of stars,"local result = Player:setStarNum(objid, val)"
50069,Player,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set the size of model,"local result = Player:setModelScale(objid, val)"
50070,Player,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Set the location of actor,"local result = Player:setPosition(objid, x, y, z)"
50071,Player,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Get the crosshair position of player,local result = Player:getAimPos(objid)
60001,Creature,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,Is it adult?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Creature,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Set if oxygen is necessary,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Creature,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Get the id of player who has tamed creature,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Creature,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Set if it causes panic,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Creature,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Set if AI takes effect,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Creature,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Get ID of monster resource,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Creature,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Get ID of monster resource,local result = Creature:getActorName(objid)
60008,Creature,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Increase the ModAttrib of monster,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Creature,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Increase the ModAttrib of monster,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Creature,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Set the creature team,"local result = Creature:setTeam(objid, teamid)"
60011,Creature,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Set the creature team,local result = Creature:getTeam(objid)
60012,Creature,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Get max satiety,local result = Creature:getMaxFood(objid)
60013,Creature,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Get satiety,local result = Creature:getFood(objid)
60014,Creature,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set satiety,"local result = Creature:setFood(objid, val)"
60015,Creature,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP recover,local result = Creature:getHpRecover(objid)
60016,Creature,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Max oxygen volume,local result = Creature:getMaxOxygen(objid)
60017,Creature,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Walking speed,local result = Creature:getWalkSpeed(objid)
60018,Creature,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Swimming speed(in water),local result = Creature:getSwimSpeed(objid)
60019,Creature,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Jump force,local result = Creature:getJumpPower(objid)
60020,Creature,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Weight,local result = Creature:getMass(objid)
60021,Creature,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Dodge,local result = Creature:getDodge(objid)
60022,Creature,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee attack,local result = Creature:getPunchAttack(objid)
60023,Creature,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ranged attack,local result = Creature:getRangeAttack(objid)
60024,Creature,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee defense,local result = Creature:getPunchDefense(objid)
60025,Creature,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ranged defense,local result = Creature:getRangeDefense(objid)
60026,Creature,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Creature:setMaxHp(objid, val)"
60027,Creature,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Creature:setHP(objid, val)"
60028,Creature,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Set HP recovery,local result = Creature:setHpRecover(objid)
60029,Creature,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set oxygen,"local result = Creature:setOxygen(objid, val)"
60030,Creature,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set walking speed,"local result = Creature:setWalkSpeed(objid, val)"
60031,Creature,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set swimming speed(in water),"local result = Creature:setSwimSpeed(objid, val)"
60032,Creature,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set the jump force,"local result = Creature:setJumpPower(objid, val)"
60033,Creature,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set dodging,"local result = Creature:setDodge(objid, val)"
60034,Creature,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set melee attack,"local result = Creature:setPunchAttack(objid, val)"
60035,Creature,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set ranged attack,"local result = Creature:setRangeAttack(objid, val)"
60036,Creature,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set melee defense,"local result = Creature:setPunchDefense(objid, val)"
60037,Creature,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set ranged defense,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Set summary UI of fight,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",World coordinate changed to minimap,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Wolrd length changed to minimap,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Set minimap mode: 1. 45° rotation angle. 2. Full pic overlook angle,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Shape setting of map marks. Set as line,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Shape setting of map marks. Set as circle,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Display screen effect,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Chat,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Send chat message,local result = Chat:sendChat(content)
80002,Chat,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Send system message,local result = Chat:sendSystemMsg(content)
90001,Team,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Get the number of teams,local result = Team:getNumTeam()
90002,Team,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Get the designate player team,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Team,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Get the designate player team,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Team,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Random Player,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Team,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Set the team score,"local result = Team:setTeamScore(teamid, s)"
90006,Team,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Get the team score,local result = Team:getTeamScore(teamid)
90007,Team,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Increase the team score,"local result = Team:addTeamScore(teamid, score)"
90008,Team,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Set the win-los of team,"local result = Team:setTeamResults(teamid, result)"
90009,Team,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Get the current win-los of team,local result = Team:getTeamResults(teamid)
90010,Team,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Set the win-los of player team,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Team,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Set the total deaths of team,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Team,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Get the total deaths of team,local result = Team:getTeamDieTimes(teamid)
90013,Team,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Increase the total deaths of team,local result = Team:addTeamDieTimes(teamid)
90014,Team,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Change player's team,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Props,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Get the name of item,local result = Item:getItemName(itemid)
100002,Props,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Get the ID of item,local result = Item:getItemId(objid)
100003,Props,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Get the number of dorps,local result = Item:getDropItemNum(objid)
110001,Backpack,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Get the range of backpack bar's ID(Start ID~End ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Backpack,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Get the size of backpack bar,local result = Backpack:getBackpackBarSize(bartype)
110003,Backpack,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Set the backpack,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Backpack,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Remove some items in backpack bar. Removed by item slots. All removed by default,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Backpack,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Remove some items in backpack bar. Removed by item ID. All removed by default,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Backpack,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Clear designate backpack bar,"local result = Backpack:clearPack(playerid, bartype)"
110007,Backpack,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Clear all the backpack(including backpack bar, shortcut bar, equip bar)",local result = Backpack:clearAllPack(playerid)
110008,Backpack,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Remove items in backpack. All transferred by default,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Backpack,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Exchange item backpack ,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Backpack,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 1",ErrorCode.OK,"If there is enough space in backpack(including backpack bar, shortcut bar) to store items","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Backpack,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Calculate the total number of remaining items that the backpack(including backpack bar, shortcut bar) can store","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Backpack,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Get valid list of items' ID which are already in backpack bar. Item ID,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Backpack,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Get items already in backpack bar. Item ID,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Backpack,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Detect if there is any designated item in backpack ,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Backpack,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Get the total number of items in backpack. Return to backpacks with items,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Backpack,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Get item ID and number in backpack ,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Backpack,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Get item name in backpack,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Backpack,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Get the number of items in backpack and max no. of stacks,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Backpack,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Get item durability in backpack and maximum durability,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Backpack,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Get enchantment of items in backpack. Return to enchantment ID.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Backpack,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Get the item tool type in backpack (<0 means non-tool),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Backpack,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Add the item to backpack,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Backpack,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Discard the item in backpack,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Backpack,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Get the number of items in one slot of backpack ,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Minimap,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","New shape(line, rectangle, circle)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Minimap,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Delete a shape,local result = MapMark:deleteShape(shapeid)
120003,Minimap,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Set the shape and color,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Minimap,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Set shape displayed or hidden,"local result = MapMark:showShape(shapeid, showflag)"
120005,Minimap,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Update shape(line). Add start coordinate and end coordinate,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Minimap,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Update shape(rectangle). Add start coordinate and end coordinate,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,Minimap,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Update the shape(circle). Add center coordinates and radius,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Spawn Point,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Get the location of spawn point,local result = Spawnport:getSpawnPoint()
130002,Spawn Point,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",Get the spawn point in region. Add the position of random block in region,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
