ID,名字,描述,获得方式
1049,Totem Misteri (Inti beracun),@Null@,@Null@
1050,Medium Tanaman Horas,"Apabila di planet lain, @item_101# dapat dibekalkan air dan nutrien. #rPerhatian: Makhluk Miras memerlukan persekitaran yang beroksigen.",
1051,Buah Oksigen,"Selepas #c0aba1dmakan#n, mendapatkan #c0aba1dbekalan oksigen#n dalam 60 saat","Buah yang tumbuh di atas Kayu Gen Horas, diperoleh dengan menanam @item_12582# pada Kayu Gen. Selepas makan, boleh mendapatkan @item_11408#, boleh mensintesis @item_12582# dengan tangan kosong."
1052,Penjana Isyarat,"Selepas menerima isyarat celestium, isyarat saluran yang sepadan akan dihantar ke julat 32 * 32 * 32. Sekiranya terdapat #c0aba1dSignal Penerima saluran #n yang sepadan dalam julat, isyarat celesthium tanpa wayar boleh dihantar.#rAfter meletakkan dan menggunakannya semula, anda boleh menukar sehingga 8 saluran.#rThe isyarat terganggu apabila slaid berlaku.#rAlso berkesan pada Jentera.",
1053,Penerima Isyarat,"Dalam kawasan 32*32*32, apabila #c0aba1dsaluran Penjana Isyarat yang sepadan menyambung dengan Celesthium #n, akan menerima isyarat Celesthium tanpa wayar dan caj tenaga. #rSelepas diletakkan, boleh digunakan sekali lagi untuk menukar saluran, maksimum saluran adalah 8.",
1054,Analisis Isyarat,"Selepas menerima Isyarat Celesthium, menganalisis Cip Arahan, #c0aba1dsaluran Penerima Isyarat yang sepadan#n akan menerima isyarat Celesthium tanpa wayar dalam kawasan 32*32*32. #rApabila gelongsor, Isyarat akan terputus.",
1055,Kotak Kod Kecil,"Kotak Kod milik tuan bilik, rakan dalam talian memasukkan kata laluan yang ditetapkan oleh tuan bilik untuk membukanya",
1056,Kotak Kod Besar,"Kotak kod milik tuan bilik, rakan dalam talian memasukkan kata laluan yang ditetapkan oleh tuan bilik untuk membukanya",
1057,Pek Horas Besar,Selepas dimusnahkan akan menjatuhkan Cetakan Biru secara rawak,Kadang-kadang dijual oleh Peniaga Horas
1058,Patung Colossus,"Gunakan @item_11075# padanya untuk mengaktifkannya dan menjana #c0aba1dkawasan oksigen#n kekal #rGunakan @item_11076# padanya untuk menyala/membatalkan penanda peta #rSelepas diletakkan, gunakan 1 bintang untuk klik pada patung, boleh menukar lokasi titik kebangkitan","Selepas mengalahkan Colossus Purba di Horas, memusnahkan balang tanah liat untuk menjatuhkan"
1059,Teras Colossus,"Selepas menerima isyarat Celesthium, laser akan dipancarkan, mengena blok akan #c0aba1dmenjana isyarat Celesthium#n #r#c0aba1dGunakan @item_11070# untuk mengubah kepanjangan laser. #rKekuatan isyarat Celesthium yang diterima akan menjejaskan kepanjangan laser.","Selepas mengalahkan Colossus Purba di Horas, memusnahkan balang tanah liat untuk menjatuhkan"
1060,Pemantul,"Selepas #c0aba1ddiletakkan#n, boleh c0aba1dmencerminkan#n laser dari Teras Colossus",
1061,Balang Colossus,Terdapat banyak harta karun yang tersembunyi di dalam balang yang sangat cantik ini,
1062,Blok Duplikasi Kawasan,"Kiub yang di dalam kawasan 64*64, ketinggian tanpa had, selepas meletakkan blok duplikasi, kawasan bertanda akan muncul. #rSelepas mengesahkan kawasan, boleh meletakkan @item_1063# #c0aba1ddi mana-mana kedudukan bersebelahan dengan blok duplikasi#n untuk operasi seterusnya",
1063,Meja Kerja Cetakan Biru,"Selepas meletakkannya bersebelahan dengan #c0aba1dblok duplikasi kawasan#n yang telah ditanda, boleh meletakkan @item_11806# untuk membuat kertas cetakan biru",
1064,Kertas cetakan biru,@Null@,@Null@
1065,Blok cetakan biru pembinaan,@Null@,@Null@
1066,Pencari Jarak,"Letakkan dua di #c0aba1ddalam kawasan 64 grid garis lulus#n, boleh mengukur jarak antaranya #rGunakan @item_11070# pada pencari jarak, boleh memaparkan jarak semula",
1067,Blok Pencetus Fizikal,"Apabila bersentuhan dengan #c0aba1dalat yang bersifat fizikal#n, blok akan menyambung dengan Celesthium, dihantar ke blok sekeliling yang sama.
Selepas menyimpan alat bersifat fizikal, blok yang sama untuk sendiri atau sekeliling hanya menyemak alat yang disimpan.#r Boleh menggunakan @item_11070# untuk menukar kepada mod pencetus kenderaan, hanya menyemak mesin, boleh #c0aba1dmenghantar maklumat pasukan dengan isyarat Celesthium#n",
1068,Blok Bingkai Keranjang,"Apabila @item_13425# melalui bingkai keranjang dari atas ke bawah, blok bingkai keranjang akan bersambung dengan Celesthiu, menghantar ke blok sekeliling.",
1069,Blok bintang,@Null@,@Null@
1070,Blok pendarfluor,@Null@,@Null@
1071,Kotak pendarfluor,@Null@,@Null@
1072,Tempat berkumpul awam asal,"Pada permulaan mode permainan, pemain akan muncul di tempat berkumpul awam asal. Boleh menggunakan @item_11070# untuk bertukar kepada tempat berkumpul asal pasukan.",@Null@
1073,Pasukan 1: Tempat berkumpul asal pasukan merah,@Null@,@Null@
1074,Pasukan 1: Tempat berkumpul asal pasukan biru,@Null@,@Null@
1075,Pasukan 1: Tempat berkumpul asal pasukan hijau,@Null@,@Null@
1076,Pasukan 1: Tempat berkumpul asal pasukan kuning,@Null@,@Null@
1077,Pasukan 1: Tempat berkumpul asal pasukan oren,@Null@,@Null@
1078,Pasukan 1: Tempat berkumpul asal pasukan ungu,@Null@,@Null@
1079,Tempat berkumpul individu,Tempat berkumpul individu. Klik kanan untuk aktifkan dan set lokasi untuk tempat membuat percubaan lagi.,@Null@
1080,Blok Menjana Raksasa,"Selepas menerima isyarat Celesthium, akan #c0aba1dmenjana raksasa mengikut peraturan yang ditetapkan#n.#rSelepas diletakkan, boleh diguna semula untuk membuka halaman tetapan untuk menetapkan peraturan menjana raksasa",
1081,Dinding Udara (Tidak Menghalang Item fizikal),"Selepas diletakkan, menjana kawasan blok yang tidak kelihatan dan tidak boleh dilalui selepas #c0aba1dpenukaran mod#n. Dinding Udara ini #c0aba1dTidak menghalang item fizikal#n",
1082,Blok Kereta (Ujian),Blok kereta yang digunakan untuk ujian,
1083,Roda Stereng,"Digunakan untuk memasang mesin, #c0aba1dMempunyai fungsi stereng#n, boleh memandu di atas tanah",
1084,Tempat Pemandu,"Digunakan untuk memasang mekanikal, #c0aba1dboleh menunggang dan mengawal#n. #rTempat pemandu adalah #c0aba1dteras mesin#n #n: Setiap mekanikal mesti mempunyai satu #c0aba1dteras mesin#n",
1085,Bengkel Mesin,"Selepas diletakkan dapat menjana kawasan pembinaan, klik pada bengkel untuk membuka halaman, mekanikal dijanakan dengan kombinasi blok yang #c0aba1d bergabung dengan teras mesin#n di dalam kawasan. #rPS: #c0aba1dPeraturan Terperinci#n Sila buka halaman bengkel dan klik pada #c0aba1dtanda soal di sudut kiri atas#n untuk semak!",
1086,Bengkel (Ujian),"Stereng, digunakan untuk ujian",
1087,Roda Kuasa,"Digunakan untuk memasang mesin, boleh #c0aba1d dipandu oleh enjin#n",
1088,Enjin (Ujian),Enjin yang digunakan untuk ujian.,
1089,Bahan Api Enjin,"Digunakan untuk memasang mesin, boleh memandu roda, #c0aba1dperlu menggunakan bahan bakar#n",
1090,Enjin Tanpa Had,"Digunakan untuk memasang mesin, boleh memandu roda, #c0aba1dTidak perlu menggunakan bahan bakar#n",
1091,Tempat Penumpang,"Digunakan untuk memasang mesin, boleh #c0aba1dmembawa penumpang#n",
1092,Editor Urutan,"Digunakan untuk memasang mesin, apabila menyambung dengan pengaktifan Celesthium, #c0aba1d Blok Pemutar, Blok Gelongsor, Blok Engsel dan Lengan Hidraulik yang disambungkan#n akan melakukan tindakan dalam susunan yang ditetapkan. Klik untuk membuka #c0aba1dhalaman tetapan Editor Urutan#n, klik tanda soal di atas kiri untuk membaca penerangan",
1093,Mesin Turbin 001,"Digunakan untuk memasang mesin, apabila menyambung dengan pengaktifan Celesthium, akan mengeluarkan api dari muncung, #c0aba1dakan menghasilkan tujahan terbalik#n, Mungkin sedikit tidak stabil...#rAkan menjadi panas apabila digunakan, boleh digunakkan selepas penyejukan selesai jika terlalu panas",#c0aba1dJangan meniru sebarang tingkah laku dalam permainan.#n
1094,Unit Sayap,"Digunakan untuk memasang mesin, apabila mesin menghala ke hadapan dengan #c0aba1dmencapai kelajuan tertentu#n akan menjana #c0aba1dkuasa peningkatan#n, jumlah peningkatan berkaitan dengan #c0aba1dkelajuan dan sudut sayap mesin#n. #rPS : Sudut boleh diubah dengan menggabungkan @item_1010# dengan@item_1092#",
1095,Sayap Belakang,"Digunakan untuk memasang meisn, ketika #c0aba1dberada pada sudut#n dengan arah gerakan, dapat menghasilkan #c0aba1dresistensi yang tegak lurus terhadap permukaan sayap#n. Kekuatan kuasa dapat diubah #c0aba1ddengan mengubah kelajuan dan sudut sayap kemudi#n. #rPS: #c0aba1dRoll dan pitch#n kapal terbang boleh dikawal dengan perubahan sudut dengan menggabungkan @item_1010# dan @item_1092#",
1096,Pendorong Kapal Angkasa,"Digunakan untuk memasang mesin, boleh #c0aba1dmengubah saiz tujahan#n, pendorong baru #c0aba1dtidak terlalu panas#n, tetapi #c0aba1dmemerlukan enjin atau tangki menyediakan bahan api#n untuk beroperasi. #rPS: PC menggunakan #c0aba1dSpace#n untuk meningkatkan daya, #c0aba1dCtrl#n untuk mengurangkan daya. Mudah alih mengawal saiz tujahan melalui #c0aba1dsepasang butang#n pada skrin",
1097,Lengan robot XI,Pergi dan muat turun versi permainan terkini sekarang!,
1099,Tangki Minyak,"Digunakan untuk memasang mesin, #c0aba1dmeningkatkan#n #c0aba1dKapasiti Bahan Api#n mesin, boleh terus membekalkan bahan api kepada Pendorong Kapal Angkasa",
1100,Peta blok teleportasi,Blok yang membolehkan telepotasi didalam peta,@Null@
1101,Pintu Makmal,"Pintu berteknologi tinggi dengan kalis letupan yang kuat, buka selepas menyambung dengan tenaga Celesthium, tutup selepas memutus dengan tenaga Celesthium",
1102,Ais cermin,Ais licin seperti cermin,
1103,Lampu Ais,Dapat menerangi ruang sekeliling selepas diletakkan,
1104,Blok Celesthium Bercorak,"Selepas diletakkan, #c0aba1disyarat Celesthium#n dikeluarkan secara berterusan #rJuga berfungsi pada mesin",
1105,Blok Mithril Celesthium,Bahan binaan yang kukuh dan cantik,
1106,Papan Mithril Celesthium,Bahan binaan yang cantik dan kukuh.,
1107,Blok Mithril Ungu,Bahan binaan yang cantik dan kukuh.,
1108,Papan Mithril Tebal,Bahan binaan yang kukuh dan cantik,
1109,Papan Mithril Berongga,Bahan binaan yang kukuh dan mudah digunakan.,
1110,Lampu Makmal,Dapat menerangi persekitaran selepas diletakkan.,
1111,Pintu Mithril Berkarat,"Pintu mithril yang berkarat. buka selepas menyambung dengan tenaga Celesthium, tutup selepas memutus dengan tenaga Celesthium",
1112,Jaring Mithril,Jaring mithril berkarat yang tidak kukuh.,
1113,Papan Mithril Bergaris Vertikal,Papan Mithril yang bergaris vertikal,
1114,Papan mithril Berkarat,Papan mithril berkarat yang tidak kukuh.,
1115,Papan Mithril Bergaris Berkarat,Papan Mithril Bergaris yang berkarat,
1116,Papan Mithril Berongga Berkarat,Papan mithril berongga yang berkarat,
1117,Blok Mithril Celesthium Berkarat,Blok Mithril Celesthium yang berkarat dan tidak kukuh.,
1118,Lampu Pendarfluor,Dapat menerangi ruang sekeliling selepas diletakkan,
1119,Blok Mithril Bercorak,Bahan binaan diperbuat daripada Mithril bercorak kelabu kuning,
1120,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1121,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1122,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1123,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1124,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1125,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1126,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1127,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1128,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1129,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1130,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1131,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1132,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1133,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1134,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1135,Blok Mithril Lama,"Bahan binaan yang kukuh diperbuat daripada Mithril #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1136,Skrin Plum Bossom Salji,Skrin yang mempunyai corak plum Bossom yang dijadikan sebagai hiasan.,@Null@
1137,Lampu Lilin Merah,Gunakan @item_298# akan menyalakannya Gunakan alat lain pada pemegang lilin yang menyala untuk memadamkannya.,
1138,Meja Kerja Model,"Selepas diletakkan akan terbentuk #c0aba1dpenanda kawasan 20*20*20#n. Masukkan @item_11823#, kawasan yang bertanda akan #c0aba1ddikecilkan menjadi#n saiz satu blok.",@Null@
1139,Lampu Lilin Merah,Gunakan @item_298# akan menyalakannya Gunakan alat lain pada pemegang lilin yang menyala untuk memadamkannya.,
1140,Blok Teras Titik Teleportasi,"Letakkan beberapa Blok Teras Titik Teleportasi, boleh membuka halamannya untuk menetapkan laluan teleportasi secara bebas, menyambung dengan Celesthium untuk aktif. #rJuga berfungsi pada mesin",
1141,Blok penghantaran,Letakkan di tempat berdekatan blok inti penghantaran untuk menjadikan kawasan kemasukkan blok.,@Null@
1142,Meja Kerja Model Alat,Selepas diletakkan akan terbentuk #c0aba1dpenanda kawasan 60*20*60#n. Masukkan @item_11823# dan mengikut arah dan perkadaran yang ditunjukkan dalam kawasan penanda #c0aba1d untuk membuat#n model alat.,@Null@
1143,Meja Pembuat Buku,"Selepas diletakkan, klik membuka buku untuk penyuntingan halaman. #rMaksimum 12 @item_11806# boleh disintesis untuk menjadi @item_11803#, juga mengasingkan @item_11803# kepada beberapa @item_11806#",
1144,Rak Buku,Memegang @item_11803# untuk memasukkan ke dalam #c0aba1dRak Buku#n. Klik #c0aba1dRak Buku#n dengan tangan kosong untuk mengeluarkan @item_11803#. #rJuga berfungsi pada mesin.,
1145,Guntingan Kertas Imlek - Lembu,Boleh diletakkan di sisi blok sebagai hiasan tahun baru cina,@Null@
1146,Tanglung Perayaan,"Tanglung Perayaan yang indah, mengirim harapan. Dikatakan tanglung terbang boleh meredakan krisis #c0aba1dgerhana bulan#n. #rGunakan @item_298# untuk menyalakan tanglung perayaan dan #c0aba1dlepaskan#n.",
1147,Festival Musim Bunga - Harimau,Boleh diletakkan di sisi blok sebagai hiasan tahun baru cina,@Null@
1148,@Null@,@Null@,@Null@
1149,@Null@,@Null@,@Null@
1150,Blok Miniatur Makhluk,"Letakkan di atas lantai, klik untuk mula mencipta miniatur makhluk dan menggunakan sistem miniatur untuk memasang. Makhluk yang terbentuk akan dimasukkan ke dalam pusat sumber.",@Null@
1151,Pencipta model,"Letakkan di atas lantai, klik untuk mula mencipta miniatur sendiri. Gunakan sistem miniatur untuk mencipta rangka tulang model, tindakan dan berikannya jiwa! Boleh dijadikan blok, alat dan makhluk.",@Null@
1152,Blok Pratonton Mode Alat,@Null@,@Null@
1153,Ujian: Penanda (-),Selepas ditarik oleh #c0aba1dblok penggeser#n akan mebawa #c0aba1dblok di antara penanda (+)#n untuk bergerak.#r Dapat membawa sebanyak 256 blok.,@Null@
1154,Ujian: Penanda (+),Selepas ditarik oleh #c0aba1dblokpenggeser#n akan mebawa #c0aba1dblok di antara penanda (-)#n untuk bergerak.#rDapat membawa sebanyak 256 blok.,@Null@
1155,Ujian: Blok Penggeser,"#c0aba1dSelepas berhubung dengan tenaga Celesthium#n dapat menarik#n penanda ""+"" yang berhadapan dengan blok penggeser“+” #c0aba1d#n Dalam proses pergerakkan, blok di antara dua penanda akan membuat pergerakkan lurus. #rJika terdapat #c0aba1dkerosakkan,#n boleh menhancurkan blok penggeser untuk susun semula. #rTidak berfungsi pada #c0aba1dblok semula jadi#n",@Null@
1156,Ujian: Blok Pemutar,"#c0aba1dSelepas berhubung dengan tenaga Celesthium,#n blok yang berada di bahagian belakang akan mula #c0aba1dberputar#n dan akan pulihkan ke status asal selepas tenaga Celesthium diputuskan. #rSelepas diletakkan tanpa berhubung dengan tenaga Celesthium, gunakan semula untuk mengubah suai #c0aba1dsudut berputar#n. #rGunakan Kunci Pas semasa tidak berhubung dengan tenaga Celesthium dapat mengubah #c0aba1darah putaran.#n",@Null@
1157,Suis,Selepas ditarik bawah #c0aba1dSignal Celesthium dapat dikeluarkan secara berterusan#n.,@Null@
1158,Blok Engsel Bola,Digunakan untuk pemasangan mesin. Penyambungan jenis bola dapat membawa blok untuk berputar secara bebas.,@Null@
1159,Blok Engsel,"Digunakan untuk pemasangan mesin. #c0aba1dSelepas berhubung dengan Celesthium,#n blok yang berada pada bahagian rotasi akan mula #c0aba1dberputar#n dan akan pulih kepada keadaan asal selepas signal putus. #rSemasa berada dalam situasi tanpa signal Celesthium, gunakannya boleh mengubahsuai #c0aba1dsudut putaran dan arah#n. #rGunakan Kunci Pas dapat mengubah #c0aba1darah horizon dan vertikal#n.",@Null@
1160,Cakar Mekanik,"Digunakan untuk pemasangan mesin. #c0aba1dApabila berhubung dengan Celesthium#n, ia dapat mengambil sebarang kendaraan dan makhluk. Ini akan melepaskan cakar apabila signal terputus.",@Null@
1161,Lengan Hidraulik,"Digunakan untuk pemasangan mesin. #c0aba1dApabila berhubung ke Celesthium#n, blok di sisi peregangan akan #c0aba1dmeregangkan dan menarik kembali#n. Apabila signal terputus, itu akan tetap pada kepanjangan masa tersebut.",@Null@
1162,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
1163,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
1164,Penyerap kejutan,Digunakan untuk pemasangan mesin dan dapat bergerak seperti spring.,@Null@
1165,Kabel Pengangkat,"Digunakan untuk pemasangan mesin. #c0aba1dApabila berhubung dengan Celesthium#n, tali yang menghubungkan sisi peregangan akan #c0aba1dmeregangkan dan menarik kembali#n. Apabila signal terputus, itu akan tetap pada kepanjangan masa tersebut.",@Null@
1166,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
1167,Kemas kini diperlukan,Sila muat turun versi terbaru.,@Null@
1168,Blok Penderia Inframerah,"Dapat mengesan objek dalam jarak inframerah, mengeluarkan isyarat Celesthium. Selepas digunakan, #c0aba1dbuka halaman#n boleh melaraskan jarak pengesanan, boleh mengesan blok dan telur makhluk yang diletakkan secara individu . #rJuga berfungsi pada mesin.",
1169,Penderia Cahaya,"Boleh mengesan cahaya dan mengeluarkan isyarat tenaga Celesthium. Selepas digunakan, #c0aba1dbuka halaman#n boleh melaraskan parameter. Gunakan @item_11070# untuk menogol pengesanan ketinggian dunia dan kelajuan. #rJuga berfungsi pada mesin.",
1170,Tidak terdapat dalam versi ini,Sila muat turun versi terbaru.,@Null@
1171,Tidak terdapat dalam versi ini,Sila muat turun versi terbaru.,@Null@
1180,Kotak Simpanan Beasr (Horizontal),Kotak simpanan yang sangat besar. Diletakkan atas lantai untuk menyimpan barang.,@Null@
1181,Kotak Simpana Beasr (Vertical),Kotak simpanan yang sangat besar. Diletakkan atas lantai untuk menyimpan barang.,@Null@
1182,Pengayun Tenaga Bintang,"Selepas terima isyarat tenaga bintang, akan menghantar nadi tenaga bintang ke blok sekeliling, cuba pukul dengan @item_11070#.",Selepas menggunakan @item_11102# untuk membuat
1183,Transduser Bata Kuning,"Selepas diletakkan, apabila berada dalam #c0aba1dtekanan selain daripada alat#n, isyarat Celesthium akan dijana",
1184,Gerai Celesthium,"Apabila alat yang dipaparkan pada gerai berubah, isyarat celesthium akan dipancarkan ke bawah",
1185,Sarang Ayam,,
1186,Bunga Higanbana,"Bunga yang belum tumbuh dari @item_11654# boleh mendapatkan @item_1194#, boleh digunakan untuk membuat @item_11650#.",Diperolehi dengan menanam @item_1194# di tanah pertanian
1187,Nanas Higanbana,@item_1186# hanya boleh tumbuh di atas tanah merah dan berbuah,
1188,Kemudi,"Digunakan untuk memasang mesin, #c0aba1dboleh menunggang dan mengawal#n. #rKemudi ialah #c0aba1dteras mesin#n: Setiap mesin #c0aba1d hanya mempunyai satu#n teras mesin. Jom belayar!",
1189,Mesin Turbin Skru,"Digunakan untuk memasang mesin, #c0aba1dmempunyai fungsi untuk mengubah orientasi#n, boleh memandu di laut.",
1190,Tong Terapung,"Digunakan untuk memasang mesin, #c0aba1dmempunyai daya apungan yang kuat#n, yang boleh mengapungkan berat kapal berlebihan di atas air.",
1191,Patung Poseidon,"Patung Poseidon yang utuh, dikatakan menyentuh patung Poseidon boleh membawa tuah kepada pelayar laut",
1192,Rak Pengeringan Daging,Rak yang digunakan untuk membuat makanan kering. Anda boleh menggantung #c0aba1dfresh ikan #n atau @item_12535# di atasnya untuk mengeringkannya ke dalam pelbagai jenis #c0aba1djerky#n.,
1193,Patung Poseidon (Pecah),Patung Poseidon yang pecah boleh dibaiki dengan mutiara. dikatakan menyentuh Patung Poseidon yang utuh boleh membawa tuah kepada pelayar laut,
1194,Biji Higanbana,"#c0aba1dMenanam#n di tanah pertanian untuk menumbuhkan bibit, akan tumbuh menjadi @item_1186# kemudian. #rHanya tumbuh @item_1187# di tanah merah. #rGunakan@item_11311# untuk mempercepat pertumbuhan.","Diperoleh dengan membuka @item_1186#, @item_1187# di @item_800#."
1195,Sofa Ganda Kerang,"Perabot gaya marin, boleh duduk untuk berehat selepas diletakkan",Boleh dibuat dengan @item_11941#
1196,Lengan robot II,Pergi dan muat turun versi permainan terkini sekarang!,
1197,Lengan robot tolak-tarik II,Pergi dan muat turun versi permainan terkini sekarang!,
1198,Komponen Lengan Robot II,,
1199,Lengan robot bergerak II,,
1200,Api unggun api,Gunakan @item_298# atau alat lain untuk membuat api. Tambah bahan api ke api untuk menjadikan api lebih besar. Ia akan #c0aba1draise suhu sekitar #n.#rPut daging biasa di atas api untuk dipanggang. Perhatikan masa panas dan memanggang.#rBoarmen mungkin menyukai bau barbeku.,
1201,Batu Stela,Batu stela yang digunakan sebagai hiasan.,@Null@
1202,Totem Suku,"Lokasi penempatan blok Totem Suku akan menjadi tempat perhimpunan Teman Orang Liar. #c0aba1d11*11*5#n zon sekeliling totem suku akan menjadi tempat penyimpanan Teman Orang Liar. #rDalam peta yang sama, seorang pengembara hanya boleh mengaktifkan satu totem.",
1203,Bendera Petani,"Lokasi bendera petani akan menjadi tempat kerja untuk penduduk petani orang liar, #c0aba1d9*9*5#n kawasan sekitar bendera petani akan menjadi tempat kerja tetap untuk penduduk petani.",
1204,Bendera Penebang Kayu,"Lokasi bendera Penebang Kayu akan menjadi tempat kerja untuk penduduk Penebang Kayu orang liar, #c0aba1d9*9*5#n kawasan sekitar bendera Penebang Kayu akan menjadi tempat kerja tetap untuk penduduk Penebang Kayu.",
1205,Bendera Pengawal,"Lokasi bendera Pengawal akan menjadi tempat kerja untuk penduduk Pengawal orang liar, #c0aba1d20*20#n kawasan sekitar bendera Pengawal akan menjadi tempat kerja tetap untuk penduduk Pengawal.",
1206,Blok Kaca Keras Telus,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1207,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1208,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1209,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1210,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1211,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1212,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1213,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1214,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1215,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1216,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1217,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1218,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1219,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
1220,Blok Kaca Keras,"Bahan binaan kaca yang diperkukuh, tidak mudah pecah walaupun dalam persekitaran tekanan tinggi #rMemegang Botol Pewarna, @item_12247#, @item_12248# untuk mewarnakannya",@Null@
