ID,名字,描述,追踪
1218,Emas pun boleh makan?,Memasak 50 #L#cfa7a0fHidangan Wangi#n@1,Memasak #cfa7a0fHidangan Wangi
1219,@Null@,@Null@,@Null@
1220,@Null@,@Null@,@Null@
1221,Saya perlu batu,Kumpul batu yang bertaburan atas lantai untuk dapatkan #L#cfa7a0fBatu Tajam#n@1#r (Klik lama pada batu untuk mengumpul batu),Kumpul #cfa7a0fBatu#n di atas tanah
1222,Lebih Bahan,Menebang pokok untuk mendapatkan #L#cfa7a0fDahan Halus#n@1#r (Tekan lama pada dahan untuk kumpul),Dapatkan #cfa7a0fDahan Halus#n dari dahan
1223,Permulaan Zaman Batu,Gunakan Batu dan Dahan untuk membuat #L#cfa7a0fBeliung Batu#n@1#r (Buka ransel dan pilih buat di sebelah kiri),Membuat #cfa7a0fBeliung Batu
1224,Senjata Primitif,"Gunakan kayu untuk membuat #L#cfa7a0fBatang Kayu#n@1#r (Bahaya pada waktu malam, gunakan senjata untuk melindung diri)",Membuat #cfa7a0fBatang kayu
1225,Pemburu,Kalahkan orang liar#ryang muncul pada waktu larut malam (oh? Adakah anda ingin menjadi seorang pemburu),Kalahkan#cfa7a0forang liar
1226,Memulakan kehidupan baik~,Gunakan Batu dan Dahan untuk membuat #L#cfa7a0fKapak#n@1#r (Bolehkah ini digunakan untuk membuat rumah dahulu?),Membuka ransel dan membuat #cfa7a0fKapak Batu
1227,Penebang,Gunakan Kapak Batu untuk memusnahkan pokok! Kumpulkan #L#cfa7a0fKayu#n@1#r (Sumber Kekayaan),Kumpulkan#cfa7a0fKayu
1228,Pesta Api Unggun,Gunakan Batu dan Kayu untuk membuat #L#cfa7a0fUnggun Api#n@1#r (Kecerahan dan kehangatan menjamin keselamatan pada waktu malam,Membuat #cfa7a0fUnggun Api
1229,"Daging Panggang, Wangi!","Memanggang daging mentah di atas unggun api untuk mendapatkan #L#cfa7a0fDading Alpaka#n@1#r (Selepas makan, saya rasa kenyang!!)",#cfa7a0fDaging Panggang
1230,Memotong Rumput,Kumpulkan rumput untuk mendapat Segenggam Rumput#r (Sesuai untuk mengikat barang),Kumpulkan #cfa7a0fSegenggam Rumput
1231,Cahaya dalam kegelapan!,Gunakan Dahan dan Segenggam Rumput untuk membuat #cfa7a0fObor Menyala#n@1#r (Obor biasa hanya dapat menyala untuk masa yang pendek!),Membuat #cfa7a0fObor Menyala
1232,Pelombong,"Kebanyakan batu tersembunyi di bawah permukaan, gunakan Beliung Batu untuk menggali ke bawah, mendapatkan #L#cfa7a0fBatu#n@1#r (Batu diperlukan untuk kebanyakan barang)",Kumpulkan #cfa7a0fBatu#n di bawah tanah
1233,Tukang,Gunakan Kayu dan Batu untuk membuat #L#cfa7a0fMeja Tukang Tidak Lengkap#n@1#r (Meja Tukang dapat membuat lebih banyak item),Membuat #cfa7a0fMeja Tukang Tidak Lengkap
1234,Tukang Meja Peleburan,Gunakan Batu dan Tanah untuk membuat #L#cfa7a0fMeja Peleburan#n@1#r (Melebur bijih dan membuat alat logam),Membuat #cfa7a0fMeja Peleburan#n di Meja Tukang
1235,Langkah Pertama Tukang Masak,Gunakan Batu untuk membuat #L#cfa7a0fPeriuk Batu#n@1#r (Dapat masak makanan sedap),Membuat #cfa7a0fPeriuk Batu#n di Meja Tukang
1236,Menjadi Kuat Selepas Kenyang,Gunakan Tepung Jagung untuk membuat #L#cfa7a0fMee#n@1#r (Letakkan Periuk Batu di atas Unggun Api. Hanya boleh bekerja keras kerana kenyang!),Memasak #cfa7a0fMee#n di Periuk Batu
1237,Permulaan Zaman Tembaga,"Di bawah tanah, gunakan Beliung Batu untuk kumpulkan #L#cfa7a0fBijih Tembaga#n@1#r (Lihat apa yang saya gali di bawah tanah!)",Kumpulkan #cfa7a0fBijih Tembaga
1238,Tenaga Baru?,"Di bawah tanah, gunakan Beliung Batu untuk kumpulkan #L#cfa7a0fAis Mudah Terbakar#n@1#r (Kadang-kadang terdapat juga permukaan dan tebing)",Kumpulkan #cfa7a0fAis Mudah Terbakar
1239,Peleburan Logam: Tembaga,"Di Meja Peleburan, melebur Bijih Tembaga untuk membuat #L#cfa7a0fTembaga#n@1#r (Boleh membuat alat yang lebih baik)",Melebur untuk dapatkan #cfa7a0fTembaga
1240,Tukang Relau Tembaga,Gunakan Tembaga untuk membuat #L#cfa7a0fRelau Tembaga#n@1,Membuat #cfa7a0fRelau Tembaga
1241,Garu Batu,Gunakan Batu dan Dahan untuk membuat #L#cfa7a0fGaru Batu#n@1#r (Anda boleh membajak dengannya),Membuat #cfa7a0fGaru Batu
1242,Raja Makanan,Memegang #L#cfa7a0fBiji Jagung#n dan menanamnya di tanah pertanian@1#r (hanya boleh ditanam di tanah pertanian),Menanam #cfa7a0fJagung
1243,@Null@,@Null@,@Null@
1244,@Null@,@Null@,@Null@
1245,@Null@,@Null@,@Null@
1246,@Null@,@Null@,@Null@
1247,Peleburan Logam : Mithril,"Di Meja Peleburan, melebur Mithril untuk mendapatkan #L#cfa7a0fMithril#n@1",Melebur untuk mendapatkan #cfa7a0fMithril
1248,Pembina Relau Mithril,"Di Meja Tukang, gunakan Mithril untuk membuat #L#cfa7a0fRelau Mithril #n@1",Membuat #cfa7a0fRelau Mithril di Meja Tukang
1249,Alat Rune!,"Di Meja Rune untuk menjalankan Pengaktifan Batu Rune@1#r (Batu Rune Efisiensi boleh mengaktifkan alat, Batu Rune Serangan boleh mengaktifkan senjata, dan Batu Rune Pertahanan boleh mengaktifkan armor)",Menjalankan #cfa7a0fPengaktifan Batu Rune
1250,Peleburan Logam: Titanium,Melebur Bijih Titanium di Relau untuk mendapatkan #L#cfa7a0fTitanium#n@1,Melebur untuk mendapatkan #cfa7a0fTitanium
1251,Permulaan Zaman Teknologi!,Gunakan Titanium dan Dahan untuk membuat #L#cfa7a0fBeliung Titanium #n@1#r (Waktu perlombongan!),Membuat #cfa7a0fBeliung Titanium
1252,Bahan yang tidak sama,"Mencari cip pintar#rdi atas pulau terapung (bertolak, mengembara ke tempat jauh!)",Mendapat#cfa7a0fcip pintar
1253,Menaik taraf Stesen Bintang,Gunakan komponen naik taraf Stesen Bintang untuk menaik taraf Stesen Bintang Teleport#r(mampu menerbang ke planet yang lebih jauh selepas menaik taraf),Menaik taraf#cfa7a0fStesen Bintang Teleport
1254,Dunia Baru-Flamas,Melawat Flamas#r(adalah lebih baik membawa pakaian tahan api untuk mengelakkan dibakar),Menuju ke#cfa7a0fFlamas
1255,@Null@,@Null@,@Null@
1256,(Ditinggalkan) Pembunuh Naga,Kalahkan naga hitam kuno#r(tidak begitu mudah),Kalahkan#cfa7a0fnaga hitam kuno
1257,Kunci Flamas,Dapatkan #L#cfa7a0f broken pedang #n@1#r dari naga naga #r (ini adalah salah satu daripada tiga kunci untuk mengaktifkan Altar Volcano),Dapatkan#cfa7a0fpedang patah
1258,Dunia Baru - Horas,"Melawat Horas#r(udara nipis dekat sini, bawakan topeng oksigen!)",Menuju ke#cfa7a0fHoras
1259,Ketua Horas,Gunakan #L#cfa7a0f REGEN RUNE #N untuk mengaktifkan Totem @1#r (terdapat kejutan di bilik rahsia yang berdekatan!),Aktifkan#cfa7a0fTotem
1260,Gerudi Tembaga Horas,"Kumpulkan Tembaga Horas, Bijih Celesthium, Kayu dan Batu Horas untuk membuat #L#cfa7a0fGerudi Tembaga Horas#n@1#r (Dengar kata bahwa dataran tinggi dan Pulau Terapung ada cahaya Tembaga Horas )",Membuat #cfa7a0fGerudi Tembaga Horas
1261,Cangkuk Jet,"Kumpulkan Tembaga Horas, Batu Ungu Pendarfluor, Kristal Graviti dan Bijih Celesthium untuk membuat #L#cfa7a0fCangkuk Jet#n@1#r (Boleh membuat anda terbang di atas dinding)",Membuat #cfa7a0fCangkuk Jet
1262,Pemanggil Colossus Purba,Memanggil dan mengalahkan Colossus Purba di Horas@1#r (Blok Tungsten/Blok Ambar/Blok Tembaga Horas/Blok Ungu Pendarfluor perlu diletakkan di 4 blok di sebelah teras totem untuk panggilan),Kalahkan #cfa7a0fColossus Purba
1263,Kunci Horas,Mengalahkan gergasi kuno untuk mendapatkan #L#cfa7a0f Giant's Eye #n@1#r (Ini adalah salah satu daripada tiga kunci untuk mengaktifkan Altar Volcano),Mendapat#cfa7a0fMata Colossus
1264,Pencipta Pokok Suci,"Mencari tempat yang luas, menggali lubang dan tanam Biji Suci@1#r (salah satu dari tiga kunci dapat diperolehi di puncak Pokok suci)",Menanam #cfa7a0fPokok Suci
1265,Buah Suci,Kumpulkan teras pokok suci di bahagian atas batang suci untuk mendapatkan #L#cfa7a0f Sacred Fruit #n@1#r (ini adalah salah satu daripada tiga kekunci untuk mengaktifkan Altar Volcano),Kumpulkan#cfa7a0fBuah Suci
1266,Biarlah saya yang pergi,"Kumpulkan tiga kunci miras, horas, dan flamas, dan aktifkan mezbah di kawasan gunung berapi @1#r (masukkan pintu masuk habitat Phantom)",Aktifkan#cfa7a0faltar gunung berapi
1267,Penyelamat!,Kekalahan The Void Phantom @1,Kalahkan#cfa7a0fVoid Phantom
1268,Keledek,Menanam Biji Keledek di Tanah Pertanian untuk menjadi #L#cfa7a0fKeledek#n@1,Menanam #cfa7a0fKeledek
1269,Memasak Keledek Putar,Memasak Keledek di Periuk Batu untuk membuat #L#cfa7a0fKeledek Putar#n@1,Memasak #cfa7a0fKeledek Putar
1270,Keledek Goreng!,"Memasak Keledek Putar, Bunga Dracaena dan Kulit di Periuk Batu untuk membuat #L#cfa7a0fKeledek Goreng#n@1",Memasak #cfa7a0fKeledek Goreng
1271,Dapatkan Daging Lembu,Mengalahkan Lembu untuk mendapatkan #L#cfa7a0fDaging Lembu#n@1,Mendapatkan #cfa7a0fDaging Lembu
1272,Daging Lembu Panggang,Meletakkan daging Lembu di atas Unggun Api untuk memanggang dan mendapatkan #L#cfa7a0fDaging Lembu Panggang#n@1,Mendapatkan #cfa7a0fDaging Lembu Panggang
1273,Mee Panggang,"Gunakan Mee, Bunga Bintang dan Daging Lembu Panggang untuk membuat #L#cfa7a0fMee Panggang#n@1",Memasak #cfa7a0fMee Panggang
1274,Protein,Memberi makanan kepada Ayam dan mendapatkan #L#cfa7a0fTelur Ayam #n@1,Ambil #cfa7a0fTelur Ayam
1275,Pai Melon,Menggunakan Sirap Botol dan Melon untuk memasak #L#cfa7a0fPai Melon#n@1,Memasak #cfa7a0fPai Melon
1276,Selamat Hari Jadi,"Gunakan Susu Botol, Keledek, Daging Ayam dan Tepung Jagung untuk memasak #L#cfa7a0fPizza Panggang#n@1",Memasak #cfa7a0fPizza Panggang
1277,Buah Ceri,Mengumpulkan #L#cfa7a0fBuah Ceri#n di atas pokok@1,Mendapatkan #cfa7a0fBuah Ceri
1278,Hidangan Buah-buahan,"Gunakan Kepingan Melon Berduri, Mangkuk Kayu dan Buah Ceri untuk membuat #L#cfa7a0fHidangan Buah-buahan#n@1",Membuat #cfa7a0fHidangan Buah-buahan
1279,Tukang Masak Imperial,Secara automatik memperoleh gelaran selepas melengkapkan tugas-tugas sebelumnya,Selesai#cfa7a0fprestasi siri membuat makanan
1280,Pertahanan Kuat,Gunakan Kayu dan Dahan untuk membuat #L#cfa7a0fPintu Kayu Ringan#n@1,Membuat #cfa7a0fPintu Kayu Ringan
1281,Mengira Bintang Melalui Tingkap,Gunakan Kayu dan Dahan untuk membuat #L#cfa7a0fTingkap Kayu#n@1,Membuat #cfa7a0fTingkap Kayu
1282,Pewarna Merah,Gunakan Buah Ceri untuk membuat #L#cfa7a0fPewarna Merah#n@1,Membuat #cfa7a0fPewarna
1284,Pekerja Trek,Gunakan Mithril dan Batu untuk membuat#L#cfa7a0fNod Trek#n@1,Membuat #cfa7a0fNod Trek
1285,Roller Coaster! Bertolak!,"Gunakan Mithril, Kayu dan Blok Pendarfluor untuk membuat #L#cfa7a0fRoller Coaster#n@1",Membuat #cfa7a0fRoller Coaster
1286,Berjemur,"Di dataran, kumpulkan #L#cfa7a0fBunga Campanula#n@1",Ambil #cfa7a0fBunga Campanula
1287,Puteri Mahkota Bunga,Gunakan tiga bunga yang berbeza untuk membuat #L#cfa7a0f Bunga Crown #n@1,Membuat#cfa7a0fmahkota bunga
1288,Hari Yang Indah,Selesaikan misi secara automatik selepas menyelesaikan misi sebelumnya,Selesaikan #cfa7a0fPencapaian Siri Asas Pembuatan
1289,Ahli Rune Tahap Sederhana,Gunakan Runes Perantaraan untuk Inlay @1,Bertatah#cfa7a0fRune tahap sederhana
1290,Ahli Rune Tahap Tinggi,Gunakan Runes Advance untuk Inlay @1,Bertatah#cfa7a0fRune tahap tinggi
1291,Pengumpul Batu Rune,Secara automatik memperoleh gelaran selepas melengkapkan tugas-tugas sebelumnya,Selesai#cfa7a0fprestasi siri Rune
1292,Pengembara,Gunakan Mithril dan Dahan untuk membuat #L#cfa7a0fPedang Pendek#n@1,Selesaikan #cfa7a0fPencapaian Siri Tatah
1293,Wira Lembing,Gunakan Tembaga dan Dahan untuk membuat #L#cfa7a0fLembing Panjang#n@1,Membuat #cfa7a0fLembing Panjang
1294,Penuai Nyawa,"Gunakan Titanium, Sardonyx dan Dahan untuk membuat #L#cfa7a0fPenuai#n@1",Membuat #cfa7a0fPenuai
1295,Pendekar Pedang,"Gunakan Tungsten, Ungu Pendarfluor dan Batang Tembaga untuk membuat #L#cfa7a0fPedang Tenaga#n@1",Membuat #cfa7a0fPedang Tenaga
1296,Renjer,"Gunakan Mithril, Kulit Lembut dan Benang Sutera untuk membuat #L#cfa7a0fBusur Mithril#n@1",Membuat #cfa7a0fBusur Mithril
1297,Penyihir,Gunakan Tongkat Sihir dan Teras Kristal Biasa untuk membuat #L#cfa7a0fTongkat Sihir Biasa#n@1,Membuat #cfa7a0fTongkat Sihir
1298,Mahaguru senjata,Secara automatik memperoleh gelaran selepas melengkapkan tugas-tugas sebelumnya,Selesai#cfa7a0fprestasi siri produksi senjata
1299,Helmet Tembaga,Gunakan Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fHelmet Tembaga#n@1,Membuat #cfa7a0fHelmet Tembaga
1300,Helmet Mithril,"Gunakan Mithril, Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fHelmet Mithril#n@1",Membuat #cfa7a0fHelmet Mithril
1301,Helmet Titanium,"Gunakan Mithril, Titanium dan Kulit Lembut untuk membuat #L#cfa7a0fHelmet Titanium#n@1",Membuat #cfa7a0fHelmet Titanium
1302,Helmet Tungsten,"Gunakan Tungsten, Batu Ungu Pendarfluor dan Kulit Lembut untuk membuat #L#cfa7a0fHelmet Tungsten#n@1",Membuat #cfa7a0fHelmet Tungsten
1303,Pelindung Dada Tembaga,Gunakan Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Dada Tembaga#n@1,Membuat #cfa7a0fPelindung Dada Tembaga
1304,Pelindung Dada Mithril,"Gunakan Mithril, Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Dada Mithril#n@1",Membuat #cfa7a0fPelindung Dada Mithril
1305,Pelindung Dada Titanium,"Gunakan Mithril, Titanium dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Dada Titanium#n@1",Membuat #cfa7a0fPelindung Dada Titanium
1306,Pelindung Dada Tungsten,"Gunakan Tungsten, Batu Ungu Pendarfluor dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Dada Tungsten#n@1",Membuat #cfa7a0fPelindung Dada Tungsten
1307,Pelindung Paha Tembaga,Gunakan Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Paha Tembaga#n@1,Membuat #cfa7a0fPelindung Paha Tembaga
1308,Pelindung Paha Mithril,"Gunakan Mithril, Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Paha Mithril#n@1",Membuat #cfa7a0fPelindung Paha Mithril#
1309,Pelindung Paha Titanium,"Gunakan Mithril, Titanium dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Paha Titanium#n@1",Membuat #cfa7a0fPelindung Paha Titanium
1310,Pelindung Paha Tungsten,"Gunakan Tungsten, Ungu Pendarfluor dan Kulit Lembut untuk membuat #L#cfa7a0fPelindung Paha Tungsten#n@1",Membuat #cfa7a0fPelindung Paha Tungsten
1311,But Tembaga,Gunakan Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fBut Tembaga#n@1,Membuat #cfa7a0fBut Tembaga
1312,But Mithril,"Gunakan Mithril, Tembaga dan Kulit Lembut untuk membuat #L#cfa7a0fBut Mithril#n@1",Membuat #cfa7a0fBut Mithril
1313,But Titanium,"Gunakan Mithril, Titanium dan Kulit Lembut untuk membuat #L#cfa7a0fBut Titanium#n@1",Membuat #cfa7a0fBut Titanium
1314,But Tungsten,"Gunakan Tungsten, Ungu Pendarfluor dan Kulit Lembut untuk membuat #L#cfa7a0fBut Tungsten#n@1",Membuat #cfa7a0fBut Tungsten
1315,Mahaguru Pertahanan,Secara automatik memperoleh gelaran selepas melengkapkan tugas-tugas sebelumnya,Selesai#cfa7a0fprestasi siri produksi pertahanan
1316,Pengumpul Perang,Secara automatik memperoleh gelaran selepas melengkapkan tugas-tugas sebelumnya,Selesai#cfa7a0fprestasi siri senjata dan pertahanan
1317,Pemburu Raksasa Lava,Mengalahkan gergasi lava di Flamas @1,Kalahkan#cfa7a0fraksasa lava
1318,Pemburu Pemanah Sulfur,Mengalahkan Archer Sulfur di Flamas @1,Kalahkan#cfa7a0fpemanah sulfur
1319,Penamat Flamas,Secara automatik memperoleh gelaran selepas melengkapkan tugas-tugas sebelumnya,Selesai#cfa7a0fprestasi siri pengalahan makhluk Flamas
1320,Tembaga (I),Melebur 10 #L#cfa7a0fTembaga#n@1,Melebur #cfa7a0fTembaga
1321,Tembaga (II),Melebur 100 #L#cfa7a0fTembaga#n@1,Melebur #cfa7a0fTembaga
1322,Tembaga (III),Melebur 300 #L#cfa7a0fTembaga#n@1,Melebur #cfa7a0fTembaga
1323,Titanium (I),Melebur 10 #L#cfa7a0fTitanium#n@1,Melebur #cfa7a0fTitanium
1324,Titanium (II),Melebur 100 #L#cfa7a0fTitanium#n@1,Melebur #cfa7a0fTitanium
1325,Titanium (III),Melebur 300 #L#cfa7a0fTitanium#n@1,Melebur #cfa7a0fTitanium
1326,Bijih Rune Serang,Gunakan Pickaxe Brass untuk memusnahkan serangan Rune Ore untuk mendapatkan #L#cfa7a0f Attack Rune Stone #n@1,Kumpulkan#cfa7a0fbijih Rune Serang
1327,Bijih Rune Pertahanan,Gunakan Beliung Tembaga untuk memusnahkan Bijih Rune Pertahanan untuk mendapatkan #L#cfa7a0fBatu Rune Pertahanan#n@1,Kumpulkan #cfa7a0fBijih Rune Pertahanan
1328,Bijih Rune Efisiensi,Gunakan Beliung Tembaga untuk memusnahkan Bijih Rune Efisiensi untuk mendapatkan #L#cfa7a0fBatu Rune Efisiensi#n@1,Kumpulkan #cfa7a0fBijih Rune Efisiensi
1329,Raja Pembunuh Naga,Memanggil dan mengalahkan Magma Black Dragon @1,Kalahkan#cfa7a0fnaga hitam lava
1330,Wira Pembunuh Naga,Memanggil dan mengalahkan Chaos Black Dragon @1,Kalahkan#cfa7a0fnaga hitam Chaos
1331,Lembing Batu Purba,Gunakan Batu dan Dahan untuk membuat #L#cfa7a0fLembing Batu#n@1,Membuat #cfa7a0fLembing Batu
1332,Mahaguru Tukang,Memegang Kristal Penciptaan untuk menaik taraf Meja Tukang ke L#cfa7a0fMeja Tukang Lengkap#n@1,Menaik taraf #cfa7a0fMeja Tukang Lengkap
1333,Pakar Pembinaan,"Gunakan Kayu untuk membuat Papan Kayu, selepas itu letakkan Kayu di atas tanah@1",Membuat dan letakkan #cfa7a0fPapan Kayu
1334,Katapel,"Menggunakan Kulit Lembut, Dahan dan Benang Sutra untuk membuat #L#cfa7a0fKatapel#n@1",Membuat #cfa7a0fKatapel
1335,Pengembara Hutan Hujan!,Cari hutan hujan dan kumpulkan pokok hutan hujan yang bercahaya untuk mendapatkan serpihan #L#cfa7a0f Rainforest Core #n@1,Mendapat#cfa7a0fSerpihan Inti Hutan Hujan
1336,Mata Hutan Hujan,Gunakan Tembaga dan fragmen Teras Hutan Hujan untuk membuat #L#cfa7a0fMata Hutan Hujan#n@1,Membuat #cfa7a0fMata Hutan Hujan
1337,Quetzalcoatl,"Kalahkan Quetzalcoatl di Kuil Suci@1#r (Guna Mata Hutan Hujan pada Patung Rosak untuk memanggil Kuil Hutan Hujan, Quetzalcoatl berada di kedalaman kuil)",Kalahkan #cfa7a0fQuetzalcoatl
1338,Biji Benih Suci,Kalahkan Quetzalcoatl di kuil untuk mendapatkan #L#cfa7a0f Sacred Seed #n@1,Mendapat#cfa7a0fbiji benih suci
1339,Batu Kebangkitan,"Di Meja Tukang, gunakan Batu untuk membuatnya, selepas itu meletakkan #L#cfa7a0fPatung Batu#n@1",Meletakkan #cfa7a0fPatung Batu
1340,@Null@,@Null@,@Null@
1341,@Null@,@Null@,@Null@
1342,Biji Jagung,Gunakan Jagung untuk mensintesis #L#cfa7a0fBiji Jagung#n@1,Membuat #cfa7a0fBiji Jagung
