接口ID,马来语,马来语,马来语,马来语,马来语,马来语,马来语
50030,Pemain,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:numberstatus penggunaan, onshift:booleanSama ada mahu menekan kekunci shift",ErrorCode.OK,Buat pemain menggunakan item semasa,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,Pemain,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,Putar kamera pemain,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,Pemain,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,Tukar mod perspektif pemain,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,Pemain,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,Tetapkan status sifat tingkah laku makhluk,"local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Pemain,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,Tukar status atribut tingkah laku pemain,"local result = Player:checkActionAttrState(objid, actionattr)"
50035,Pemain,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Dapatkan HP maksimum semasa,local result = Player:getMaxHP(objid)
50036,Pemain,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Dapatkan nyawa semasa,local result = Player:getCurHP(objid)
50037,Pemain,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pemulihan HP,local result = Player:getHpRecover(objid)
50038,Pemain,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Nilai kelaparan semasa,local result = Player:getCurFood(objid)
50039,Pemain,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Pemain,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tahap oksigen semasa,local result = Player:getCurOxygen(objid)
50041,Pemain,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan berjalan,local result = Player:getWalkSpeed(objid)
50042,Pemain,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan berenang (kelajuan di dalam air),local result = Player:getSwimSpeed(objid)
50043,Pemain,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kekuatan lompat,local result = Player:getJumpPower(objid)
50044,Pemain,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan berlari,local result = Player:getRunSpeed(objid)
50045,Pemain,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan menyelinap,local result = Player:getSneakSpeed(objid)
50046,Pemain,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan mengelak,local result = Player:getDodge(objid)
50047,Pemain,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Serangan jarak dekat,local result = Player:getPunchAttack(objid)
50048,Pemain,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Serangan jarak jauh,local result = Player:getRangeAttack(objid)
50049,Pemain,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pertahanan serangan jarak dekat,local result = Player:getPunchDefense(objid)
50050,Pemain,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pertahanan serangan jarak jauh,local result = Player:getRangeDefense(objid)
50051,Pemain,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Bilangan bintang,"local result = Player:getStarNum(objid, val)"
50052,Pemain,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Saiz model,"local result = Player:getModelScale(objid, val)"
50053,Pemain,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan HP maksimum,"local result = Player:setMaxHP(objid, val)"
50054,Pemain,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan HP,"local result = Player:setHP(objid, val)"
50055,Pemain,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan pemulihan HP,local result = Player:setHpRecover(objid)
50056,Pemain,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan tahap kelaparan semasa,local result = Player:setCurFood(objid)
50057,Pemain,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan oksigen,"local result = Player:setOxygen(objid, val)"
50058,Pemain,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelajuan berjalan,"local result = Player:setWalkSpeed(objid, val)"
50059,Pemain,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelajuan berenang (kelajuan di dalam air),"local result = Player:setSwimSpeed(objid, val)"
50060,Pemain,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kekuatan lompatan,"local result = Player:setJumpPower(objid, val)"
50061,Pemain,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelajuan berjalan,"local result = Player:setRunSpeed(objid, val)"
50062,Pemain,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelajuan menyelinap,"local result = Player:setSneakSpeed(objid, val)"
50063,Pemain,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelajuan mengelak,"local result = Player:setDodge(objid, val)"
50064,Pemain,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan serangan jarak dekat,"local result = Player:setPunchAttack(objid, val)"
50065,Pemain,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan serangan jarak jauh,"local result = Player:setRangeAttack(objid, val)"
50066,Pemain,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan pertahanan serangan jarak dekat,"local result = Player:setPunchDefense(objid, val)"
50067,Pemain,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan pertahanan serangan jarak jauh,"local result = Player:setRangeDefense(objid, val)"
50068,Pemain,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan bilangan bintang,"local result = Player:setStarNum(objid, val)"
50069,Pemain,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan saiz model,"local result = Player:setModelScale(objid, val)"
50070,Pemain,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Tetapkan kedudukan pelakon,"local result = Player:setPosition(objid, x, y, z)"
50071,Pemain,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Dapatkan kedudukan pemain yang tetap,local result = Player:getAimPos(objid)
60001,Makhluk permainan,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OKSudah dewasa sudah dewasa,Adakah anda dewasa,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""Makhluk itu sudah dewasa"") end"
60002,Makhluk permainan,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Sama ada tetapan bergantung kepada oksigen,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""Makhluk itu bergantung kepada oksigen untuk kelangsungan hidup!"") end"
60003,Makhluk permainan,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0Bermakna tidak dikawal",Dapatkan id pemain yang boleh menjinakkan makhluk,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
 local result, nickName = Player:getNickname(ownerId)
 if result == ErrorCode.OK then print('Pemain<'+nickName+'>Haiwan peliharaan。。。')
end"
60004,Makhluk permainan,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Tetapkan sama ada mahu panik,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""Makhluk itu dalam keadaan panik"") end"
60005,Makhluk permainan,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Tetapkan sama ada AI berkuat kuasa,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""AI makhluk telah berlaku"") end"
60006,Makhluk permainan,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Dapatkan ID sumber raksasa,"local wolfId, dogId = 3407, 3408 --Id Sumber serigala / anjing
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
 if actorId == dogId then print(""The creature is A Dog!"") end
 if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Makhluk permainan,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Dapatkan ID sumber raksasa,local result = Creature:getActorName(objid)
60008,Makhluk permainan,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPEJenis atribut pesona, value:number",ErrorCode.OK,Meningkatkan nilai ModAttrib raksasa,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Meningkatkan kelajuan pergerakan makhluk') end"
60009,Makhluk permainan,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPEJenis atribut pesona","ErrorCode.OK, value:number",Dapatkan nilai ModAttrib raksasa,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Kelajuan pergerakan raksasa itu', modAttrVal) end"
60010,Makhluk permainan,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Menubuhkan pasukan makhluk,"local result = Creature:setTeam(objid, teamid)"
60011,Makhluk permainan,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Memperolehi pasukan makhluk,local result = Creature:getTeam(objid)
60012,Makhluk permainan,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Dapatkan tahap kelaparan maksimum,local result = Creature:getMaxFood(objid)
60013,Makhluk permainan,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Dapatkan tahap kelaparan,local result = Creature:getFood(objid)
60014,Makhluk permainan,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelaparan,"local result = Creature:setFood(objid, val)"
60015,Makhluk permainan,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pemulihan HP,local result = Creature:getHpRecover(objid)
60016,Makhluk permainan,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tahap oksigen maksimum,local result = Creature:getMaxOxygen(objid)
60017,Makhluk permainan,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan berjalan,local result = Creature:getWalkSpeed(objid)
60018,Makhluk permainan,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan berenang (kelajuan di dalam air),local result = Creature:getSwimSpeed(objid)
60019,Makhluk permainan,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kelajuan lompatan,local result = Creature:getJumpPower(objid)
60020,Makhluk permainan,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Berat,local result = Creature:getMass(objid)
60021,Makhluk permainan,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Mengelak,local result = Creature:getDodge(objid)
60022,Makhluk permainan,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Serangan jarak dekat,local result = Creature:getPunchAttack(objid)
60023,Makhluk permainan,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Srangan jarak jauh,local result = Creature:getRangeAttack(objid)
60024,Makhluk permainan,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pertahanan serangan jarak dekat,local result = Creature:getPunchDefense(objid)
60025,Makhluk permainan,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Pertahanan serangan jarak jauh,local result = Creature:getRangeDefense(objid)
60026,Makhluk permainan,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan HP,"local result = Creature:setMaxHp(objid, val)"
60027,Makhluk permainan,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan HP,"local result = Creature:setHP(objid, val)"
60028,Makhluk permainan,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan pemulihan HP,local result = Creature:setHpRecover(objid)
60029,Makhluk permainan,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan oksigen,"local result = Creature:setOxygen(objid, val)"
60030,Makhluk permainan,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelajuan berjalan,"local result = Creature:setWalkSpeed(objid, val)"
60031,Makhluk permainan,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kelajuan berenang (kelajuan di dalam air),"local result = Creature:setSwimSpeed(objid, val)"
60032,Makhluk permainan,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan kekuatan lompatan,"local result = Creature:setJumpPower(objid, val)"
60033,Makhluk permainan,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan mengelak,"local result = Creature:setDodge(objid, val)"
60034,Makhluk permainan,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan serangan jarak dekat,"local result = Creature:setPunchAttack(objid, val)"
60035,Makhluk permainan,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan serangan jarak jauh,"local result = Creature:setRangeAttack(objid, val)"
60036,Makhluk permainan,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan perlindungan serangan jarak dekat,"local result = Creature:setPunchDefense(objid, val)"
60037,Makhluk permainan,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Tetapkan perlindungan serangan jarak jauh,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:stringTetapkan nama, value:string or booleanTetapkan nilai",ErrorCode.OK,Tetapkan ringkasan UI pertarungan,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Tukar koordinat dunia ke peta mini,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Penukaran panjang dunia ke peta mini,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Tetapkan mod peta mini. Sudut pandangan putaran 1: 45 darjah; 2: sudut pandangan atas pandangan penuh,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,"Tetapan bentuk penanda peta, ditetapkan sebagai garis","local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,"Tetapan bentuk penanda peta, tetapkan ke bulatan","local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:numberJenis kesan, isloop:booleanSamaadauntukkitar, incspeed:numbertambahanklajuan",ErrorCode.OK,Kesan skrin paparan,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Sistem perbualan,sendChat,Chat:sendChat(content),"content:string, type:number0Bermaknabersembang, 1bermaksudmesejsistem",ErrorCode.OK,Hantar mesej sembang,local result = Chat:sendChat(content)
80002,Sistem perbualan,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0Bermaknabersembang, 1bermaksudmesejsistem",ErrorCode.OK,Hantar mesej sistem,local result = Chat:sendSystemMsg(content)
90001,Pengurusan pasukan,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Dapatkan bilangan pasukan,local result = Team:getNumTeam()
90002,Pengurusan pasukan,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:numberIDpasukan, lalai semua, alive:numbersama ada masih hidup, lalai semua","ErrorCode.OK, num:number
Bilangan pemain pasukan",Dapatkan pemain dari pasukan yang ditentukan,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Pengurusan pasukan,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:numberIDpasukan, lalai semua, alive:numbersama ada masih hidup, lalai semua","ErrorCode.OK, num:number
Bilangan pemain pasukan, array:tableAhliuinarray",Dapatkan pemain dari pasukan yang ditentukan,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Pengurusan pasukan,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:numberIDpasukan, lalai semua, alive:numbersama ada masih hidup, lalai semua","ErrorCode.OK, uin:numberPemain secara rawakuin",Pemain rawak,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Pengurusan pasukan,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Tetapkan markah pasukan,"local result = Team:setTeamScore(teamid, s)"
90006,Pengurusan pasukan,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Dapatkan markah pasukan,local result = Team:getTeamScore(teamid)
90007,Pengurusan pasukan,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Meningkatkan markah pasukan,"local result = Team:addTeamScore(teamid, score)"
90008,Pengurusan pasukan,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Tetapkan kemenangan dan kekalahan pasukan,"local result = Team:setTeamResults(teamid, result)"
90009,Pengurusan pasukan,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Dapatkan kemenangan pasukan semasa,local result = Team:getTeamResults(teamid)
90010,Pengurusan pasukan,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Tetapkan kemenangan dan kekalahan pasukan pemain,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Pengurusan pasukan,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Tetapkan jumlah kematian dalam pasukan,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Pengurusan pasukan,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Dapatkan jumlah kematian pasukan,local result = Team:getTeamDieTimes(teamid)
90013,Pengurusan pasukan,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Meningkatkan jumlah kematian dalam pasukan,local result = Team:addTeamDieTimes(teamid)
90014,Pengurusan pasukan,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Tukar pasukan pemain,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Pengurusan alat,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Dapatkan nama item,local result = Item:getItemName(itemid)
100002,Pengurusan alat,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Dapatkan ID item,local result = Item:getItemId(objid)
100003,Pengurusan alat,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Dapatkan jumlah alat penurunan,local result = Item:getDropItemNum(objid)
110001,Pengurusan beg galas,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:numberJenis beg galas, bar pintasan, bar simpanan, bar peralatan","ErrorCode.OK, begid:numberPermulaangriditemID, endid:numberalatakhirID",Dapatkan rangkaian ID beg galas (ID Mula ~ ID Akhir),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Pengurusan beg galas,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Dapatkan saiz bar beg galas item,local result = Backpack:getBackpackBarSize(bartype)
110003,Pengurusan beg galas,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:numberalatID, itemid:number, num:numberlalai1, durability:numberketahanan, ketahanan penuh secara lalai",ErrorCode.OK,Tetapkan alat kelengkapan beg galas,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Pengurusan beg galas,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:numberlalai semua alat peraga",ErrorCode.OK,"Keluarkan sebilangan alat peraga dalam slot beg galas melalui slot alat peraga, keluarkan semua secara lalai","local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Pengurusan beg galas,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number默认全部道具","ErrorCode.OK, num:number Remove the number successfully","Keluarkan sebilangan alat peraga dalam beg galas, dan keluarkan melalui ID alat, semuanya dikeluarkan secara lalai","local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Pengurusan beg galas,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:numberjenisbeggalas",ErrorCode.OK,Kosongkan bar beg galas yang ditentukan,"local result = Backpack:clearPack(playerid, bartype)"
110007,Pengurusan beg galas,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Kosongkan semua beg galas (termasuk bar beg galas, bar pintasan, bar peralatan)",local result = Backpack:clearAllPack(playerid)
110008,Pengurusan beg galas,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:numberpindahkansemuasecaralalai",ErrorCode.OK,"Pindahkan alat beg galas, semuanya dipindahkan secara lalai","local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Pengurusan beg galas,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Tukarkan alat beg galas,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Pengurusan beg galas,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:numberlalai1",ErrorCode.OK,Sama ada beg galas (termasuk bar beg galas dan bar pintasan) mempunyai ruang yang cukup untuk menyimpan sejumlah alat peraga,"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Pengurusan beg galas,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",Hitung baki jumlah item yang boleh disimpan di dalam beg galas (termasuk bar beg galas dan bar pintasan),"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Pengurusan beg galas,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:numberjenisbeggalas","ErrorCode.OK, num:numberBilangan, array:tablebeg galasIDsusunan","Dapatkan senarai ID grid yang sah di bar beg galas item (item sudah ada), dan pelbagai ID grid beg galas","local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Pengurusan beg galas,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:numberjenisbeggalas","ErrorCode.OK, num:numberkuantiti, arr:tablealatIDarray","Dapatkan alat peraga yang terdapat di bar beg galas, dan susunan ID alat peraga","local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Pengurusan beg galas,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Periksa sama ada beg galas memegang barang tertentu,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Pengurusan beg galas,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:numberJumlah alat peraga, arr:tablebeg galasIDarray","Dapatkan jumlah keseluruhan item tertentu yang dipegang oleh beg galas, dan kembalikan susunan beg galas yang mengandungi alat peraga pada masa yang sama","local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Pengurusan beg galas,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Dapatkan ID dan kuantiti item beg galas,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Pengurusan beg galas,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Dapatkan nama item beg galas,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Pengurusan beg galas,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Dapatkan bilangan penyangga beg galas dan jumlah timbunan maksimum,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Pengurusan beg galas,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Dapatkan ketahanan dan ketahanan maksimum item beg galas,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Pengurusan beg galas,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:numberkuantiti, arr:tablehiasanIDarray",Dapatkan pesona item beg galas dan kembalikan array id pesona,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Pengurusan beg galas,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:numberjenisalat",Dapatkan alat beg galas jenis alat (<0 bermaksud bukan alat),"local result = Backpack:getGridToolType(playerid, gridid)"
