接口ID,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语,西班牙语
50041,Jugador,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidad de caminar,local result = Player:getWalkSpeed(objid)
50042,Jugador,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidad de natación (en el agua),local result = Player:getSwimSpeed(objid)
50043,Jugador,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Fuerza de salto,local result = Player:getJumpPower(objid)
50044,Jugador,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidad de carrera,local result = Player:getRunSpeed(objid)
50045,Jugador,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidad de sigilo,local result = Player:getSneakSpeed(objid)
50046,Jugador,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidad de esquivar,local result = Player:getDodge(objid)
50047,Jugador,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque cuerpo a cuerpo,local result = Player:getPunchAttack(objid)
50048,Jugador,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque a distancia,local result = Player:getRangeAttack(objid)
50049,Jugador,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defensa cuerpo a cuerpo,local result = Player:getPunchDefense(objid)
50050,Jugador,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defensa a distancia,local result = Player:getRangeDefense(objid)
50051,Jugador,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Calificación de estrellas,"local result = Player:getStarNum(objid, val)"
50052,Jugador,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Tamaño de la plantilla,"local result = Player:getModelScale(objid, val)"
50053,Jugador,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer max HP,"local result = Player:setMaxHP(objid, val)"
50054,Jugador,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer HP,"local result = Player:setHP(objid, val)"
50055,Jugador,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Establecer la recuperación de HP,local result = Player:setHpRecover(objid)
50056,Jugador,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Definir la saciedad actual.,local result = Player:setCurFood(objid)
50057,Jugador,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Ajustar oxigeno,"local result = Player:setOxygen(objid, val)"
50058,Jugador,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer la velocidad de caminar,"local result = Player:setWalkSpeed(objid, val)"
50059,Jugador,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Ajuste la velocidad de natación (en agua),"local result = Player:setSwimSpeed(objid, val)"
50060,Jugador,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer fuerza de salto,"local result = Player:setJumpPower(objid, val)"
50061,Jugador,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer velocidad de carrera,"local result = Player:setRunSpeed(objid, val)"
50062,Jugador,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer velocidad de sigilo,"local result = Player:setSneakSpeed(objid, val)"
50063,Jugador,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer velocidad de esquivar,"local result = Player:setDodge(objid, val)"
50064,Jugador,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer ataque cuerpo a cuerpo,"local result = Player:setPunchAttack(objid, val)"
50065,Jugador,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer ataque a distancia,"local result = Player:setRangeAttack(objid, val)"
50066,Jugador,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir defensa cuerpo a cuerpo.,"local result = Player:setPunchDefense(objid, val)"
50067,Jugador,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer distancia de defensa,"local result = Player:setRangeDefense(objid, val)"
50068,Jugador,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer número de estrella,"local result = Player:setStarNum(objid, val)"
50069,Jugador,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer tamaño de plantilla,"local result = Player:setModelScale(objid, val)"
50070,Jugador,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Establecer ubicación del actor,"local result = Player:setPosition(objid, x, y, z)"
50071,Jugador,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Obtener la posición de puntería del jugador,local result = Player:getAimPos(objid)
60001,Criatura,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,¿Eres un adulto?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Criatura,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Definir si se requiere oxígeno.,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Criatura,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Consigue el id del jugador que domó a la criatura.,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Criatura,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Definir si provoca pánico.,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Criatura,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Establecer si la IA entra en vigor,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Criatura,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Obtener ID de recurso de Monster,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Criatura,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Obtener ID de recurso de Monster,local result = Creature:getActorName(objid)
60008,Criatura,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Aumentar Monster ModAttrib,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Criatura,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Aumentar Monster ModAttrib,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Criatura,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Establece el equipo de criaturas.,"local result = Creature:setTeam(objid, teamid)"
60011,Criatura,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Establece el equipo de criaturas.,local result = Creature:getTeam(objid)
60012,Criatura,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Consigue la máxima saciedad,local result = Creature:getMaxFood(objid)
60013,Criatura,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obtener la saciedad,local result = Creature:getFood(objid)
60014,Criatura,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer la saciedad,"local result = Creature:setFood(objid, val)"
60015,Criatura,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP recupera,local result = Creature:getHpRecover(objid)
60016,Criatura,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Volumen máximo de oxígeno,local result = Creature:getMaxOxygen(objid)
60017,Criatura,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidad de caminar,local result = Creature:getWalkSpeed(objid)
60018,Criatura,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidad de natación (en el agua),local result = Creature:getSwimSpeed(objid)
60019,Criatura,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Fuerza de salto,local result = Creature:getJumpPower(objid)
60020,Criatura,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Peso,local result = Creature:getMass(objid)
60021,Criatura,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Esquivar,local result = Creature:getDodge(objid)
60022,Criatura,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque cuerpo a cuerpo,local result = Creature:getPunchAttack(objid)
60023,Criatura,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque a distancia,local result = Creature:getRangeAttack(objid)
60024,Criatura,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defensa cuerpo a cuerpo,local result = Creature:getPunchDefense(objid)
60025,Criatura,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defensa a distancia,local result = Creature:getRangeDefense(objid)
60026,Criatura,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer HP,"local result = Creature:setMaxHp(objid, val)"
60027,Criatura,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer HP,"local result = Creature:setHP(objid, val)"
60028,Criatura,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Establecer la recuperación de HP,local result = Creature:setHpRecover(objid)
60029,Criatura,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir oxigeno,"local result = Creature:setOxygen(objid, val)"
60030,Criatura,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer la velocidad de caminar,"local result = Creature:setWalkSpeed(objid, val)"
60031,Criatura,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Ajuste la velocidad de natación (en agua),"local result = Creature:setSwimSpeed(objid, val)"
60032,Criatura,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer la fuerza de salto.,"local result = Creature:setJumpPower(objid, val)"
60033,Criatura,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establece el esquivar,"local result = Creature:setDodge(objid, val)"
60034,Criatura,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer ataque cuerpo a cuerpo,"local result = Creature:setPunchAttack(objid, val)"
60035,Criatura,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer ataque a distancia,"local result = Creature:setRangeAttack(objid, val)"
60036,Criatura,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir defensa cuerpo a cuerpo.,"local result = Creature:setPunchDefense(objid, val)"
60037,Criatura,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Establecer distancia de defensa,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Establecer el resumen de la lucha UI,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Coordenadas mundiales cambiadas a mini mapa,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Se ha cambiado la longitud del mundo a mini mapa.,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Configure el modo de minimapa: 1. Ángulo de rotación de 45 °. 2. Vista de ángulo de imagen completa,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Ajuste de la forma de las marcas del mapa. Establecer como línea,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Ajuste de la forma de las marcas del mapa. Establecer como circulo,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Efecto de pantalla,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Charla,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Enviar mensaje de chat,local result = Chat:sendChat(content)
80002,Charla,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Enviar mensaje del sistema,local result = Chat:sendSystemMsg(content)
90001,Equipo,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Consigue el número de equipos.,local result = Team:getNumTeam()
90002,Equipo,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Consigue el equipo de jugadores designados.,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Equipo,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Consigue el equipo de jugadores designados.,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Equipo,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Jugador aleatorio,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Equipo,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Establecer la puntuación del equipo,"local result = Team:setTeamScore(teamid, s)"
90006,Equipo,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Obtener puntaje del equipo,local result = Team:getTeamScore(teamid)
90007,Equipo,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Aumentar el puntaje del equipo,"local result = Team:addTeamScore(teamid, score)"
90008,Equipo,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Establecer ganar el equipo,"local result = Team:setTeamResults(teamid, result)"
90009,Equipo,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Consigue el equipo actual de ganarlos.,local result = Team:getTeamResults(teamid)
90010,Equipo,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Set gánalos los jugadores del equipo,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Equipo,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Establecer las muertes totales del equipo.,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Equipo,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Consigue las muertes totales del equipo,local result = Team:getTeamDieTimes(teamid)
90013,Equipo,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Aumentar las muertes totales del equipo.,local result = Team:addTeamDieTimes(teamid)
90014,Equipo,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Cambiar Equipo de Jugador,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Objetos,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Obtener nombre del elemento,local result = Item:getItemName(itemid)
100002,Objetos,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Obtener ID de artículo,local result = Item:getItemId(objid)
100003,Objetos,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Consigue el número de dorps,local result = Item:getDropItemNum(objid)
110001,Mochila,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Obtenga la gama de ID de mochila (ID de inicio ~ ID de finalización),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Mochila,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Consigue el tamaño de la barra de mochila.,local result = Backpack:getBackpackBarSize(bartype)
110003,Mochila,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Pon la mochila,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Mochila,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Retire algunos artículos de la barra de mochila. Eliminado por las ranuras de elementos. Todos eliminados por defecto,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Mochila,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Retire algunos artículos de la barra de mochila. Eliminado por ID de artículo. Todos eliminados por defecto,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Mochila,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Mochila designate clara,"local result = Backpack:clearPack(playerid, bartype)"
110007,Mochila,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Borrar toda la mochila (incluida la barra de mochila, barra de acceso directo, barra de equipamiento)",local result = Backpack:clearAllPack(playerid)
110008,Mochila,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Retire los artículos de la mochila. Todos descargados por defecto,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Mochila,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Intercambio de artículos de mochila,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Mochila,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 4",ErrorCode.OK,"Si hay suficiente espacio en la mochila (incluida la barra de mochila, barra de acceso directo) para almacenar artículos","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Mochila,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Calcule el número total de elementos que puede almacenar la mochila (incluida la barra de mochila, la barra de acceso directo)","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Mochila,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Obtenga una lista de identificación válida de los artículos que ya están en la barra de mochila. ID del artículo,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Mochila,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Consigue artículos ya en la barra de mochila. ID del artículo,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Mochila,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Detectar si hay algún artículo designado en la mochila.,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Mochila,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Obtener el número total de artículos en la mochila. Volver a las mochilas con artículos.,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Mochila,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Obtener ID y número de artículo en la mochila,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Mochila,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Obtener el nombre del artículo en la mochila,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Mochila,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Obtenga el número de artículos en la mochila y máx. de baterias,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Mochila,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Consigue la durabilidad de la mochila y la máxima durabilidad.,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Mochila,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Compra el elemento de encantamiento en la mochila. Volver a la identificación de encantamiento.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Mochila,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Obtener el tipo de herramienta del elemento en la mochila (<0 significa que no es herramienta),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Mochila,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Añadir artículo a la mochila.,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Mochila,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Deseche el artículo en la mochila.,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Mochila,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Obtenga el número de artículos en una ranura de mochila,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Mini Mapa,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Nueva forma (línea, rectángulo, círculo)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Mini Mapa,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Eliminar una forma,local result = MapMark:deleteShape(shapeid)
120003,Mini Mapa,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Establecer forma y color,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Mini Mapa,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Establecer la forma mostrada u oculta,"local result = MapMark:showShape(shapeid, showflag)"
120005,Mini Mapa,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Actualizar la forma (línea). Agregue la coordenada inicial y la coordenada final,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Mini Mapa,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Actualizar la forma (rectángulo). Agregue la coordenada inicial y la coordenada final,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,Mini Mapa,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Actualizar la forma (círculo). Añadir coordenadas centro y radio,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Punto Resurreción,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Obtener la ubicación del punto de respuesta,local result = Spawnport:getSpawnPoint()
130002,Punto Resurreción,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",Obtener el punto de respuesta en la región. Agregue la posición del bloque aleatorio en la región.,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
