接口ID,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语,巴西葡萄牙语
50041,Jogador,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidade de caminhada,local result = Player:getWalkSpeed(objid)
50042,Jogador,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidade de natação (na água),local result = Player:getSwimSpeed(objid)
50043,Jogador,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Força de Salto,local result = Player:getJumpPower(objid)
50044,Jogador,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidade de corrida,local result = Player:getRunSpeed(objid)
50045,Jogador,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidade furtiva,local result = Player:getSneakSpeed(objid)
50046,Jogador,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Esquivando-se da velocidade,local result = Player:getDodge(objid)
50047,Jogador,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque corpo a corpo,local result = Player:getPunchAttack(objid)
50048,Jogador,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque à distância,local result = Player:getRangeAttack(objid)
50049,Jogador,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defesa corpo a corpo,local result = Player:getPunchDefense(objid)
50050,Jogador,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defesa à distância,local result = Player:getRangeDefense(objid)
50051,Jogador,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Número de estrelas,"local result = Player:getStarNum(objid, val)"
50052,Jogador,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Tamanho do modelo,"local result = Player:getModelScale(objid, val)"
50053,Jogador,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir o max HP,"local result = Player:setMaxHP(objid, val)"
50054,Jogador,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir HP,"local result = Player:setHP(objid, val)"
50055,Jogador,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Definir a recuperação da HP,local result = Player:setHpRecover(objid)
50056,Jogador,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Definir a saciedade atual,local result = Player:setCurFood(objid)
50057,Jogador,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Ajuste o oxigênio,"local result = Player:setOxygen(objid, val)"
50058,Jogador,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir velocidade de caminhada,"local result = Player:setWalkSpeed(objid, val)"
50059,Jogador,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir velocidade de natação (na água),"local result = Player:setSwimSpeed(objid, val)"
50060,Jogador,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir força de salto,"local result = Player:setJumpPower(objid, val)"
50061,Jogador,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir velocidade de corrida,"local result = Player:setRunSpeed(objid, val)"
50062,Jogador,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir velocidade furtiva,"local result = Player:setSneakSpeed(objid, val)"
50063,Jogador,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir velocidade de esquiva,"local result = Player:setDodge(objid, val)"
50064,Jogador,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir ataque corpo a corpo,"local result = Player:setPunchAttack(objid, val)"
50065,Jogador,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir ataque à distância,"local result = Player:setRangeAttack(objid, val)"
50066,Jogador,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Defina defesa corpo-a-corpo,"local result = Player:setPunchDefense(objid, val)"
50067,Jogador,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir defesa à distância,"local result = Player:setRangeDefense(objid, val)"
50068,Jogador,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir o número de estrelas,"local result = Player:setStarNum(objid, val)"
50069,Jogador,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir o tamanho do modelo,"local result = Player:setModelScale(objid, val)"
50070,Jogador,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Definir a localização do ator,"local result = Player:setPosition(objid, x, y, z)"
50071,Jogador,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Obter a posição de mira do jogador,local result = Player:getAimPos(objid)
60001,Criatura,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,É adulto?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Criatura,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Definir se o oxigênio é necessário,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Criatura,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Obter o id do jogador que tenha domesticado a criatura,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Criatura,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Definir se causa pânico,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Criatura,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Defina se AI entrar em vigor,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Criatura,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Obter ID do recurso de monstro,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Criatura,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Obter ID do recurso de monstro,local result = Creature:getActorName(objid)
60008,Criatura,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Aumentar o ModAttrib do monstro,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Criatura,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Aumentar o ModAttrib do monstro,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Criatura,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Defina a equipe de criaturas,"local result = Creature:setTeam(objid, teamid)"
60011,Criatura,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Defina a equipe de criaturas,local result = Creature:getTeam(objid)
60012,Criatura,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obter a saciedade máxima,local result = Creature:getMaxFood(objid)
60013,Criatura,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obter saciedade,local result = Creature:getFood(objid)
60014,Criatura,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir saciedade,"local result = Creature:setFood(objid, val)"
60015,Criatura,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP recuperar,local result = Creature:getHpRecover(objid)
60016,Criatura,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Volume máximo de oxigênio,local result = Creature:getMaxOxygen(objid)
60017,Criatura,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidade de caminhada,local result = Creature:getWalkSpeed(objid)
60018,Criatura,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Velocidade de natação (na água),local result = Creature:getSwimSpeed(objid)
60019,Criatura,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Força de Salto,local result = Creature:getJumpPower(objid)
60020,Criatura,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Peso,local result = Creature:getMass(objid)
60021,Criatura,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Esquivar,local result = Creature:getDodge(objid)
60022,Criatura,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque corpo a corpo,local result = Creature:getPunchAttack(objid)
60023,Criatura,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ataque à distância,local result = Creature:getRangeAttack(objid)
60024,Criatura,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defesa corpo a corpo,local result = Creature:getPunchDefense(objid)
60025,Criatura,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Defesa à distância,local result = Creature:getRangeDefense(objid)
60026,Criatura,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir HP,"local result = Creature:setMaxHp(objid, val)"
60027,Criatura,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir HP,"local result = Creature:setHP(objid, val)"
60028,Criatura,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Definir Recuperacao HP,local result = Creature:setHpRecover(objid)
60029,Criatura,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir Oxigenio,"local result = Creature:setOxygen(objid, val)"
60030,Criatura,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir velocidade de caminhada,"local result = Creature:setWalkSpeed(objid, val)"
60031,Criatura,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir velocidade de natação (na água),"local result = Creature:setSwimSpeed(objid, val)"
60032,Criatura,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir a força de salto,"local result = Creature:setJumpPower(objid, val)"
60033,Criatura,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir a esquiva,"local result = Creature:setDodge(objid, val)"
60034,Criatura,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir ataque corpo a corpo,"local result = Creature:setPunchAttack(objid, val)"
60035,Criatura,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir ataque à distância,"local result = Creature:setRangeAttack(objid, val)"
60036,Criatura,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Defina defesa corpo-a-corpo,"local result = Creature:setPunchDefense(objid, val)"
60037,Criatura,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Definir defesa à distância,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Definir a UI de resumo da luta,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Coordenada mundial alterada para mini mapa,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Comprimento do Mundo alterado para mini mapa,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Defina o modo minimapa: 1. Ângulo de rotação de 45 °. 2. Imagem completa ângulo vista,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Configuração de forma de marcas de mapa. Definir como linha,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Configuração de forma de marcas de mapa. Definir como círculo,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Efeito de Tela,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Chat,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Enviar mensagem de chat,local result = Chat:sendChat(content)
80002,Chat,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Enviar mensagem do sistema,local result = Chat:sendSystemMsg(content)
90001,Equipe,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Obter o número de equipes,local result = Team:getNumTeam()
90002,Equipe,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Obter o time de jogadores designados,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Equipe,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Obter o time de jogadores designados,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Equipe,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Jogador Aleatório,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Equipe,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Definir a pontuação da equipe,"local result = Team:setTeamScore(teamid, s)"
90006,Equipe,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Obter a pontuação da equipe,local result = Team:getTeamScore(teamid)
90007,Equipe,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Aumentar a pontuação da equipe,"local result = Team:addTeamScore(teamid, score)"
90008,Equipe,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Defina o win-los da equipe,"local result = Team:setTeamResults(teamid, result)"
90009,Equipe,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Receba o atual win-los da equipe,local result = Team:getTeamResults(teamid)
90010,Equipe,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Defina o win-los da equipe de jogadores,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Equipe,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Definir o total de mortes da equipe,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Equipe,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Obter o total de mortes da equipe,local result = Team:getTeamDieTimes(teamid)
90013,Equipe,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Aumentar o total de mortes da equipe,local result = Team:addTeamDieTimes(teamid)
90014,Equipe,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Mudar a equipe do jogador,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Ferramentas ,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Obter o nome do item,local result = Item:getItemName(itemid)
100002,Ferramentas ,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Obter o ID do item,local result = Item:getItemId(objid)
100003,Ferramentas ,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Obter o número de dorps,local result = Item:getDropItemNum(objid)
110001,Mochila,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Obter a gama de barra de mochila ID(Start ID~End ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Mochila,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Obter o tamanho da barra de mochila,local result = Backpack:getBackpackBarSize(bartype)
110003,Mochila,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Coloque a mochila,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Mochila,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Remova alguns itens na barra de mochila. Removido por slots de itens. Tudo removido por padrão,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Mochila,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Remova alguns itens na barra de mochila. Removido pelo ID do item. Tudo removido por padrão,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Mochila,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Limpar designar mochila,"local result = Backpack:clearPack(playerid, bartype)"
110007,Mochila,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Limpar toda a mochila (incluindo barra de mochila, barra de atalho, equipar bar)",local result = Backpack:clearAllPack(playerid)
110008,Mochila,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Remova itens na mochila. Tudo transferido por padrão,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Mochila,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Mochila de itens de troca,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Mochila,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 5",ErrorCode.OK,"Se houver espaço suficiente na mochila (incluindo barra de mochila, barra de atalhos) para armazenar itens","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Mochila,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Calcular o número total de itens restantes que a mochila (incluindo barra de mochila, barra de atalhos) pode armazenar","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Mochila,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Obter lista válida de ID de itens que já estão na barra de mochila. ID do item,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Mochila,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Obter itens já na barra de mochila. ID do item,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Mochila,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Detectar se há algum item designado na mochila,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Mochila,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Obter o número total de itens na mochila. Retornar para mochilas com itens,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Mochila,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Obter o ID e o número do item na mochila,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Mochila,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Obter o nome do item na mochila,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Mochila,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Obter o número de itens na mochila e no máx. de pilhas,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Mochila,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Obtenha durabilidade de itens na mochila e máxima durabilidade,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Mochila,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Adquira encantamento de itens na mochila. Retornar para o ID do encantamento.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Mochila,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Obter o tipo de ferramenta de item na mochila (<0 significa não-ferramenta),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Mochila,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Adicione o item à mochila,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Mochila,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Descarte o item na mochila,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Mochila,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Obter o número de itens em um slot de mochila,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Mini Mapa,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Nova forma (linha, retângulo, círculo)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Mini Mapa,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Excluir uma forma,local result = MapMark:deleteShape(shapeid)
120003,Mini Mapa,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Definir a forma e cor,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Mini Mapa,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Definir forma exibida ou ocultada,"local result = MapMark:showShape(shapeid, showflag)"
120005,Mini Mapa,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Atualize a forma (linha). Adicionar coordenada inicial e coordenada final,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Mini Mapa,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Atualize a forma (retângulo). Adicionar coordenada inicial e coordenada final,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,Mini Mapa,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Atualize a forma (círculo). Adicionar coordenadas do centro e raio,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Ponto Renascimento,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Obter a localização do ponto de respaw,local result = Spawnport:getSpawnPoint()
130002,Ponto Renascimento,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",Obtenha o ponto de respaw na região. Adicione a posição do bloco aleatório na região,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
