接口ID,意大利语,意大利语,意大利语,意大利语,意大利语,意大利语,意大利语
50039,Giocatore,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Giocatore,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Volume ossigeno corrente,local result = Player:getCurOxygen(objid)
50041,Giocatore,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",velocità Walking,local result = Player:getWalkSpeed(objid)
50042,Giocatore,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",velocità Piscina (in acqua),local result = Player:getSwimSpeed(objid)
50043,Giocatore,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",la forza di salto,local result = Player:getJumpPower(objid)
50044,Giocatore,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",velocità di marcia,local result = Player:getRunSpeed(objid)
50045,Giocatore,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",velocità sneaking,local result = Player:getSneakSpeed(objid)
50046,Giocatore,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",velocità schivare,local result = Player:getDodge(objid)
50047,Giocatore,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attacco corpo a corpo,local result = Player:getPunchAttack(objid)
50048,Giocatore,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attacco a distanza,local result = Player:getRangeAttack(objid)
50049,Giocatore,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",difesa melee,local result = Player:getPunchDefense(objid)
50050,Giocatore,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",difesa a Distanza,local result = Player:getRangeDefense(objid)
50051,Giocatore,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Numero di stelle,"local result = Player:getStarNum(objid, val)"
50052,Giocatore,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Dimensioni del modello,"local result = Player:getModelScale(objid, val)"
50053,Giocatore,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare il max HP,"local result = Player:setMaxHP(objid, val)"
50054,Giocatore,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,set HP,"local result = Player:setHP(objid, val)"
50055,Giocatore,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Set di recupero HP,local result = Player:setHpRecover(objid)
50056,Giocatore,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Imposta sazietà corrente,local result = Player:setCurFood(objid)
50057,Giocatore,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare l'ossigeno,"local result = Player:setOxygen(objid, val)"
50058,Giocatore,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la velocità a piedi,"local result = Player:setWalkSpeed(objid, val)"
50059,Giocatore,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la velocità di nuoto (in acqua),"local result = Player:setSwimSpeed(objid, val)"
50060,Giocatore,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set forza salto,"local result = Player:setJumpPower(objid, val)"
50061,Giocatore,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Imposta velocità di marcia,"local result = Player:setRunSpeed(objid, val)"
50062,Giocatore,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la velocità furtivamente,"local result = Player:setSneakSpeed(objid, val)"
50063,Giocatore,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la velocità schivando,"local result = Player:setDodge(objid, val)"
50064,Giocatore,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attacco in mischia,"local result = Player:setPunchAttack(objid, val)"
50065,Giocatore,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attacco a distanza,"local result = Player:setRangeAttack(objid, val)"
50066,Giocatore,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la difesa in mischia,"local result = Player:setPunchDefense(objid, val)"
50067,Giocatore,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set variava difesa,"local result = Player:setRangeDefense(objid, val)"
50068,Giocatore,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare il numero di stelle,"local result = Player:setStarNum(objid, val)"
50069,Giocatore,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare le dimensioni del modello di,"local result = Player:setModelScale(objid, val)"
50070,Giocatore,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Impostare la posizione dell'attore,"local result = Player:setPosition(objid, x, y, z)"
50071,Giocatore,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Prendi la posizione mirino di giocatore,local result = Player:getAimPos(objid)
60001,Creatura,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,E 'adulta?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Creatura,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Impostare se l'ossigeno è necessario,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Creatura,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Ottenere l'id del giocatore che ha domato creatura,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Creatura,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Impostare se provoca il panico,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Creatura,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Impostare se AI ha effetto,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Creatura,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Ottenere ID di risorsa mostro,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Creatura,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Ottenere ID di risorsa mostro,local result = Creature:getActorName(objid)
60008,Creatura,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Aumentare la ModAttrib del mostro,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Creatura,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Aumentare la ModAttrib del mostro,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Creatura,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Impostare la squadra creatura,"local result = Creature:setTeam(objid, teamid)"
60011,Creatura,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Impostare la squadra creatura,local result = Creature:getTeam(objid)
60012,Creatura,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Get sazietà max,local result = Creature:getMaxFood(objid)
60013,Creatura,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Get sazietà,local result = Creature:getFood(objid)
60014,Creatura,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,set sazietà,"local result = Creature:setFood(objid, val)"
60015,Creatura,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP recuperare,local result = Creature:getHpRecover(objid)
60016,Creatura,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",volume massimo di ossigeno,local result = Creature:getMaxOxygen(objid)
60017,Creatura,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",velocità Walking,local result = Creature:getWalkSpeed(objid)
60018,Creatura,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",velocità Piscina (in acqua),local result = Creature:getSwimSpeed(objid)
60019,Creatura,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",la forza di salto,local result = Creature:getJumpPower(objid)
60020,Creatura,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Peso,local result = Creature:getMass(objid)
60021,Creatura,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Schivare,local result = Creature:getDodge(objid)
60022,Creatura,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attacco corpo a corpo,local result = Creature:getPunchAttack(objid)
60023,Creatura,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attacco a distanza,local result = Creature:getRangeAttack(objid)
60024,Creatura,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",difesa melee,local result = Creature:getPunchDefense(objid)
60025,Creatura,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",difesa a Distanza,local result = Creature:getRangeDefense(objid)
60026,Creatura,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,set HP,"local result = Creature:setMaxHp(objid, val)"
60027,Creatura,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,set HP,"local result = Creature:setHP(objid, val)"
60028,Creatura,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Set di recupero HP,local result = Creature:setHpRecover(objid)
60029,Creatura,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,set di ossigeno,"local result = Creature:setOxygen(objid, val)"
60030,Creatura,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la velocità a piedi,"local result = Creature:setWalkSpeed(objid, val)"
60031,Creatura,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la velocità di nuoto (in acqua),"local result = Creature:setSwimSpeed(objid, val)"
60032,Creatura,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la forza di salto,"local result = Creature:setJumpPower(objid, val)"
60033,Creatura,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,set schivare,"local result = Creature:setDodge(objid, val)"
60034,Creatura,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attacco in mischia,"local result = Creature:setPunchAttack(objid, val)"
60035,Creatura,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attacco a distanza,"local result = Creature:setRangeAttack(objid, val)"
60036,Creatura,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Impostare la difesa in mischia,"local result = Creature:setPunchDefense(objid, val)"
60037,Creatura,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set variava difesa,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Set UI sintesi di lotta,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Mondiale coordinata cambiato in minimappa,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",lunghezza wolrd cambiato minimappa,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Modalità minimappa set: 1. 45 ° angolo di rotazione. Angolo di Overlook 2. pic completa,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Forma impostazione dei marchi della mappa. Imposta come linea,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Forma impostazione dei marchi della mappa. Imposta come cerchio,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Effetto schermo di visualizzazione,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Chiacchierare,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Invia un messaggio chat,local result = Chat:sendChat(content)
80002,Chiacchierare,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Invia un messaggio di sistema,local result = Chat:sendSystemMsg(content)
90001,Squadra,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Ottenere il numero di squadre,local result = Team:getNumTeam()
90002,Squadra,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Prendi il team di giocatore designato,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Squadra,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Prendi il team di giocatore designato,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Squadra,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",casuale Player,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Squadra,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Impostare il punteggio di squadra,"local result = Team:setTeamScore(teamid, s)"
90006,Squadra,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Prendi il punteggio di squadra,local result = Team:getTeamScore(teamid)
90007,Squadra,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Aumentare il punteggio di squadra,"local result = Team:addTeamScore(teamid, score)"
90008,Squadra,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Impostare il win-los della squadra,"local result = Team:setTeamResults(teamid, result)"
90009,Squadra,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Prendi l'attuale win-los della squadra,local result = Team:getTeamResults(teamid)
90010,Squadra,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Impostare il win-los del team giocatore,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Squadra,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Impostare le morti totali di squadra,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Squadra,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",I morti totali di squadra,local result = Team:getTeamDieTimes(teamid)
90013,Squadra,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Aumentare le morti totali di squadra,local result = Team:addTeamDieTimes(teamid)
90014,Squadra,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,squadra Cambio del giocatore,"local result = Team:changePlayerTeam(uin, teamid)"
100001,puntelli,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Ottenere il nome di voce,local result = Item:getItemName(itemid)
100002,puntelli,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Ottenere l'ID della voce,local result = Item:getItemId(objid)
100003,puntelli,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Prendi il numero di dorps,local result = Item:getDropItemNum(objid)
110001,Zaino,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Ottenere la gamma di ID di bar zaino (Inizio ID ~ Fine ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Zaino,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Ottenere la dimensione della barra di zaino,local result = Backpack:getBackpackBarSize(bartype)
110003,Zaino,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Impostare lo zaino,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Zaino,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Rimuovere alcuni elementi in bar zaino. Rimosso dalla slot per gli oggetti. Tutto rimosso per impostazione predefinita,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Zaino,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Rimuovere alcuni elementi in bar zaino. Rimosso da ID elemento. Tutto rimosso per impostazione predefinita,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Zaino,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Cancella designato bar zaino,"local result = Backpack:clearPack(playerid, bartype)"
110007,Zaino,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Cancella tutto lo zaino (compresi bar zaino, barra di collegamento, dotare bar)",local result = Backpack:clearAllPack(playerid)
110008,Zaino,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Rimuovere gli elementi in zaino. Tutti trasferiti predefinita,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Zaino,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,oggetto di scambio zaino,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Zaino,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 13",ErrorCode.OK,"Se non c'è abbastanza spazio nello zaino (compresi bar zaino, barra di collegamento) per memorizzare gli oggetti","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Zaino,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Calcolare il numero totale di elementi rimanenti che lo zaino (compresi bar zaino, barra di collegamento) può memorizzare","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Zaino,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Ottenere elenco valido di ID elementi che sono già in bar zaino. Numero identificativo dell'oggetto,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Zaino,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Ottenere gli elementi già in bar zaino. Numero identificativo dell'oggetto,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Zaino,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Rilevare se c'è qualche elemento designato nello zaino,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Zaino,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Prendi il numero totale di elementi in zaino. Ritorno a zaini con articoli,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Zaino,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Ottenere ID elemento e il numero nello zaino,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Zaino,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Ottiene il nome oggetto nello zaino,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Zaino,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Prendi il numero di elementi in zaino e max n. di pile,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Zaino,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Ottenere Resistenza nello zaino e la massima durata nel tempo,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Zaino,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Ottenere incanto di articoli in zaino. Ritorno a ID incanto.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Zaino,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Prendi il tipo di utensile oggetto nello zaino (<0 significa non-utensile),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Zaino,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Aggiungere la voce a zaino,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Zaino,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Eliminare la voce nello zaino,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Zaino,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Ottenere il numero di elementi in uno slot di zaino,"local result = Backpack:getGridNum(playerid, gridid)"
120001,minimap,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Nuova forma (linea, rettangolo, cerchio)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,minimap,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Eliminare una forma,local result = MapMark:deleteShape(shapeid)
120003,minimap,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Impostare la forma e il colore,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,minimap,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Set forma visualizzata o nascosta,"local result = MapMark:showShape(shapeid, showflag)"
120005,minimap,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Aggiornamento forma (linea). Aggiungere inizio coordinare e coordinare fine,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,minimap,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Aggiornamento forma (rettangolo). Aggiungere inizio coordinare e coordinare fine,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,minimap,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Aggiornare la forma (cerchio). Aggiungere le coordinate del centro e raggio,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Punto di spawn,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Ottenere la posizione del punto di spawn,local result = Spawnport:getSpawnPoint()
130002,Punto di spawn,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",Prendi il punto di spawn nella regione. Aggiungere la posizione di blocco casuale nella regione,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
