接口ID,泰语,泰语,泰语,泰语,泰语,泰语,泰语
50026,ผู้เล่นเกม,reviveToPos,"Player:reviveToPos(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,ผู้เล่นคืนชีพไปยังจุดที่กำหนด,"local result = Player:reviveToPos(objid, x, y, z)"
50027,ผู้เล่นเกม,setRevivePoint,"Player:setRevivePoint(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,เปลี่ยนตำแหน่งจุดคืนชีพของผู้เล่น,"local result = Player:setRevivePoint(objid, x, y, z)"
50028,ผู้เล่นเกม,playAct,"Player:playAct(objid, actid)","objid:number, actid:number动作id",ErrorCode.OK,ผู้เล่นเล่นท่าทาง,"local result = Player:playAct(objid, actid)"
50029,ผู้เล่นเกม,notifyGameInfo2Self,"Player:notifyGameInfo2Self(objid, info)","objid:number, info:string text content",ErrorCode.OK,แสดงหน้าต่างข้อความให้ผู้เล่น,"local result = Player:notifyGameInfo2Self(objid, info)"
50030,ผู้เล่นเกม,useItem,"Player:useItem(objid, itemid, status, onshift)","objid:number, itemid:number, status:number state of using, onshift:boolean whether to press shift",ErrorCode.OK,ทำให้ผู้เล่นใช้ไอเทมปัจจุบัน,"local result = Player:useItem(objid, itemid, status, onshift)"
50031,ผู้เล่นเกม,rotateCamera,"Player:rotateCamera(objid, yaw, pitch)","objid:number, yaw:number, pitch:number",ErrorCode.OK,หมุมเลนส์ของผู้เล่น,"local result = Player:rotateCamera(objid, yaw, pitch)"
50032,ผู้เล่นเกม,changeViewMode,"Player:changeViewMode(objid, viewmode, islock)","objid:number, viewmode:numberVIEWPORTTYPE, islock:boolean",ErrorCode.OK,เปลี่ยนโหมดมุมมองของผู้เล่น,"local result = Player:changeViewMode(objid, viewmode, islock)"
50033,ผู้เล่นเกม,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,ตั้งค่าสถานะลักษณะการกระทำของสิ่งมีชีวิต,"local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,ผู้เล่นเกม,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,สวิตช์ของสถานะลักษณะการกระทำของผู้เล่น,"local result = Player:checkActionAttrState(objid, actionattr)"
50035,ผู้เล่นเกม,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",รับค่า HP สูงสุดปัจจุบัน,local result = Player:getMaxHP(objid)
50036,ผู้เล่นเกม,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",รับค่า HP ปัจจุบัน,local result = Player:getCurHP(objid)
50037,ผู้เล่นเกม,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ฟื้นคืน HP,local result = Player:getHpRecover(objid)
50038,ผู้เล่นเกม,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ค่าความหิวปัจจุบัน,local result = Player:getCurFood(objid)
50039,ผู้เล่นเกม,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,ผู้เล่นเกม,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ค่าออกซิเจนปัจจุบัน,local result = Player:getCurOxygen(objid)
50041,ผู้เล่นเกม,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ความเร็วการเดิน,local result = Player:getWalkSpeed(objid)
50042,ผู้เล่นเกม,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ความเร็วการว่าย(ความเร็วในนํ้า),local result = Player:getSwimSpeed(objid)
50043,ผู้เล่นเกม,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",แรงกระโดด,local result = Player:getJumpPower(objid)
50044,ผู้เล่นเกม,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ความเร็วการวิ่ง,local result = Player:getRunSpeed(objid)
50045,ผู้เล่นเกม,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ความเร็วการย่องเดิน,local result = Player:getSneakSpeed(objid)
50046,ผู้เล่นเกม,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",หลบ,local result = Player:getDodge(objid)
50047,ผู้เล่นเกม,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",โจมตีระยะใกล้,local result = Player:getPunchAttack(objid)
50048,ผู้เล่นเกม,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",โจมตีระยะไกล,local result = Player:getRangeAttack(objid)
50049,ผู้เล่นเกม,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ปกป้องระยะใกล้,local result = Player:getPunchDefense(objid)
50050,ผู้เล่นเกม,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ปกป้องระยะไกล,local result = Player:getRangeDefense(objid)
50051,ผู้เล่นเกม,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",จำนวนดาว,"local result = Player:getStarNum(objid, val)"
50052,ผู้เล่นเกม,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",ขนาดโมเดล,"local result = Player:getModelScale(objid, val)"
50053,ผู้เล่นเกม,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าค่า HP สูงสุด,"local result = Player:setMaxHP(objid, val)"
50054,ผู้เล่นเกม,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าค่า HP,"local result = Player:setHP(objid, val)"
50055,ผู้เล่นเกม,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าการฟื้นคืนค่า HP,local result = Player:setHpRecover(objid)
50056,ผู้เล่นเกม,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าค่าความหิวปัจจุบัน,local result = Player:setCurFood(objid)
50057,ผู้เล่นเกม,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าออกซิเจน,"local result = Player:setOxygen(objid, val)"
50058,ผู้เล่นเกม,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าความเร็วการเดิน,"local result = Player:setWalkSpeed(objid, val)"
50059,ผู้เล่นเกม,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าความเร็วการว่าย(ความเร็วในนํ้า),"local result = Player:setSwimSpeed(objid, val)"
50060,ผู้เล่นเกม,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าแรงกระโดด,"local result = Player:setJumpPower(objid, val)"
50061,ผู้เล่นเกม,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าความเร็วการวิ่ง,"local result = Player:setRunSpeed(objid, val)"
50062,ผู้เล่นเกม,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าความเร็วการย่องเดิน,"local result = Player:setSneakSpeed(objid, val)"
50063,ผู้เล่นเกม,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าการหลบ,"local result = Player:setDodge(objid, val)"
50064,ผู้เล่นเกม,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าโจมตีระยะใกล้,"local result = Player:setPunchAttack(objid, val)"
50065,ผู้เล่นเกม,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าโจมตีระยะไกล,"local result = Player:setRangeAttack(objid, val)"
50066,ผู้เล่นเกม,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าปกป้องระยะใกล้,"local result = Player:setPunchDefense(objid, val)"
50067,ผู้เล่นเกม,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าปกป้องระยะไกล,"local result = Player:setRangeDefense(objid, val)"
50068,ผู้เล่นเกม,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าจำนวนดาว,"local result = Player:setStarNum(objid, val)"
50069,ผู้เล่นเกม,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าขนาดโมเดล,"local result = Player:setModelScale(objid, val)"
50070,ผู้เล่นเกม,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,ตั้งค่าตำแหน่งของactor,"local result = Player:setPosition(objid, x, y, z)"
50071,ผู้เล่นเกม,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,รับตำแหน่งเป้าเล็งของplayer,local result = Player:getAimPos(objid)
60001,สิ่งมีชีวิต,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,เป็นผู้ใหญ่หรือยัง,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,สิ่งมีชีวิต,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,ตั้งค่าว่าจะพึ่งพาออกซิเจนหรือไม่,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,สิ่งมีชีวิต,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",รับ ID ของผู้เล่นที่เชื่องสัตว์,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,สิ่งมีชีวิต,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,ตั้งค่าหวาดกลัวหรือไม่,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,สิ่งมีชีวิต,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,ตั้งค่าว่า AI จะมีผลหรือไม่,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,สิ่งมีชีวิต,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",รับ ID ทรัพยากรของมอน,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,สิ่งมีชีวิต,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",รับ ID ทรัพยากรของมอน,local result = Creature:getActorName(objid)
60008,สิ่งมีชีวิต,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,เพิ่มค่าModAttribของมอน,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,สิ่งมีชีวิต,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",เพิ่มค่าModAttribของมอน,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,สิ่งมีชีวิต,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,ตั้งค่าทีมของสิ่งมีชีวิต,"local result = Creature:setTeam(objid, teamid)"
60011,สิ่งมีชีวิต,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",รับทีมของสิ่งมีชีวิต,local result = Creature:getTeam(objid)
60012,สิ่งมีชีวิต,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",รับค่าความหิวสูงสุด,local result = Creature:getMaxFood(objid)
60013,สิ่งมีชีวิต,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",รับค่าความหิว,local result = Creature:getFood(objid)
60014,สิ่งมีชีวิต,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าค่าความหิว,"local result = Creature:setFood(objid, val)"
60015,สิ่งมีชีวิต,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ฟื้นคืน HP,local result = Creature:getHpRecover(objid)
60016,สิ่งมีชีวิต,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ค่าออกซิเจนสูงสุด,local result = Creature:getMaxOxygen(objid)
60017,สิ่งมีชีวิต,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ความเร็วการเดิน,local result = Creature:getWalkSpeed(objid)
60018,สิ่งมีชีวิต,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ความเร็วการว่าย(ความเร็วในนํ้า),local result = Creature:getSwimSpeed(objid)
60019,สิ่งมีชีวิต,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",แรงกระโดด,local result = Creature:getJumpPower(objid)
60020,สิ่งมีชีวิต,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",นํ้าหนัก,local result = Creature:getMass(objid)
60021,สิ่งมีชีวิต,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",หลบ,local result = Creature:getDodge(objid)
60022,สิ่งมีชีวิต,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",โจมตีระยะใกล้,local result = Creature:getPunchAttack(objid)
60023,สิ่งมีชีวิต,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",โจมตีระยะไกล,local result = Creature:getRangeAttack(objid)
60024,สิ่งมีชีวิต,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ปกป้องระยะใกล้,local result = Creature:getPunchDefense(objid)
60025,สิ่งมีชีวิต,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",ปกป้องระยะไกล,local result = Creature:getRangeDefense(objid)
60026,สิ่งมีชีวิต,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่า HP,"local result = Creature:setMaxHp(objid, val)"
60027,สิ่งมีชีวิต,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่า HP,"local result = Creature:setHP(objid, val)"
60028,สิ่งมีชีวิต,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าการฟื้นคืนค่า HP,local result = Creature:setHpRecover(objid)
60029,สิ่งมีชีวิต,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าออกซิเจน,"local result = Creature:setOxygen(objid, val)"
60030,สิ่งมีชีวิต,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าความเร็วการเดิน,"local result = Creature:setWalkSpeed(objid, val)"
60031,สิ่งมีชีวิต,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าความเร็วการว่าย(ความเร็วในนํ้า),"local result = Creature:setSwimSpeed(objid, val)"
60032,สิ่งมีชีวิต,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าแรงกระโดด,"local result = Creature:setJumpPower(objid, val)"
60033,สิ่งมีชีวิต,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าการหลบ,"local result = Creature:setDodge(objid, val)"
60034,สิ่งมีชีวิต,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าโจมตีระยะใกล้,"local result = Creature:setPunchAttack(objid, val)"
60035,สิ่งมีชีวิต,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าโจมตีระยะไกล,"local result = Creature:setRangeAttack(objid, val)"
60036,สิ่งมีชีวิต,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าปกป้องระยะใกล้,"local result = Creature:setPunchDefense(objid, val)"
60037,สิ่งมีชีวิต,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,ตั้งค่าปกป้องระยะไกล,"local result = Creature:setRangeDefense(objid, val)"
70001,การจัดการUI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,UI ตั้งค่าข้อสรุปต่อสู้,"local result = UI:setGBattleUI(name, value)"
70002,การจัดการUI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",เปลี่ยนพิกัดโลกไปในแมพเล็ก,"local result = UI:world2RadarPos(x, y)"
70003,การจัดการUI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",เปลี่ยนความยาวโลกไปในแมพเล็ก,local result = UI:world2RadarDist(length)
70004,การจัดการUI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,ตั้งค่าโหมดแมพเล็ก 1.มุมมองการหมุน 45 องศา 2.มุมมองจากข้างบนลงมา,local result = UI:setMinimapRenderMode(mode)
70005,การจัดการUI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,การตั้งค่ารูปร่างเครื่องหมายแมพ ตั้งค่าเป็นเส้น,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,การจัดการUI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,การตั้งค่ารูปร่างเครื่องหมายแมพ ตั้งค่าเป็นวงกลม,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,การจัดการUI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,แสดงเอฟเฟ็กต์หน้าจอ,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,ระบบแชท,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,ส่งข้อความแชท,local result = Chat:sendChat(content)
80002,ระบบแชท,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,ส่งข้อความระบบ,local result = Chat:sendSystemMsg(content)
90001,การจัดการทีม,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",รับจำนวนของทีม,local result = Team:getNumTeam()
90002,การจัดการทีม,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",รับผู้เล่นที่กำหนดทีม,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,การจัดการทีม,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",รับผู้เล่นที่กำหนดทีม,"local result = Team:getTeamPlayers(teamid, alive)"
90004,การจัดการทีม,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",ผู้เล่นสุ่มคนหนึ่ง,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,การจัดการทีม,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,ตั้งค่าคะแนนของทีม,"local result = Team:setTeamScore(teamid, s)"
90006,การจัดการทีม,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",รับคะแนนของทีม,local result = Team:getTeamScore(teamid)
90007,การจัดการทีม,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,เพิ่มคะแนนของทีม,"local result = Team:addTeamScore(teamid, score)"
90008,การจัดการทีม,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,ตั้งค่าชนะและแพ้ของทีม,"local result = Team:setTeamResults(teamid, result)"
90009,การจัดการทีม,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",รับสภาพชนะและแพ้ของทีม,local result = Team:getTeamResults(teamid)
90010,การจัดการทีม,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,ตั้งค่าชนะและแพ้ของทีมของผู้เล่น,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,การจัดการทีม,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,ตั้งค่าจำนวนผู้เสียชีวิตทั้งหมดในทีม,"local result = Team:setTeamDieTimes(teamid, times)"
90012,การจัดการทีม,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",รับจำนวนผู้เสียชีวิตทั้งหมดในทีม,local result = Team:getTeamDieTimes(teamid)
90013,การจัดการทีม,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,เพิ่มจำนวนผู้เสียชีวิตทั้งหมดในทีม,local result = Team:addTeamDieTimes(teamid)
90014,การจัดการทีม,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,เปลี่ยนทีมของผู้เล่น,"local result = Team:changePlayerTeam(uin, teamid)"
100001,การจัดการไอเทม,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",รับชื่อของไอเทม,local result = Item:getItemName(itemid)
100002,การจัดการไอเทม,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",รับIDของไอเทม,local result = Item:getItemId(objid)
100003,การจัดการไอเทม,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",รับจำนวนของดรอป,local result = Item:getDropItemNum(objid)
110001,การจัดการเป้,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",รับช่วง ID ของแถบไอเทมของเป้(ID เริ่มต้น~ID สุดท้าย),local result = Backpack:getBackpackBarIDRange(bartype)
110002,การจัดการเป้,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",รับขนาดแถบไอเทมของเป้,local result = Backpack:getBackpackBarSize(bartype)
110003,การจัดการเป้,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,ตั้งค่าไอเทมในเป้,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,การจัดการเป้,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,ลบรายการจำนวนหนึ่งในเป้ออก ลบออกโดยช่องไอเทม ลบทั้งหมดโดยค่าเริ่มต้น,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,การจัดการเป้,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",ลบรายการจำนวนหนึ่งในเป้ออก ลบออกโดย ID ไอเทม ลบทั้งหมดโดยค่าเริ่มต้น,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,การจัดการเป้,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,ล้างแถบไอเทมของเป้ที่กำหนด,"local result = Backpack:clearPack(playerid, bartype)"
110007,การจัดการเป้,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,ล้างแถบไอเทมของเป้ทั้งหมด(รวมถึง ช่องในเป้ แถบไอเทม แถบอุปกรณ์),local result = Backpack:clearAllPack(playerid)
110008,การจัดการเป้,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,ย้ายไอเทมในเป้ ย้ายทั้งหมดโดยค่าเริ่มต้น,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,การจัดการเป้,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,แลกเปลี่ยนไอเทมในเป้,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,การจัดการเป้,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 3",ErrorCode.OK,เป้(รวมถึง ช่องในเป้ แถบไอเทม)มีพื้นที่เพียงพอสำหรับจัดเก็บรายการจำนวนหนึ่งหรือไม่,"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,การจัดการเป้,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",คำนวณจำนวนรายการทั้งหมดที่เหลืออยู่ในเป้(รวมถึง ช่องในเป้ แถบไอเทม),"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,การจัดการเป้,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",รับรายการ ID ของช่องที่ว่างอยู่ในเป้(มีไอเทมอยู่แล้ว) กลุ่มตัวเลข ID ช่องของเป้,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,การจัดการเป้,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",รับไอเทมที่มีอยู่ในเป้ กลุ่มตัวเลข ID ไอเทม,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
