接口ID,俄语,俄语,俄语,俄语,俄语,俄语,俄语
50045,игрок,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Sneaking скорость,local result = Player:getSneakSpeed(objid)
50046,игрок,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Dodging скорость,local result = Player:getDodge(objid)
50047,игрок,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Атака ближнего боя,local result = Player:getPunchAttack(objid)
50048,игрок,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Стрелковая атака,local result = Player:getRangeAttack(objid)
50049,игрок,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee защита,local result = Player:getPunchDefense(objid)
50050,игрок,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Стрелковая защита,local result = Player:getRangeDefense(objid)
50051,игрок,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Количество звезд,"local result = Player:getStarNum(objid, val)"
50052,игрок,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Размер модели,"local result = Player:getModelScale(objid, val)"
50053,игрок,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установите максимальное HP,"local result = Player:setMaxHP(objid, val)"
50054,игрок,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор HP,"local result = Player:setHP(objid, val)"
50055,игрок,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Установка восстановления HP,local result = Player:setHpRecover(objid)
50056,игрок,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Установить сытости тока,local result = Player:setCurFood(objid)
50057,игрок,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установите кислород,"local result = Player:setOxygen(objid, val)"
50058,игрок,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить скорость ходьбы,"local result = Player:setWalkSpeed(objid, val)"
50059,игрок,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установка скорость плавания (в воде),"local result = Player:setSwimSpeed(objid, val)"
50060,игрок,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить сила прыжка,"local result = Player:setJumpPower(objid, val)"
50061,игрок,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить скорость бега,"local result = Player:setRunSpeed(objid, val)"
50062,игрок,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Заданная скорость красться,"local result = Player:setSneakSpeed(objid, val)"
50063,игрок,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить маневрирование скорости,"local result = Player:setDodge(objid, val)"
50064,игрок,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить атаки в ближнем бою,"local result = Player:setPunchAttack(objid, val)"
50065,игрок,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор дальней атаки,"local result = Player:setRangeAttack(objid, val)"
50066,игрок,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор рукопашная защита,"local result = Player:setPunchDefense(objid, val)"
50067,игрок,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить колебалась защита,"local result = Player:setRangeDefense(objid, val)"
50068,игрок,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установите количество звезд,"local result = Player:setStarNum(objid, val)"
50069,игрок,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить размер модели,"local result = Player:setModelScale(objid, val)"
50070,игрок,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Установить местонахождение актера,"local result = Player:setPosition(objid, x, y, z)"
50071,игрок,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,"Получить позицию перекрестие игрока,",local result = Player:getAimPos(objid)
60001,Существо,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,Является ли это для взрослых?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Существо,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,"Срабатывает, если кислород необходим","local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Существо,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed","Получить идентификатор игрока, который приручил существо","local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Существо,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,"Срабатывает, если это вызывает панику","local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Существо,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,"Устанавливается, если AI вступает в силу","local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Существо,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Получить идентификатор ресурса монстра,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Существо,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Получить идентификатор ресурса монстра,local result = Creature:getActorName(objid)
60008,Существо,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Увеличение ModAttrib монстра,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Существо,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Увеличение ModAttrib монстра,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Существо,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Установите команду существ,"local result = Creature:setTeam(objid, teamid)"
60011,Существо,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Установите команду существ,local result = Creature:getTeam(objid)
60012,Существо,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Получить максимальную сытость,local result = Creature:getMaxFood(objid)
60013,Существо,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Получить сытость,local result = Creature:getFood(objid)
60014,Существо,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор сытости,"local result = Creature:setFood(objid, val)"
60015,Существо,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP восстановить,local result = Creature:getHpRecover(objid)
60016,Существо,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Максимальный объем кислорода,local result = Creature:getMaxOxygen(objid)
60017,Существо,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",скорость ходьбы,local result = Creature:getWalkSpeed(objid)
60018,Существо,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Скорость плавания (в воде),local result = Creature:getSwimSpeed(objid)
60019,Существо,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Перейти сила,local result = Creature:getJumpPower(objid)
60020,Существо,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Вес,local result = Creature:getMass(objid)
60021,Существо,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",изворачиваться,local result = Creature:getDodge(objid)
60022,Существо,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Атака ближнего боя,local result = Creature:getPunchAttack(objid)
60023,Существо,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Стрелковая атака,local result = Creature:getRangeAttack(objid)
60024,Существо,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Melee защита,local result = Creature:getPunchDefense(objid)
60025,Существо,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Стрелковая защита,local result = Creature:getRangeDefense(objid)
60026,Существо,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор HP,"local result = Creature:setMaxHp(objid, val)"
60027,Существо,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор HP,"local result = Creature:setHP(objid, val)"
60028,Существо,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Установка восстановления HP,local result = Creature:setHpRecover(objid)
60029,Существо,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор кислорода,"local result = Creature:setOxygen(objid, val)"
60030,Существо,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить скорость ходьбы,"local result = Creature:setWalkSpeed(objid, val)"
60031,Существо,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установка скорость плавания (в воде),"local result = Creature:setSwimSpeed(objid, val)"
60032,Существо,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установите скачок силы,"local result = Creature:setJumpPower(objid, val)"
60033,Существо,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор маневрировании,"local result = Creature:setDodge(objid, val)"
60034,Существо,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить атаки в ближнем бою,"local result = Creature:setPunchAttack(objid, val)"
60035,Существо,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор дальней атаки,"local result = Creature:setRangeAttack(objid, val)"
60036,Существо,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Набор рукопашная защита,"local result = Creature:setPunchDefense(objid, val)"
60037,Существо,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Установить колебалась защита,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Набор резюме UI борьбы,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Мир координате изменен на миникарте,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Wolrd длина изменяется на миникарте,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Установить режим миникарты: 1. 45 ° угла поворота. Угол обозревает 2. Полный рис,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Форма настройки карты знаков. Установить как линии,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Форма настройки карты знаков. Установить как круг,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Дисплей экранный эффект,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,чат,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Отправить сообщение чата,local result = Chat:sendChat(content)
80002,чат,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Отправить сообщение системы,local result = Chat:sendSystemMsg(content)
90001,команда,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Получить количество команд,local result = Team:getNumTeam()
90002,команда,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Получить команду Назначенный игрок,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,команда,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Получить команду Назначенный игрок,"local result = Team:getTeamPlayers(teamid, alive)"
90004,команда,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Случайные игрока,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,команда,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Установите счет команды,"local result = Team:setTeamScore(teamid, s)"
90006,команда,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Получить счет команды,local result = Team:getTeamScore(teamid)
90007,команда,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Увеличение результата команды,"local result = Team:addTeamScore(teamid, score)"
90008,команда,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Установите выигрыш Лос-команды,"local result = Team:setTeamResults(teamid, result)"
90009,команда,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Получить текущий выигрыш Лос-команды,local result = Team:getTeamResults(teamid)
90010,команда,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Установите выигрыш Лос-игрок команды,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,команда,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Установить общее число смертей от команды,"local result = Team:setTeamDieTimes(teamid, times)"
90012,команда,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Получить общее число смертей от команды,local result = Team:getTeamDieTimes(teamid)
90013,команда,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Увеличение общего числа смертей от команды,local result = Team:addTeamDieTimes(teamid)
90014,команда,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Команда Изменить игрока,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Реквизит,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Получить имя элемента,local result = Item:getItemName(itemid)
100002,Реквизит,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Получить идентификатор элемента,local result = Item:getItemId(objid)
100003,Реквизит,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Получить количество dorps,local result = Item:getDropItemNum(objid)
110001,Рюкзак,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Получить диапазон ID рюкзак бара (Start ID ~ Конец ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Рюкзак,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Получить размер рюкзака бар,local result = Backpack:getBackpackBarSize(bartype)
110003,Рюкзак,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Установите рюкзак,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Рюкзак,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Удалите некоторые элементы в рюкзаке бар. Удаленные элементы слоты. Все удаляются по умолчанию,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Рюкзак,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Удалите некоторые элементы в рюкзаке бар. Удалены по идентификатору товара. Все удаляются по умолчанию,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Рюкзак,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Очистить Назначенный рюкзак бар,"local result = Backpack:clearPack(playerid, bartype)"
110007,Рюкзак,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Очистить все рюкзак (включая рюкзак бар, панель быстрого доступа, оборудуют бар)",local result = Backpack:clearAllPack(playerid)
110008,Рюкзак,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Удалить элементы в рюкзаке. Все переданы по умолчанию,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Рюкзак,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Обмен вещь рюкзак,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Рюкзак,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 11",ErrorCode.OK,"Если есть достаточно места в рюкзаке (включая рюкзак бар, панель быстрого доступа) для хранения предметов","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Рюкзак,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Вычислить общее количество оставшихся элементов, которые рюкзак (в том числе рюкзак бар, ярлык бар) может хранить","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Рюкзак,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array","Получить действительный список ID предметов, которые уже находятся в рюкзаке баре. Item ID","local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Рюкзак,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Получить предметы уже в рюкзаке баре. Item ID,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Рюкзак,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,"Обнаружить, если есть какой-либо Нужный элемент в рюкзаке","local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Рюкзак,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Получить общее количество элементов в рюкзаке. Вернуться к рюкзакам с позиций,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Рюкзак,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Получить идентификатор элемента и номер в рюкзаке,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Рюкзак,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Получить имя элемента в рюкзаке,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Рюкзак,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Получить количество элементов в рюкзаке и макс нет. стеков,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Рюкзак,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Получить долговечность элемента в рюкзаке и максимальной прочности,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Рюкзак,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Получить зачарование предметов в рюкзаке. Вернуться к очарованию ID.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Рюкзак,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Получить тип элемента инструмента в рюкзаке (<0 означает не инструмент),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Рюкзак,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Добавить товар в рюкзак,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Рюкзак,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Выбросьте элемент в рюкзаке,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Рюкзак,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Получить количество элементов в одном слоте рюкзака,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Minimap,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Новая форма (линия, прямоугольник, круг)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Minimap,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Удалить форму,local result = MapMark:deleteShape(shapeid)
120003,Minimap,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Установите форму и цвет,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Minimap,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Установить форму показать или скрыть,"local result = MapMark:showShape(shapeid, showflag)"
120005,Minimap,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Форма обновления (линия). Добавить начало координат и конец координат,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Minimap,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Форма обновления (прямоугольник). Добавить начало координат и конец координат,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,Minimap,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Обновление формы (круг). Добавить координаты центра и радиус,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Точка возрождения,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Получить расположение Спавнпоинт,local result = Spawnport:getSpawnPoint()
130002,Точка возрождения,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",Получить точку спавна в регионе. Добавить позицию случайного блока в регионе,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
