过滤场景ID,过滤框架ID,过滤组件ID,过滤事件码
6,MINI_MY_HOMELAND_SETTING,Close,view
6,MINI_MY_HOMELAND_SETTING,SignOut,view
6,MINI_MY_HOMELAND_SETTING,ShareSetting,view
6,MINI_MY_HOMELAND_SETTING,HomelandSetting,view
6,MINI_MY_HOMELAND_SETTING,SystemSetting,view
6,MINI_MY_HOMELAND_SETTING,WarehouseSetting,view
6,MINI_MY_HOMELAND_SETTING,IllustratedHandbookSetting,view
6,MINI_MY_HOMELAND_SETTING,MemberSetting,view
623,MINI_MY_HOMELAND_FARM_NPC_CHAT,Close,view
623,MINI_MY_HOMELAND_FARM_NPC_CHAT,FarmAmountUp,view
623,MINI_MY_HOMELAND_FARM_NPC_CHAT,FarmShop,view
623,MINI_MY_HOMELAND_FARM_NPC_CHAT,ManureMaking,view
2202,SHOP_SKIN_DETAILS,Use,view
22,SHOP_WELFARE_DRAWREWARD,Sure,view
22,SHOP_RECOMMEND,Carousel,view
6001,PROP_DETAILS,PROP_DETAILS_RECHARGE,view
1001,MINI_SOUND_Illusion,GameRoomSkinIllusion,view
4,MINI_ARCHIVEMAP_MYMAP_2,StatusContentCard,view
6,MINI_MY_HOMELAND_CONTAINER,SystemEventDisplay,view
10,MINI_MUTIPLAYERLOBBY_MYREC_4,recently,view
617,MINI_MY_HOMELAND_EXPLORE,Forest,view
617,MINI_MY_HOMELAND_EXPLORE,Plain,view
617,MINI_MY_HOMELAND_EXPLORE,Hills,view
617,MINI_MY_HOMELAND_EXPLORE,MineCave,view
617,MINI_MY_HOMELAND_EXPLORE,Island,view
2202,SHOP_SKIN_DETAILS,ShopSkinChange,view
3,MINI_WORKSHOP_SUBJECT_1,BackButton,view
22,SHOP_STOREHOUSE,PropButton,view
42,REPORT_CENTER,Input,view
42,REPORT_CENTER,ReportButton,view
42,REPORT_CENTER,CloseButton,view
626,MINI_MY_HOMELAND_FARM_SHOP_TOP,Close,view
626,MINI_MY_HOMELAND_FARM_SHOP_TOP,HomelandCoin,view
626,MINI_MY_HOMELAND_FARM_SHOP_TAB,AllTab,view
626,MINI_MY_HOMELAND_FARM_SHOP_TOP,MiniCoin,view
626,MINI_MY_HOMELAND_FARM_SHOP_BUY_1,Seed,view
31,FRIEND_GROUPCHAT_CONTENT,Operation,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_SETTING,SignOut,view
55,NEW_BP_GO_TO_MISSION,-,view
48,MINI_MAP_NEW_Publish,Closed,view
48,MINI_MAP_NEW_Publish,Publish,view
5004,RESOURCE_BACKPACK_MANAGEMENTBAR,-,view
10,MINI_MUTIPLAYERLOBBY_ELECON_1,Refresh,view
10,MINI_MUTIPLAYERLOBBY_TOP_1,Close,view
10,MINI_MUTIPLAYERLOBBY_TOP_1,WiFiSwift,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,SearchBox,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,KeyUpSearch,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,SearchButton,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,AllContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,AdventureContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,CreativeContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,BattleContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,ParkourContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,PuzzleContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,ElectronicContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,OtherContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,MyContent,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,CreatRoom,view
601,MINI_MY_HOMELAND_EDIT_MAP,MysteriousBusinessman,view
4,MINI_ARCHIVEMAP_MYMAP_3,StatusContentCard,view
48,MINI_MAP_NEW_Publish,RewardCube,view
48,MINI_MAP_NEW_Publish,Introduce,view
48,MINI_MAP_NEW_Publish,Like,view
48,MINI_MAP_NEW_Publish,Dislike,view
1005,RECALL_POPUP,Ignore,view
1005,RECALL_POPUP,Return,view
608,MINI_MY_HOMELAND_GOLDFRUIT_CHOICE,Buy_1,view
608,MINI_MY_HOMELAND_GOLDFRUIT_CHOICE,Buy_10,view
13,CREAT_ROOM_CONTAINER,Return,view
13,CREAT_ROOM_CONTAINER,DownLoadRab,view
13,CREAT_ROOM_CONTAINER,MyTab,view
13,CREAT_ROOM_CONTAINER,RecentTab,view
13,ROOM_SETTINGS,MaxMember,view
13,ROOM_SETTINGS,RoomAuthority,view
13,ROOM_SETTINGS,GameStyle,view
13,ROOM_SETTINGS,PassWordInput,view
13,ROOM_SETTINGS,BackUpButton,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,Scan_1,view
1004,ROOM_LIST_CONTAINER,CreatRoom,view
6001,PROP_STORE,-,view
6,MINI_MY_HOMELAND_CONTAINER,EditingMap,view
6,MINI_MY_HOMELAND_CONTAINER,HomelandChat,view
6,MINI_MY_HOMELAND_CONTAINER,EventLog,view
6,MINI_MY_HOMELAND_CONTAINER,HomelandShop,view
6,MINI_MY_HOMELAND_CONTAINER,HomelandFriendsList,view
6,MINI_MY_HOMELAND_CONTAINER,QuickBackpack,view
6,MINI_MY_HOMELAND_CONTAINER,Setting,view
6,MINI_MY_HOMELAND_CONTAINER,MyHomelandFruits,view
6,MINI_MY_HOMELAND_CONTAINER,HomelandBackpack,view
6,MINI_MY_HOMELAND_CONTAINER,ShortcutPhrase,view
6,MINI_MY_HOMELAND_CONTAINER,PlayerInformation,view
6,MINI_MY_HOMELAND_CONTAINER,HomelandLevel,view
22,SHOP_Starbox,ShardStoreexchange,view
1303,ROOM_SETTINGS,Upload_open,view
1003,CHAT_FLOAT,-,view
48,MINI_MAP_NEW_Comment,SecondCommentCard,view
48,MINI_MAP_NEW_Comment,SecondCommentDislike,view
48,MINI_MAP_NEW_Comment,SecondCommentLike,view
6001,PROP_WAREHOUSE,-,view
60,DEVELOPER_SHOP_EQUIPMENT,Props,view
10,MINI_MUTIPLAYERLOBBY_OTHCON_1,Refresh,view
1003,MINI_GAMEROOM_GAME_1,MidExit,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,Multiplayer,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,PlayerRoom,view
2202,SHOP_SKIN_TRANSFORM,FunctionButton,view
631,MINI_MY_HOMELAND_DAILYTASK,TaskList,view
22,SHOP_WELFARE_OPTIONALAWARDS,Comfirm,view
22,SHOP_WELFARE_OPTIONALAWARDS,Close,view
49,MINI_UPLOADMAP_ALL,Mapcard,view
48,MINI_MAP_MORE,MapReport,view
48,MINI_MAP_MORE,MapShare,view
1004,ROOM_LIST_TOP,Close,view
1004,ROOM_LIST_CONTAINER,Refresh,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,FurnitureMaterialExhibition,view
22,SHOP_RECOMMEND,CarouselLeftButton,view
22,SHOP_RECOMMEND,CarouselRightButton,view
22,SHOP_RECOMMEND,SeriesDressLeftButton,view
22,SHOP_RECOMMEND,SeriesDressRightButton,view
22,SHOP_RECOMMEND,SeriesDressPurchase,view
22,SHOP_RECOMMEND,ExhibitionArea,view
22,SHOP_RECOMMEND,ExhibitionDetail,view
22,SHOP_RECOMMEND,ExhibitionPurchase,view
601,MINI_MY_HOMELAND_EDIT_MAP,HomelandLevel,view
601,MINI_MY_HOMELAND_EDIT_MAP,ShortcutPhrase,view
601,MINI_MY_HOMELAND_EDIT_MAP,PlayerInformation,view
601,MINI_MY_HOMELAND_EDIT_MAP,HomelandShop,view
601,MINI_MY_HOMELAND_EDIT_MAP,Setting,view
601,MINI_MY_HOMELAND_EDIT_MAP,HomelandBackpack,view
601,MINI_MY_HOMELAND_EDIT_MAP,QuickBackpack,view
601,MINI_MY_HOMELAND_EDIT_MAP,Save,view
604,MINI_MY_HOMELAND_COOKING_BENCH_DISHES_AND_DESSERT,Make,view
2202,SHOP_SKIN_DETAILS,Share,view
1008,TEAM_SETTINGS,Close,view
1008,TEAM_SETTINGS,TeamName,view
1008,TEAM_SETTINGS,TeamMember,view
1008,TEAM_SETTINGS,TeamPrivacy,view
1008,TEAM_SETTINGS,TeamCreatButton,view
1004,ROOM_LIST,CloudRoomCard,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,FurnitureMaking,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,MyHomelandFruitsNPC,view
617,MINI_MY_HOMELAND_EXPLORE,Close,view
1003,TOOL_MODEL_BOTTOM,ToolModelSelect,view
2105,BOX,,view
2105,REMIND,CheckButton,view
2105,REMIND,PushBox,view
22,SHOP_GUN_HAVE,Exhibition,view
4,MINI_MAPINFO_NODOWMLOAD_DETAIL,EditVideo,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_SETTING,Close,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_SETTING,SystemSetting,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_SETTING,ShareSetting,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_SETTING,ReportHomeland,view
49,MINI_UPLOADMAP_ALL,Upload,view
1003,MINI_SOUND_Illusion,GameRoomSkinIllusion,view
3,Page2_creation_en,QuickStart,view
3,Page2_creation_en,DownloadMap,view
604,MINI_MY_HOMELAND_COOKING_BENCH_DRINK,Make,view
1003,SOCIA_HALL_LIST,-,view
49,MINI_MAP_UPLOAD,UpdateShare,view
3,MINI_WORKSHOP_NICEMAP_1,ContentComboBox,view
3,MINI_WORKSHOP_NICEMAP_1,RankComboBox,view
3,MINI_WORKSHOP_NICEMAP_1,Refresh,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,HomelandChat,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,Setting,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,QuickBackpack,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,HomelandBackpack,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,HomelandFriendsList,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,ShortcutPhrase,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,LeftFriendHomeland,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,FriendPlayerInformation,view
22,SHOP_MOUNT_WAREHOUSE,WarehouseInterface,view
5003,MAIN_EDITING_CHOOSE_SHORTCUTBAR,-,view
3,Page2_creation_vn,QuickStart,view
4,MINI_ARCHIVEMAP_MYMAP_2,AddCapacity,view
3,Page2_creation_vn,DownloadMap,view
416,MINI_MAP_NEW_Publish,Closed,view
416,MINI_MAP_NEW_Publish,Publish,view
60,DEVELOPER_SHOP_FOOD,Props,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,ResourcesMaking,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,ResourcesMaterialExhibition,view
615,MINI_MY_HOMELAND_SHOP_TOP,MiniCoin,view
615,MINI_MY_HOMELAND_SHOP_TOP,MiniBean,view
615,MINI_MY_HOMELAND_SHOP_TOP,Close,view
615,MINI_MY_HOMELAND_SHOP_TOP,HomelandCoin,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_MAP,HomelandBackpack,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_MAP,QuickBackpack,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_MAP,ShortcutPhrase,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_MAP,FriendPlayerInformation,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_MAP,Setting,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_MAP,LeftFriendHomeland,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_MAP,HomelandChat,view
3,creation,ClickMore,view
60,DEVELOPER_SHOP_CONTAINER,MountContent,view
416,MINI_MAP_NEW_Publish,RewardCube,view
416,MINI_MAP_NEW_Publish,Introduce,view
416,MINI_MAP_NEW_Publish,Like,view
416,MINI_MAP_NEW_Publish,Dislike,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,SystemEventDisplay,view
4,MINI_ARCHIVEMAP_MYMAP_3,AddCapacity,view
50,MINI_DEVELOPER_TOOLS,ModelCreation,view
50,MINI_DEVELOPER_TOOLS,GameplayDesign,view
50,MINI_DEVELOPER_TOOLS,CircuitDesign,view
50,MINI_DEVELOPER_TOOLS,InstantBuild,view
50,MINI_DEVELOPER_TOOLS,ShopSettings,view
50,MINI_DEVELOPER_TOOLS,Script,view
50,MINI_DEVELOPER_TOOLS,ResourceCenter,view
50,MINI_DEVELOPER_TOOLS,Trigger,view
50,MINI_DEVELOPER_TOOLS,ObjectLibrary,view
13,CREAT_ROOM_CONTAINER,Upload_open,view
616,MINI_MY_HOMELAND_PET_LIST,Pet,view
48,MINI_MAP_NEW_Publish,Expression,view
1003,MINI_INVITE_RECEIVE,Receive,view
1003,MINI_INVITE_RECEIVE,Reject,view
22,SHOP_Dreambox,Exchangestoredetails,view
22,SHOP_Dreambox,ExchangStoreexchange,view
1003,MINI_GAMEROOM_GAME_1,Quest,view
48,MINI_MAP_NEW_Comment,SecondCommentInput,view
3,Page2_creation_en,MapCard,view
615,MINI_MY_HOMELAND_SHOP_PETSDRAW,RightTab,view
622,MINI_MY_HOMELAND_EDIT_BAG_FRAME,Build_Blueprint,view
622,MINI_MY_HOMELAND_EDIT_BAG_FRAME,Build_Furniture,view
622,MINI_MY_HOMELAND_EDIT_BAG_FRAME,Build_Block,view
3,Page2_creation_vn,MapCard,view
6,MINI_MY_HOMELAND_CONTAINER,Mount,view
22,SHOP_SKIN_FRAME,FreeGiftPack,view
48,MINI_MAP_NEW_Comment,ThirdCommentCard,view
48,MINI_MAP_NEW_Comment,ThirdCommentDislike,view
48,MINI_MAP_NEW_Comment,ThirdCommentLike,view
624,MINI_MY_HOMELAND_RANCH_NPC_CHAT,BreedingLevelUp,view
624,MINI_MY_HOMELAND_RANCH_NPC_CHAT,FodderMaking,view
624,MINI_MY_HOMELAND_RANCH_NPC_CHAT,Close,view
624,MINI_MY_HOMELAND_RANCH_NPC_CHAT,RanchShop,view
416,MINI_MAP_NEW_Comment,SecondCommentDislike,view
416,MINI_MAP_NEW_Comment,SecondCommentLike,view
2202,SHOP_SKIN_DETAILS,ExchanceSkin,view
601,MINI_MY_HOMELAND_EDIT_SETTING,SignOut,view
4,MINI_MAPINFO_UPLOAD_DETAIL,PlayVideo,view
10000,MINI_LANDINGPAGE_START_1,ThirdLogInButton,view
3,MINI_WORKSHOP_PLAYERMAP_1,ContentComboBox,view
3,MINI_WORKSHOP_PLAYERMAP_1,RankComboBox,view
3,MINI_WORKSHOP_PLAYERMAP_1,Refresh,view
1004,ROOM_LIST,JoinCloudRoom,view
626,MINI_MY_HOMELAND_FARM_SHOP_SELL_1,Crops,view
50,MINI_DEVELOPER_TOOLS,UploadMap,view
7,PERSONAL_INFO_MEDAL,CollectRewards,view
13,CREAT_ROOM_CONTAINER,FriendPlay,view
3,Page2_Gallery_Featured_en,Page2Title_Gallery_Featured_en,view
3,Page2_critic,Page2Title_critic,view
1003,chat_room,Translate,view
4,MINI_ARCHIVEMAP_MYMAP_4,AddCapacity,view
13,CREAT_ROOM_CONTAINER,Download,view
2202,SHOP_SKIN_DETAILS,30DaysPurchase,view
615,MINI_MY_HOMELAND_SHOP_FURDRAW,RightTab,view
2202,SHOP_SKIN_DETAILS,7DaysPurchase,view
615,MINI_MY_HOMELAND_SHOP_BLOCK_1,Block,view
615,MINI_MY_HOMELAND_SHOP_BLOCK_1,All,view
615,MINI_MY_HOMELAND_SHOP_BLOCK_1,Order,view
615,MINI_MY_HOMELAND_SHOP_BLOCK_1,Materials,view
615,MINI_MY_HOMELAND_SHOP_BLOCK_1,Environment,view
615,MINI_MY_HOMELAND_SHOP_BLOCK_1,Decoration,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,FurnitureArea,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,FurnitureSort,view
604,MINI_MY_HOMELAND_COOKING_BENCH_DISHES_AND_DESSERT,Menu,view
601,MINI_MY_HOMELAND_EDIT_MAP,MyHomelandFruitsNPC,view
48,MINI_MAP_NEW_Comment,Translate,view
604,MINI_MY_HOMELAND_COOKING_BENCH_DESSERT,Make,view
627,MINI_MY_HOMELAND_RANCH_SHOP_TOP,HomelandCoin,view
627,MINI_MY_HOMELAND_RANCH_SHOP_TOP,Close,view
627,MINI_MY_HOMELAND_RANCH_SHOP_TOP,MiniCoin,view
627,MINI_MY_HOMELAND_RANCH_SHOP_BUY_1,Egg,view
627,MINI_MY_HOMELAND_RANCH_SHOP_TAB,AllTab,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,ToolSort,view
7,MY_UPDATES_MORE_POPUP,StickPost,view
7,MY_UPDATES_MORE_POPUP,CloseComment,view
7,MY_UPDATES_MORE_POPUP,Conceal,view
7,MY_UPDATES_MORE_POPUP,Delete,view
604,MINI_MY_HOMELAND_COOKING_BENCH_CONTAINER,Food,view
604,MINI_MY_HOMELAND_COOKING_BENCH_CONTAINER,CookingBenchTop,view
604,MINI_MY_HOMELAND_COOKING_BENCH_TOP,Coin,view
604,MINI_MY_HOMELAND_COOKING_BENCH_CONTAINER,Drink,view
604,MINI_MY_HOMELAND_COOKING_BENCH_CONTAINER,Dessert,view
604,MINI_MY_HOMELAND_COOKING_BENCH_CONTAINER,DishesAndDessert,view
604,MINI_MY_HOMELAND_COOKING_BENCH_TOP,Close,view
616,MINI_MY_HOMELAND_PET_CONTAINER,Explore,view
616,MINI_MY_HOMELAND_PET_CONTAINER,Close,view
604,MINI_MY_HOMELAND_COOKING_BENCH_FOOD,Make,view
6,MINI_MY_HOMELAND_CALL,PetCard,view
2202,SHOP_SKIN_TRANSFORM,PurchaseButton,view
6,MINI_MY_HOMELAND_FRIENDS_LIST,LookAround,view
6,MINI_MY_HOMELAND_FRIENDS_LIST,FriendsList,view
6,MINI_MY_HOMELAND_FRIENDS_LIST,Close,view
620,MINI_MY_HOMELAND_FRIENDS_CONTAINER,LookAround,view
22,SHOP_GUN_HAVE,Icon,view
31,Cloud_Join_Popup,,view
601,MINI_MY_HOMELAND_EDIT_MAP,SystemEventDisplay,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE,ProductionStageTop,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,Furniture,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_TOP,Coin,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE,ResourcesTab,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,BuildingMaterial,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_TOP,Close,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,Resources,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE,BuildingBlocksTab,view
3,Page2_Subject_1_en,BackButton,view
625,MINI_MY_HOMELAND_COOKING_NPC_CHAT,CookingShop,view
625,MINI_MY_HOMELAND_COOKING_NPC_CHAT,Close,view
625,MINI_MY_HOMELAND_COOKING_NPC_CHAT,DailyMenu,view
49,MINI_UPLOADMAP_ALL,Update,view
60,DEVELOPER_SHOP_PROP,Props,view
1003,MINI_INVITE_START,InviteButton,view
49,MINI_UPLOADMAP_ALL,Statues,view
60,DEVELOPER_SHOP_GIFT,Props,view
4,MINI_MAPINFO_UPLOAD_TOP,Close,view
628,MINI_MY_HOMELAND_COOKING_SHOP_TOP,Close,view
628,MINI_MY_HOMELAND_COOKING_SHOP_TOP,HomelandCoin,view
628,MINI_MY_HOMELAND_COOKING_SHOP_TOP,MiniCoin,view
628,MINI_MY_HOMELAND_COOKING_SHOP_TAB,AllTab,view
628,MINI_MY_HOMELAND_COOKING_SHOP_BUY_1,Flavoring,view
22,SHOP_STOREHOUSE_USEPRON,JumpToMount,view
616,MINI_MY_HOMELAND_PET_DETAIL,Changename,view
616,MINI_MY_HOMELAND_PET_DETAIL,Free,view
22,SHOP_Dreambox,Rewardonce,view
4,MINI_ARCHIVEMAP_MANAGEMAP_1,Map_clear_popup,view
22,SHOP_Starbox,Exchangestoredetails,view
22,SHOP_Starbox,ExchangStoreexchange,view
6,MINI_MY_HOMELAND_FARMING_AREA,FarmAmount,view
22,SHOP_FRAME_CONVERT,SeniorConvert,view
6,MINI_MY_HOMELAND_CALL,Close,view
10000,MINI_LANDINGPAGE_START_1,AccountManagementButton,view
1003,FAST_PURCHASE_POPUP,Close,view
22,SHOP_Dreambox,Rewardpreviewdetails,view
402,MINI_CREATEWORLD__DEVELOPERMODE_1,Startgame,view
402,MINI_CREATEWORLD__DEVELOPERMODE_1,Default,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,ResourcesSort,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,ResourcesArea,view
49,MINI_MAP_MODE,Create,view
2202,SHOP_SKIN_DETAILS,ShopCustomize,view
2203,SHOP_GIVEORASK_BlESS,Options,view
416,MINI_MAP_NEW_Comment,SecondCommentInput,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,Tool,view
60,DEVELOPER_SHOP_CONSUMABLES,Props,view
22,SHOP_STOREHOUSE_USEPRON,convert,view
615,MINI_MY_HOMELAND_SHOP_BLOCK_3,BlockObtain,view
9944,Cloud_Password_Popup,,view
2105,TREASURE,GetButton,view
49,MINI_UPLOADMAP_ALL,AllMaps,view
49,MINI_UPLOADMAP_UNLOAD,Unload,view
632,MINI_MY_HOMELAND_CRAFTMAN_NPC_CHAT,CraftShop,view
632,MINI_MY_HOMELAND_CRAFTMAN_NPC_CHAT,Close,view
632,MINI_MY_HOMELAND_CRAFTMAN_NPC_CHAT,Dismantle,view
632,MINI_MY_HOMELAND_CRAFTMAN_NPC_CHAT,GratiaFurniture,view
49,MINI_UPLOADMAP_UPDATE,Uploaded,view
49,MINI_UPLOADMAP_ABNORMAL,Abnormal,view
622,MINI_MY_HOMELAND_EDIT_BAG_FURNITURE,Go_To_Sell,view
622,MINI_MY_HOMELAND_EDIT_BAG_FURNITURE,Build_Furniture_Tab,view
2105,REMIND,CalendarBox,view
604,MINI_MY_HOMELAND_COOKING_BENCH_DRINK,Menu,view
604,MINI_MY_HOMELAND_COOKING_BENCH_DESSERT,Menu,view
22,SHOP_STOREHOUSE_MORE,AllRecovery,view
22,SHOP_FRAME_CONVERT,LowerConvert,view
1003,CHANGE_HALL_HUTTON_LIST,-,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,TeamPlay,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,BuildingMaterialMaterialExhibition,view
3,Survival,QuickStart,view
10,MINI_MUTIPLAYERLOBBY_ALLCON_3,Refresh,view
3,Survival,MapCard,view
3,Survival,DownloadMap,view
10,MINI_MUTIPLAYERLOBBY_CONTAINER_1,HotMap,view
615,MINI_MY_HOMELAND_SHOP_FURNITURE_1,Order,view
615,MINI_MY_HOMELAND_SHOP_FURNITURE_1,Decorate,view
615,MINI_MY_HOMELAND_SHOP_FURNITURE_1,Function,view
615,MINI_MY_HOMELAND_SHOP_FURNITURE_1,All,view
615,MINI_MY_HOMELAND_SHOP_FURNITURE_1,Furniture,view
49,MINI_MAP_MODE,Decrypt,view
49,MINI_MAP_MODE,Battle,view
49,MINI_MAP_MODE,Circuit,view
49,MINI_MAP_MODE,Parkour,view
49,MINI_MAP_MODE,Other,view
601,MINI_MY_HOMELAND_EDIT_SETTING,Close,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CONTAINER,Mount,view
601,MINI_MY_HOMELAND_EDIT_SETTING,HomelandSetting,view
601,MINI_MY_HOMELAND_EDIT_SETTING,SystemSetting,view
601,MINI_MY_HOMELAND_EDIT_SETTING,WarehouseSetting,view
601,MINI_MY_HOMELAND_EDIT_SETTING,IllustratedHandbookSetting,view
601,MINI_MY_HOMELAND_EDIT_SETTING,ShareSetting,view
49,MINI_UPLOADMAP_UNLOAD,Upload,view
22,SHOP_AVATAR_WISHLIST,Close,view
49,MINI_UPLOADMAP_UNLOAD,Mapcard,view
43,PLAYER_INFO_MAP,AppraisalContent,view
22,SHOP_STOREHOUSE_ALLRECOVERY,RecoveryProp,view
6,MINI_MY_HOMELAND_CHAT,Send,view
6,MINI_MY_HOMELAND_CHAT,Homeland,view
6,MINI_MY_HOMELAND_CHAT,Emoticon,view
6,MINI_MY_HOMELAND_CHAT,ChatInput,view
628,MINI_MY_HOMELAND_RANCH_SHOP_SELL_1,Food,view
22,SHOP_PREFERENCE_GRAFFITI,Cancel,view
22,SHOP_PREFERENCE_GRAFFITI,Sure,view
415,GAME_END,Restart,view
415,GAME_END,Share,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_BUILD,BuildingMaterialMaking,view
2203,SHOP_GiVEORASKFOR_TOFRIEND,SearchButton,view
2203,SHOP_GiVEORASKFOR_TOFRIEND,Close,view
616,MINI_MY_HOMELAND_PET_DETAIL,TrainSaveButton,view
616,MINI_MY_HOMELAND_PET_DETAIL,TrainAgainButton,view
616,MINI_MY_HOMELAND_PET_DETAIL,TrainButton,view
616,MINI_MY_HOMELAND_PET_DETAIL,EvolutionButton,view
22,SHOP_SKIN_OWENEDHOUSE,Skin,view
49,MINI_MAP_UPLOAD_IMAGE_UNAVAILABLE,CertifiedDeveloper,view
5004,RESOURCE_BACKPACK_OPERATION,-,view
7,MAP_CARD_MORE_POPUP,StickPost,view
7,MAP_CARD_MORE_POPUP,Recommendation,view
36,tech_popup_page,,view
627,MINI_MY_HOMELAND_RANCH_SHOP_SELL_1,Meat,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CHAT,ChatInput,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CHAT,Emoticon,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CHAT,Homeland,view
602,MINI_MY_HOMELAND_FRIEND_HOMELAND_CHAT,Send,view
22,SHOP_STOREHOUSE_ALLRECOVERY,Sure,view
22,SHOP_STOREHOUSE_ALLRECOVERY,Cancel,view
22,SHOP_STOREHOUSE_ALLRECOVERY,Close,view
60,DEVELOPER_SHOP_TOOL,Props,view
1003,MINI_GAMEOPEN_GAME_1,CameraButton,view
604,MINI_MY_HOMELAND_COOKING_BENCH_FOOD,Menu,view
3,MINI_WORKSHOP_CHOICEREC_1,ChoiceMapCard,view
601,MINI_MY_HOMELAND_EDIT_MAP,Mount,view
622,MINI_MY_HOMELAND_EDIT_BAG_BLUEPRINT,More_Blueprint,view
633,MINI_MY_HOMELAND_CRAFTMAN_SHOP_BUY_1,Material,view
633,MINI_MY_HOMELAND_CRAFTMAN_SHOP_TOP,Close,view
633,MINI_MY_HOMELAND_CRAFTMAN_SHOP_TOP,MiniCoin,view
633,MINI_MY_HOMELAND_CRAFTMAN_SHOP_TOP,HomelandCoin,view
633,MINI_MY_HOMELAND_CRAFTMAN_SHOP_TAB,AllTab,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,ToolMaterialExhibition,view
603,MINI_MY_HOMELAND_PRODUCTION_STAGE_RESOURCES,ToolMaking,view
402,MINI_CREATEWORLD__MODESET_2,Startgame,view
402,MINI_CREATEWORLD__MODESET_2,Return,view
9999,MINI_HOMEPAGE_ANNOUNCEMENT_1,Announcement,view
9999,MINI_HOMEPAGE_TOP_1,Setting,view
