接口ID,韩语,韩语,韩语,韩语,韩语,韩语,韩语
50043,플레이어,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",점프의 힘,local result = Player:getJumpPower(objid)
50044,플레이어,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",실행 속도,local result = Player:getRunSpeed(objid)
50045,플레이어,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",몰래 속도,local result = Player:getSneakSpeed(objid)
50046,플레이어,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",피하고 속도,local result = Player:getDodge(objid)
50047,플레이어,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",근접 공격,local result = Player:getPunchAttack(objid)
50048,플레이어,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",원거리 공격,local result = Player:getRangeAttack(objid)
50049,플레이어,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",근접 방어,local result = Player:getPunchDefense(objid)
50050,플레이어,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",원거리 방어,local result = Player:getRangeDefense(objid)
50051,플레이어,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",별의 수,"local result = Player:getStarNum(objid, val)"
50052,플레이어,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",모델의 크기,"local result = Player:getModelScale(objid, val)"
50053,플레이어,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,최대 HP를 설정,"local result = Player:setMaxHP(objid, val)"
50054,플레이어,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HP 설정,"local result = Player:setHP(objid, val)"
50055,플레이어,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,HP 복구 설정,local result = Player:setHpRecover(objid)
50056,플레이어,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,설정 현재 물림,local result = Player:setCurFood(objid)
50057,플레이어,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,산소를 설정,"local result = Player:setOxygen(objid, val)"
50058,플레이어,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 보행 속도,"local result = Player:setWalkSpeed(objid, val)"
50059,플레이어,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 수영 속도 (물에),"local result = Player:setSwimSpeed(objid, val)"
50060,플레이어,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 점프의 힘,"local result = Player:setJumpPower(objid, val)"
50061,플레이어,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 실행 속도,"local result = Player:setRunSpeed(objid, val)"
50062,플레이어,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 몰래 속도,"local result = Player:setSneakSpeed(objid, val)"
50063,플레이어,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 닷징 속도,"local result = Player:setDodge(objid, val)"
50064,플레이어,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 근접 공격,"local result = Player:setPunchAttack(objid, val)"
50065,플레이어,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 원거리 공격을,"local result = Player:setRangeAttack(objid, val)"
50066,플레이어,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 근접 방어,"local result = Player:setPunchDefense(objid, val)"
50067,플레이어,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정은 방어 원거리,"local result = Player:setRangeDefense(objid, val)"
50068,플레이어,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,별의 수를 설정,"local result = Player:setStarNum(objid, val)"
50069,플레이어,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,모델의 크기를 설정,"local result = Player:setModelScale(objid, val)"
50070,플레이어,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,배우의 위치를 ​​설정합니다,"local result = Player:setPosition(objid, x, y, z)"
50071,플레이어,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,플레이어의 십자선 위치를 가져옵니다,local result = Player:getAimPos(objid)
60001,생물,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,그것은 성인가요?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,생물,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,산소가 필요한 경우 설정,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,생물,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",생물을 지배 한 플레이어의 ID를 가져옵니다,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,생물,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,이 공황 발생하는 경우 설정,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,생물,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,AI가 적용됩니다 경우 설정,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,생물,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",괴물 리소스의 ID를 가져옵니다,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,생물,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",괴물 리소스의 ID를 가져옵니다,local result = Creature:getActorName(objid)
60008,생물,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,괴물의 ModAttrib을 증가,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,생물,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",괴물의 ModAttrib을 증가,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,생물,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,생물 팀을 설정,"local result = Creature:setTeam(objid, teamid)"
60011,생물,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",생물 팀을 설정,local result = Creature:getTeam(objid)
60012,생물,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",최대 포만감을 얻을,local result = Creature:getMaxFood(objid)
60013,생물,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",포만감을 얻을,local result = Creature:getFood(objid)
60014,생물,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 물림,"local result = Creature:setFood(objid, val)"
60015,생물,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP 회복,local result = Creature:getHpRecover(objid)
60016,생물,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",최대 산소 볼륨,local result = Creature:getMaxOxygen(objid)
60017,생물,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",걷는 속도,local result = Creature:getWalkSpeed(objid)
60018,생물,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",수영 속도 (물에),local result = Creature:getSwimSpeed(objid)
60019,생물,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",점프의 힘,local result = Creature:getJumpPower(objid)
60020,생물,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",무게,local result = Creature:getMass(objid)
60021,생물,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",다지,local result = Creature:getDodge(objid)
60022,생물,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",근접 공격,local result = Creature:getPunchAttack(objid)
60023,생물,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",원거리 공격,local result = Creature:getRangeAttack(objid)
60024,생물,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",근접 방어,local result = Creature:getPunchDefense(objid)
60025,생물,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",원거리 방어,local result = Creature:getRangeDefense(objid)
60026,생물,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HP 설정,"local result = Creature:setMaxHp(objid, val)"
60027,생물,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HP 설정,"local result = Creature:setHP(objid, val)"
60028,생물,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,HP 복구 설정,local result = Creature:setHpRecover(objid)
60029,생물,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 산소,"local result = Creature:setOxygen(objid, val)"
60030,생물,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 보행 속도,"local result = Creature:setWalkSpeed(objid, val)"
60031,생물,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 수영 속도 (물에),"local result = Creature:setSwimSpeed(objid, val)"
60032,생물,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,점프의 힘을 설정,"local result = Creature:setJumpPower(objid, val)"
60033,생물,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 닷징,"local result = Creature:setDodge(objid, val)"
60034,생물,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 근접 공격,"local result = Creature:setPunchAttack(objid, val)"
60035,생물,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 원거리 공격을,"local result = Creature:setRangeAttack(objid, val)"
60036,생물,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정 근접 방어,"local result = Creature:setPunchDefense(objid, val)"
60037,생물,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,설정은 방어 원거리,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,싸움의 설정 요약 UI,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",세계는 미니 맵으로 변경 좌표,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",WOLRD 길이는 미니 맵으로 변경,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,설정 미니 맵 모드 : 1. 45 ° 회전 각도. 2. 전체 그림 간과 각도,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,지도 마크의 설정을 모양. 라인으로 설정,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,지도 마크의 설정을 모양. 원으로 설정,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,디스플레이 화면 효과,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,잡담,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,채팅 메시지 보내기,local result = Chat:sendChat(content)
80002,잡담,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,시스템 메시지 보내기,local result = Chat:sendSystemMsg(content)
90001,팀,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",팀의 수를 가져옵니다,local result = Team:getNumTeam()
90002,팀,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",지정 선수 팀을 얻기,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,팀,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",지정 선수 팀을 얻기,"local result = Team:getTeamPlayers(teamid, alive)"
90004,팀,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",랜덤 플레이어,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,팀,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,팀 점수를 설정,"local result = Team:setTeamScore(teamid, s)"
90006,팀,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",팀 점수를 얻을,local result = Team:getTeamScore(teamid)
90007,팀,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,팀 점수를 증가,"local result = Team:addTeamScore(teamid, score)"
90008,팀,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,팀의 승리 - 로스 설정,"local result = Team:setTeamResults(teamid, result)"
90009,팀,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",팀의 현재 윈 - 로스 받기,local result = Team:getTeamResults(teamid)
90010,팀,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,플레이어 팀의 승리 - 로스 설정,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,팀,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,팀의 총 사망자 설정,"local result = Team:setTeamDieTimes(teamid, times)"
90012,팀,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",팀의 총 사망자를 가져옵니다,local result = Team:getTeamDieTimes(teamid)
90013,팀,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,팀의 총 사망을 증가,local result = Team:addTeamDieTimes(teamid)
90014,팀,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,변경 플레이어의 팀,"local result = Team:changePlayerTeam(uin, teamid)"
100001,소품,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",항목의 이름을 가져옵니다,local result = Item:getItemName(itemid)
100002,소품,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",항목의 ID를 가져옵니다,local result = Item:getItemId(objid)
100003,소품,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",dorps의 수를 가져옵니다,local result = Item:getDropItemNum(objid)
110001,배낭,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",배낭 바의 ID의 범위를 가져옵니다 (시작 ID ~ 종료 ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,배낭,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",배낭 바의 크기를 가져옵니다,local result = Backpack:getBackpackBarSize(bartype)
110003,배낭,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,배낭을 설정,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,배낭,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,배낭 표시 줄에 일부 항목을 제거합니다. 아이템 슬롯에 의해 제거되었습니다. 모든 기본적으로 제거,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,배낭,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",배낭 표시 줄에 일부 항목을 제거합니다. 항목 ID에 의해 제거되었습니다. 모든 기본적으로 제거,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,배낭,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,클리어 지정 배낭 바,"local result = Backpack:clearPack(playerid, bartype)"
110007,배낭,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"(배낭 줄을 포함, 도구 모음, 바 장비) 모두 삭제 배낭",local result = Backpack:clearAllPack(playerid)
110008,배낭,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,배낭에서 항목을 제거합니다. 모든 기본적으로 전송,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,배낭,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,교환 항목 배낭,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,배낭,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 9",ErrorCode.OK,"배낭에 충분한 공간이있는 경우 항목을 저장하기 (배낭 바, 도구 모음을 포함)","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,배낭,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",배낭 (배낭 바를 포함한 단축 bar)의 나머지 항목의 총 수를 계산 저장할 수,"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,배낭,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",배낭 표시 줄에 이미 항목 'ID의 유효 목록을 가져옵니다. 항목 ID,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,배낭,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",배낭 표시 줄에 이미 항목을 가져옵니다. 항목 ID,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,배낭,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,배낭에있는 지정된 항목이있는 경우에 감지,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,배낭,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",배낭에있는 항목의 총 수를 가져옵니다. 항목 배낭로 돌아 가기,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,배낭,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",배낭에서 아이템 ID 및 번호를 가져옵니다,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,배낭,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",배낭에서 아이템 이름을 가져옵니다,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,배낭,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",배낭과 최대 어떤 항목 수를 가져옵니다. 스택의,"local result = Backpack:getGridStack(playerid, gridid)"
110019,배낭,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",배낭 및 최대 내구성 항목의 내구성을 얻기,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,배낭,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",배낭에있는 항목의 마법을 가져옵니다. 마법의 ID로 돌아갑니다.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,배낭,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",배낭에서 항목 도구의 형태를 취득 (<0이 아닌 도구를 의미합니다),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,배낭,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",배낭에 상품을 추가,"local result = Backpack:addItem(playerid, itemid, num)"
110023,배낭,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,배낭에서 항목을 폐기,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,배낭,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,배낭 하나 개의 슬롯의 항목 수를 가져옵니다,"local result = Backpack:getGridNum(playerid, gridid)"
120001,미니 맵,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","새로운 모양 (선, 사각형, 원)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,미니 맵,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,모양 삭제,local result = MapMark:deleteShape(shapeid)
120003,미니 맵,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,모양과 색상을 설정합니다,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,미니 맵,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,세트 모양 표시 또는 숨김,"local result = MapMark:showShape(shapeid, showflag)"
120005,미니 맵,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,업데이트 모양 (선). 좌표와 끝 좌표 시작 추가,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,미니 맵,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,업데이트 모양 (사각형). 좌표와 끝 좌표 시작 추가,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,미니 맵,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,모양 (원)을 업데이트합니다. 중심 좌표와 반경을 추가,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,스폰 포인트,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",산란 점의 위치를 ​​가져옵니다,local result = Spawnport:getSpawnPoint()
130002,스폰 포인트,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",지역의 스폰 포인트를 가져옵니다. 지역에서 무작위 블록의 위치를 ​​추가,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
