接口ID,法语,法语,法语,法语,法语,法语,法语
50040,Joueur,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",le volume d'oxygène actuel,local result = Player:getCurOxygen(objid)
50041,Joueur,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Vitesse de marche,local result = Player:getWalkSpeed(objid)
50042,Joueur,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Vitesse de nage (dans l'eau),local result = Player:getSwimSpeed(objid)
50043,Joueur,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",force de saut,local result = Player:getJumpPower(objid)
50044,Joueur,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Vitesse de course,local result = Player:getRunSpeed(objid)
50045,Joueur,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",vitesse faufilant,local result = Player:getSneakSpeed(objid)
50046,Joueur,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",vitesse esquiver,local result = Player:getDodge(objid)
50047,Joueur,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attaque en mêlée,local result = Player:getPunchAttack(objid)
50048,Joueur,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attaque à distance,local result = Player:getRangeAttack(objid)
50049,Joueur,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",défense Melee,local result = Player:getPunchDefense(objid)
50050,Joueur,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",défense Ranged,local result = Player:getRangeDefense(objid)
50051,Joueur,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Nombre d'étoiles,"local result = Player:getStarNum(objid, val)"
50052,Joueur,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Taille du modèle,"local result = Player:getModelScale(objid, val)"
50053,Joueur,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Réglez le HP max,"local result = Player:setMaxHP(objid, val)"
50054,Joueur,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Player:setHP(objid, val)"
50055,Joueur,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Définissez l'option HP,local result = Player:setHpRecover(objid)
50056,Joueur,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Set courant satiété,local result = Player:setCurFood(objid)
50057,Joueur,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Réglez l'oxygène,"local result = Player:setOxygen(objid, val)"
50058,Joueur,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Réglage de la vitesse de marche,"local result = Player:setWalkSpeed(objid, val)"
50059,Joueur,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Régler la vitesse de nage (dans l'eau),"local result = Player:setSwimSpeed(objid, val)"
50060,Joueur,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set force de saut,"local result = Player:setJumpPower(objid, val)"
50061,Joueur,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Régler la vitesse de course,"local result = Player:setRunSpeed(objid, val)"
50062,Joueur,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Régler la vitesse faufilant,"local result = Player:setSneakSpeed(objid, val)"
50063,Joueur,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Réglage de la vitesse en esquivant,"local result = Player:setDodge(objid, val)"
50064,Joueur,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attaque au corps à corps,"local result = Player:setPunchAttack(objid, val)"
50065,Joueur,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attaque à distance,"local result = Player:setRangeAttack(objid, val)"
50066,Joueur,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Définir la défense de mêlée,"local result = Player:setPunchDefense(objid, val)"
50067,Joueur,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set allait défense,"local result = Player:setRangeDefense(objid, val)"
50068,Joueur,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Définissez le nombre d'étoiles,"local result = Player:setStarNum(objid, val)"
50069,Joueur,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Définissez la taille du modèle,"local result = Player:setModelScale(objid, val)"
50070,Joueur,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Définissez l'emplacement de l'acteur,"local result = Player:setPosition(objid, x, y, z)"
50071,Joueur,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Obtenez la position du joueur crosshair,local result = Player:getAimPos(objid)
60001,Créature,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,Est-il des adultes?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Créature,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Positionné si l'oxygène est nécessaire,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Créature,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Obtenez l'identifiant du joueur qui a apprivoisé créature,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Créature,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Définir si elle provoque la panique,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Créature,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Définir si AI prend effet,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Créature,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Obtenir l'identifiant de ressource de monstre,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Créature,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Obtenir l'identifiant de ressource de monstre,local result = Creature:getActorName(objid)
60008,Créature,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Augmenter le ModAttrib du monstre,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Créature,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Augmenter le ModAttrib du monstre,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Créature,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Définir l'équipe de créature,"local result = Creature:setTeam(objid, teamid)"
60011,Créature,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Définir l'équipe de créature,local result = Creature:getTeam(objid)
60012,Créature,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obtenez max satiété,local result = Creature:getMaxFood(objid)
60013,Créature,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Obtenez la satiété,local result = Creature:getFood(objid)
60014,Créature,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set satiété,"local result = Creature:setFood(objid, val)"
60015,Créature,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP récupérer,local result = Creature:getHpRecover(objid)
60016,Créature,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Max volume d'oxygène,local result = Creature:getMaxOxygen(objid)
60017,Créature,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Vitesse de marche,local result = Creature:getWalkSpeed(objid)
60018,Créature,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Vitesse de nage (dans l'eau),local result = Creature:getSwimSpeed(objid)
60019,Créature,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",force de saut,local result = Creature:getJumpPower(objid)
60020,Créature,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Poids,local result = Creature:getMass(objid)
60021,Créature,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Esquiver,local result = Creature:getDodge(objid)
60022,Créature,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attaque en mêlée,local result = Creature:getPunchAttack(objid)
60023,Créature,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Attaque à distance,local result = Creature:getRangeAttack(objid)
60024,Créature,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",défense Melee,local result = Creature:getPunchDefense(objid)
60025,Créature,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",défense Ranged,local result = Creature:getRangeDefense(objid)
60026,Créature,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Creature:setMaxHp(objid, val)"
60027,Créature,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set HP,"local result = Creature:setHP(objid, val)"
60028,Créature,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Définissez l'option HP,local result = Creature:setHpRecover(objid)
60029,Créature,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set oxygène,"local result = Creature:setOxygen(objid, val)"
60030,Créature,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Réglage de la vitesse de marche,"local result = Creature:setWalkSpeed(objid, val)"
60031,Créature,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Régler la vitesse de nage (dans l'eau),"local result = Creature:setSwimSpeed(objid, val)"
60032,Créature,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Régler la force de saut,"local result = Creature:setJumpPower(objid, val)"
60033,Créature,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set esquivant,"local result = Creature:setDodge(objid, val)"
60034,Créature,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attaque au corps à corps,"local result = Creature:setPunchAttack(objid, val)"
60035,Créature,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set attaque à distance,"local result = Creature:setRangeAttack(objid, val)"
60036,Créature,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Définir la défense de mêlée,"local result = Creature:setPunchDefense(objid, val)"
60037,Créature,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Set allait défense,"local result = Creature:setRangeDefense(objid, val)"
70001,UI,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Définir l'interface utilisateur sommaire de combat,"local result = UI:setGBattleUI(name, value)"
70002,UI,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",World Coordinate changé minicarte,"local result = UI:world2RadarPos(x, y)"
70003,UI,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",longueur Wolrd changé minicarte,local result = UI:world2RadarDist(length)
70004,UI,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Régler le mode minicarte: 1. angle de rotation de 45 °. 2. pic plein angle de surveillance,local result = UI:setMinimapRenderMode(mode)
70005,UI,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,Forme Réglage des marques de carte. Définir comme ligne,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Forme Réglage des marques de carte. Définir comme cercle,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Affichage effet de l'écran,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Bavarder,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Envoyer un message dans le chat,local result = Chat:sendChat(content)
80002,Bavarder,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Envoyer un message système,local result = Chat:sendSystemMsg(content)
90001,Équipe,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Obtenez le nombre d'équipes,local result = Team:getNumTeam()
90002,Équipe,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Obtenez l'équipe de joueur désigné,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Équipe,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Obtenez l'équipe de joueur désigné,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Équipe,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Joueur aléatoire,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Équipe,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Réglez le score de l'équipe,"local result = Team:setTeamScore(teamid, s)"
90006,Équipe,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Obtenez le score de l'équipe,local result = Team:getTeamScore(teamid)
90007,Équipe,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Augmenter le score de l'équipe,"local result = Team:addTeamScore(teamid, score)"
90008,Équipe,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Réglez la victoire de l'équipe-los,"local result = Team:setTeamResults(teamid, result)"
90009,Équipe,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Obtenez le courant gagnant-los de l'équipe,local result = Team:getTeamResults(teamid)
90010,Équipe,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Réglez le gagnant-los de l'équipe des joueurs,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Équipe,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Régler la mort au total de l'équipe,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Équipe,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Obtenez le nombre total de décès de l'équipe,local result = Team:getTeamDieTimes(teamid)
90013,Équipe,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Augmenter la mort au total de l'équipe,local result = Team:addTeamDieTimes(teamid)
90014,Équipe,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,L'équipe de changement joueur,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Props,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Obtenez le nom de l'article,local result = Item:getItemName(itemid)
100002,Props,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Obtenez l'ID de l'article,local result = Item:getItemId(objid)
100003,Props,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Obtenez le nombre de Dorps,local result = Item:getDropItemNum(objid)
110001,Sac à dos,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Obtenez la gamme de ID barre de sac à dos (Start ID ~ ID de fin),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Sac à dos,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Obtenir la taille de la barre de sac à dos,local result = Backpack:getBackpackBarSize(bartype)
110003,Sac à dos,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Mettre le sac à dos,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Sac à dos,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,Retirer certains éléments dans la barre de sac à dos. Enlevé par des fentes de l'élément. Tous éliminés par défaut,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Sac à dos,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Retirer certains éléments dans la barre de sac à dos. Retiré par l'ID de l'élément. Tous éliminés par défaut,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Sac à dos,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,bar désigné clair sac à dos,"local result = Backpack:clearPack(playerid, bartype)"
110007,Sac à dos,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Effacer tout le sac à dos (y compris la barre de sac à dos, barre de raccourcis, équipez bar)",local result = Backpack:clearAllPack(playerid)
110008,Sac à dos,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,Supprimer des éléments à sac à dos. Tous transférés par défaut,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Sac à dos,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Sac à dos de l'élément d'échange,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Sac à dos,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 6",ErrorCode.OK,"S'il y a assez d'espace dans le sac à dos (y compris la barre de sac à dos, barre de raccourcis) pour stocker des éléments","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Sac à dos,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Calculer le nombre total d'éléments restants que le sac à dos (y compris la barre de sac à dos, bar raccourci) peut stocker","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Sac à dos,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Obtenir la liste valide de l'ID des éléments qui sont déjà dans la barre de sac à dos. ID de l'article,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Sac à dos,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Obtenez des produits déjà dans la barre de sac à dos. ID de l'article,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Sac à dos,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Détecter s'il y a un élément désigné sac à dos,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Sac à dos,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Obtenez le nombre total d'articles dans sac à dos. Retour à dos avec des articles,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Sac à dos,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Obtenir l'article ID et le numéro dans sac à dos,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Sac à dos,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Obtenir le nom de l'élément dans sac à dos,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Sac à dos,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Obtenez le nombre d'articles dans sac à dos et max pas. des piles,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Sac à dos,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Obtenez la durabilité de l'article en sac à dos et une durabilité maximale,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Sac à dos,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Obtenez l'enchantement des articles dans sac à dos. Retour à l'ID d'enchantement.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Sac à dos,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Obtenez le type d'outil de pièce sac à dos (<0 signifie non-outil),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Sac à dos,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Ajouter l'élément à sac à dos,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Sac à dos,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Jeter l'élément dans sac à dos,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Sac à dos,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Obtenez le nombre d'éléments dans un emplacement de sac à dos,"local result = Backpack:getGridNum(playerid, gridid)"
120001,minicarte,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Nouvelle forme (ligne, rectangle, cercle)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,minicarte,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Supprimer une forme,local result = MapMark:deleteShape(shapeid)
120003,minicarte,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Définissez la forme et la couleur,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,minicarte,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Changer la forme affichée ou masquée,"local result = MapMark:showShape(shapeid, showflag)"
120005,minicarte,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,forme de mise à jour (ligne). Ajouter début coordonnées et coordonnée finale,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,minicarte,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,forme de mise à jour (rectangle). Ajouter début coordonnées et coordonnée finale,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,minicarte,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Mettre à jour la forme (cercle). Ajouter les coordonnées du centre et le rayon,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,point de Spawn,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Obtenez l'emplacement du point spawn,local result = Spawnport:getSpawnPoint()
130002,point de Spawn,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",Obtenez le point d'apparition dans la région. Ajouter la position du bloc aléatoire dans la région,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
